date,open,high,low,close,volume
2020-07-27,91.27,93.73,91.27,93.5,42797
2020-07-28,93.36,93.37,91.5,91.7,50169
2020-07-29,91.86,93.81,91.81,93.33,29135
2020-07-30,92.17,92.56,91.29,92.06,45549
2020-07-31,92.31,92.59,91.05,92.59,47654
2020-08-03,93.38,95.46,93.38,95.23,105553
2020-08-04,94.84,94.84,93.12,93.64,33250
2020-08-05,94.42,94.97,93.9,94.1,22230
2020-08-06,94.12,94.4,92.1,93.63,34994
2020-08-07,93.65,93.98,93.15,93.89,33815
2020-08-10,94.13,94.13,93.19,93.32,25616
2020-08-11,93.45,93.46,92.45,92.53,47384
2020-08-12,93.08,94.43,92.76,93.86,53082
2020-08-13,93.56,95.22,93.55,94.9,50910
2020-08-14,94.52,94.78,93.18,93.59,31877
2020-08-17,93.72,94.81,93.3,93.67,129618
2020-08-18,93.61,94.8,93.36,94.04,119683
2020-08-19,91.66,95.5,91.66,94.17,168942
2020-08-20,93.67,94.31,93.48,93.95,89875
2020-08-21,94.16,94.48,93.49,94.47,23051
2020-08-24,95.13,95.31,93.36,93.71,39165
2020-08-25,94.0,94.72,93.82,94.54,15058
2020-08-26,94.5,95.83,94.22,95.4,38877
2020-08-27,95.36,95.74,93.83,95.18,29364
2020-08-28,95.0,96.01,94.77,96.0,29772
2020-08-31,96.17,97.09,96.17,96.61,29529
2020-09-01,97.1,97.3,96.37,97.13,27241
2020-09-02,97.03,99.61,96.6,99.48,47272
2020-09-03,98.54,98.54,95.22,95.78,71918
2020-09-04,95.57,95.85,91.98,93.08,67896
2020-09-08,92.51,92.68,91.39,91.5,36258
2020-09-09,92.35,94.61,92.35,94.05,26906
2020-09-10,94.83,96.18,94.52,94.73,132598
2020-09-11,95.12,95.6,94.49,94.75,34726
2020-09-14,95.7,96.31,95.2,95.63,37022
2020-09-15,96.43,97.04,96.21,96.4,65167
2020-09-16,97.24,97.42,95.9,95.96,34323
2020-09-17,94.73,96.45,94.73,95.7,31671
2020-09-18,96.02,96.65,94.73,95.5,36256
2020-09-21,94.63,94.63,92.9,94.29,15339
2020-09-22,94.15,95.02,93.75,94.75,29430
2020-09-23,94.55,95.0,92.81,93.18,36426
2020-09-24,92.77,93.09,91.87,92.53,41886
2020-09-25,92.14,94.3,92.07,93.91,27380
2020-09-28,94.86,95.82,94.37,95.57,21460
2020-09-29,95.83,97.2,95.71,96.34,15920
2020-09-30,96.58,97.9,96.44,97.08,20508
