date,open,high,low,close,volume
2020-07-27,90.76,91.86,90.51,91.85,804492
2020-07-28,91.3,91.51,90.32,90.33,606660
2020-07-29,90.85,92.18,90.85,92.0,550088
2020-07-30,91.21,93.2,90.86,93.19,1295888
2020-07-31,99.66,103.02,97.71,102.97,3571408
2020-08-03,104.79,108.06,104.51,105.35,5063024
2020-08-04,105.67,107.25,104.98,106.19,941100
2020-08-05,105.92,106.82,105.49,106.56,971928
2020-08-06,106.91,110.73,106.65,110.18,1045452
2020-08-07,109.8,110.02,107.0,107.76,1587500
2020-08-10,109.12,110.35,106.7,109.37,2020932
2020-08-11,108.61,109.08,105.85,106.11,1888484
2020-08-12,107.15,109.86,107.0,109.66,1482092
2020-08-13,111.01,112.55,110.57,111.46,1452820
2020-08-14,111.25,111.53,109.66,111.45,2794008
2020-08-17,112.53,112.58,110.56,111.24,2153380
2020-08-18,111.04,112.51,110.61,112.09,905788
2020-08-19,112.5,113.59,112.15,112.29,1132844
2020-08-20,112.33,114.83,112.31,114.78,1029500
2020-08-21,115.91,121.1,115.69,120.68,3099124
2020-08-24,124.83,124.92,120.23,122.02,4004004
2020-08-25,120.95,121.42,119.42,121.19,1813836
2020-08-26,122.44,123.16,121.34,122.72,1299292
2020-08-27,123.33,123.64,120.14,121.31,1803712
2020-08-28,122.26,122.64,120.85,121.09,1822992
2020-08-31,123.81,127.07,122.57,125.23,2563119
2020-09-01,128.81,130.73,126.66,130.42,1773723
2020-09-02,133.53,133.82,123.19,127.63,2997690
2020-09-03,123.05,124.91,116.88,117.37,2676499
2020-09-04,116.46,119.97,107.59,117.47,3867367
2020-09-08,110.29,115.34,109.31,109.36,1622183
2020-09-09,113.69,115.54,111.94,113.82,2158166
2020-09-10,116.57,116.7,109.13,110.06,1143907
2020-09-11,111.17,111.73,106.74,108.71,893292
2020-09-14,111.29,112.42,109.44,111.84,1230251
2020-09-15,115.12,115.22,110.24,112.05,1000868
2020-09-16,111.85,112.47,108.75,108.77,1113898
2020-09-17,106.15,108.81,105.48,107.09,1561236
2020-09-18,107.06,107.41,102.97,103.65,1618432
2020-09-21,101.27,106.82,100.24,106.82,1473785
2020-09-22,109.25,109.46,105.92,108.44,1303096
2020-09-23,108.28,108.72,103.59,103.82,800868
2020-09-24,102.01,106.86,101.86,104.86,1992800
2020-09-25,105.2,109.06,104.53,108.97,885266
2020-09-28,111.78,111.84,109.4,111.55,808061
2020-09-29,111.15,111.82,110.22,110.7,859040
2020-09-30,110.3,113.68,110.29,112.36,587065
2020-10-01,114.14,114.14,112.36,113.43,1799522
2020-10-02,109.44,111.91,108.87,109.62,1941952
2020-10-05,110.51,113.09,110.16,113.04,1739090
2020-10-06,112.25,112.6,108.89,109.81,2027008
2020-10-07,111.16,112.01,110.71,111.61,1339515
2020-10-08,112.78,112.89,111.17,111.51,1680386
2020-10-09,111.82,113.48,111.51,113.43,2214677
2020-10-12,116.46,121.42,115.73,120.67,5236441
2020-10-13,121.47,121.62,116.11,117.45,4680281
2020-10-14,117.27,119.29,116.04,117.51,2515020
2020-10-15,115.16,117.56,114.63,117.06,1971121
2020-10-16,117.58,117.88,115.3,115.41,2678256
2020-10-19,116.36,116.77,112.19,112.55,2387641
2020-10-20,112.65,115.41,112.18,113.95,2196211
2020-10-21,113.17,115.12,112.99,113.37,1815133
2020-10-22,113.88,114.47,111.16,112.32,2362788
2020-10-23,112.87,113.05,110.86,111.58,2127207
2020-10-26,110.59,113.04,109.5,111.67,2018832
2020-10-27,111.99,113.75,111.13,113.1,1828389
2020-10-28,111.54,111.95,107.82,107.84,2912788
2020-10-29,109.0,113.33,108.85,111.56,1989733
2020-10-30,107.73,108.62,104.52,105.83,3364089
2020-11-02,105.89,107.35,104.12,105.44,1813903
2020-11-03,106.37,108.1,105.49,107.19,1678600
2020-11-04,110.56,112.1,109.06,111.55,1881211
2020-11-05,114.48,115.99,113.38,115.6,1474175
2020-11-06,114.9,115.8,112.84,115.33,1102772
2020-11-09,117.03,118.52,112.8,112.8,2331457
2020-11-10,112.27,114.25,110.91,112.72,1791736
2020-11-11,113.88,116.17,113.18,116.17,1292119
2020-11-12,116.22,117.1,115.21,115.85,1135508
2020-11-13,116.02,116.27,114.56,115.92,1015692
2020-11-16,115.55,117.55,114.8,116.84,1324505
2020-11-17,116.14,117.25,115.65,115.99,913106
2020-11-18,115.25,116.37,114.65,114.65,820336
