date,open,high,low,close,volume
2020-07-27,291.89,300.07,291.565,298.82,20311
2020-07-28,299.07,299.095,294.335,295.105,16245
2020-07-29,297.43,300.685,297.43,298.72,15619
2020-07-30,293.1,300.6,293.1,299.28,12482
2020-07-31,299.97,300.95,294.44,299.02,9518
2020-08-03,299.93,309.12,299.93,308.3,25442
2020-08-04,310.415,310.51,303.875,305.75,27376
2020-08-05,305.45,318.94,304.87,317.06,24549
2020-08-06,312.56,315.87,309.015,314.78,19764
2020-08-07,313.26,316.625,307.84,310.71,36115
2020-08-10,307.09,307.09,299.42,300.295,11394
2020-08-11,299.815,301.235,294.245,294.7,28694
2020-08-12,300.03,306.085,298.32,302.12,11718
2020-08-13,304.89,309.7,304.89,308.16,9154
2020-08-14,310.48,310.48,305.12,307.41,12698
2020-08-17,312.64,313.425,307.69,309.58,9746
2020-08-18,311.19,313.77,307.95,312.93,8155
2020-08-19,313.675,317.25,311.49,314.5,11528
2020-08-20,313.99,314.57,309.16,309.7,11335
2020-08-21,307.08,307.995,304.64,307.995,5771
2020-08-24,311.07,312.775,303.525,304.91,8333
2020-08-25,304.42,317.84,304.19,310.96,13081
2020-08-26,307.68,308.55,303.23,305.91,9355
2020-08-27,308.48,313.78,306.575,311.05,6828
2020-08-28,311.04,311.04,301.36,302.5,6441
2020-08-31,302.18,310.115,302.18,307.93,21455
2020-09-01,308.38,309.99,303.5,307.27,18183
2020-09-02,306.45,315.02,302.2,312.75,14710
2020-09-03,312.0,312.0,291.35,294.16,17305
2020-09-04,291.405,291.405,271.06,276.11,25748
2020-09-08,268.135,274.56,262.74,268.47,27402
2020-09-09,273.87,279.69,273.87,278.11,31564
2020-09-10,279.3,280.18,271.62,271.885,11209
2020-09-11,274.815,274.815,266.97,269.63,5287
2020-09-14,274.61,280.365,274.61,275.8,10064
2020-09-15,278.69,283.145,276.62,279.17,15207
2020-09-16,276.45,281.765,270.25,274.105,16700
2020-09-17,271.425,277.05,270.01,276.18,10688
2020-09-18,272.54,275.17,260.99,265.13,13974
2020-09-21,258.89,266.12,257.425,265.66,11033
2020-09-22,266.56,268.61,261.82,268.61,8628
2020-09-23,263.86,267.4,259.92,260.07,12829
2020-09-24,263.125,265.23,257.24,262.44,4991
2020-09-25,260.62,267.81,259.8,266.37,8709
2020-09-28,271.31,275.18,269.52,273.48,11380
2020-09-29,277.57,278.31,271.75,272.56,14101
2020-09-30,273.505,280.79,273.105,277.16,24715
2020-10-01,277.12,280.37,258.29,260.425,80731
2020-10-02,257.2,265.01,255.57,261.895,20475
2020-10-05,265.05,270.46,265.05,270.46,18406
2020-10-06,268.815,271.05,263.84,265.06,16172
2020-10-07,271.0,271.66,268.02,268.71,9896
2020-10-08,270.99,272.87,267.49,270.94,23238
2020-10-09,272.64,276.1,271.72,273.62,11592
2020-10-12,274.69,279.37,272.84,277.27,31814
2020-10-13,275.75,280.95,275.24,277.2,16158
2020-10-14,280.72,286.99,278.885,280.85,22983
2020-10-15,275.07,285.92,270.64,283.55,25537
2020-10-16,281.725,289.06,280.01,286.62,23306
2020-10-19,287.5,291.03,280.36,281.175,28676
2020-10-20,283.99,284.79,277.58,277.63,16487
2020-10-21,278.61,279.98,270.15,272.5,36582
2020-10-22,273.645,278.52,271.03,278.5,36710
2020-10-23,277.555,281.99,276.55,281.235,16622
2020-10-26,280.02,288.2,280.02,288.0,32192
2020-10-27,286.915,293.46,285.35,290.86,37468
2020-10-28,284.56,290.67,280.12,283.17,46091
2020-10-29,262.81,270.0,254.28,255.18,79432
2020-10-30,254.85,258.18,242.76,251.13,39024
2020-11-02,252.61,259.42,250.725,254.9,40589
2020-11-03,256.85,261.71,254.09,260.42,34953
2020-11-04,269.95,271.76,262.78,266.44,43895
2020-11-05,270.68,275.83,268.61,272.66,22081
2020-11-06,268.85,274.26,265.2,272.51,19472
2020-11-09,282.13,291.97,277.22,279.74,38292
2020-11-10,279.54,279.54,262.62,269.15,42050
2020-11-11,270.83,272.39,268.28,269.205,18212
2020-11-12,271.3,273.59,266.96,268.42,21536
2020-11-13,271.54,273.46,270.19,272.29,16560
2020-11-16,273.5,274.39,271.16,272.765,16088
2020-11-17,267.95,272.29,267.805,270.27,16371
2020-11-18,267.99,268.54,263.595,266.87,11302
2020-11-19,265.73,272.3,265.05,270.62,17198
2020-11-20,269.61,272.63,268.11,268.11,16003
2020-11-23,268.665,270.78,265.77,266.35,13068
2020-11-24,265.92,267.19,260.5,265.36,16375
2020-11-25,265.37,266.015,261.84,263.69,9282
2020-11-27,263.78,271.35,262.14,271.23,9430
2020-11-30,272.23,274.27,269.355,273.75,14365
2020-12-01,274.98,274.98,265.26,268.64,16060
2020-12-02,265.795,267.735,263.82,265.59,9416
2020-12-03,263.91,267.19,263.91,266.92,10129
2020-12-04,265.9,277.16,265.9,272.31,17751
2020-12-07,271.95,273.23,269.14,272.31,13788
2020-12-08,273.55,275.21,270.54,273.51,17853
2020-12-09,271.69,272.43,261.33,266.07,20310
2020-12-10,264.02,268.64,263.0,267.8,10682
2020-12-11,260.72,260.96,254.67,258.95,17107
2020-12-14,259.535,270.13,259.535,268.18,26710
2020-12-15,265.4,277.0,263.9,275.28,21864
2020-12-16,274.4,281.91,274.08,274.25,21280
2020-12-17,275.025,282.21,272.88,281.53,20801
2020-12-18,282.88,294.41,277.91,293.43,22133
2020-12-21,292.14,296.59,284.14,296.02,31989
2020-12-22,294.39,304.035,293.65,302.55,12068
2020-12-23,308.67,308.695,301.71,304.93,11873
2020-12-24,306.08,306.08,301.565,303.305,5483
2020-12-28,307.99,312.66,306.21,312.645,21747
2020-12-29,316.41,327.8,316.08,320.93,24266
2020-12-30,325.68,328.53,319.32,323.79,14206
2020-12-31,323.64,325.035,318.565,324.535,15266
2021-01-04,325.63,329.04,309.825,317.01,23591
2021-01-05,317.42,326.26,317.42,322.61,18455
2021-01-06,317.25,323.64,316.53,321.97,15232
2021-01-07,321.68,326.835,319.44,323.53,26711
2021-01-08,325.355,330.52,321.055,324.25,23638
2021-01-11,323.19,325.43,320.42,324.66,15160
2021-01-12,322.59,328.04,322.22,324.94,18931
2021-01-13,326.15,327.165,322.0,323.69,17791
2021-01-14,323.93,325.06,316.95,318.53,31552
2021-01-15,316.265,332.91,316.265,329.22,18381
2021-01-19,331.5,338.91,325.99,337.05,14567
2021-01-20,338.46,353.34,338.46,348.1,61133
2021-01-21,350.37,351.24,342.08,348.96,17228
2021-01-22,347.42,348.69,345.41,347.88,11873
2021-01-25,349.52,352.02,345.755,348.04,33658
2021-01-26,349.77,349.77,339.47,341.01,37218
2021-01-27,334.5,342.56,328.03,328.03,30932
2021-01-28,341.675,383.87,341.675,354.69,67777
2021-01-29,349.775,354.69,337.94,348.09,32136
2021-02-01,351.65,353.075,342.1,342.1,35245
2021-02-02,344.835,351.08,340.125,348.22,27489
2021-02-03,326.99,335.76,322.37,325.83,44723
2021-02-04,329.165,332.89,323.25,324.27,24914
2021-02-05,325.605,330.22,323.875,327.74,32239
2021-02-08,329.86,331.56,323.7,325.63,16454
2021-02-09,326.28,327.8,322.47,324.57,13326
2021-02-10,325.745,325.795,321.93,324.11,27207
2021-02-11,324.735,326.57,319.915,322.35,19415
2021-02-12,324.33,328.71,322.75,328.37,12502
2021-02-16,330.73,334.0,319.46,323.12,21948
2021-02-17,316.0,319.67,314.235,315.99,20814
2021-02-18,315.1,325.72,312.33,321.33,56115
2021-02-19,318.8,333.5,317.04,332.095,35024
2021-02-22,329.48,332.68,322.32,322.32,29763
2021-02-23,315.45,322.65,310.82,321.62,29597
2021-02-24,317.11,327.04,317.11,324.22,18913
2021-02-25,324.0,325.98,317.85,320.47,17399
2021-02-26,320.69,327.3,314.47,324.27,42347
2021-03-01,327.325,330.34,323.58,324.49,17658
2021-03-02,321.145,327.485,318.55,325.14,16038
2021-03-03,323.15,323.15,307.35,308.18,26080
2021-03-04,306.485,309.87,289.7,295.76,20644
2021-03-05,295.92,302.195,281.48,300.42,24319
2021-03-08,294.395,305.415,285.33,286.28,20627
2021-03-09,291.635,306.41,291.635,296.6,20166
2021-03-10,299.25,303.85,295.675,296.17,14026
2021-03-11,302.74,305.64,299.79,304.06,12605
2021-03-12,300.24,304.515,297.34,303.44,24713
2021-03-15,301.335,308.44,301.04,307.395,15074
2021-03-16,308.52,314.67,306.415,308.9,48124
2021-03-17,305.19,307.84,301.85,303.885,17688
2021-03-18,299.795,301.34,297.27,298.69,63953
2021-03-19,299.16,302.6,295.665,299.99,35102
2021-03-22,302.24,306.96,302.235,306.18,17629
2021-03-23,306.17,308.24,297.51,298.465,17984
2021-03-24,299.52,300.08,292.56,294.21,22450
2021-03-25,293.11,295.86,285.56,294.33,11891
2021-03-26,294.19,301.645,290.64,301.13,12946
2021-03-29,303.51,307.67,301.4,305.66,16644
2021-03-30,301.08,310.17,299.0,309.74,11624
2021-03-31,307.795,321.635,307.795,318.92,15768
2021-04-01,319.81,322.39,314.82,315.31,16608
2021-04-05,315.85,321.94,312.4,321.94,12944
2021-04-06,322.0,329.02,319.935,323.31,17160
2021-04-07,324.99,324.99,317.325,320.11,10026
2021-04-08,324.68,330.64,321.355,329.91,15353
2021-04-09,330.0,333.62,326.65,333.62,9807
2021-04-12,334.59,334.59,328.36,333.33,9774
2021-04-13,333.5,336.08,328.425,330.21,9683
2021-04-14,330.65,333.09,328.705,330.01,12934
2021-04-15,334.97,338.97,334.8,338.44,22449
2021-04-16,335.265,335.265,330.27,330.84,13386
2021-04-19,328.465,332.48,327.45,329.13,13796
2021-04-20,333.74,333.74,328.65,329.97,21895
2021-04-21,330.91,344.3,330.06,342.63,28656
2021-04-22,339.93,345.75,339.66,343.09,8660
2021-04-23,345.22,355.94,344.98,351.39,33596
2021-04-26,350.24,350.285,347.09,348.6,15853
2021-04-27,347.95,347.95,340.26,340.55,20964
2021-04-28,341.995,352.165,340.175,350.67,31468
2021-04-29,349.5,349.5,320.32,322.76,33521
2021-04-30,320.84,326.605,319.69,320.57,23244
2021-05-03,314.86,314.86,305.51,308.57,27899
2021-05-04,306.39,307.99,302.93,304.76,23722
2021-05-05,302.45,302.92,300.01,300.81,24895
2021-05-06,298.39,300.23,288.21,295.4,34897
2021-05-07,301.54,303.435,296.49,296.6,16339
2021-05-10,296.42,296.42,282.32,282.66,27170
2021-05-11,277.47,281.905,276.4,280.25,37622
2021-05-12,277.25,277.58,271.65,271.89,14548
2021-05-13,273.4,273.4,262.81,262.81,28904
2021-05-14,262.86,272.56,261.77,268.33,13420
2021-05-17,263.93,268.89,263.93,268.4,13732
2021-05-18,267.46,277.23,267.46,272.87,36648
2021-05-19,269.13,274.67,268.11,274.53,24777
2021-05-20,277.15,279.97,275.555,276.44,26238
2021-05-21,278.41,280.97,276.9,279.54,21152
2021-05-24,282.79,282.97,279.68,279.81,12804
2021-05-25,281.915,284.915,281.83,283.985,18326
2021-05-26,282.19,284.93,277.22,282.07,25284
2021-05-27,281.89,286.95,279.28,285.99,21226
2021-05-28,289.15,292.795,284.35,284.52,23053
2021-06-01,282.97,283.32,279.17,279.86,23740
2021-06-02,283.0,283.0,276.21,280.52,31546
2021-06-03,279.3,284.5,278.5,283.94,40396
2021-06-04,286.67,292.94,284.93,289.84,32959
2021-06-07,288.445,298.71,288.445,291.0,21149
2021-06-08,293.79,293.81,284.63,289.225,16764
