date,open,high,low,close,volume
2020-07-27,29.14,29.14,28.38,28.67,102110
2020-07-28,28.97,29.08,28.59,28.61,35824
2020-07-29,28.87,29.43,28.47,29.34,62891
2020-07-30,28.53,30.23,28.53,29.63,129907
2020-07-31,29.63,29.63,28.52,29.21,88584
2020-08-03,29.28,29.63,28.94,29.44,76953
2020-08-04,29.47,29.47,28.79,28.86,68726
2020-08-05,29.03,29.54,29.0,29.31,70625
2020-08-06,29.21,29.76,29.09,29.76,58468
2020-08-07,29.69,30.94,29.62,30.92,145122
2020-08-10,31.06,31.55,30.83,31.12,175166
2020-08-11,31.83,31.99,31.1,31.23,95253
2020-08-12,31.46,31.57,30.88,31.0,46827
2020-08-13,30.7,31.1,30.7,30.8,21517
2020-08-14,30.44,30.95,30.43,30.66,63249
2020-08-17,30.37,30.61,29.93,30.16,37832
2020-08-18,30.19,30.29,29.91,30.03,19272
2020-08-19,29.92,30.41,29.79,29.89,33268
2020-08-20,29.65,30.08,29.46,29.88,36836
2020-08-21,29.66,29.72,29.34,29.39,19203
2020-08-24,29.48,30.41,29.4,30.41,21756
2020-08-25,30.46,30.47,29.83,29.93,18161
2020-08-26,29.59,30.02,29.52,29.84,46164
2020-08-27,30.15,31.21,30.15,30.79,63159
2020-08-28,30.7,30.74,30.06,30.7,44763
2020-08-31,30.34,30.36,29.92,30.02,19310
2020-09-01,29.83,30.13,29.83,30.05,26601
2020-09-02,29.92,30.66,29.92,30.59,45011
2020-09-03,31.02,31.36,30.42,30.55,33879
2020-09-04,30.87,31.21,29.95,30.29,50607
2020-09-08,29.86,29.86,28.98,29.49,58018
2020-09-09,29.82,30.3,29.53,30.03,55677
2020-09-10,29.93,30.16,29.57,29.65,22468
2020-09-11,29.77,29.77,28.99,29.21,37588
2020-09-14,29.44,29.8,29.25,29.53,40370
2020-09-15,29.72,29.72,28.71,28.8,131626
2020-09-16,28.98,29.58,28.97,29.13,23629
2020-09-17,28.53,29.06,28.35,28.92,72558
2020-09-18,28.92,28.94,27.88,28.05,47401
2020-09-21,27.25,27.56,26.61,27.48,73492
2020-09-22,27.65,28.25,27.33,27.59,52243
2020-09-23,27.52,27.91,26.56,26.58,48327
2020-09-24,26.28,27.07,26.09,26.78,89105
2020-09-25,26.4,27.11,26.4,27.06,49038
2020-09-28,27.74,28.26,27.56,27.83,35810
2020-09-29,27.7,27.75,27.11,27.47,46316
2020-09-30,27.72,28.26,27.6,27.82,53118
2020-10-01,27.86,28.24,27.74,27.97,35094
2020-10-02,27.62,28.46,27.6,28.27,37136
2020-10-05,28.58,29.18,28.52,29.12,112331
2020-10-06,29.36,29.42,28.56,28.68,37213
2020-10-07,29.01,29.16,28.63,28.78,51031
2020-10-08,29.03,29.96,29.02,29.96,88725
2020-10-09,30.18,30.43,29.96,30.01,119210
2020-10-12,29.6,30.28,29.53,30.17,130002
2020-10-13,29.93,30.12,29.23,29.34,90110
2020-10-14,29.1,29.65,28.92,28.96,68697
2020-10-15,28.63,29.43,28.63,29.37,49401
2020-10-16,29.46,29.63,29.0,29.31,58277
2020-10-19,29.37,29.37,28.42,28.46,65110
2020-10-20,28.9,29.15,28.53,28.8,81902
2020-10-21,28.98,29.51,28.84,29.37,136880
2020-10-22,29.39,30.23,29.16,30.12,156090
2020-10-23,30.33,30.56,29.97,30.22,37881
2020-10-26,29.79,29.79,28.88,28.99,45368
2020-10-27,28.92,29.0,27.73,27.76,72948
2020-10-28,27.42,28.2,27.29,28.03,133402
2020-10-29,28.04,29.23,27.86,28.98,190851
2020-10-30,29.39,30.52,28.37,28.73,242362
2020-11-02,29.45,30.04,29.15,29.81,144259
2020-11-03,30.47,30.75,29.99,30.35,134459
2020-11-04,29.51,30.96,29.48,30.4,207978
2020-11-05,30.6,31.23,30.15,30.36,133170
2020-11-06,30.5,30.68,29.67,29.99,94325
2020-11-09,32.65,33.16,32.29,32.74,157630
2020-11-10,32.65,33.73,32.58,33.5,95321
2020-11-11,33.54,33.54,32.59,33.02,109425
2020-11-12,32.92,32.92,31.74,32.07,101468
2020-11-13,32.22,32.72,32.17,32.5,72926
2020-11-16,33.65,33.65,33.12,33.57,125324
2020-11-17,32.89,33.53,32.56,33.52,77500
2020-11-18,33.46,33.78,33.18,33.19,91478
2020-11-19,32.94,33.24,32.34,33.15,166309
2020-11-20,32.81,33.07,32.08,32.31,164329
2020-11-23,32.34,32.64,32.09,32.33,181611
2020-11-24,32.85,33.11,32.23,32.84,242363
2020-11-25,32.29,32.3,31.69,31.91,109577
2020-11-27,31.83,31.83,31.08,31.34,44514
2020-11-30,30.85,31.27,30.34,30.61,203059
2020-12-01,31.42,31.5,30.62,31.4,277604
2020-12-02,31.55,31.65,30.91,31.49,67060
2020-12-03,31.28,31.47,30.78,30.97,94914
2020-12-04,31.29,32.55,31.29,32.5,72186
2020-12-07,32.43,32.43,31.44,31.58,210564
2020-12-08,31.42,31.89,31.42,31.54,80220
2020-12-09,31.76,31.96,30.61,31.92,229180
2020-12-10,31.81,32.65,31.7,32.59,132385
2020-12-11,32.36,32.92,32.04,32.08,64312
2020-12-14,32.42,32.62,31.67,31.95,246902
2020-12-15,32.21,33.21,32.05,33.21,52495
2020-12-16,33.18,33.83,33.14,33.66,115569
2020-12-17,33.8,34.01,33.59,33.81,179946
2020-12-18,33.98,34.26,32.62,32.76,189336
2020-12-21,32.54,32.85,32.06,32.68,85172
2020-12-22,32.45,32.96,32.39,32.89,73417
2020-12-23,33.28,33.76,33.26,33.38,105199
2020-12-24,33.03,33.21,32.78,33.14,49136
2020-12-28,33.23,33.76,33.23,33.61,41376
2020-12-29,33.68,34.06,33.42,33.58,56515
2020-12-30,33.31,33.88,33.31,33.8,43677
2020-12-31,33.61,34.35,33.61,34.32,53716
2021-01-04,34.45,34.45,32.95,33.21,74494
2021-01-05,33.5,33.55,32.82,33.31,42314
2021-01-06,34.08,35.34,33.99,34.76,116265
2021-01-07,34.96,35.11,34.19,34.48,88552
2021-01-08,34.59,34.71,33.94,34.7,85228
2021-01-11,34.62,34.75,34.05,34.4,79028
2021-01-12,34.28,34.73,34.16,34.63,97143
2021-01-13,34.77,34.88,33.85,33.89,86262
2021-01-14,33.63,33.77,33.35,33.5,59427
2021-01-15,33.33,33.33,32.64,32.93,213322
2021-01-19,33.34,33.4,32.49,32.49,132007
2021-01-20,32.22,32.99,32.18,32.91,159231
2021-01-21,32.93,33.49,32.48,32.69,128216
2021-01-22,32.01,32.23,31.34,31.69,135140
2021-01-25,31.28,31.79,31.13,31.64,139250
2021-01-26,31.86,32.15,31.21,31.29,217858
2021-01-27,30.94,31.26,30.01,30.03,196816
2021-01-28,30.4,30.64,29.85,30.38,236946
2021-01-29,30.21,30.27,29.7,29.87,74116
2021-02-01,30.02,30.57,29.76,30.44,234818
2021-02-02,30.78,31.71,30.69,31.51,106417
2021-02-03,31.49,31.81,31.04,31.09,59295
2021-02-04,31.37,32.05,31.37,31.76,64407
2021-02-05,31.96,32.47,31.9,32.22,58524
2021-02-08,32.24,32.44,31.59,32.44,244440
2021-02-09,32.52,33.41,32.5,33.39,127623
2021-02-10,33.98,34.25,32.57,33.17,199087
2021-02-11,33.54,34.17,33.4,33.81,75665
2021-02-12,33.63,34.31,33.08,33.43,131777
2021-02-16,33.66,33.66,32.72,33.2,76723
2021-02-17,33.21,33.85,33.21,33.62,98648
2021-02-18,33.48,33.8,33.21,33.21,85398
2021-02-19,33.09,33.57,33.08,33.38,137650
2021-02-22,33.38,33.92,33.12,33.48,91461
2021-02-23,33.45,33.76,33.21,33.43,167428
2021-02-24,33.67,34.49,33.6,33.82,225005
2021-02-25,34.5,34.5,33.63,33.74,502288
2021-02-26,33.79,34.47,33.66,34.08,481769
2021-03-01,34.74,34.81,34.08,34.17,265165
2021-03-02,34.14,34.83,33.87,34.6,138607
2021-03-03,34.77,35.21,34.23,34.46,127266
2021-03-04,34.5,34.63,33.7,33.95,155576
2021-03-05,34.25,34.7,33.37,34.57,126059
2021-03-08,34.78,35.76,34.71,35.4,147543
2021-03-09,35.25,35.5,34.57,34.95,121678
2021-03-10,35.01,35.65,34.86,35.3,97080
2021-03-11,35.12,35.3,34.95,35.17,86983
2021-03-12,35.23,35.81,35.23,35.78,63974
2021-03-15,35.73,36.16,35.44,36.16,40900
2021-03-16,35.99,36.05,35.69,36.0,75732
2021-03-17,35.95,36.03,35.41,35.75,68720
2021-03-18,35.8,36.5,35.64,35.79,112884
2021-03-19,35.64,35.64,34.89,35.08,80272
2021-03-22,34.72,35.08,34.52,34.88,48548
2021-03-23,34.72,35.11,34.72,34.99,76661
2021-03-24,35.31,35.91,35.31,35.42,75199
2021-03-25,35.38,36.37,35.04,36.35,63830
2021-03-26,36.5,36.89,36.31,36.89,77498
2021-03-29,36.91,37.17,36.54,36.97,58264
2021-03-30,37.12,37.28,36.65,37.2,136166
2021-03-31,37.35,37.35,36.48,36.52,85478
2021-04-01,36.5,37.51,36.31,37.51,104306
2021-04-05,37.52,38.0,37.49,37.66,83578
2021-04-06,37.66,38.03,37.28,37.96,88945
2021-04-07,37.98,38.3,37.69,38.27,48348
2021-04-08,37.98,38.22,37.69,38.06,89785
2021-04-09,38.57,38.58,37.79,38.1,53001
2021-04-12,38.39,38.39,37.8,38.05,39110
2021-04-13,37.67,37.93,37.6,37.89,35207
2021-04-14,37.76,38.45,37.76,38.13,33352
2021-04-15,38.17,38.44,38.09,38.34,47337
2021-04-16,38.51,38.64,37.92,38.1,43289
2021-04-19,38.49,38.49,37.68,37.73,47292
2021-04-20,37.53,37.72,37.12,37.34,52478
2021-04-21,37.57,37.9,37.34,37.89,31697
2021-04-22,37.7,37.9,37.61,37.7,53092
2021-04-23,37.86,38.16,37.83,38.01,17990
2021-04-26,37.98,38.44,37.98,38.17,54619
2021-04-27,38.46,38.58,38.18,38.58,71541
2021-04-28,38.87,39.15,37.4,37.54,83653
2021-04-29,37.49,38.24,37.49,38.15,74690
2021-04-30,38.21,38.26,37.7,37.73,41551
2021-05-03,38.2,38.44,38.04,38.13,67491
2021-05-04,38.17,38.45,37.9,38.25,41389
2021-05-05,38.19,38.32,37.27,38.21,62469
2021-05-06,38.52,38.55,37.35,37.81,54999
2021-05-07,37.4,38.85,37.4,38.8,91947
2021-05-10,39.06,39.06,37.94,37.95,153832
2021-05-11,37.66,38.05,37.32,37.64,80982
2021-05-12,37.75,37.77,37.12,37.22,62900
2021-05-13,37.27,38.0,37.27,37.95,49096
2021-05-14,38.27,38.43,38.0,38.24,109790
2021-05-17,37.93,38.47,37.67,38.42,64749
2021-05-18,38.42,38.53,37.98,38.18,49241
2021-05-19,37.89,38.07,37.47,38.01,48028
2021-05-20,37.78,38.39,37.78,38.29,25882
2021-05-21,38.44,38.67,37.82,37.95,28672
2021-05-24,37.78,38.22,37.71,37.96,60553
2021-05-25,38.0,38.12,37.19,37.23,45901
2021-05-26,37.46,37.46,37.04,37.08,42469
2021-05-27,37.48,37.82,37.22,37.73,90682
2021-05-28,37.83,37.96,37.52,37.93,59869
2021-06-01,38.05,38.17,37.61,37.89,76308
2021-06-02,37.84,37.84,37.29,37.51,63981
2021-06-03,37.26,37.62,37.2,37.51,32605
2021-06-04,37.33,37.74,37.22,37.7,27193
2021-06-07,37.47,37.84,37.44,37.78,56429
2021-06-08,37.65,37.76,37.18,37.63,54469
2021-06-09,37.34,37.55,37.11,37.18,73238
2021-06-10,37.3,37.6,37.1,37.1,44024
2021-06-11,37.04,37.37,37.04,37.36,36935
2021-06-14,37.35,37.39,37.08,37.21,68179
2021-06-15,37.23,37.78,37.0,37.57,66944
2021-06-16,37.52,37.74,37.36,37.47,80719
2021-06-17,37.56,37.68,36.45,36.64,90839
2021-06-18,36.04,36.08,35.23,35.3,46692
2021-06-21,35.8,36.15,35.54,36.09,47907
2021-06-22,36.09,36.33,35.88,36.07,62753
2021-06-23,36.22,36.8,36.13,36.51,72134
2021-06-24,36.65,37.08,36.61,36.94,36876
2021-06-25,36.96,37.49,36.86,37.32,59523
2021-06-28,37.43,37.43,36.64,36.83,45355
2021-06-29,37.06,37.14,36.78,36.99,44824
2021-06-30,36.98,37.18,36.87,37.03,42905
2021-07-01,37.12,38.2,37.08,37.96,96554
2021-07-02,38.05,38.09,37.45,37.57,34776
2021-07-06,37.49,37.49,36.57,36.9,35633
2021-07-07,36.85,37.2,36.63,37.09,34217
2021-07-08,36.57,36.57,35.56,35.78,80307
2021-07-09,36.17,36.61,36.15,36.6,51998
2021-07-12,36.31,36.6,36.3,36.49,39417
2021-07-13,36.33,36.46,35.63,35.68,34756
2021-07-14,35.77,36.04,35.61,35.91,35439
2021-07-15,35.54,36.19,35.52,36.12,24540
2021-07-16,36.09,36.35,36.01,36.24,31578
2021-07-19,35.58,35.74,34.74,35.03,64496
2021-07-20,35.15,36.5,35.14,36.03,48583
2021-07-21,36.37,36.89,36.37,36.6,32175
2021-07-22,36.39,36.47,36.09,36.26,47009
2021-07-23,36.54,36.7,36.39,36.63,50936
2021-07-26,36.87,36.97,36.51,36.82,35012
2021-07-27,36.83,36.91,36.46,36.65,57625
2021-07-28,36.84,36.84,35.95,36.17,271008
2021-07-29,36.49,36.85,35.9,36.61,141208
2021-07-30,36.74,37.51,36.74,37.08,87235
2021-08-02,37.25,37.68,37.18,37.28,138741
2021-08-03,37.55,37.62,36.7,37.38,86503
2021-08-04,37.3,38.04,37.3,37.48,55155
2021-08-05,37.51,38.04,37.47,38.03,37700
2021-08-06,38.56,38.64,38.41,38.55,20145
2021-08-09,38.48,38.75,38.26,38.54,82681
2021-08-10,38.58,39.13,38.58,38.79,32657
