date,open,high,low,close,volume
2020-07-27,432.465,438.05,431.96,437.31,31400
2020-07-28,437.37,438.22,431.56,432.36,25739
2020-07-29,435.4,439.79,435.4,436.21,38759
2020-07-30,429.585,440.32,426.89,438.73,40068
2020-07-31,442.525,443.36,435.51,443.33,40982
2020-08-03,448.4,449.75,442.51,448.2,37339
2020-08-04,447.265,448.22,441.125,446.8,45523
2020-08-05,448.04,453.89,447.205,449.47,50632
2020-08-06,450.31,464.24,449.9,464.24,83776
2020-08-07,461.035,461.38,445.21,448.84,54276
2020-08-10,449.82,449.82,436.895,442.73,24249
2020-08-11,439.32,444.14,432.39,435.02,50958
2020-08-12,440.41,447.745,439.04,445.37,42118
2020-08-13,448.325,455.18,448.325,450.16,28440
2020-08-14,451.845,452.64,446.0,447.5,13568
2020-08-17,450.3,455.7,449.685,451.71,28663
2020-08-18,454.325,464.5,453.615,463.65,108851
2020-08-19,465.67,467.93,457.67,462.39,50622
2020-08-20,461.475,479.69,458.91,478.57,120068
2020-08-21,477.11,477.11,470.835,473.42,40714
2020-08-24,478.3,480.0,470.0,476.375,75358
2020-08-25,476.29,484.6,474.69,484.38,55877
2020-08-26,496.485,533.435,492.75,528.74,222070
2020-08-27,519.23,519.955,504.87,510.5,139386
2020-08-28,513.93,518.24,511.285,516.67,75380
2020-08-31,514.915,515.48,507.865,513.92,61491
2020-09-01,515.205,528.32,515.205,528.17,64803
2020-09-02,533.81,536.0,522.27,534.075,61520
2020-09-03,525.075,525.075,494.55,507.805,143234
2020-09-04,501.89,510.44,471.975,492.2,129359
2020-09-08,472.54,481.165,461.2,462.0,120935
2020-09-09,473.69,483.38,463.295,479.21,104012
2020-09-10,492.27,501.155,473.83,475.97,89486
2020-09-11,487.04,489.28,465.13,471.57,100780
2020-09-14,484.54,489.79,477.17,485.97,74993
2020-09-15,492.63,499.64,491.93,497.535,141166
2020-09-16,500.11,501.795,475.52,475.56,182359
2020-09-17,465.57,474.98,460.63,473.99,189362
2020-09-18,478.08,478.2,452.75,467.52,120813
2020-09-21,460.63,475.68,457.91,475.68,62563
2020-09-22,478.97,487.04,470.42,486.69,92415
2020-09-23,486.505,487.85,469.0,470.01,50970
2020-09-24,467.58,471.3,460.64,467.68,69225
2020-09-25,468.64,481.5,466.145,479.46,73790
2020-09-28,488.12,489.08,481.46,487.89,62496
2020-09-29,488.965,492.99,484.535,489.54,49582
2020-09-30,487.9,497.09,486.255,490.66,64458
2020-10-01,497.49,501.35,496.04,499.56,144763
2020-10-02,487.99,496.7,478.66,478.66,142526
2020-10-05,482.63,486.56,479.16,486.305,114900
2020-10-06,485.755,491.25,477.53,479.7,52903
2020-10-07,484.35,493.88,483.93,493.38,97192
2020-10-08,498.87,498.97,487.67,490.87,116432
2020-10-09,492.45,502.1,491.56,502.1,123413
2020-10-12,508.82,515.9,500.07,510.81,236218
2020-10-13,512.98,519.33,512.11,514.45,190315
2020-10-14,516.09,516.09,501.88,506.22,96184
2020-10-15,499.52,502.41,491.85,501.475,111055
2020-10-16,504.99,510.22,500.7,502.78,108376
2020-10-19,507.6,507.6,493.71,494.91,105943
2020-10-20,495.26,499.75,492.01,494.67,83239
2020-10-21,492.53,499.53,490.94,495.745,83128
2020-10-22,496.5,496.5,479.62,483.47,188008
2020-10-23,486.79,488.34,479.64,488.26,85980
2020-10-26,481.83,488.15,470.3,474.9,145111
2020-10-27,479.77,481.6,474.05,478.475,114860
2020-10-28,469.45,470.97,456.11,456.54,150946
2020-10-29,459.205,464.65,457.32,461.4,109733
2020-10-30,458.585,458.75,442.71,447.37,182233
2020-11-02,450.75,455.55,439.255,444.79,152751
2020-11-03,447.24,457.33,445.69,453.91,103608
2020-11-04,477.58,494.91,474.47,486.63,300193
2020-11-05,499.5,502.53,489.8,496.98,131463
2020-11-06,497.45,497.45,483.365,494.55,89898
2020-11-09,495.8,497.0,470.91,470.95,222998
2020-11-10,465.705,468.0,446.02,452.07,337484
2020-11-11,458.9,469.99,457.62,467.55,112834
2020-11-12,473.02,474.7,461.21,462.03,115313
2020-11-13,467.37,470.53,459.62,469.25,129131
2020-11-16,459.53,468.91,458.415,460.78,123196
2020-11-17,462.09,469.89,460.55,468.665,109398
2020-11-18,467.15,467.15,459.26,459.64,165259
2020-11-19,461.5,470.97,459.63,466.47,85706
2020-11-20,465.04,469.99,462.55,462.55,92481
2020-11-23,464.35,466.9,456.49,460.565,89950
2020-11-24,461.81,463.81,457.045,462.55,143919
2020-11-25,465.705,472.46,465.04,469.81,86264
2020-11-27,477.19,482.3,474.86,476.75,95439
2020-11-30,480.23,480.86,469.75,478.43,100289
2020-12-01,481.195,481.4,471.86,479.11,137956
2020-12-02,475.465,481.28,470.33,481.28,125210
2020-12-03,481.83,492.57,481.72,483.92,126824
2020-12-04,485.71,491.38,484.675,485.99,129063
2020-12-07,487.365,499.06,487.365,492.38,264938
2020-12-08,492.5,495.925,486.41,495.42,93716
2020-12-09,495.69,496.62,479.445,483.82,170730
2020-12-10,483.74,488.14,471.085,476.91,235640
