date,open,high,low,close,volume
2020-07-27,102.29,105.01,102.24,104.81,88297
2020-07-28,103.85,104.89,103.12,104.41,133498
2020-07-29,105.08,106.53,104.68,106.35,129832
2020-07-30,104.17,105.46,103.31,105.12,103081
2020-07-31,105.25,105.25,102.64,103.91,89995
2020-08-03,104.6,105.65,104.4,105.42,141373
2020-08-04,105.08,106.69,105.07,105.94,84847
2020-08-05,105.55,105.55,104.0,105.09,180431
2020-08-06,104.66,105.98,104.14,105.6,50045
2020-08-07,105.21,106.12,104.55,105.17,38944
2020-08-10,105.25,106.09,104.53,105.63,32630
2020-08-11,105.91,108.05,105.26,105.46,183473
2020-08-12,105.66,108.18,105.66,107.74,122236
2020-08-13,106.99,107.79,106.41,106.84,106986
2020-08-14,106.97,107.69,105.98,105.99,71576
2020-08-17,106.84,107.13,106.09,106.21,90490
2020-08-18,106.97,107.36,106.12,106.7,224699
2020-08-19,107.15,107.95,106.34,106.92,173630
2020-08-20,106.53,107.17,105.54,106.29,106377
2020-08-21,105.48,105.67,104.78,105.15,108406
2020-08-24,105.97,106.35,105.17,106.02,148328
2020-08-25,106.42,108.57,106.23,108.55,181403
2020-08-26,108.43,109.7,107.69,108.98,135116
2020-08-27,109.89,110.0,107.3,108.26,46283
2020-08-28,108.37,108.74,107.59,108.71,39230
2020-08-31,107.88,107.88,106.39,106.53,79826
2020-09-01,106.67,108.09,106.46,108.0,69072
2020-09-02,108.24,111.4,108.19,110.78,193967
2020-09-03,110.14,110.29,106.23,106.66,273016
2020-09-04,106.58,107.52,104.18,107.0,97794
2020-09-08,104.04,105.53,102.65,102.74,137913
2020-09-09,104.18,105.38,103.98,105.04,108948
2020-09-10,105.39,106.23,103.45,104.18,71333
2020-09-11,104.68,105.28,102.37,103.49,110495
2020-09-14,105.2,105.2,103.43,104.22,57382
2020-09-15,105.38,106.38,104.73,105.58,89311
2020-09-16,106.18,107.06,105.02,105.07,114435
2020-09-17,102.58,105.09,102.5,105.04,83700
2020-09-18,105.05,105.25,103.99,104.41,103811
2020-09-21,103.24,103.69,101.8,103.69,126461
2020-09-22,103.66,104.35,102.72,104.33,54898
2020-09-23,104.45,105.15,102.04,102.27,246627
2020-09-24,101.86,103.92,101.51,102.43,59687
2020-09-25,101.5,103.31,100.66,103.19,66842
2020-09-28,104.82,106.44,104.43,106.42,55562
2020-09-29,105.91,107.25,105.75,106.16,80159
2020-09-30,106.13,107.54,105.75,106.17,114343
2020-10-01,108.15,108.78,106.75,108.17,179210
2020-10-02,105.93,107.16,103.71,103.71,124983
2020-10-05,104.76,106.13,104.56,106.06,1017051
2020-10-06,105.43,108.15,104.62,105.25,206928
2020-10-07,106.25,108.21,106.07,107.89,250609
2020-10-08,108.79,110.14,108.53,109.54,322841
2020-10-09,110.97,113.14,110.93,112.23,374366
2020-10-12,113.39,114.87,112.87,114.66,209498
2020-10-13,114.98,114.98,112.18,112.28,127830
2020-10-14,112.32,112.8,111.44,111.87,97502
2020-10-15,110.54,113.28,110.01,112.84,136668
2020-10-16,113.29,114.41,112.36,112.45,180004
2020-10-19,113.35,113.9,111.25,111.49,118438
2020-10-20,112.3,113.24,111.41,112.37,162496
2020-10-21,112.58,114.42,111.9,113.46,227248
2020-10-22,113.46,113.55,111.8,113.42,118813
2020-10-23,113.7,113.98,112.29,112.81,139721
2020-10-26,112.33,112.34,109.0,110.28,172549
2020-10-27,110.45,111.13,109.38,109.38,166884
2020-10-28,108.29,108.29,105.72,105.88,295166
2020-10-29,105.74,108.61,105.22,107.76,216325
2020-10-30,106.66,107.81,105.81,107.8,196032
2020-11-02,109.06,109.06,107.01,107.67,151706
2020-11-03,108.72,110.33,108.49,108.95,587905
2020-11-04,111.18,114.92,110.15,114.49,267725
2020-11-05,116.02,119.07,115.43,118.65,246358
2020-11-06,118.57,121.66,118.23,121.4,321846
2020-11-09,125.51,127.65,123.42,123.47,425015
2020-11-10,122.94,124.47,121.78,122.53,414831
2020-11-11,123.34,126.05,123.34,124.98,194736
2020-11-12,125.02,125.23,122.25,123.1,111061
2020-11-13,123.94,125.41,123.41,123.97,196846
2020-11-16,125.67,127.4,124.47,125.52,357861
2020-11-17,124.91,125.01,122.96,123.51,188908
2020-11-18,123.94,123.94,120.98,121.27,108657
2020-11-19,119.78,123.86,119.6,123.86,122810
2020-11-20,124.14,124.47,122.53,122.56,111091
2020-11-23,123.54,124.89,122.99,124.79,233414
2020-11-24,125.17,125.38,121.03,124.54,297669
2020-11-25,124.45,125.37,122.89,123.64,103038
2020-11-27,125.05,125.94,124.96,125.22,71767
2020-11-30,125.27,126.65,124.73,126.34,158807
2020-12-01,127.17,129.06,126.48,128.02,150245
2020-12-02,127.96,128.77,127.42,127.9,120670
2020-12-03,128.38,129.18,127.37,127.73,87680
2020-12-04,127.63,131.62,127.21,131.47,169123
2020-12-07,131.63,131.63,130.22,131.3,81691
2020-12-08,130.85,133.6,130.85,133.38,160031
2020-12-09,132.61,133.58,128.73,129.66,159103
2020-12-10,128.44,130.27,128.03,129.06,154458
2020-12-11,127.93,129.77,127.46,128.91,237204
2020-12-14,129.6,131.36,129.6,129.99,155455
2020-12-15,131.71,132.46,131.1,131.58,147147
2020-12-16,131.77,131.77,129.41,130.46,91139
2020-12-17,131.04,131.39,130.39,131.33,70027
2020-12-18,131.82,132.39,131.08,132.24,122865
2020-12-21,129.81,130.85,129.17,130.27,79802
2020-12-22,130.39,132.16,130.33,131.79,107405
2020-12-23,132.08,132.93,130.85,130.85,113374
2020-12-24,131.66,131.82,130.71,131.82,31866
2020-12-28,133.76,134.6,132.01,132.21,64089
2020-12-29,132.57,132.64,130.53,131.28,58608
2020-12-30,132.51,133.88,132.51,133.59,45447
2020-12-31,134.14,134.94,133.17,134.9,56386
2021-01-04,135.55,137.49,132.13,133.41,142658
2021-01-05,133.17,135.78,133.17,135.68,69989
2021-01-06,135.55,139.01,134.94,136.41,135036
2021-01-07,138.32,142.56,138.32,142.02,113683
2021-01-08,143.34,145.92,142.38,143.26,263753
2021-01-11,142.68,145.38,141.9,144.7,159432
2021-01-12,144.18,145.51,143.0,145.5,140350
2021-01-13,145.71,147.79,144.47,144.8,217384
2021-01-14,145.66,146.91,145.58,145.69,100621
2021-01-15,144.6,145.26,142.08,144.17,90915
2021-01-19,144.75,146.97,144.61,146.66,109369
2021-01-20,147.7,148.74,145.87,146.16,89931
2021-01-21,146.9,146.95,144.16,145.38,86056
2021-01-22,144.57,145.02,142.02,142.19,207142
2021-01-25,143.54,143.54,139.3,140.62,210483
2021-01-26,140.73,142.08,138.94,141.59,144770
2021-01-27,137.98,139.6,134.15,134.54,350740
2021-01-28,137.93,138.72,135.67,136.2,285607
2021-01-29,136.06,136.58,134.01,134.38,232820
2021-02-01,135.57,139.06,134.8,138.96,125569
2021-02-02,139.77,140.69,138.0,138.69,139741
2021-02-03,139.05,139.17,134.73,134.76,208625
2021-02-04,135.0,137.62,134.35,137.49,78074
2021-02-05,138.45,138.68,135.78,135.92,86464
2021-02-08,136.83,139.92,136.16,139.92,96424
2021-02-09,139.31,140.22,138.69,139.68,61312
2021-02-10,141.04,141.33,138.5,139.91,115395
2021-02-11,141.43,145.22,141.28,145.14,134253
2021-02-12,145.0,147.44,144.33,146.83,161778
2021-02-16,148.77,149.73,146.52,146.52,179069
2021-02-17,143.56,147.78,141.74,146.03,223512
2021-02-18,143.9,145.02,142.22,144.56,179174
2021-02-19,146.77,150.18,146.55,149.63,176162
2021-02-22,147.76,149.25,144.79,145.43,152978
2021-02-23,143.27,144.94,140.2,144.09,223354
2021-02-24,142.74,147.87,141.86,147.86,143956
2021-02-25,146.17,146.93,140.65,140.86,191850
2021-02-26,143.61,144.4,139.76,143.07,163549
2021-03-01,144.19,145.62,142.34,145.53,167989
2021-03-02,145.6,145.93,141.41,141.42,170734
2021-03-03,141.2,142.08,137.4,137.4,194843
2021-03-04,136.73,136.98,130.56,132.45,226890
2021-03-05,136.49,137.25,131.59,136.57,207230
2021-03-08,135.39,137.13,132.03,132.07,285818
2021-03-09,136.56,138.55,136.05,137.08,387321
2021-03-10,138.49,138.93,134.96,134.96,175927
2021-03-11,137.94,139.56,137.66,138.68,272294
2021-03-12,135.74,137.46,135.38,137.17,177784
2021-03-15,137.11,138.6,135.77,138.59,160369
2021-03-16,139.7,141.71,139.46,140.45,149709
2021-03-17,138.01,142.04,137.68,141.46,138029
2021-03-18,138.79,140.6,137.05,137.07,222123
2021-03-19,137.62,140.52,135.55,139.44,224924
2021-03-22,141.71,143.38,140.68,141.68,129636
2021-03-23,142.17,142.17,137.39,138.08,91194
2021-03-24,139.3,141.17,137.88,137.88,181594
2021-03-25,136.14,138.4,134.47,137.49,218801
2021-03-26,137.15,144.34,137.15,144.1,223316
2021-03-29,142.47,143.12,139.51,140.98,129997
2021-03-30,139.99,140.67,139.09,139.74,108993
2021-03-31,140.98,143.16,140.98,142.32,179235
2021-04-01,144.05,147.24,144.05,147.24,152063
2021-04-05,149.17,150.32,147.6,149.93,105282
2021-04-06,148.89,149.57,146.57,148.37,126755
2021-04-07,148.26,148.46,145.56,146.26,159024
2021-04-08,147.89,148.77,146.34,148.77,121740
2021-04-09,147.09,148.55,146.98,147.85,109144
2021-04-12,147.43,147.43,146.0,146.61,90781
2021-04-13,147.5,147.66,144.71,146.02,107454
2021-04-14,145.42,147.31,144.71,145.33,78585
2021-04-15,146.7,147.99,145.94,147.51,99211
2021-04-16,147.44,147.98,146.05,146.36,119368
2021-04-19,145.18,145.72,142.85,143.83,181763
2021-04-20,142.34,143.34,140.97,141.77,110705
2021-04-21,142.49,145.24,141.58,145.15,170641
2021-04-22,144.45,144.91,142.16,142.45,108174
2021-04-23,143.37,146.76,143.37,145.81,166142
2021-04-26,145.74,148.53,145.22,147.34,143962
2021-04-27,148.03,148.49,146.38,146.48,91330
2021-04-28,145.49,145.49,142.3,143.13,144238
2021-04-29,143.89,145.04,141.29,145.04,415485
2021-04-30,142.34,143.4,139.99,140.34,250638
2021-05-03,141.26,141.4,138.27,138.77,226321
2021-05-04,137.44,139.38,136.32,139.32,245460
2021-05-05,140.73,142.38,139.72,141.19,335517
2021-05-06,141.33,143.55,140.27,142.79,365979
2021-05-07,143.87,145.27,143.28,144.27,154741
2021-05-10,143.19,144.19,138.32,138.38,231424
2021-05-11,136.03,139.49,135.67,138.47,288462
2021-05-12,135.76,136.69,133.69,134.04,258505
2021-05-13,135.75,137.0,133.62,134.46,240372
2021-05-14,135.46,138.24,134.55,137.26,202805
2021-05-17,136.11,136.49,133.82,135.87,297847
2021-05-18,137.37,137.37,133.83,133.83,221264
2021-05-19,132.43,140.6,132.28,140.59,442659
2021-05-20,142.47,147.88,142.47,146.28,250145
2021-05-21,146.45,147.47,145.89,146.08,157252
2021-05-24,147.71,149.51,147.6,149.04,172183
2021-05-25,150.74,151.44,149.29,150.33,138916
2021-05-26,149.95,151.47,149.24,150.35,193356
2021-05-27,150.39,152.3,150.33,150.55,115414
2021-05-28,150.85,152.55,150.32,151.73,144622
2021-06-01,151.43,153.21,149.47,150.68,164667
2021-06-02,150.92,152.25,150.64,151.56,114307
2021-06-03,150.17,150.83,148.37,149.33,101870
2021-06-04,150.67,153.07,150.67,152.49,104767
2021-06-07,151.73,152.47,151.25,151.58,76400
2021-06-08,153.28,153.28,150.44,152.02,111059
2021-06-09,152.33,153.77,151.99,153.31,133892
2021-06-10,153.76,154.63,151.76,154.2,176705
2021-06-11,153.75,154.48,153.38,154.47,94802
2021-06-14,154.59,155.18,152.78,155.18,187515
2021-06-15,154.49,155.55,153.95,154.39,74433
2021-06-16,154.84,154.93,151.58,152.91,115007
2021-06-17,152.13,154.97,152.13,153.19,99209
2021-06-18,152.13,152.13,148.78,149.42,142088
2021-06-21,150.07,151.33,149.47,151.25,128608
2021-06-22,150.59,151.23,149.72,150.8,119493
