date,open,high,low,close,volume
2020-07-27,128.25,129.44,127.41,128.72,76888
2020-07-28,129.0,130.54,128.55,129.46,73790
2020-07-29,123.2,124.55,119.58,121.19,238501
2020-07-30,118.66,118.86,116.9,117.64,115594
2020-07-31,117.88,118.79,114.69,117.41,109848
2020-08-03,117.77,119.19,116.88,118.67,101849
2020-08-04,118.59,120.79,118.59,120.68,61678
2020-08-05,120.59,122.01,118.91,119.07,52484
2020-08-06,118.78,120.94,118.78,120.58,69092
2020-08-07,121.24,122.73,120.94,121.78,79897
2020-08-10,121.89,122.51,120.52,121.98,35333
2020-08-11,122.01,123.7,120.9,122.0,122164
2020-08-12,122.49,123.79,122.49,123.3,119573
2020-08-13,123.11,124.15,122.87,122.96,99990
2020-08-14,122.41,123.76,121.92,122.72,122992
2020-08-17,123.02,124.32,123.02,123.39,56956
2020-08-18,124.03,124.35,122.78,123.65,46529
2020-08-19,123.89,124.12,122.26,122.68,63695
2020-08-20,121.44,123.14,121.34,122.82,39269
2020-08-21,122.49,122.49,121.13,122.04,43789
2020-08-24,122.38,124.16,121.76,124.14,62504
2020-08-25,124.48,126.16,123.87,124.69,91150
2020-08-26,125.31,125.31,122.84,123.3,86766
2020-08-27,124.39,125.76,123.74,124.61,81883
2020-08-28,124.48,124.91,123.13,124.88,29865
2020-08-31,124.32,124.32,122.25,122.96,45005
2020-09-01,122.53,122.53,121.36,122.37,51901
2020-09-02,121.92,126.35,121.92,125.87,108630
2020-09-03,126.17,127.31,121.76,123.02,53102
2020-09-04,123.05,125.13,121.52,122.35,42812
2020-09-08,120.89,121.76,119.17,119.99,76784
2020-09-09,120.86,122.3,119.56,121.26,56710
2020-09-10,121.19,121.52,116.78,117.43,153203
2020-09-11,118.15,118.97,116.86,118.71,104752
2020-09-14,119.98,122.03,119.85,121.47,75311
2020-09-15,121.62,122.77,121.09,121.76,105198
2020-09-16,122.57,124.54,122.41,122.52,58655
2020-09-17,119.71,122.52,119.71,122.44,40808
2020-09-18,122.61,122.61,119.11,120.19,45428
2020-09-21,118.08,118.08,114.88,116.49,80943
2020-09-22,116.85,118.51,116.14,118.15,57322
2020-09-23,117.7,118.16,114.2,114.42,33067
2020-09-24,114.3,116.79,113.24,116.31,96028
2020-09-25,115.78,119.91,115.78,119.65,143001
2020-09-28,121.28,122.75,121.08,122.09,92809
2020-09-29,122.34,123.13,121.99,122.32,68675
2020-09-30,122.77,125.34,122.69,124.04,206580
2020-10-01,125.64,125.94,121.55,122.48,272135
2020-10-02,120.8,123.89,120.16,123.4,107222
2020-10-05,123.74,126.15,123.54,125.38,143265
