date,open,high,low,close,volume
2020-07-27,235.6,239.92,233.62,239.69,31716
2020-07-28,238.475,238.83,234.23,234.63,17130
2020-07-29,238.31,239.91,236.935,238.565,18403
2020-07-30,234.955,237.5,231.91,235.825,40806
2020-07-31,237.79,237.79,231.7,235.895,58828
2020-08-03,239.535,239.98,235.94,239.35,67004
2020-08-04,240.36,240.36,236.77,239.775,32163
2020-08-05,240.37,246.29,236.16,243.36,46978
2020-08-06,244.28,244.28,239.34,243.39,20963
2020-08-07,241.62,242.32,233.2,236.23,26116
2020-08-10,236.18,236.18,227.93,231.86,67866
2020-08-11,231.26,232.76,227.97,228.18,39872
2020-08-12,230.245,233.8,230.2,231.47,43053
2020-08-13,235.88,243.1,235.88,238.14,37582
2020-08-14,238.435,239.4,233.475,234.31,13126
2020-08-17,236.88,239.315,236.88,239.04,44893
2020-08-18,242.075,246.2,241.95,242.78,106585
2020-08-19,244.045,244.68,239.57,241.49,48866
2020-08-20,239.975,250.54,239.48,249.22,61674
2020-08-21,248.31,248.805,245.99,248.185,28174
2020-08-24,250.45,252.81,249.685,251.57,42035
2020-08-25,248.89,254.195,247.03,252.09,56379
2020-08-26,248.0,253.105,237.29,248.3,126026
2020-08-27,249.89,249.89,242.12,243.46,27677
2020-08-28,245.105,249.51,245.075,247.24,21607
2020-08-31,247.57,247.57,242.85,246.285,19208
2020-09-01,245.35,253.55,245.35,253.47,87895
2020-09-02,255.52,261.86,254.24,261.43,320170
2020-09-03,256.245,256.245,239.62,242.26,241146
2020-09-04,241.11,244.435,228.83,233.835,313870
2020-09-08,225.075,230.15,224.02,224.29,52440
2020-09-09,227.61,234.88,226.055,232.71,122790
2020-09-10,234.935,238.61,227.38,228.31,170431
2020-09-11,230.11,231.07,223.65,227.59,28159
2020-09-14,230.685,232.71,228.5,229.89,139045
2020-09-15,233.72,240.02,233.72,235.78,81815
2020-09-16,236.32,237.59,230.39,230.69,53893
2020-09-17,224.13,227.23,220.47,226.84,97585
2020-09-18,227.79,228.855,219.97,225.34,61159
2020-09-21,220.52,227.68,218.635,227.68,34336
2020-09-22,230.05,230.05,225.83,229.47,35759
2020-09-23,228.05,228.93,221.215,221.89,18389
2020-09-24,220.05,223.825,216.07,221.03,50024
2020-09-25,220.59,228.64,220.01,227.81,32080
2020-09-28,232.86,234.16,229.24,232.36,16527
2020-09-29,233.17,234.18,230.74,232.99,39532
2020-09-30,232.96,236.69,229.02,231.09,87015
2020-10-01,233.225,238.45,233.17,234.08,131882
2020-10-02,229.25,230.92,223.605,225.63,64040
2020-10-05,226.87,229.94,225.37,228.94,54869
2020-10-06,229.515,231.25,226.94,228.305,27979
2020-10-07,231.545,234.12,229.83,232.98,67010
2020-10-08,236.96,237.31,232.325,234.305,85664
2020-10-09,234.69,238.12,233.465,237.39,129541
2020-10-12,242.62,246.07,239.92,241.88,193439
2020-10-13,242.83,247.71,242.39,243.78,86303
2020-10-14,245.63,250.55,244.665,246.605,120548
2020-10-15,242.6,253.87,242.6,252.02,210638
2020-10-16,253.21,261.375,253.2,259.965,142547
2020-10-19,262.25,268.335,258.59,259.97,143213
2020-10-20,261.0,262.47,257.3,257.815,108210
2020-10-21,257.795,259.61,253.15,254.13,78557
2020-10-22,254.42,255.33,247.16,253.06,83410
2020-10-23,254.05,254.535,250.12,254.4,54338
2020-10-26,251.36,254.48,246.51,249.13,86645
2020-10-27,250.995,253.55,250.39,250.61,54153
2020-10-28,246.21,246.21,236.815,237.735,121990
2020-10-29,238.15,245.65,238.11,242.82,56865
2020-10-30,240.49,241.43,233.335,235.43,96613
2020-11-02,238.75,242.56,236.265,240.46,76730
2020-11-03,243.79,250.21,242.52,248.15,53928
2020-11-04,256.08,257.535,241.63,246.015,153285
