date,open,high,low,close,volume
2020-07-27,66.74,66.79,65.99,66.42,35056
2020-07-28,66.88,67.62,66.84,66.97,20141
2020-07-29,67.45,67.45,67.05,67.41,10710
2020-07-30,66.96,67.16,66.46,66.91,31432
2020-07-31,66.81,67.46,66.37,67.46,29253
2020-08-03,66.91,66.91,65.77,66.66,70864
2020-08-04,66.58,69.3,66.51,69.14,144931
2020-08-05,68.98,69.25,67.1,67.68,63275
2020-08-06,67.58,68.44,67.24,68.19,59621
2020-08-07,67.21,69.52,67.21,69.09,53980
2020-08-10,69.27,70.58,69.13,70.03,30833
2020-08-11,70.18,70.19,68.0,68.26,60279
2020-08-12,68.6,69.77,68.11,68.94,20724
2020-08-13,68.15,68.64,67.71,68.39,44713
2020-08-14,68.6,68.83,68.19,68.27,22001
2020-08-17,68.53,69.14,68.47,68.51,25296
2020-08-18,68.64,68.7,68.05,68.2,21511
2020-08-19,68.57,68.73,68.11,68.2,19060
2020-08-20,67.89,68.35,67.47,67.66,38363
2020-08-21,67.79,68.03,66.81,67.85,34331
2020-08-24,68.26,68.35,67.49,68.29,39599
2020-08-25,68.28,68.34,66.85,66.91,27335
2020-08-26,66.5,66.5,65.31,65.97,51088
2020-08-27,66.42,66.62,65.87,66.39,17142
2020-08-28,66.18,66.34,65.67,66.12,39799
2020-08-31,66.02,66.68,65.93,66.59,20571
2020-09-01,66.2,66.2,65.3,66.01,23765
2020-09-02,65.78,67.78,65.78,67.47,60404
2020-09-03,67.83,68.19,65.95,66.52,41466
2020-09-04,66.38,66.91,65.51,66.39,29062
2020-09-08,66.3,66.32,64.84,65.48,53375
2020-09-09,65.84,67.35,65.84,66.34,51247
2020-09-10,65.87,65.87,64.66,64.76,37462
2020-09-11,64.7,64.99,64.17,64.82,44897
2020-09-14,65.1,65.79,65.06,65.19,25654
2020-09-15,65.58,66.29,65.07,65.55,65320
2020-09-16,65.65,66.69,65.54,65.9,31508
2020-09-17,65.31,65.76,64.85,65.6,27384
2020-09-18,65.4,65.94,65.08,65.11,54997
2020-09-21,64.11,65.18,63.83,64.82,36835
2020-09-22,65.67,65.95,64.83,65.18,34943
2020-09-23,65.37,65.54,63.92,63.96,33210
2020-09-24,64.11,65.22,63.7,64.87,16311
2020-09-25,64.53,66.25,64.53,66.2,26204
2020-09-28,66.56,67.1,66.12,66.34,23408
2020-09-29,66.53,67.11,66.5,66.85,20603
2020-09-30,67.27,67.57,66.47,66.96,52031
2020-10-01,67.01,67.83,66.91,67.6,76152
2020-10-02,66.95,68.25,66.88,67.54,40508
2020-10-05,67.68,68.58,66.73,68.3,74501
2020-10-06,68.3,69.4,67.55,68.84,124862
2020-10-07,68.95,69.26,67.8,68.28,55764
2020-10-08,68.54,69.17,68.31,69.16,54311
