date,open,high,low,close,volume
2020-07-27,70.44,70.44,63.94,67.18,1114991
2020-07-28,67.4,68.75,67.37,68.35,218792
2020-07-29,68.7,68.78,67.66,68.45,153393
2020-07-30,68.2,69.43,67.76,69.43,63147
2020-07-31,69.09,70.16,68.73,70.1,85857
2020-08-03,69.61,69.61,68.59,69.2,69932
2020-08-04,69.13,70.0,68.73,69.04,76492
2020-08-05,69.15,69.33,68.18,68.45,69254
2020-08-06,68.47,69.04,66.82,68.87,107987
2020-08-07,68.65,70.9,68.65,70.44,103137
2020-08-10,70.53,70.68,69.57,69.94,140065
2020-08-11,69.21,69.36,67.44,67.73,563876
2020-08-12,68.13,69.22,68.13,68.46,196341
2020-08-13,67.97,68.32,67.71,68.06,104465
2020-08-14,67.7,68.03,67.38,67.47,162269
2020-08-17,67.42,67.61,66.08,66.09,134959
2020-08-18,66.17,66.43,65.13,66.33,125522
2020-08-19,66.31,66.31,65.66,65.84,43439
2020-08-20,65.66,65.81,64.42,64.59,117344
2020-08-21,64.46,64.46,63.46,64.32,66474
2020-08-24,64.23,65.86,64.06,65.73,139878
2020-08-25,65.78,65.79,64.64,64.89,81958
2020-08-26,64.29,64.52,63.66,63.94,47404
2020-08-27,64.17,64.56,63.63,63.75,65558
2020-08-28,63.35,63.81,62.91,63.73,99194
2020-08-31,64.09,65.28,63.28,64.14,103238
2020-09-01,63.79,63.79,62.88,63.3,129634
2020-09-02,63.28,65.48,63.28,65.35,51036
2020-09-03,65.72,66.07,64.14,64.73,47145
2020-09-04,64.9,64.92,63.4,64.36,53867
2020-09-08,64.35,64.58,63.2,64.22,22139
2020-09-09,64.55,65.98,64.55,64.99,42909
2020-09-10,64.46,64.59,63.61,63.9,60773
2020-09-11,63.97,64.42,63.63,64.32,58338
2020-09-14,64.64,65.9,64.57,65.38,138649
2020-09-15,65.41,66.15,64.59,65.11,66222
2020-09-16,64.91,65.86,64.91,65.45,65281
2020-09-17,64.99,65.14,64.37,65.14,90992
2020-09-18,65.03,65.03,63.87,64.13,141462
2020-09-21,63.65,64.67,63.28,64.55,266784
2020-09-22,64.29,65.61,64.29,64.94,142936
2020-09-23,64.77,65.2,64.22,64.4,123073
2020-09-24,64.54,65.52,63.94,65.48,133752
2020-09-25,65.2,65.79,64.99,65.64,150068
2020-09-28,65.93,66.28,65.53,65.56,64015
2020-09-29,65.86,66.3,65.5,65.88,83457
2020-09-30,66.3,66.79,66.13,66.51,93570
2020-10-01,66.38,67.57,66.14,67.57,151368
2020-10-02,67.28,69.64,67.06,69.44,348142
2020-10-05,69.31,71.04,68.58,70.9,202215
2020-10-06,70.44,72.95,70.31,72.04,391590
2020-10-07,72.23,72.91,71.7,72.14,161006
2020-10-08,72.23,73.06,71.9,72.71,96248
2020-10-09,72.96,73.16,72.05,73.1,271722
2020-10-12,72.73,74.23,72.36,73.59,149715
2020-10-13,72.94,73.17,71.97,72.59,195307
2020-10-14,72.79,73.21,72.08,72.69,275351
2020-10-15,72.14,73.7,72.07,72.86,122243
2020-10-16,72.88,74.59,72.71,74.45,154736
2020-10-19,74.27,74.72,74.01,74.28,161848
2020-10-20,74.55,74.55,73.25,73.78,180035
2020-10-21,73.64,74.32,73.28,73.49,186402
2020-10-22,73.32,75.41,73.1,75.02,230691
2020-10-23,74.63,75.06,74.48,74.73,163157
2020-10-26,74.41,76.63,74.41,76.13,307484
2020-10-27,75.71,76.3,74.86,75.32,164591
2020-10-28,74.8,76.01,73.37,73.49,148901
2020-10-29,73.4,74.37,72.31,73.73,115393
2020-10-30,74.0,74.15,72.22,73.14,167155
2020-11-02,73.86,74.19,73.04,74.19,143116
2020-11-03,74.73,74.83,73.6,73.8,189223
2020-11-04,73.72,74.9,73.23,73.3,132205
2020-11-05,73.89,75.51,73.7,73.76,185418
2020-11-06,74.23,74.76,73.6,73.96,148837
2020-11-09,75.55,77.23,73.85,74.02,221642
2020-11-10,74.04,75.2,73.31,74.42,124393
2020-11-11,74.47,76.08,74.42,74.74,128837
2020-11-12,74.22,74.54,72.87,73.56,71298
2020-11-13,73.65,74.05,73.17,73.72,103333
2020-11-16,73.4,73.56,72.18,73.17,336294
2020-11-17,72.7,73.09,70.96,71.13,200858
2020-11-18,71.59,71.59,68.97,69.01,195560
2020-11-19,68.17,68.61,67.24,67.63,221237
2020-11-20,67.24,67.86,66.28,67.65,330583
2020-11-23,68.21,68.76,67.59,68.45,338844
2020-11-24,68.66,69.69,68.36,69.55,138912
2020-11-25,69.75,70.14,69.15,70.03,102342
2020-11-27,69.98,70.01,69.01,69.65,57597
2020-11-30,69.56,69.9,68.91,69.63,116434
2020-12-01,69.84,70.71,69.41,69.95,146473
2020-12-02,69.49,70.48,69.0,70.46,98997
2020-12-03,70.08,70.08,69.08,69.47,114622
2020-12-04,69.36,69.73,67.78,68.44,143940
2020-12-07,67.97,68.99,67.97,68.73,112495
2020-12-08,68.7,68.96,67.85,68.46,91140
2020-12-09,68.4,68.77,67.95,68.64,82899
2020-12-10,68.83,68.83,67.44,67.66,107871
2020-12-11,67.3,67.97,67.2,67.88,111105
2020-12-14,68.65,69.24,67.41,67.46,95532
2020-12-15,67.74,69.23,67.48,69.05,99783
2020-12-16,69.1,69.54,67.77,67.92,136663
2020-12-17,68.45,69.5,68.45,68.73,138635
2020-12-18,68.65,69.26,67.77,68.37,178716
2020-12-21,67.97,68.1,66.33,67.4,112137
2020-12-22,67.2,67.29,66.36,66.72,85924
2020-12-23,67.17,67.48,66.22,66.22,100928
2020-12-24,66.43,66.9,66.04,66.82,28431
2020-12-28,66.98,67.16,66.18,66.65,79714
2020-12-29,66.89,67.39,66.47,66.57,58523
2020-12-30,66.67,66.98,66.48,66.85,47584
2020-12-31,66.84,68.33,66.83,68.33,75314
2021-01-04,68.21,68.37,66.61,66.9,136238
2021-01-05,67.19,67.25,66.43,66.79,98807
2021-01-06,66.19,67.81,66.19,67.35,151284
2021-01-07,67.55,67.56,65.53,65.53,115972
2021-01-08,65.37,65.58,64.48,64.92,126074
2021-01-11,64.87,64.97,63.86,64.61,85450
2021-01-12,63.98,64.24,63.02,63.85,131372
2021-01-13,63.91,64.37,63.52,64.14,611084
2021-01-14,64.07,64.83,63.3,64.66,387360
2021-01-15,63.41,66.17,63.41,65.99,176684
2021-01-19,66.33,66.57,65.13,66.22,108747
2021-01-20,65.64,66.47,65.26,66.26,109824
2021-01-21,66.51,66.92,65.86,66.4,86333
2021-01-22,66.27,67.63,66.27,67.35,154429
2021-01-25,66.87,68.13,66.79,67.75,86163
2021-01-26,67.4,67.5,66.27,67.13,97636
2021-01-27,66.76,67.81,65.74,65.95,99104
2021-01-28,66.28,67.46,66.12,66.12,79551
2021-01-29,65.89,66.95,65.49,66.37,108469
2021-02-01,66.36,67.04,65.66,66.63,70351
2021-02-02,66.63,68.09,66.31,67.38,96760
2021-02-03,67.04,67.63,66.61,66.65,101994
2021-02-04,66.67,67.47,66.55,67.47,73619
2021-02-05,67.52,67.88,67.27,67.43,47629
2021-02-08,67.54,67.54,66.01,66.44,84896
2021-02-09,66.51,66.53,65.45,66.08,91803
2021-02-10,66.22,66.59,65.76,66.23,101253
2021-02-11,66.06,66.38,65.22,65.34,68336
2021-02-12,65.05,65.62,64.72,65.06,66938
2021-02-16,64.87,65.21,64.51,64.72,80665
2021-02-17,64.97,65.66,64.76,64.92,110532
2021-02-18,64.99,66.78,64.99,66.59,144982
2021-02-19,66.43,66.45,65.17,65.49,144822
2021-02-22,65.33,65.44,62.47,63.57,144445
2021-02-23,64.08,65.19,63.7,64.68,162524
2021-02-24,64.55,64.55,63.61,63.85,119661
2021-02-25,64.54,64.54,62.71,63.16,219273
2021-02-26,63.22,64.0,61.94,61.94,158254
2021-03-01,62.48,64.24,62.48,63.47,133234
2021-03-02,63.74,63.85,62.83,63.27,116512
2021-03-03,63.03,63.28,62.05,63.12,122513
2021-03-04,63.31,64.64,63.08,63.95,208437
2021-03-05,64.21,65.63,63.98,65.35,157656
2021-03-08,65.26,67.01,65.16,66.62,122144
2021-03-09,66.93,67.17,66.5,66.72,112044
2021-03-10,67.14,67.53,66.56,67.2,212518
2021-03-11,66.9,67.71,66.21,66.22,103960
2021-03-12,66.53,67.43,65.99,67.04,155349
2021-03-15,67.1,68.12,67.1,68.08,181896
2021-03-16,68.08,69.13,67.89,69.09,145659
2021-03-17,68.98,69.23,67.85,68.02,135238
2021-03-18,68.23,68.44,67.28,68.39,107480
2021-03-19,68.48,69.63,67.85,69.29,188097
2021-03-22,69.43,69.67,68.83,69.27,93300
2021-03-23,69.38,70.48,69.14,70.09,107067
2021-03-24,69.61,70.75,69.37,70.42,188823
2021-03-25,70.82,71.06,69.81,70.16,157385
2021-03-26,69.91,70.39,69.28,70.35,66184
2021-03-29,70.14,71.23,69.81,71.06,62595
2021-03-30,70.75,70.75,69.31,70.12,78265
2021-03-31,69.77,70.43,69.67,70.16,89380
2021-04-01,70.3,70.84,69.81,70.83,77501
2021-04-05,70.48,71.78,70.48,71.47,71213
2021-04-06,71.49,71.83,70.94,71.83,85253
2021-04-07,71.89,72.08,71.47,71.76,54170
2021-04-08,71.95,71.95,71.19,71.25,64073
2021-04-09,71.42,71.72,71.05,71.1,61687
2021-04-12,71.23,71.71,70.96,71.19,56180
2021-04-13,70.89,71.94,70.39,71.78,64874
2021-04-14,71.67,72.09,71.19,72.09,127749
2021-04-15,72.1,72.77,71.88,72.72,205521
2021-04-16,72.86,73.58,72.7,73.27,83160
2021-04-19,73.22,73.58,72.9,73.42,91150
2021-04-20,73.54,75.01,73.44,74.61,110476
2021-04-21,74.57,74.87,73.75,73.92,121115
2021-04-22,72.55,73.76,72.37,72.85,132327
2021-04-23,73.09,73.1,72.37,72.59,139881
2021-04-26,72.77,72.77,72.1,72.47,45499
2021-04-27,72.35,72.73,72.1,72.17,72807
2021-04-28,72.37,72.48,71.52,71.81,126498
2021-04-29,71.69,72.95,71.69,72.93,94790
2021-04-30,73.1,73.51,72.53,73.49,89755
2021-05-03,73.91,74.06,73.25,73.44,125273
2021-05-04,73.11,73.67,72.67,73.17,112432
2021-05-05,72.87,72.96,71.77,72.41,64953
2021-05-06,72.61,73.17,72.15,72.94,56340
2021-05-07,72.75,73.49,72.56,72.75,82274
2021-05-10,73.02,73.67,72.89,73.09,130767
2021-05-11,73.14,73.54,71.66,72.13,171240
2021-05-12,72.13,72.28,70.86,70.94,107318
2021-05-13,71.01,72.71,70.82,72.2,113332
2021-05-14,72.38,73.0,72.35,72.44,97383
2021-05-17,72.13,72.49,71.16,71.34,162235
2021-05-18,71.68,71.83,71.09,71.62,129437
2021-05-19,71.42,71.86,70.77,71.72,116095
2021-05-20,71.54,72.59,71.54,71.97,77960
2021-05-21,72.18,72.48,71.97,72.34,107551
2021-05-24,72.6,72.68,72.17,72.25,72877
2021-05-25,72.42,72.42,71.47,71.74,129994
2021-05-26,71.84,71.93,71.44,71.59,88837
2021-05-27,71.72,71.76,71.36,71.44,99689
2021-05-28,71.85,72.13,71.63,71.83,92481
2021-06-01,72.01,72.01,70.95,71.06,60230
2021-06-02,71.23,71.74,70.94,71.51,61620
