date,open,high,low,close,volume
2020-07-27,31.83,31.84,31.34,31.66,31773
2020-07-28,31.55,31.79,31.37,31.5,45231
2020-07-29,31.51,31.79,31.02,31.72,112085
2020-07-30,30.94,30.99,30.37,30.66,156004
2020-07-31,30.49,30.96,30.46,30.9,40073
2020-08-03,30.84,31.09,30.63,30.7,65412
2020-08-04,30.65,30.87,30.43,30.46,58615
2020-08-05,30.73,31.26,30.73,30.89,62573
2020-08-06,30.79,31.18,30.56,30.76,86776
2020-08-07,30.61,31.76,30.51,31.72,68768
2020-08-10,31.92,32.7,31.92,32.55,99326
2020-08-11,33.25,33.57,32.92,33.04,138943
2020-08-12,33.6,33.66,32.44,32.69,147040
2020-08-13,32.32,32.77,32.16,32.77,66571
2020-08-14,32.56,33.19,32.48,33.08,64721
2020-08-17,32.96,33.04,32.42,32.55,39356
2020-08-18,32.88,33.01,32.45,32.5,56830
2020-08-19,32.37,32.73,32.25,32.41,98094
2020-08-20,31.91,32.31,31.91,32.1,106465
2020-08-21,32.03,32.34,31.81,31.88,180202
2020-08-24,31.95,32.75,31.92,32.71,69904
2020-08-25,33.05,33.15,32.34,32.46,66481
2020-08-26,32.24,32.24,31.85,31.91,46738
2020-08-27,31.94,32.61,31.94,32.28,36765
2020-08-28,32.45,32.56,32.12,32.49,44080
2020-08-31,32.47,32.47,31.75,31.83,71661
2020-09-01,31.49,32.46,31.44,32.13,68266
2020-09-02,32.2,32.77,31.97,32.32,73123
2020-09-03,32.76,33.5,32.09,32.34,53882
2020-09-04,32.94,33.31,32.26,33.12,79925
2020-09-08,33.22,33.24,32.23,32.34,106132
2020-09-09,32.65,32.82,32.37,32.39,54209
2020-09-10,32.55,32.85,31.68,31.73,96608
2020-09-11,31.63,32.2,31.53,31.85,68377
2020-09-14,32.21,32.78,32.04,32.46,107067
2020-09-15,32.43,32.5,31.99,32.13,38711
2020-09-16,32.1,33.03,32.07,32.55,86996
2020-09-17,32.19,32.94,32.03,32.94,94402
2020-09-18,32.92,33.6,32.82,33.06,119637
2020-09-21,32.33,32.73,31.46,31.88,98169
2020-09-22,31.71,32.3,31.5,31.83,84306
2020-09-23,31.96,32.34,31.18,31.19,44426
2020-09-24,31.13,31.7,30.58,31.19,42705
2020-09-25,30.87,31.45,30.84,31.27,129883
2020-09-28,31.77,32.32,31.75,31.78,91991
2020-09-29,31.64,31.77,31.16,31.54,67987
2020-09-30,31.54,32.21,31.54,31.87,69149
2020-10-01,31.88,32.12,31.47,31.85,138905
2020-10-02,31.45,32.51,31.42,32.3,135873
2020-10-05,32.6,33.01,32.58,32.76,113188
2020-10-06,33.05,33.65,32.59,32.75,131361
2020-10-07,33.08,33.59,32.95,33.19,179205
2020-10-08,33.46,33.78,33.21,33.47,100683
2020-10-09,33.65,33.73,33.22,33.35,102631
2020-10-12,33.33,33.88,33.31,33.62,48954
2020-10-13,33.49,33.52,32.47,32.59,97671
2020-10-14,32.54,32.97,32.36,32.37,88822
2020-10-15,31.96,32.72,31.93,32.59,145587
2020-10-16,32.76,33.02,32.37,32.56,216030
2020-10-19,32.64,32.79,31.89,31.92,137538
2020-10-20,32.27,32.59,32.14,32.31,111156
2020-10-21,32.14,32.4,32.01,32.09,81181
2020-10-22,32.07,32.84,31.78,32.83,109748
2020-10-23,33.14,33.28,32.83,33.12,70759
2020-10-26,32.63,32.73,31.81,32.16,109389
2020-10-27,32.08,32.09,31.0,31.0,143602
2020-10-28,31.03,31.69,29.77,29.84,473598
2020-10-29,29.91,30.27,29.4,29.96,268625
2020-10-30,29.79,30.07,29.2,29.71,213932
2020-11-02,30.27,31.2,29.98,31.09,182576
2020-11-03,31.75,31.98,31.52,31.75,146339
2020-11-04,31.14,32.55,30.89,32.01,204611
2020-11-05,32.13,32.84,32.03,32.56,172356
2020-11-06,32.51,32.93,32.09,32.29,116247
2020-11-09,35.14,36.95,34.98,36.31,382687
2020-11-10,36.27,37.02,36.02,36.58,218577
2020-11-11,36.62,36.62,35.6,35.73,157964
2020-11-12,35.25,35.68,34.79,35.28,191052
2020-11-13,35.65,36.6,35.62,36.35,129464
2020-11-16,37.37,37.83,36.98,37.83,204405
2020-11-17,37.4,38.2,37.22,37.88,177517
2020-11-18,37.97,38.73,37.77,37.79,295752
2020-11-19,37.52,38.52,37.49,38.52,191991
2020-11-20,38.33,38.74,38.16,38.63,168347
2020-11-23,39.07,39.51,38.94,39.13,159423
2020-11-24,39.91,40.9,39.42,40.64,196618
2020-11-25,40.0,40.34,39.7,40.17,158070
2020-11-27,39.78,40.62,39.78,39.88,57507
2020-11-30,39.55,39.78,38.68,38.73,121617
2020-12-01,39.52,39.74,39.18,39.42,76969
2020-12-02,39.15,40.12,39.15,39.92,207032
2020-12-03,39.76,40.29,39.76,40.22,107903
2020-12-04,40.08,40.82,40.08,40.81,220893
2020-12-07,40.47,40.51,39.69,39.79,67296
2020-12-08,39.48,40.13,39.33,39.86,74461
2020-12-09,40.08,40.21,39.62,39.77,90233
2020-12-10,39.28,40.08,39.28,39.97,73793
2020-12-11,39.51,39.7,39.23,39.5,77288
2020-12-14,39.96,40.01,38.92,38.95,136590
2020-12-15,39.27,39.71,38.93,39.52,78581
2020-12-16,39.55,39.84,39.24,39.38,116721
2020-12-17,39.44,39.62,39.21,39.48,69894
2020-12-18,39.48,39.77,38.36,38.71,136231
2020-12-21,38.6,38.6,37.66,38.4,62994
2020-12-22,38.39,38.48,37.89,37.9,77267
2020-12-23,38.22,38.66,38.2,38.34,61392
2020-12-24,38.44,38.7,38.22,38.64,51006
2020-12-28,38.81,39.4,38.69,38.72,43238
2020-12-29,38.96,39.02,38.5,38.55,89520
2020-12-30,38.74,39.18,38.73,38.76,54633
2020-12-31,38.69,39.32,38.68,39.18,80468
2021-01-04,39.3,39.3,37.91,38.05,91062
2021-01-05,38.08,38.49,37.86,38.11,66939
2021-01-06,38.67,39.82,38.64,39.58,103765
2021-01-07,39.81,39.81,39.16,39.34,62235
2021-01-08,39.61,39.61,38.52,39.19,140931
2021-01-11,39.05,39.47,39.05,39.2,69019
2021-01-12,40.32,40.99,40.13,40.71,368668
2021-01-13,40.44,40.98,40.27,40.64,73870
2021-01-14,40.8,41.4,40.7,41.29,82015
2021-01-15,40.99,41.24,40.57,40.95,78760
2021-01-19,41.17,41.69,41.12,41.44,65303
2021-01-20,41.32,41.58,41.22,41.47,75439
2021-01-21,41.44,41.45,40.82,40.82,82254
2021-01-22,40.36,41.05,40.34,40.94,91850
2021-01-25,40.33,41.05,40.3,41.03,106604
2021-01-26,41.22,41.38,40.88,40.9,119959
2021-01-27,40.28,40.58,39.43,39.76,120386
2021-01-28,40.19,40.97,40.19,40.64,183893
2021-01-29,40.33,40.42,39.46,39.8,156227
2021-02-01,39.99,40.43,39.53,40.2,83615
2021-02-02,40.74,41.12,40.56,40.81,99534
2021-02-03,40.48,40.59,40.12,40.44,128727
2021-02-04,40.77,41.08,40.11,40.31,208356
2021-02-05,40.43,40.43,39.6,40.06,165115
2021-02-08,40.27,40.94,40.19,40.82,287431
2021-02-09,40.76,41.03,40.46,40.72,152227
2021-02-10,40.82,41.27,40.65,41.11,181815
2021-02-11,41.18,41.47,40.93,41.31,104223
2021-02-12,41.21,41.7,40.92,41.34,81643
2021-02-16,41.36,41.72,41.13,41.13,109213
2021-02-17,40.98,41.82,40.98,41.74,119574
2021-02-18,41.52,42.29,41.52,41.94,177712
2021-02-19,42.23,43.03,42.19,42.66,127676
2021-02-22,42.63,44.09,42.59,43.65,131084
2021-02-23,44.19,44.19,43.26,43.72,117799
2021-02-24,43.74,44.35,43.73,44.28,169606
2021-02-25,44.43,44.48,43.16,43.17,143556
2021-02-26,43.03,43.41,42.4,42.48,179709
2021-03-01,43.21,43.6,43.07,43.22,118700
2021-03-02,43.18,43.64,43.15,43.15,83295
2021-03-03,43.25,43.86,43.16,43.42,177426
2021-03-04,43.42,43.58,42.32,42.93,136721
2021-03-05,43.5,44.44,43.14,44.31,180092
2021-03-08,44.49,45.97,44.49,45.04,245878
2021-03-09,44.69,45.4,44.25,44.55,123131
2021-03-10,44.54,45.23,44.47,45.07,107338
