date,open,high,low,close,volume
2020-07-27,27.08,27.08,26.49,26.87,95995
2020-07-28,26.65,27.2,26.47,26.93,222231
2020-07-29,26.95,28.65,26.93,28.4,493133
2020-07-30,27.6,27.77,27.05,27.65,260139
2020-07-31,27.62,27.97,27.34,27.97,145727
2020-08-03,28.1,28.44,27.89,27.95,175541
2020-08-04,27.03,27.22,25.65,25.86,542029
2020-08-05,26.13,26.56,25.99,26.29,187988
2020-08-06,26.23,26.87,25.48,25.52,255673
2020-08-07,25.24,26.68,25.22,26.67,207233
2020-08-10,26.97,27.54,26.97,27.37,193133
2020-08-11,28.24,28.57,27.63,27.84,184666
2020-08-12,28.33,28.37,26.64,26.94,149642
2020-08-13,26.6,26.86,26.23,26.72,486076
2020-08-14,26.39,27.33,26.39,26.96,160063
2020-08-17,26.85,26.85,25.98,26.07,97219
2020-08-18,26.1,26.26,25.66,25.71,250361
2020-08-19,25.69,26.1,25.57,25.98,82107
2020-08-20,25.45,25.77,25.31,25.38,111378
2020-08-21,25.3,25.45,24.58,24.59,135363
2020-08-24,24.84,25.73,24.62,25.68,106548
2020-08-25,26.04,26.26,25.46,25.69,203419
2020-08-26,25.54,25.62,25.01,25.3,226341
2020-08-27,25.31,26.1,25.31,25.83,89859
2020-08-28,26.13,26.14,25.45,25.56,102037
2020-08-31,25.47,25.49,24.99,25.38,236022
2020-09-01,25.09,25.54,24.96,25.38,182707
2020-09-02,25.46,25.98,25.0,25.95,293422
2020-09-03,26.27,26.92,25.44,25.58,121943
2020-09-04,26.09,26.29,25.46,25.91,127496
2020-09-08,25.64,25.64,24.87,25.12,488076
2020-09-09,25.35,25.45,24.74,25.34,214621
2020-09-10,25.48,25.71,24.41,24.58,362053
2020-09-11,24.49,25.02,24.47,24.71,85218
2020-09-14,24.99,25.74,24.9,25.62,110356
2020-09-15,25.61,25.93,25.17,25.19,207579
2020-09-16,25.33,26.44,25.16,26.2,556612
2020-09-17,25.58,25.9,25.18,25.24,413734
2020-09-18,25.27,25.5,24.57,24.61,241370
2020-09-21,23.73,24.1,23.34,23.73,127383
2020-09-22,23.66,24.39,23.62,24.04,563444
2020-09-23,24.13,24.73,23.23,23.27,252470
2020-09-24,22.96,23.83,22.5,23.29,218956
2020-09-25,23.02,23.88,23.02,23.83,453211
2020-09-28,24.35,24.67,24.13,24.31,201030
2020-09-29,24.19,24.31,23.73,24.0,165724
2020-09-30,24.15,24.58,23.98,24.27,165711
2020-10-01,24.34,24.64,24.03,24.38,270295
2020-10-02,23.92,25.06,23.84,24.84,230294
2020-10-05,25.27,25.89,25.27,25.56,191704
2020-10-06,25.8,26.38,25.45,25.5,533353
2020-10-07,25.79,26.1,25.48,26.0,238489
2020-10-08,26.18,26.81,25.83,26.63,206905
2020-10-09,26.78,26.9,26.18,26.36,329521
2020-10-12,26.24,26.84,26.2,26.82,246836
2020-10-13,26.56,26.56,25.96,26.23,354717
