date,open,high,low,close,volume
2020-07-27,95.74,95.82,94.47,95.24,10669
2020-07-28,95.4,95.98,95.11,95.52,15668
2020-07-29,96.26,97.19,95.24,96.8,10366
2020-07-30,95.21,95.64,93.96,94.84,16136
2020-07-31,94.83,96.69,94.83,96.62,22279
2020-08-03,96.72,97.58,96.25,96.69,30541
2020-08-04,96.49,97.25,96.02,96.58,19412
2020-08-05,105.18,112.39,105.18,110.32,65681
2020-08-06,109.87,109.92,106.35,107.04,14168
2020-08-07,106.92,110.21,106.7,110.2,19716
2020-08-10,110.97,112.22,110.35,111.92,12636
2020-08-11,113.31,114.99,112.17,112.61,25347
2020-08-12,114.84,115.61,111.41,112.24,17553
2020-08-13,111.51,112.47,111.34,112.1,7435
2020-08-14,111.58,113.41,111.58,112.62,7383
2020-08-17,112.78,112.99,111.62,112.24,12835
2020-08-18,112.17,112.92,111.21,111.21,30057
2020-08-19,111.51,112.69,111.33,111.33,9078
2020-08-20,110.4,111.18,109.94,110.0,10353
2020-08-21,109.89,109.89,108.64,108.64,2577
2020-08-24,109.68,111.6,109.68,111.29,7084
2020-08-25,111.03,111.19,110.62,110.69,8608
2020-08-26,110.01,110.32,108.87,109.79,16645
2020-08-27,109.85,112.64,109.85,111.42,9020
2020-08-28,112.26,112.45,111.01,111.21,12538
2020-08-31,111.16,111.16,109.4,110.3,14404
2020-09-01,109.36,111.44,109.36,111.42,21357
2020-09-02,111.41,113.37,111.23,112.29,9555
2020-09-03,113.43,114.6,109.81,110.51,15637
2020-09-04,112.41,112.41,109.63,111.12,10729
2020-09-08,110.44,110.6,108.74,108.97,7889
2020-09-09,110.4,111.46,109.35,109.94,17324
2020-09-10,109.83,110.4,107.07,107.33,10143
2020-09-11,107.93,108.35,107.2,107.55,5851
2020-09-14,108.69,109.72,108.18,108.41,6881
2020-09-15,108.42,108.58,106.27,106.34,7466
2020-09-16,107.07,108.28,106.41,106.51,9007
2020-09-17,105.38,108.45,105.38,108.13,14481
2020-09-18,108.73,109.69,108.59,108.88,11808
2020-09-21,106.79,109.58,106.79,108.81,18716
2020-09-22,109.22,110.45,109.01,109.59,13659
2020-09-23,110.81,111.4,107.24,107.42,30610
2020-09-24,107.09,108.21,105.54,106.74,11341
2020-09-25,105.99,106.99,105.57,106.67,18499
2020-09-28,108.76,109.63,107.85,108.76,4040
2020-09-29,108.62,109.51,107.35,109.38,7770
2020-09-30,110.3,111.66,109.49,109.96,19197
2020-10-01,110.75,111.03,108.78,110.94,29522
2020-10-02,109.46,112.58,109.46,111.82,22562
2020-10-05,113.78,113.93,112.45,113.54,14292
2020-10-06,114.06,114.06,110.85,111.62,30491
2020-10-07,112.76,112.9,110.85,112.14,31879
2020-10-08,112.69,113.87,112.29,113.83,34232
2020-10-09,115.02,115.02,113.6,113.71,23696
2020-10-12,113.24,114.98,113.24,114.5,16915
2020-10-13,114.11,114.5,110.72,111.04,16303
2020-10-14,111.42,113.06,110.76,111.06,27762
2020-10-15,110.03,111.97,108.35,111.52,30770
2020-10-16,111.42,113.23,111.08,111.82,24319
2020-10-19,111.98,112.53,110.03,110.38,22457
2020-10-20,111.13,112.08,110.96,111.25,16222
2020-10-21,111.24,112.19,111.22,111.47,28404
2020-10-22,110.73,113.15,110.73,112.97,18860
2020-10-23,113.9,114.97,112.67,114.01,30881
2020-10-26,112.23,112.23,110.15,111.51,10352
2020-10-27,111.2,111.32,109.29,109.31,15421
2020-10-28,108.0,112.12,107.76,110.59,24531
2020-10-29,109.97,114.08,108.81,113.59,20318
2020-10-30,113.39,113.94,111.66,112.78,27237
2020-11-02,113.66,117.88,113.65,117.5,54953
2020-11-03,118.52,118.52,113.07,114.32,76517
2020-11-04,113.04,117.75,112.99,114.07,33407
2020-11-05,113.92,115.84,113.71,115.38,15969
2020-11-06,116.02,117.08,114.78,115.07,12347
2020-11-09,120.93,123.54,118.45,119.54,42253
2020-11-10,120.76,121.43,119.59,121.34,46831
2020-11-11,121.89,121.89,118.44,118.85,20413
2020-11-12,118.28,119.25,117.28,118.53,11779
2020-11-13,119.42,121.22,119.42,120.89,36143
2020-11-16,124.16,124.59,122.57,124.23,28464
2020-11-17,123.25,125.65,122.07,125.49,30472
2020-11-18,125.85,126.36,122.78,122.78,18673
2020-11-19,121.23,122.27,120.8,122.09,9340
2020-11-20,121.16,122.39,120.97,121.38,24019
2020-11-23,122.69,123.03,121.98,122.6,29799
2020-11-24,122.93,123.94,122.55,123.35,37944
2020-11-25,122.34,123.09,121.56,122.8,21401
2020-11-27,122.62,122.85,121.54,121.69,7749
2020-11-30,121.44,121.71,117.51,117.51,21634
2020-12-01,119.35,120.62,119.35,119.52,33066
2020-12-02,118.51,119.91,118.51,119.77,17435
2020-12-03,119.67,120.8,119.67,120.11,21278
2020-12-04,120.92,121.22,120.0,120.78,12972
2020-12-07,119.41,120.11,118.96,119.53,33859
2020-12-08,119.6,120.89,119.35,120.09,21603
2020-12-09,120.4,120.54,119.28,119.55,17411
2020-12-10,119.2,120.89,119.08,120.62,14789
2020-12-11,120.08,121.18,119.84,120.34,10234
2020-12-14,122.19,122.19,119.82,119.82,8544
2020-12-15,120.63,121.84,120.0,120.49,28784
2020-12-16,121.08,122.68,121.08,122.3,13587
2020-12-17,122.83,123.0,120.41,120.49,14555
2020-12-18,120.66,121.53,118.58,119.53,23722
2020-12-21,119.8,119.8,117.59,119.27,14254
2020-12-22,119.57,120.39,119.31,119.71,15448
2020-12-23,120.63,121.37,120.0,120.53,18013
2020-12-24,120.69,120.69,120.01,120.5,2718
2020-12-28,120.73,121.86,120.73,121.45,8037
2020-12-29,121.15,121.31,120.22,120.69,11877
2020-12-30,122.04,122.41,121.61,122.11,7892
2020-12-31,121.96,124.11,121.96,124.04,10561
2021-01-04,124.24,124.24,119.4,120.21,20321
2021-01-05,120.73,121.26,119.25,120.21,13413
2021-01-06,122.11,126.3,122.11,125.48,37124
2021-01-07,126.37,128.1,125.93,126.97,22655
2021-01-08,126.57,126.85,124.27,126.17,11361
2021-01-11,125.39,126.36,124.97,125.39,8740
2021-01-12,126.56,128.6,126.56,128.58,24461
2021-01-13,127.46,128.73,127.24,127.78,22522
2021-01-14,127.86,128.48,126.32,126.5,19559
2021-01-15,125.8,127.57,125.2,127.56,16979
2021-01-19,128.27,130.44,127.81,130.1,13371
2021-01-20,130.05,130.56,129.25,129.28,17200
2021-01-21,129.3,129.51,125.08,125.43,16670
2021-01-22,124.77,124.8,122.72,122.87,24835
2021-01-25,122.01,122.76,120.6,120.69,26488
2021-01-26,120.95,120.95,117.67,118.78,26243
2021-01-27,117.32,119.37,116.57,119.0,44974
2021-01-28,120.08,122.65,119.97,121.49,24983
2021-01-29,120.98,123.78,120.98,123.19,28585
2021-02-01,123.78,123.78,118.56,122.46,34638
2021-02-02,123.36,123.36,121.45,121.48,26107
2021-02-03,121.49,121.49,119.91,121.31,18374
2021-02-04,122.57,123.66,119.4,120.01,53174
2021-02-05,121.06,122.49,119.76,122.25,46631
2021-02-08,122.52,123.56,122.21,123.17,20368
2021-02-09,123.31,123.77,121.61,123.67,25317
2021-02-10,122.87,122.87,116.86,116.89,115643
2021-02-11,117.28,119.4,115.42,118.77,55215
2021-02-12,117.83,118.21,115.38,116.65,33381
2021-02-16,117.33,117.33,114.21,114.65,39886
2021-02-17,114.57,115.11,113.78,114.29,59026
2021-02-18,114.3,114.3,111.5,111.66,34885
2021-02-19,112.16,113.35,111.44,112.84,40547
2021-02-22,112.7,116.23,111.98,116.02,38815
2021-02-23,116.45,117.49,115.48,116.86,29021
2021-02-24,118.05,119.03,117.29,117.29,22747
2021-02-25,117.29,117.63,114.41,114.58,20275
