date,open,high,low,close,volume
2020-07-27,94.29,94.98,93.83,94.55,40949
2020-07-28,93.73,93.98,91.8,91.87,45257
2020-07-29,91.77,92.15,91.36,91.55,24335
2020-07-30,90.27,91.2,88.97,90.92,62262
2020-07-31,91.32,92.76,90.03,92.66,53460
2020-08-03,93.52,94.06,92.42,93.67,36481
2020-08-04,92.18,92.73,91.66,92.72,53553
2020-08-05,93.53,94.17,93.03,93.68,58368
2020-08-06,92.97,93.5,91.57,92.49,50185
2020-08-07,92.21,93.3,91.97,93.3,34953
2020-08-10,93.63,95.45,93.53,95.3,18589
2020-08-11,96.93,98.89,96.77,97.05,48622
2020-08-12,97.58,97.58,96.55,97.18,10108
2020-08-13,96.46,97.58,95.45,95.71,14664
2020-08-14,95.29,95.62,94.27,94.59,16284
2020-08-17,94.77,95.91,94.77,95.3,35693
2020-08-18,95.39,95.68,93.64,93.81,23686
2020-08-19,93.62,94.4,92.85,93.93,24737
2020-08-20,93.38,93.38,92.18,92.62,20184
2020-08-21,93.06,93.72,92.84,93.49,22959
2020-08-24,94.11,95.94,93.84,95.94,32735
2020-08-25,96.33,96.33,93.95,95.23,26420
2020-08-26,94.72,95.93,94.58,95.42,18187
2020-08-27,95.74,96.82,95.6,96.27,32186
2020-08-28,96.51,97.72,95.79,96.96,47135
2020-08-31,96.64,97.23,96.3,96.39,41002
2020-09-01,94.46,95.44,94.45,95.16,31373
2020-09-02,95.55,98.27,95.34,97.78,22660
2020-09-03,97.97,97.97,93.4,93.67,17674
2020-09-04,94.54,95.04,92.48,93.0,27422
2020-09-08,91.95,92.46,90.87,91.35,41401
2020-09-09,92.61,92.97,91.96,92.04,11071
2020-09-10,92.38,92.49,90.26,90.54,19577
2020-09-11,91.22,92.15,90.77,91.36,47033
2020-09-14,92.49,92.62,91.5,92.51,20401
2020-09-15,93.32,94.62,92.75,94.38,50718
2020-09-16,94.82,98.32,94.62,97.13,44065
2020-09-17,95.3,98.5,95.3,97.27,72023
2020-09-18,97.78,98.78,96.18,96.57,86257
2020-09-21,94.56,94.56,89.53,91.48,23815
2020-09-22,92.2,92.23,90.09,91.81,49822
2020-09-23,92.42,92.78,89.01,89.25,29475
2020-09-24,88.87,90.34,88.14,89.4,100499
2020-09-25,89.44,91.64,88.7,90.99,28480
2020-09-28,92.15,94.2,92.15,92.75,12843
2020-09-29,93.07,93.99,92.2,92.84,40666
2020-09-30,93.24,95.06,91.62,92.53,57633
2020-10-01,93.12,95.1,91.85,92.15,61993
2020-10-02,91.05,93.21,90.21,92.45,79026
2020-10-05,93.99,94.63,93.29,94.2,79416
2020-10-06,94.62,95.99,94.26,94.34,56541
2020-10-07,95.18,95.73,94.22,95.01,99000
2020-10-08,95.57,97.05,95.51,97.0,64302
2020-10-09,97.92,98.53,97.19,97.28,25689
