date,open,high,low,close,volume
2020-07-27,40.37,40.67,39.95,40.63,93990
2020-07-28,40.69,40.99,40.14,40.27,29104
2020-07-29,40.33,40.33,39.6,39.92,43594
2020-07-30,39.43,39.47,38.47,38.92,55914
2020-07-31,38.83,38.83,37.79,38.66,85140
2020-08-03,39.0,39.77,38.83,39.24,62925
2020-08-04,39.58,40.39,39.47,40.24,42181
2020-08-05,40.54,40.84,40.12,40.18,30972
2020-08-06,40.61,40.74,40.05,40.61,56639
2020-08-07,40.16,40.76,40.16,40.65,34967
2020-08-10,41.01,41.85,40.71,41.74,39751
2020-08-11,42.02,42.42,41.46,41.65,74106
2020-08-12,42.06,42.19,41.78,42.06,36252
2020-08-13,41.72,42.3,41.7,42.08,38879
2020-08-14,41.95,42.42,41.85,42.13,32711
2020-08-17,42.36,42.75,42.27,42.53,22103
2020-08-18,42.79,43.19,41.31,41.66,54869
2020-08-19,42.75,43.54,42.19,42.45,47110
2020-08-20,42.25,42.45,41.93,42.42,36067
2020-08-21,42.1,42.3,41.66,41.81,25773
2020-08-24,41.95,42.0,40.82,40.84,59999
2020-08-25,40.97,40.97,40.16,40.84,43461
2020-08-26,40.76,41.21,40.56,41.1,56636
2020-08-27,41.59,41.8,41.44,41.59,18943
2020-08-28,41.7,42.28,41.5,42.28,8553
2020-08-31,42.06,42.08,41.48,41.63,22303
2020-09-01,41.29,42.25,41.18,42.25,34147
2020-09-02,42.08,43.41,41.85,43.41,45858
2020-09-03,42.91,42.91,41.62,42.06,33637
2020-09-04,42.44,42.49,41.26,41.87,57190
2020-09-08,41.35,41.64,40.75,40.92,23183
2020-09-09,41.28,42.1,41.28,41.79,17497
2020-09-10,42.08,43.1,41.98,42.21,158064
2020-09-11,42.32,42.4,41.68,41.98,21706
2020-09-14,42.04,42.76,41.96,42.32,48666
2020-09-15,42.76,43.1,42.46,42.55,28762
2020-09-16,42.66,43.04,42.42,42.49,46090
2020-09-17,41.77,43.08,41.51,43.03,69565
2020-09-18,43.14,43.22,42.59,42.74,70987
2020-09-21,41.75,42.27,41.3,41.79,37855
2020-09-22,41.89,42.27,41.62,41.91,13686
2020-09-23,41.49,41.64,40.12,40.23,27554
2020-09-24,39.93,40.73,39.63,40.16,38824
2020-09-25,39.82,41.2,39.8,41.11,25831
2020-09-28,41.51,41.68,41.34,41.39,39033
2020-09-29,41.11,41.7,40.92,41.18,17696
2020-09-30,41.91,42.19,41.56,41.96,18229
2020-10-01,42.3,42.51,41.54,41.83,23620
2020-10-02,41.28,42.46,41.22,41.87,33002
2020-10-05,42.15,42.74,42.02,42.21,41267
2020-10-06,42.23,42.78,41.77,41.81,58816
2020-10-07,42.21,43.2,42.21,42.63,32138
2020-10-08,42.65,43.04,42.51,43.04,37542
2020-10-09,43.56,43.8,43.14,43.31,15456
2020-10-12,43.41,43.67,43.16,43.37,17059
2020-10-13,42.95,43.54,42.95,43.31,19904
2020-10-14,43.44,43.65,43.22,43.27,14813
2020-10-15,42.87,43.56,42.72,43.54,13099
2020-10-16,43.75,43.99,43.56,43.65,14802
2020-10-19,43.67,43.78,42.8,42.85,16535
2020-10-20,42.91,43.14,42.44,42.51,34833
2020-10-21,42.53,42.8,42.04,42.08,23284
2020-10-22,41.77,41.94,41.28,41.89,25900
2020-10-23,41.85,41.87,41.34,41.62,21095
2020-10-26,41.09,41.09,40.04,40.37,31773
2020-10-27,40.41,40.48,39.78,40.12,53158
2020-10-28,39.3,39.68,38.96,39.28,27889
2020-10-29,39.36,40.08,39.21,39.87,24276
2020-10-30,39.8,40.03,39.17,39.61,49440
2020-11-02,40.25,41.35,40.25,41.15,40559
2020-11-03,41.7,42.49,41.54,42.27,17118
2020-11-04,42.23,42.49,41.54,42.11,29980
2020-11-05,42.47,44.11,42.3,43.71,24082
2020-11-06,44.54,45.27,43.27,43.71,41077
2020-11-09,45.95,47.07,45.3,45.65,39993
2020-11-10,44.66,45.1,44.28,45.06,38525
2020-11-11,45.27,45.78,44.79,45.3,59618
2020-11-12,44.51,45.0,43.2,43.86,57571
2020-11-13,43.94,44.94,43.9,44.75,34593
2020-11-16,45.44,46.44,45.38,46.12,35248
2020-11-17,45.38,45.74,44.98,45.27,30818
2020-11-18,45.36,45.55,44.92,44.92,59874
2020-11-19,44.81,45.36,44.43,45.28,26022
2020-11-20,45.47,45.65,45.13,45.32,17410
2020-11-23,45.26,45.26,44.18,44.37,39815
2020-11-24,44.26,45.33,44.14,45.29,42062
2020-11-25,44.26,44.76,44.22,44.43,42514
2020-11-27,44.26,44.41,43.68,44.03,15965
2020-11-30,43.84,43.89,43.09,43.45,28156
2020-12-01,43.95,44.49,43.86,44.2,18924
2020-12-02,44.14,44.49,43.88,44.01,31348
2020-12-03,44.09,44.41,43.72,43.88,23304
2020-12-04,44.07,44.55,44.05,44.24,23425
2020-12-07,44.01,44.03,43.17,43.55,25969
2020-12-08,43.49,44.45,43.4,44.24,45462
2020-12-09,44.3,44.66,44.16,44.57,41617
2020-12-10,44.53,44.66,44.05,44.22,27810
2020-12-11,43.72,44.03,43.38,43.84,32567
2020-12-14,44.35,44.35,43.26,43.28,25546
2020-12-15,43.88,44.6,43.88,44.24,27089
2020-12-16,44.35,44.45,43.68,43.7,24522
2020-12-17,44.22,44.32,43.74,44.3,33837
2020-12-18,44.34,44.85,44.09,44.74,28368
2020-12-21,43.99,44.09,42.82,43.99,28381
2020-12-22,44.14,44.51,44.07,44.16,18724
2020-12-23,44.45,44.7,44.22,44.35,6630
2020-12-24,44.6,44.72,44.26,44.68,3207
2020-12-28,44.95,45.1,44.43,44.45,7733
2020-12-29,44.72,44.81,44.24,44.49,7058
2020-12-30,44.72,45.16,44.72,45.06,13004
2020-12-31,45.33,45.33,44.66,45.1,11709
2021-01-04,44.87,45.1,43.55,43.61,41025
2021-01-05,43.68,44.28,43.57,43.93,54992
2021-01-06,44.18,45.52,44.16,45.06,39595
2021-01-07,44.95,45.12,44.43,44.74,63399
2021-01-08,44.6,44.85,43.55,44.12,20115
2021-01-11,43.74,44.43,43.74,44.24,9921
2021-01-12,44.07,44.81,43.82,44.6,19028
2021-01-13,44.34,44.41,43.55,43.82,33365
2021-01-14,43.76,44.14,43.49,43.66,14039
2021-01-15,43.36,43.36,42.38,42.4,38811
2021-01-19,42.74,42.74,41.94,42.0,26025
2021-01-20,42.03,43.26,41.9,43.13,25144
2021-01-21,42.8,43.42,42.48,43.11,65810
2021-01-22,42.57,43.05,41.96,42.55,86525
