date,open,high,low,close,volume
2020-07-27,69.31,71.61,67.84,68.945,953701
2020-07-28,67.87,69.78,67.06,67.72,558994
2020-07-29,75.44,77.18,73.9,76.095,1836834
2020-07-30,75.3,78.94,75.11,78.16,599713
2020-07-31,78.63,78.95,75.42,77.39,550818
2020-08-03,78.2,78.48,77.15,77.685,523086
2020-08-04,78.06,85.76,78.04,85.0,1347195
2020-08-05,85.035,86.3,83.45,85.31,628943
2020-08-06,85.46,86.97,84.785,86.7,367982
2020-08-07,86.665,87.275,82.7,84.825,526138
2020-08-10,84.87,84.87,79.435,82.21,326098
2020-08-11,80.46,80.485,76.16,76.89,477469
2020-08-12,78.47,82.86,77.735,82.69,400562
2020-08-13,82.98,83.99,81.57,81.83,204567
2020-08-14,81.8,83.23,80.905,81.26,210162
2020-08-17,82.05,83.035,81.565,82.385,191482
2020-08-18,82.82,82.82,81.07,81.65,109130
2020-08-19,81.835,81.835,80.48,81.105,186170
2020-08-20,79.545,82.835,79.21,82.8,318101
2020-08-21,83.38,84.31,82.25,83.81,323245
2020-08-24,84.53,85.25,82.565,83.09,397329
2020-08-25,83.27,86.6,82.405,86.38,181471
2020-08-26,87.08,87.69,85.22,86.015,164691
2020-08-27,86.28,86.36,82.955,83.74,245903
2020-08-28,84.335,86.025,84.33,85.55,151298
2020-08-31,85.31,92.58,85.31,90.975,529673
2020-09-01,91.985,92.44,90.265,92.2,398779
2020-09-02,94.175,94.25,88.795,90.295,404663
2020-09-03,87.39,88.39,81.625,82.53,698677
2020-09-04,81.38,84.34,76.43,82.06,793738
2020-09-08,78.04,81.83,78.01,78.635,530477
2020-09-09,81.375,82.415,79.35,81.89,253642
2020-09-10,83.155,83.155,78.44,79.01,239763
2020-09-11,79.945,79.945,75.115,76.335,379390
2020-09-14,76.7,78.815,76.34,77.89,332577
2020-09-15,77.73,80.305,76.005,78.96,791196
2020-09-16,79.39,79.555,76.55,76.63,348861
2020-09-17,74.82,76.625,74.2,76.5,264509
2020-09-18,77.02,77.33,73.94,74.95,241574
2020-09-21,74.2,77.95,74.07,77.95,308010
2020-09-22,78.28,78.75,75.28,77.705,296281
2020-09-23,77.43,77.8,74.36,74.705,163982
2020-09-24,74.17,77.235,73.94,75.76,256716
2020-09-25,76.225,78.185,74.675,78.03,296196
2020-09-28,79.08,79.55,77.555,79.415,411498
2020-09-29,79.4,82.52,79.4,81.785,684190
2020-09-30,81.84,82.935,80.765,82.1,261827
2020-10-01,83.08,85.245,82.875,84.85,1030451
2020-10-02,82.65,84.635,81.67,81.84,925644
2020-10-05,82.55,86.28,82.55,86.15,909951
2020-10-06,86.2,87.24,83.56,84.51,789047
2020-10-07,86.11,87.78,85.66,86.76,795807
2020-10-08,88.12,88.7,85.97,86.54,989062
2020-10-09,84.725,85.75,82.35,83.12,1945480
2020-10-12,83.72,85.13,83.15,84.325,946479
2020-10-13,85.02,86.085,83.98,85.27,906377
2020-10-14,85.79,85.96,83.49,84.17,805183
2020-10-15,83.34,84.685,82.45,83.13,702028
2020-10-16,83.765,83.97,82.43,83.21,697889
2020-10-19,83.66,84.625,81.53,81.935,813495
2020-10-20,82.12,82.67,80.6,81.66,1211649
2020-10-21,81.71,81.9,79.235,79.275,989932
2020-10-22,79.625,80.78,78.44,79.425,819012
2020-10-23,80.9,81.99,79.36,81.96,1230591
2020-10-26,82.61,84.92,80.86,82.17,1167448
2020-10-27,82.0,82.36,77.59,78.895,5823957
2020-10-28,78.73,78.94,75.765,76.36,2441922
2020-10-29,76.755,79.17,76.32,77.985,1413619
2020-10-30,77.14,77.68,74.24,75.26,1455370
2020-11-02,75.73,76.29,73.77,74.65,1126412
2020-11-03,74.87,77.08,74.6,76.59,1150962
2020-11-04,80.14,81.82,79.02,81.28,1572977
