date,open,high,low,close,volume
2020-07-27,140.4,142.41,138.37,142.08,22253
2020-07-28,141.3,141.7,140.01,140.14,38659
2020-07-29,140.05,142.64,138.17,142.64,30894
2020-07-30,137.34,139.0,135.33,138.1,48810
2020-07-31,138.24,140.22,137.24,139.53,29642
2020-08-03,138.77,142.09,138.74,141.6,55161
2020-08-04,140.5,140.51,137.89,139.4,29762
2020-08-05,140.99,142.6,140.99,141.92,49161
2020-08-06,141.45,142.07,140.19,141.66,19300
2020-08-07,141.2,146.24,140.54,146.09,28998
2020-08-10,147.15,148.22,146.63,146.96,15103
2020-08-11,150.12,151.54,148.59,148.66,25815
2020-08-12,149.43,149.57,145.58,147.39,16277
2020-08-13,146.04,147.16,145.26,145.42,14642
2020-08-14,145.62,147.17,145.59,146.12,14873
2020-08-17,145.8,145.99,144.34,144.35,6079
2020-08-18,144.5,144.5,142.99,143.14,14987
2020-08-19,143.38,146.35,143.37,143.54,21451
2020-08-20,142.0,143.9,141.92,142.12,16377
2020-08-21,141.94,143.31,140.98,141.4,18299
2020-08-24,142.34,144.26,142.33,144.26,38090
2020-08-25,145.78,146.1,143.5,143.52,13487
2020-08-26,143.16,143.42,141.79,142.47,10725
2020-08-27,142.96,146.51,142.96,145.52,7206
2020-08-28,145.43,145.83,143.56,145.08,15252
2020-08-31,144.59,145.05,143.52,143.52,30103
2020-09-01,141.26,143.9,141.05,143.36,16070
2020-09-02,143.2,146.87,143.04,146.11,17846
2020-09-03,148.02,149.24,141.73,143.15,17597
2020-09-04,145.96,146.38,140.58,143.16,23214
2020-09-08,139.57,139.87,136.3,136.51,16777
2020-09-09,138.02,138.46,135.78,137.23,25393
2020-09-10,138.64,139.27,136.62,137.32,34949
2020-09-11,137.76,139.78,137.4,139.15,20169
2020-09-14,140.63,143.36,140.63,142.73,27047
2020-09-15,142.52,142.52,140.3,140.86,65797
2020-09-16,140.95,145.95,140.95,144.02,11816
2020-09-17,140.82,143.96,140.65,143.53,10131
2020-09-18,143.15,145.94,142.65,144.16,19670
2020-09-21,140.52,141.66,135.08,137.49,42894
2020-09-22,139.18,139.18,134.68,136.03,13535
2020-09-23,136.62,137.96,132.85,132.93,13121
2020-09-24,132.89,134.35,130.4,132.25,8814
2020-09-25,130.46,135.35,130.46,134.16,15417
2020-09-28,137.18,139.59,135.27,138.51,17342
2020-09-29,137.43,138.59,135.59,137.74,16637
2020-09-30,139.03,142.88,139.03,141.27,41867
2020-10-01,141.81,143.44,140.3,142.04,37421
2020-10-02,141.4,146.95,140.31,145.27,30193
2020-10-05,147.43,149.41,147.38,148.8,37484
2020-10-06,150.07,151.32,145.88,146.06,17997
2020-10-07,148.75,151.42,148.75,151.01,17204
2020-10-08,152.26,154.91,152.26,154.89,16041
2020-10-09,155.44,156.56,154.69,155.86,23546
2020-10-12,155.75,158.04,155.58,157.41,12558
2020-10-13,156.84,157.04,152.12,152.54,22528
2020-10-14,154.12,154.16,152.39,152.67,29461
2020-10-15,150.87,156.92,150.87,156.31,27544
2020-10-16,156.72,156.92,154.55,155.5,27565
2020-10-19,156.88,157.9,154.28,154.51,16089
2020-10-20,155.56,156.48,153.37,153.78,39487
2020-10-21,154.96,155.44,152.52,152.52,16262
2020-10-22,152.73,156.12,152.03,155.53,16384
2020-10-23,156.58,157.33,155.35,155.66,16619
2020-10-26,153.11,153.11,149.99,151.48,14032
2020-10-27,150.72,150.72,148.25,148.76,18858
2020-10-28,146.26,147.36,143.42,145.03,33392
2020-10-29,147.27,148.75,142.72,147.59,41163
2020-10-30,147.04,147.61,144.5,146.9,46710
2020-11-02,150.07,151.33,148.74,150.5,23081
2020-11-03,152.25,155.46,152.18,153.28,18036
2020-11-04,150.36,158.17,148.56,153.96,31930
2020-11-05,156.85,159.51,156.4,157.98,22725
2020-11-06,158.64,158.64,155.38,156.36,15809
2020-11-09,171.23,172.02,168.11,168.18,61183
2020-11-10,166.6,169.71,164.82,168.59,37330
2020-11-11,170.07,170.07,165.71,166.73,22291
2020-11-12,164.84,166.04,161.65,163.18,19658
2020-11-13,165.8,170.79,165.8,170.13,41623
2020-11-16,173.06,173.44,170.34,171.24,19004
2020-11-17,169.31,170.25,167.29,169.5,39310
2020-11-18,170.05,173.13,168.65,168.65,18112
2020-11-19,167.71,169.33,166.47,168.69,18391
2020-11-20,167.94,167.94,165.5,165.5,19724
2020-11-23,167.46,169.46,166.93,169.11,14713
2020-11-24,171.76,177.67,171.42,177.34,19484
2020-11-25,176.19,176.36,173.88,175.15,28401
2020-11-27,174.91,176.17,174.24,175.6,13868
2020-11-30,173.68,174.79,170.13,170.45,50830
2020-12-01,174.36,175.51,173.13,175.0,45698
2020-12-02,174.83,178.37,174.19,177.97,32138
2020-12-03,178.38,180.79,178.38,179.17,26731
2020-12-04,180.12,182.22,179.82,180.67,17365
2020-12-07,179.63,179.63,177.2,179.08,57564
2020-12-08,176.4,178.14,176.4,177.13,22562
2020-12-09,178.83,180.71,176.64,178.0,21518
2020-12-10,175.57,177.62,175.16,177.36,31965
2020-12-11,174.53,176.63,174.35,176.27,37789
2020-12-14,178.24,178.38,175.69,175.72,33969
2020-12-15,177.26,177.53,174.59,175.52,38960
2020-12-16,177.03,177.03,173.78,174.5,42397
2020-12-17,175.04,175.23,173.38,174.77,28226
2020-12-18,174.37,174.97,170.8,172.0,65887
2020-12-21,171.17,172.77,168.52,171.76,45441
2020-12-22,172.12,172.72,169.71,170.21,37936
2020-12-23,171.42,174.47,171.42,173.56,20198
2020-12-24,173.64,174.56,172.1,174.1,10600
2020-12-28,175.44,177.08,174.82,174.94,15594
2020-12-29,175.59,175.59,173.91,173.93,20429
2020-12-30,174.41,177.1,173.93,175.95,16357
2020-12-31,175.86,179.01,175.86,178.92,11566
2021-01-04,179.87,179.87,171.16,173.02,37821
2021-01-05,172.78,174.22,170.97,171.95,31207
2021-01-06,176.17,183.91,175.96,181.89,39665
2021-01-07,183.55,185.94,183.55,184.15,24912
2021-01-08,184.47,185.47,182.76,185.46,42989
2021-01-11,183.55,185.75,183.5,185.49,24850
2021-01-12,186.84,189.61,185.58,188.47,57525
2021-01-13,187.63,188.5,185.55,186.85,22529
2021-01-14,187.54,190.65,186.66,190.44,31120
2021-01-15,188.24,191.86,187.28,191.63,26935
2021-01-19,192.82,196.59,192.61,195.92,44480
2021-01-20,196.91,197.1,194.65,196.14,21760
2021-01-21,196.31,197.36,195.02,195.02,32050
2021-01-22,194.03,195.42,193.34,194.88,26535
2021-01-25,193.82,196.4,192.78,194.83,34209
2021-01-26,195.88,196.17,193.71,194.19,34123
2021-01-27,190.48,192.99,185.14,185.47,44330
2021-01-28,187.19,192.5,183.91,190.01,61905
2021-01-29,187.07,187.62,182.28,182.71,68561
2021-02-01,184.08,184.9,181.1,184.82,39290
2021-02-02,187.63,189.61,186.59,188.69,39749
2021-02-03,188.72,188.72,185.0,185.69,37623
2021-02-04,186.11,192.49,186.11,192.31,23463
2021-02-05,194.3,196.06,193.14,194.38,24634
2021-02-08,195.12,196.39,194.19,196.16,20456
2021-02-09,195.3,198.23,194.64,197.53,34978
2021-02-10,197.83,200.31,196.9,197.68,34427
2021-02-11,198.35,199.38,196.91,198.36,32238
2021-02-12,198.65,201.58,198.65,201.48,16790
2021-02-16,202.58,204.4,202.41,203.5,25067
2021-02-17,202.67,202.92,200.42,201.89,16517
2021-02-18,200.24,200.91,196.79,198.03,28054
2021-02-19,199.24,207.65,199.24,207.65,59520
2021-02-22,206.17,210.74,206.17,208.83,48116
2021-02-23,209.95,209.99,206.04,209.53,46332
2021-02-24,209.1,215.21,209.02,214.56,48811
2021-02-25,215.91,216.27,206.29,207.38,40140
2021-02-26,206.7,208.91,204.0,204.81,64326
2021-03-01,208.37,213.25,208.37,211.61,34861
2021-03-02,210.49,211.8,208.88,208.89,26703
2021-03-03,209.9,210.35,206.59,206.74,71761
2021-03-04,205.23,207.15,197.32,200.53,71300
2021-03-05,203.77,206.38,197.89,205.59,55010
2021-03-08,207.65,212.46,206.66,207.1,63325
2021-03-09,207.36,209.88,204.67,206.64,60189
2021-03-10,207.73,211.07,207.56,208.34,109085
2021-03-11,208.32,212.0,206.27,209.45,65403
2021-03-12,211.69,212.11,207.61,208.53,44182
2021-03-15,208.6,210.97,205.18,210.97,72832
2021-03-16,208.95,208.95,203.82,204.5,51082
2021-03-17,205.82,208.51,203.74,208.22,63940
2021-03-18,209.85,218.41,208.79,209.65,93062
2021-03-19,207.69,212.93,205.61,211.24,48919
2021-03-22,211.02,212.65,208.87,211.82,58238
2021-03-23,211.12,211.41,204.35,204.89,37415
2021-03-24,208.14,210.91,205.7,205.7,32938
2021-03-25,206.57,211.07,202.9,210.66,35550
2021-03-26,211.11,215.1,209.47,215.09,38051
2021-03-29,212.35,213.98,209.33,211.98,28922
2021-03-30,213.65,216.2,213.49,214.9,28103
2021-03-31,216.19,217.35,214.34,214.83,32664
2021-04-01,215.36,217.76,215.14,217.7,26949
2021-04-05,220.54,222.32,218.2,220.39,24736
2021-04-06,221.25,221.25,218.07,218.73,30430
2021-04-07,219.18,220.69,217.55,220.12,26904
2021-04-08,219.16,219.56,217.09,219.38,34349
2021-04-09,220.04,222.89,220.04,222.69,24056
2021-04-12,223.36,227.76,222.83,227.11,39975
2021-04-13,226.43,226.43,223.09,225.18,16477
2021-04-14,223.96,229.66,223.96,228.27,32634
2021-04-15,229.65,229.65,226.31,228.81,30085
2021-04-16,230.14,230.43,227.77,229.97,30856
2021-04-20,226.77,226.77,222.4,224.11,36406
2021-04-21,223.56,228.85,223.56,228.85,21471
2021-04-22,227.15,228.39,223.98,224.71,27842
2021-04-23,224.99,231.14,224.35,230.58,24345
2021-04-26,231.44,232.0,228.6,228.93,32735
2021-04-27,232.3,240.06,232.3,237.34,56486
2021-04-28,236.08,238.13,236.08,237.3,32725
2021-04-29,239.11,242.09,238.18,241.19,36229
2021-04-30,240.8,240.8,237.27,238.94,40267
2021-05-03,240.88,241.72,237.56,238.28,39953
2021-05-04,237.29,238.77,233.73,238.12,53308
2021-05-05,240.06,242.97,239.09,241.54,38472
2021-05-06,242.13,243.81,239.09,243.81,25200
2021-05-07,242.0,247.38,242.0,246.83,27382
