date,open,high,low,close,volume
2020-07-27,152.94,154.54,150.81,152.78,952240
2020-07-28,152.68,153.44,149.98,150.01,749840
2020-07-29,151.63,151.89,149.99,151.73,1294480
2020-07-30,150.75,154.48,150.31,152.56,1670860
2020-07-31,162.15,162.15,157.7,158.21,3571240
2020-08-03,159.15,159.15,155.29,155.63,1826880
2020-08-04,155.63,158.32,155.1,156.78,813080
2020-08-05,157.12,160.64,156.59,160.28,1791620
2020-08-06,159.75,162.33,158.35,161.26,3012420
2020-08-07,161.22,162.04,157.2,158.35,776720
2020-08-10,158.57,158.57,155.15,157.52,894120
2020-08-11,155.12,157.79,153.65,154.04,1503080
2020-08-12,155.24,158.64,155.2,158.03,747840
2020-08-13,159.07,160.69,157.9,157.98,753260
2020-08-14,158.87,158.87,156.16,157.38,506440
2020-08-17,158.6,159.7,157.9,159.22,619780
2020-08-18,160.65,165.97,160.48,165.61,1224140
2020-08-19,165.26,165.7,162.9,163.03,1059420
2020-08-20,162.62,165.6,161.9,164.81,709180
2020-08-21,165.2,165.36,163.88,164.26,647200
2020-08-24,165.65,169.0,162.91,165.29,2738620
2020-08-25,164.66,167.79,163.7,167.29,722500
2020-08-26,167.75,172.55,167.35,172.03,1459740
2020-08-27,172.44,172.44,169.44,169.99,650360
2020-08-28,171.09,171.35,169.34,170.06,528120
2020-08-31,170.42,174.7,170.42,172.66,1013620
2020-09-01,174.55,175.65,173.64,175.01,1097180
2020-09-02,177.3,177.3,174.63,176.58,820000
2020-09-03,174.21,174.37,165.21,168.52,2229960
2020-09-04,165.92,169.02,155.75,164.71,1638360
2020-09-08,156.94,162.54,156.54,157.24,1695800
2020-09-09,160.14,165.0,159.89,163.71,687080
2020-09-10,165.22,167.2,158.66,158.95,1170100
2020-09-11,160.26,160.73,154.5,155.89,1045880
2020-09-14,158.72,159.35,154.99,155.1,1527420
2020-09-15,156.88,158.68,155.45,157.62,1592500
2020-09-16,158.92,158.92,153.73,153.86,1688180
2020-09-17,150.03,151.46,148.86,150.45,1799280
2020-09-18,151.67,151.67,145.37,148.0,2096220
2020-09-21,145.41,148.05,143.68,148.05,3268100
2020-09-22,151.66,156.67,150.26,156.48,3459040
2020-09-23,156.12,156.23,149.7,150.0,1915500
2020-09-24,148.82,153.31,148.36,151.07,1773540
2020-09-25,152.63,155.05,150.23,154.87,1020140
2020-09-28,157.38,158.71,156.06,158.55,827180
2020-09-29,158.86,159.1,156.69,157.22,1494060
2020-09-30,157.1,160.57,156.98,157.45,908500
2020-10-01,160.33,161.2,158.62,161.1,4150060
2020-10-02,157.64,159.76,156.17,156.27,3872360
2020-10-05,157.29,160.11,157.11,160.0,3028760
2020-10-06,158.69,159.05,154.57,155.2,1809240
2020-10-07,156.68,160.0,156.68,159.75,3324800
2020-10-08,161.25,161.62,158.76,159.57,2672100
2020-10-09,160.55,164.42,159.95,164.4,3819220
2020-10-12,167.5,174.75,167.02,172.05,8694940
2020-10-13,173.4,174.6,171.23,172.09,4914680
2020-10-14,172.35,173.17,167.15,168.19,5680060
2020-10-15,164.6,167.75,164.0,166.96,4730560
2020-10-16,168.41,169.97,162.12,162.12,5309980
2020-10-19,164.85,166.36,159.64,160.43,4390500
2020-10-20,161.13,163.2,159.68,160.91,3713580
2020-10-21,160.53,161.63,158.0,159.24,3958540
2020-10-22,159.58,159.83,156.18,158.71,4022740
2020-10-23,159.5,160.27,157.03,160.23,3215440
2020-10-26,159.94,164.02,157.7,160.42,5360400
2020-10-27,161.15,164.58,160.59,164.29,4558020
2020-10-28,162.47,163.18,158.26,158.31,5203800
2020-10-29,160.05,162.86,158.25,160.81,4386000
2020-10-30,157.87,158.15,150.96,151.91,9408380
2020-11-02,153.09,153.93,147.65,150.07,5718160
2020-11-03,150.93,153.74,149.05,152.37,3181200
2020-11-04,158.07,162.21,156.99,161.96,4448400
2020-11-05,165.93,168.27,164.52,166.15,3445720
2020-11-06,165.23,165.95,161.76,165.57,2978460
2020-11-09,161.55,164.37,155.61,156.85,5868340
2020-11-10,154.8,155.7,150.99,151.75,7579220
2020-11-11,153.12,156.94,152.62,156.92,3860280
2020-11-12,157.79,158.64,154.45,155.39,5100680
2020-11-13,156.3,157.03,154.3,156.44,3069080
2020-11-16,154.25,157.04,153.8,156.47,3036880
2020-11-17,159.03,159.08,156.78,156.8,2445980
2020-11-18,156.73,156.95,155.26,155.26,2080540
2020-11-19,155.3,156.2,154.05,155.81,1958940
2020-11-20,156.0,156.62,154.93,154.93,2221200
2020-11-23,155.95,156.9,153.36,154.9,2938200
2020-11-24,155.08,156.63,154.36,155.9,2248100
2020-11-25,157.09,159.87,157.09,159.21,2101580
2020-11-27,160.47,160.73,159.57,159.74,1699660
2020-11-30,160.36,161.29,156.3,158.46,3624240
2020-12-01,159.34,162.4,157.87,161.0,3316240
2020-12-02,161.08,161.54,158.76,160.26,2422280
2020-12-03,160.27,161.43,159.09,159.19,2411660
2020-12-04,159.63,159.63,157.95,158.12,2146620
2020-12-07,157.73,159.01,157.09,157.94,4075240
2020-12-08,157.84,159.19,156.03,158.81,4192700
2020-12-09,158.39,158.69,154.41,155.41,2948200
2020-12-10,154.45,157.01,153.85,155.08,2165840
2020-12-11,154.85,155.92,153.67,155.77,1897280
2020-12-14,157.15,159.51,156.31,157.7,2891140
2020-12-15,159.05,159.36,156.65,158.25,2540340
2020-12-16,158.81,162.33,158.18,162.04,2385120
2020-12-17,162.45,163.17,161.18,161.84,2006260
2020-12-18,162.2,162.33,158.58,160.27,3674100
2020-12-21,160.0,161.28,158.41,160.28,2778060
2020-12-22,160.1,161.0,159.04,160.31,1547780
2020-12-23,160.21,160.47,159.24,159.28,1549580
2020-12-24,159.47,160.05,158.48,158.67,1074360
2020-12-28,159.67,165.2,158.63,164.17,3887040
2020-12-29,165.49,167.49,164.17,166.13,5032080
2020-12-30,167.01,167.1,164.14,164.35,3942680
2020-12-31,163.64,164.09,162.1,162.94,1738780
2021-01-04,163.35,163.54,157.25,159.34,2875320
2021-01-05,158.4,161.13,158.4,160.97,1902100
2021-01-06,157.3,159.85,156.6,156.87,3910220
2021-01-07,157.85,160.37,157.8,158.21,2731520
2021-01-08,159.08,159.5,157.16,159.15,2452440
2021-01-11,157.32,157.79,155.5,155.7,2585440
2021-01-12,155.9,157.09,154.31,156.18,2263160
2021-01-13,156.39,159.49,156.16,158.29,2578780
2021-01-14,158.31,158.87,156.04,156.59,2528320
2021-01-15,156.44,157.05,154.87,155.34,2693140
2021-01-19,155.35,157.2,154.86,156.03,2237540
2021-01-20,159.17,163.95,158.81,163.34,3300120
2021-01-21,164.71,167.4,164.52,165.35,3859820
2021-01-22,165.14,165.95,164.25,164.68,2172340
2021-01-25,166.47,168.17,162.31,164.62,3410040
2021-01-26,164.66,166.89,164.16,166.35,2352400
2021-01-27,167.22,167.22,160.48,161.74,3321960
2021-01-28,161.75,165.08,161.74,161.8,2784240
2021-01-29,161.19,161.79,159.3,160.16,2723420
2021-02-01,162.06,167.5,162.01,167.03,2452480
2021-02-02,169.05,171.2,168.13,169.0,3823820
2021-02-03,171.29,171.69,165.47,165.51,5902760
2021-02-04,166.37,167.0,163.92,166.47,2772620
2021-02-05,166.0,168.82,165.18,167.6,2917880
2021-02-08,167.75,168.11,165.21,166.15,2707280
2021-02-09,165.58,166.67,165.0,165.24,1771880
2021-02-10,165.73,165.82,162.84,164.28,2285460
2021-02-11,164.46,164.46,162.5,163.04,2249520
2021-02-12,162.36,163.99,161.93,163.95,2033760
2021-02-16,162.94,165.31,162.7,163.51,1515900
2021-02-17,163.18,166.03,163.01,165.53,2619220
2021-02-18,164.41,166.88,163.7,166.44,2278380
2021-02-19,166.41,166.63,162.31,162.48,2854680
2021-02-22,160.45,161.49,158.67,159.06,2478640
2021-02-23,156.58,160.2,154.75,159.8,3277900
2021-02-24,158.44,158.47,156.3,157.98,2989460
2021-02-25,157.18,158.87,152.45,153.09,3598920
2021-02-26,154.84,156.04,151.9,154.78,4851260
2021-03-01,156.37,157.45,154.94,157.35,2764300
2021-03-02,157.2,158.1,154.39,154.64,2822200
2021-03-03,154.06,155.12,149.75,150.26,3346480
2021-03-04,150.68,152.88,147.38,148.86,4406300
2021-03-05,150.17,150.38,144.15,149.96,3582420
2021-03-08,150.68,153.13,147.64,147.66,4743140
2021-03-09,150.91,154.48,150.29,153.07,3501160
2021-03-10,154.82,155.47,151.54,152.81,2723940
2021-03-11,155.2,156.46,154.22,155.86,2596240
2021-03-12,153.49,154.9,152.43,154.44,2078960
2021-03-15,153.6,154.05,151.81,153.96,2337100
2021-03-16,155.1,156.42,153.96,154.56,2080860
2021-03-17,153.76,158.65,153.75,156.74,2567180
2021-03-18,154.94,155.61,151.25,151.48,3614800
2021-03-19,151.72,153.84,150.96,153.78,3293080
2021-03-22,153.44,156.25,153.44,155.49,2325200
2021-03-23,156.49,159.07,156.18,156.8,2934780
2021-03-24,157.59,157.97,154.32,154.54,2816960
2021-03-25,153.45,155.46,151.89,152.45,2899500
2021-03-26,152.25,152.78,150.02,152.66,2327540
2021-03-29,152.7,154.5,151.49,153.58,1914840
2021-03-30,153.51,153.63,151.78,152.5,2120460
2021-03-31,153.46,155.91,153.19,154.76,2539060
2021-04-01,155.97,158.09,155.85,158.05,2492380
2021-04-05,158.5,161.73,158.08,161.38,2401980
2021-04-06,161.21,162.35,160.91,161.29,1768900
2021-04-07,161.61,165.16,161.3,164.01,2431940
2021-04-08,165.3,166.19,164.72,164.89,2593480
2021-04-09,165.09,168.6,164.5,168.5,3088440
2021-04-12,167.86,169.75,167.62,168.96,2612560
2021-04-13,169.88,171.5,169.8,169.91,1415240
2021-04-14,170.0,170.0,166.33,166.68,3139620
2021-04-15,168.53,169.8,167.69,169.0,3410920
2021-04-16,169.18,170.29,167.8,169.88,2478500
2021-04-19,169.54,171.75,168.02,168.57,2082340
2021-04-20,168.62,169.03,165.82,166.53,2777680
2021-04-21,166.17,168.11,165.28,168.09,1820540
2021-04-22,168.45,168.6,165.13,165.43,2370380
2021-04-23,165.9,168.67,165.53,166.95,2291500
2021-04-26,167.41,171.4,166.64,170.44,6424900
2021-04-27,172.19,173.0,169.94,170.9,2167100
2021-04-28,172.0,174.46,171.26,172.96,4231940
