date,open,high,low,close,volume
2020-07-27,14.98,15.51,14.98,15.35,894080
2020-07-28,15.2,15.28,15.04,15.05,282048
2020-07-29,15.24,15.47,15.17,15.43,178608
2020-07-30,15.18,15.63,15.15,15.6,269216
2020-07-31,15.76,16.23,15.69,16.22,730096
2020-08-03,16.26,16.37,16.11,16.29,1067744
2020-08-04,16.31,16.69,16.31,16.5,1152096
2020-08-05,15.5,15.5,14.66,14.7,3367904
2020-08-06,14.87,15.03,14.6,14.78,1641440
2020-08-07,14.71,14.71,14.28,14.39,1590688
2020-08-10,14.44,14.44,13.88,13.89,1534592
2020-08-11,13.97,14.05,13.71,13.75,1802560
2020-08-12,13.84,13.84,13.49,13.52,1054608
2020-08-13,13.39,13.59,13.25,13.52,1451088
2020-08-14,13.51,13.53,13.3,13.3,714160
2020-08-17,13.33,13.62,13.33,13.44,290928
2020-08-18,13.49,13.73,13.38,13.72,527856
2020-08-19,13.9,13.95,13.78,13.8,312544
2020-08-20,13.7,13.96,13.7,13.83,249328
2020-08-21,13.73,13.93,13.72,13.91,193248
2020-08-24,14.04,14.12,13.58,13.65,350048
2020-08-25,13.68,13.75,13.6,13.72,326960
2020-08-26,13.85,13.88,13.64,13.88,274416
2020-08-27,13.94,13.98,13.78,13.89,421104
2020-08-28,13.93,14.06,13.78,13.87,415648
2020-08-31,13.86,14.01,13.72,14.0,320464
2020-09-01,13.91,14.0,13.81,13.99,154368
2020-09-02,14.02,14.35,14.0,14.28,223328
2020-09-03,13.72,13.72,13.29,13.56,599840
2020-09-04,13.47,13.47,12.9,13.22,691696
2020-09-08,12.9,13.11,12.9,12.95,510112
2020-09-09,13.19,13.31,13.01,13.26,561680
2020-09-10,13.29,13.43,12.88,12.88,492416
2020-09-11,13.0,13.04,12.66,12.74,383936
2020-09-14,12.85,12.96,12.81,12.85,294848
2020-09-15,12.87,12.96,12.74,12.91,545856
2020-09-16,12.94,13.05,12.87,12.87,352816
2020-09-17,12.68,12.77,12.6,12.64,814928
2020-09-18,12.71,12.71,12.35,12.56,1726528
2020-09-21,12.38,12.39,12.09,12.19,1511744
2020-09-22,12.2,12.55,12.08,12.5,435808
2020-09-23,12.63,12.68,12.35,12.4,432592
2020-09-24,12.4,12.58,12.3,12.4,344800
2020-09-25,12.44,12.55,12.34,12.54,346944
2020-09-28,12.68,12.96,12.61,12.82,369984
2020-09-29,12.82,13.25,12.82,13.17,789680
2020-09-30,13.16,13.21,12.82,12.94,789904
2020-10-01,13.04,13.08,12.82,12.95,1287776
2020-10-02,12.73,13.19,12.7,12.75,653584
2020-10-05,12.93,12.96,12.76,12.88,585040
2020-10-06,12.86,13.17,12.86,12.93,432112
