date,open,high,low,close,volume
2018-07-26,176.45,176.45,176.45,176.45,100
2020-07-27,295.64,300.46,295.64,299.95,9978
2020-07-28,297.435,302.79,297.435,298.29,7535
2020-07-29,301.97,307.96,301.015,305.57,6474
2020-07-30,300.5,311.47,300.5,309.65,15358
2020-07-31,310.86,310.86,305.05,310.12,7599
2020-08-03,312.25,316.44,310.59,315.34,31940
2020-08-04,312.91,314.37,307.35,308.5,29471
2020-08-05,311.96,319.24,309.875,312.92,16597
2020-08-06,314.025,319.425,311.16,315.025,17536
2020-08-07,314.04,317.535,308.77,311.935,18671
2020-08-10,311.27,311.27,301.71,308.795,11578
2020-08-11,305.41,305.41,300.48,301.89,20902
2020-08-12,305.75,310.045,305.505,308.52,15342
2020-08-13,311.5,319.145,311.5,314.5,13590
2020-08-14,314.62,315.5,311.13,313.0,7577
2020-08-17,317.69,319.635,317.01,317.25,12341
2020-08-18,319.63,322.38,318.105,320.47,14552
2020-08-19,318.36,322.725,317.85,320.01,11027
2020-08-20,320.46,328.835,319.605,328.6,13942
2020-08-21,327.84,327.84,322.485,324.53,26881
2020-08-24,326.3,329.705,322.78,324.87,14039
2020-08-25,325.385,328.725,325.385,326.36,11715
2020-08-26,326.48,332.59,324.49,331.54,15026
2020-08-27,329.325,334.31,327.72,331.83,7222
2020-08-28,332.96,336.365,332.96,336.1,7158
2020-08-31,335.84,339.455,335.545,339.455,11496
2020-09-01,338.32,345.395,338.22,344.07,12986
2020-09-02,350.4,351.52,344.37,351.305,12665
2020-09-03,346.66,346.66,328.555,332.52,36061
2020-09-04,330.05,331.96,314.23,321.15,23580
2020-09-08,308.14,318.76,308.14,308.47,21662
2020-09-09,314.78,321.69,311.4,320.565,17858
2020-09-10,323.38,327.3,315.35,317.475,16286
2020-09-11,319.41,320.36,311.24,314.04,14048
2020-09-14,318.345,323.025,318.345,321.75,7682
2020-09-15,321.765,329.985,321.765,328.23,20606
2020-09-16,328.0,329.685,317.45,317.745,31158
2020-09-17,309.01,313.15,305.115,308.7,30012
2020-09-18,311.92,311.92,299.97,304.89,21612
2020-09-21,302.27,308.87,298.38,308.87,24547
2020-09-22,309.92,315.91,308.015,315.91,11501
2020-09-23,312.43,312.47,301.17,302.12,15285
2020-09-24,301.03,307.57,301.03,304.395,8102
2020-09-25,302.365,312.81,302.135,312.34,21510
2020-09-28,317.51,320.24,316.46,318.6,15405
2020-09-29,319.315,320.99,317.42,319.95,15175
2020-09-30,317.85,328.79,317.765,328.06,41467
2020-10-01,329.29,336.33,329.285,334.8,29158
2020-10-02,329.39,331.24,319.125,321.895,28580
2020-10-05,322.4,326.185,321.85,323.94,32569
2020-10-06,322.8,324.86,315.61,316.38,70842
2020-10-07,322.37,330.79,320.295,330.6,28185
2020-10-08,333.23,334.125,329.59,333.32,23074
2020-10-09,335.0,339.16,334.24,336.5,42540
2020-10-12,342.04,351.31,340.25,348.2,26952
2020-10-13,347.89,354.7,347.89,351.8,26865
2020-10-14,353.64,355.0,347.47,351.8,20453
2020-10-15,348.07,352.09,345.51,352.09,21310
2020-10-16,353.105,357.59,348.965,349.78,28054
2020-10-19,350.12,353.02,334.99,335.91,51041
2020-10-20,337.905,337.905,331.71,332.17,53256
2020-10-21,333.355,335.98,327.07,328.0,50170
2020-10-22,327.85,328.495,323.97,326.82,24873
2020-10-23,327.5,331.85,324.38,329.78,39201
2020-10-26,327.23,327.26,315.88,320.59,30932
2020-10-27,324.86,327.54,321.885,322.07,25071
2020-10-28,321.94,321.94,307.39,307.92,27693
2020-10-29,306.605,313.86,306.605,311.24,33617
2020-10-30,307.3,308.0,301.45,304.38,28951
2020-11-02,304.445,314.285,304.445,311.11,30421
2020-11-03,312.78,320.355,312.78,316.315,16424
2020-11-04,330.21,335.095,324.77,329.18,33303
2020-11-05,334.98,339.075,324.98,328.1,30016
2020-11-06,329.19,337.67,324.47,336.745,16010
2020-11-09,346.21,348.36,328.39,328.39,24167
2020-11-10,324.175,328.64,318.285,319.4,27693
2020-11-11,326.125,332.285,325.755,328.58,14471
2020-11-12,329.92,331.65,323.42,323.79,18988
2020-11-13,328.025,329.22,324.64,328.26,32787
2020-11-16,324.78,327.64,321.06,322.11,13239
2020-11-17,323.145,323.3,318.49,319.57,25194
2020-11-18,316.885,319.51,315.34,318.45,15989
2020-11-19,316.05,325.29,315.53,323.765,22625
2020-11-20,322.91,325.715,318.51,318.51,21596
2020-11-23,319.425,319.425,311.47,313.17,26897
2020-11-24,316.44,321.175,314.12,319.99,23274
2020-11-25,325.0,325.83,320.385,322.68,14634
2020-11-27,327.12,331.815,324.84,330.83,17451
2020-11-30,329.515,338.68,328.88,338.13,21328
2020-12-01,337.08,343.64,335.22,340.57,17542
2020-12-02,336.635,339.495,334.37,334.75,11688
2020-12-03,333.24,339.97,333.24,337.33,14568
2020-12-04,340.13,345.24,340.13,343.3,12652
2020-12-07,345.96,346.48,340.69,341.58,26678
2020-12-08,343.61,343.61,339.01,341.59,23455
2020-12-09,341.66,343.48,333.27,334.805,19924
2020-12-10,331.64,336.72,330.255,334.25,27563
2020-12-11,332.41,335.45,328.89,335.01,13407
2020-12-14,336.39,346.25,336.39,343.64,31383
2020-12-15,344.825,349.095,342.31,343.05,21014
2020-12-16,344.04,345.72,341.52,343.29,26943
2020-12-17,345.73,346.41,342.255,346.33,30619
2020-12-18,348.0,357.55,347.76,357.55,30059
2020-12-21,352.12,356.78,344.99,355.79,22618
2020-12-22,356.005,362.41,355.985,362.41,17855
2020-12-23,365.695,368.725,362.25,362.28,25651
2020-12-24,363.73,366.0,361.3,363.975,16367
2020-12-28,366.82,366.82,362.31,364.2,16940
2020-12-29,364.7,366.69,358.72,360.395,18956
2020-12-30,362.8,364.62,361.025,362.37,12174
2020-12-31,362.43,366.3,362.42,363.73,13799
2021-01-04,363.62,372.81,354.63,357.72,25700
2021-01-05,355.64,360.24,354.83,359.88,19397
2021-01-06,349.65,355.32,349.29,350.125,38419
2021-01-07,353.36,366.09,353.33,365.46,28820
2021-01-08,365.69,375.4,365.69,374.68,45895
2021-01-11,371.325,373.665,369.64,373.43,19328
2021-01-12,371.97,375.66,370.86,373.6,20256
2021-01-13,371.98,378.85,366.49,375.78,39779
2021-01-14,377.48,378.34,368.05,368.88,28469
2021-01-15,370.23,370.23,362.49,364.1,27130
