date,open,high,low,close,volume
2020-07-27,197.15,199.2,196.91,198.5,48491
2020-07-28,199.16,199.16,196.3,197.19,59539
2020-07-29,197.0,197.95,195.52,197.29,123327
2020-07-30,195.27,198.84,194.47,198.84,38037
2020-07-31,197.63,198.7,192.72,197.19,130223
2020-08-03,196.51,197.34,191.84,192.17,66086
2020-08-04,192.23,193.55,190.23,191.8,42422
2020-08-05,189.52,191.62,189.34,190.86,36847
2020-08-06,190.38,190.38,186.79,187.99,46291
2020-08-07,187.22,187.99,186.16,187.61,30442
2020-08-10,187.57,188.39,185.3,185.32,34633
2020-08-11,186.19,186.36,184.57,185.95,67968
2020-08-12,187.03,187.2,184.17,184.62,68801
2020-08-13,183.44,187.14,182.6,187.08,62072
2020-08-14,186.95,189.8,186.95,189.47,51318
2020-08-17,189.48,191.74,189.07,189.11,53118
2020-08-18,188.97,189.89,187.02,188.71,54736
2020-08-19,187.23,191.33,187.23,189.9,47757
2020-08-20,189.35,190.25,189.22,189.26,29806
2020-08-21,188.47,188.95,185.66,186.03,35764
2020-08-24,185.4,186.06,180.96,182.56,116065
2020-08-25,183.93,186.21,182.38,184.82,85820
2020-08-26,183.4,189.53,182.78,187.83,58718
2020-08-27,188.48,192.61,188.48,191.71,54817
2020-08-28,192.9,193.1,190.93,192.19,44819
2020-08-31,192.11,194.19,192.0,192.22,38332
2020-09-01,191.68,195.01,190.9,194.43,56541
2020-09-02,195.13,202.04,194.7,201.89,53439
2020-09-03,202.14,203.64,194.9,195.94,56816
2020-09-04,197.65,198.05,192.48,194.95,25851
2020-09-08,193.39,193.99,190.17,190.17,74715
2020-09-09,192.86,197.24,192.55,195.63,30591
2020-09-10,195.96,198.3,194.16,194.19,39156
2020-09-11,194.79,195.12,191.84,193.62,34238
2020-09-14,194.47,196.27,193.88,194.11,23200
2020-09-15,195.68,195.68,193.83,194.06,31334
2020-09-16,195.19,196.15,194.42,194.68,42019
2020-09-17,191.32,195.1,191.25,193.55,46650
2020-09-18,193.31,195.69,193.07,193.2,47972
2020-09-21,190.48,191.95,188.84,191.35,55740
2020-09-22,190.58,193.09,188.32,192.14,36813
