date,open,high,low,close,volume
2020-07-27,45.91,47.56,45.91,47.33,35975
2020-07-28,47.16,47.31,46.76,46.76,74807
2020-07-29,47.16,48.1,47.16,47.78,41237
2020-07-30,46.89,46.89,43.58,43.59,108277
2020-07-31,43.8,44.24,42.44,43.26,69325
2020-08-03,43.59,44.07,43.22,43.56,25906
2020-08-04,43.4,43.47,42.92,43.07,53071
2020-08-05,43.28,43.32,42.7,43.17,58309
2020-08-06,43.27,43.93,43.27,43.68,74132
2020-08-07,43.7,43.97,43.27,43.95,21220
2020-08-10,43.87,44.11,43.36,43.92,16658
2020-08-11,44.62,45.34,44.62,44.74,33205
2020-08-12,45.07,45.5,44.75,45.0,25904
2020-08-13,44.72,44.72,43.9,44.14,26721
2020-08-14,44.36,44.94,44.29,44.76,33756
2020-08-17,44.97,45.15,44.6,44.7,26811
2020-08-18,44.72,45.01,44.47,44.52,27524
2020-08-19,44.62,44.81,44.45,44.49,20679
2020-08-20,44.16,44.31,43.91,44.17,21525
2020-08-21,43.98,44.11,43.74,44.03,23235
2020-08-24,44.45,44.79,44.3,44.65,17516
2020-08-25,44.85,44.86,44.15,44.51,14593
2020-08-26,44.2,44.79,44.2,44.51,28183
2020-08-27,44.64,44.64,44.14,44.26,15906
2020-08-28,44.19,44.46,43.94,44.37,23210
2020-08-31,44.31,44.67,43.91,44.1,22319
2020-09-01,43.98,44.38,43.69,44.38,21409
2020-09-02,44.41,45.36,44.32,45.17,23452
2020-09-03,45.28,45.28,43.69,43.9,9245
2020-09-04,44.02,44.52,43.58,43.7,15122
2020-09-08,43.32,43.41,42.48,42.5,26143
2020-09-09,43.04,43.53,42.91,43.39,52195
2020-09-10,43.58,43.9,43.23,43.57,33346
2020-09-11,44.02,44.25,43.75,43.85,47501
2020-09-14,44.06,45.09,44.06,44.87,23464
2020-09-15,45.09,45.69,45.09,45.69,107738
2020-09-16,45.89,46.93,45.89,46.53,10320
2020-09-17,46.43,48.72,46.21,47.82,21074
2020-09-18,48.0,48.56,47.76,47.9,32502
2020-09-21,47.42,47.42,46.18,46.69,33862
2020-09-22,46.65,47.55,46.65,47.38,24075
2020-09-23,47.47,48.33,46.58,46.62,89042
2020-09-24,46.59,47.9,46.59,47.68,57266
2020-09-25,47.2,47.57,46.79,46.94,145350
2020-09-28,47.43,48.23,47.42,47.9,73818
2020-09-29,47.97,48.97,47.97,48.39,33426
2020-09-30,48.4,48.53,47.47,47.55,85936
2020-10-01,47.77,48.61,47.69,48.19,50284
2020-10-02,47.6,48.73,47.6,48.19,42390
2020-10-05,48.56,49.65,48.54,49.65,106087
2020-10-06,49.58,49.58,48.06,48.23,109796
2020-10-07,48.78,48.92,48.42,48.67,89860
2020-10-08,48.93,51.28,48.86,51.05,163402
2020-10-09,51.49,51.83,50.87,51.45,126927
2020-10-12,51.43,52.21,50.71,50.77,86862
2020-10-13,50.31,50.85,49.55,49.66,94382
2020-10-14,50.11,50.42,49.64,49.94,46348
2020-10-15,49.37,50.27,49.34,50.23,50584
2020-10-16,50.71,50.82,49.67,49.76,83017
2020-10-19,49.76,49.87,49.23,49.42,59204
2020-10-20,49.91,50.29,49.54,49.59,35937
2020-10-21,49.71,49.8,48.78,49.32,96951
2020-10-22,49.49,49.58,49.09,49.37,67813
2020-10-23,49.43,49.48,49.0,49.4,46271
2020-10-26,48.92,48.92,47.92,48.5,41130
2020-10-27,48.59,48.65,47.68,47.74,36199
2020-10-28,47.03,47.92,46.3,46.31,105613
2020-10-29,47.47,49.69,47.34,48.27,145960
