date,open,high,low,close,volume
2020-07-27,255.16,258.31,254.66,256.21,52732
2020-07-28,255.32,256.02,251.45,251.73,29369
2020-07-29,252.36,254.55,250.85,251.08,56052
2020-07-30,249.93,249.93,246.29,247.67,38451
2020-07-31,247.98,248.79,244.43,248.79,44097
2020-08-03,250.77,250.77,242.18,242.18,38378
2020-08-04,239.28,244.32,239.28,243.17,85633
2020-08-05,245.27,250.48,245.27,247.49,99258
2020-08-06,246.22,247.8,244.46,246.12,72145
2020-08-07,245.05,245.33,243.07,244.97,37431
2020-08-10,244.72,244.99,242.58,244.45,28904
2020-08-11,245.15,247.24,244.33,244.76,31209
2020-08-12,247.01,249.89,245.97,248.19,31913
2020-08-13,248.15,250.82,247.52,250.67,45072
2020-08-14,251.04,253.85,251.04,251.85,28391
2020-08-17,254.16,254.95,251.47,251.79,18937
2020-08-18,252.52,253.22,248.78,248.97,23703
2020-08-19,251.22,251.22,249.19,249.19,9511
2020-08-20,248.29,248.97,246.85,248.89,15957
2020-08-21,246.9,249.56,246.7,249.18,14306
2020-08-24,251.82,251.82,249.74,249.92,13615
2020-08-25,250.48,253.09,250.45,251.75,25603
2020-08-26,251.11,256.93,250.43,255.79,17717
2020-08-27,255.29,256.65,254.45,254.62,11016
2020-08-28,255.51,258.32,255.12,257.92,20937
2020-08-31,258.09,258.82,254.12,254.12,11289
2020-09-01,253.28,263.37,253.16,263.37,34451
2020-09-02,263.61,270.22,262.63,270.13,47532
2020-09-03,267.64,268.15,255.29,258.46,34891
2020-09-04,260.18,261.14,253.52,259.52,155933
2020-09-08,255.93,259.36,254.13,256.12,41417
2020-09-09,259.15,266.67,259.15,263.5,34655
2020-09-10,264.09,265.84,255.79,257.16,41996
2020-09-11,258.84,262.65,258.71,261.33,11095
2020-09-14,263.45,266.42,262.14,264.52,15723
2020-09-15,265.69,267.59,264.47,264.47,27243
2020-09-16,265.12,266.55,262.98,263.1,21190
2020-09-17,259.92,263.09,259.75,262.37,10061
2020-09-18,262.14,262.15,256.79,257.49,19481
2020-09-21,253.2,253.2,247.52,252.53,24110
2020-09-22,251.9,255.44,251.82,254.97,16677
2020-09-23,254.19,254.19,247.72,248.25,44875
2020-09-24,248.62,253.63,247.17,252.07,24190
2020-09-25,250.11,253.41,248.08,252.77,24577
2020-09-28,255.84,256.99,254.17,254.26,24454
2020-09-29,255.9,257.39,253.97,255.31,16493
2020-09-30,256.91,261.44,256.8,260.62,35236
2020-10-01,261.67,263.44,256.58,257.28,71304
2020-10-02,254.76,260.41,254.76,258.61,52077
2020-10-05,263.22,266.03,261.28,262.49,87691
2020-10-06,265.03,265.37,258.53,258.75,51459
2020-10-07,265.06,266.13,261.98,264.16,43909
2020-10-08,265.14,266.06,261.33,261.74,37951
2020-10-09,263.71,264.47,261.4,262.72,97104
2020-10-12,265.09,266.16,263.78,264.54,57181
2020-10-13,264.08,268.03,262.59,263.03,105865
2020-10-14,261.97,263.15,260.25,260.25,131161
2020-10-15,259.08,259.84,257.26,258.49,225641
2020-10-16,260.74,262.39,258.7,260.6,178446
2020-10-19,262.43,262.47,256.22,256.69,79707
2020-10-20,258.92,259.78,256.97,257.25,39770
2020-10-21,258.05,260.3,256.11,256.12,27596
2020-10-22,256.29,256.29,252.65,255.49,41446
2020-10-23,258.23,258.23,255.33,256.8,39875
2020-10-26,253.3,253.3,247.31,250.17,59264
2020-10-27,250.71,251.82,247.64,247.71,54172
2020-10-28,241.77,244.03,238.28,238.28,51606
