date,open,high,low,close,volume
2020-07-27,44.76,45.17,44.47,45.13,33418
2020-07-28,45.01,45.81,44.71,45.18,38650
2020-07-29,45.68,46.92,45.68,46.89,42916
2020-07-30,46.44,46.65,43.61,43.76,113348
2020-07-31,43.49,43.49,41.77,42.54,75406
2020-08-03,43.15,43.34,42.07,42.99,119642
2020-08-04,42.86,42.94,41.85,42.5,22750
2020-08-05,43.24,43.4,42.74,42.81,25772
2020-08-06,42.67,43.19,41.69,42.12,17294
2020-08-07,42.01,42.67,41.92,42.28,19638
2020-08-10,42.2,42.65,41.87,42.25,70053
2020-08-11,42.45,42.76,41.14,41.4,45979
2020-08-12,42.25,42.85,41.56,41.72,54705
2020-08-13,41.75,42.36,41.74,42.0,26484
2020-08-14,41.94,42.01,41.42,41.46,15461
2020-08-17,41.78,42.72,41.78,42.52,23490
2020-08-18,42.7,42.7,41.92,41.94,21072
2020-08-19,42.11,42.4,41.74,41.76,13269
2020-08-20,41.08,41.39,40.62,40.94,19165
2020-08-21,41.35,41.43,40.97,41.17,9007
2020-08-24,40.92,40.92,39.54,39.91,72018
2020-08-25,40.08,40.08,39.43,39.95,20534
2020-08-26,40.13,41.47,40.13,41.05,25324
2020-08-27,41.29,41.77,41.22,41.46,31710
2020-08-28,41.38,41.38,40.1,40.79,28761
2020-08-31,40.87,41.49,40.87,41.08,19675
2020-09-01,41.22,42.2,41.03,42.2,36833
2020-09-02,42.12,42.47,41.43,42.47,29263
2020-09-03,41.63,41.85,40.41,40.65,60607
2020-09-04,41.12,41.37,39.88,40.8,41365
2020-09-08,39.68,39.81,38.65,39.08,43273
2020-09-09,39.4,40.04,38.68,39.72,29797
2020-09-10,39.89,40.48,39.42,39.43,28767
2020-09-11,39.57,39.98,39.12,39.2,32486
2020-09-14,39.34,39.9,39.12,39.66,47843
2020-09-15,39.89,40.44,39.51,39.67,18268
2020-09-16,39.81,40.67,39.74,39.85,29646
2020-09-17,39.19,39.36,38.18,38.82,35313
2020-09-18,38.98,39.45,38.96,39.11,61412
2020-09-21,38.44,38.7,37.47,38.29,95158
2020-09-22,38.7,38.94,37.68,38.8,49859
2020-09-23,38.97,39.52,38.49,38.49,68122
2020-09-24,38.18,38.37,36.96,37.54,77540
2020-09-25,37.43,39.32,37.43,39.15,71010
2020-09-28,39.91,40.77,39.91,40.52,17964
2020-09-29,40.48,40.99,39.71,39.71,48162
2020-09-30,39.83,39.91,38.73,39.22,40223
2020-10-01,39.91,41.42,39.91,41.18,148036
2020-10-02,40.26,41.91,40.1,41.47,57121
2020-10-05,41.73,42.24,41.59,42.02,74422
2020-10-06,41.61,41.88,40.64,40.75,50230
