date,open,high,low,close,volume
2021-04-15,69.5,71.5,63.08,64.99,255241
2021-04-16,64.585,64.585,59.05,61.005,164785
2021-04-19,60.01,60.24,55.725,58.605,273767
2021-04-20,60.55,61.8,58.99,60.01,143759
2021-04-21,58.68,62.145,56.78,61.89,92953
2021-04-22,61.76,62.385,60.68,61.98,30322
2021-04-23,62.27,62.27,58.49,58.5,86323
2021-04-26,57.825,59.79,57.66,59.79,72980
2021-04-27,59.99,60.93,58.715,58.76,51347
2021-04-28,59.205,60.01,58.09,58.515,19558
2021-04-29,59.275,59.5,58.85,59.1,31982
2021-04-30,59.41,59.5,57.91,58.11,7218
2021-05-03,58.69,60.345,58.69,59.91,21589
2021-05-04,59.75,59.75,57.88,58.68,57238
2021-05-05,58.62,59.29,57.51,58.29,45085
2021-05-06,57.77,57.84,54.76,56.98,51218
2021-05-07,57.02,57.235,55.84,57.0,25037
2021-05-10,57.93,57.93,55.11,55.345,38548
2021-05-11,53.815,54.845,51.02,53.4,59960
2021-05-12,53.01,53.175,49.81,51.83,52818
2021-05-13,52.42,54.6,49.52,49.855,58538
2021-05-14,50.22,57.56,50.05,57.29,33152
2021-05-17,58.62,62.81,58.02,62.41,27647
2021-05-18,62.665,65.5,62.665,64.29,36555
2021-05-19,61.8,65.19,61.8,64.78,41765
2021-05-20,66.8,68.375,66.8,67.97,29590
2021-05-21,68.95,70.16,66.5,68.365,56867
2021-05-24,68.64,70.72,67.86,70.31,28903
2021-05-25,70.16,72.235,67.7,69.945,59293
2021-05-26,69.42,69.895,67.765,68.535,30241
2021-05-27,68.56,71.71,67.4,69.6,31937
2021-05-28,70.115,75.085,69.11,74.11,19904
2021-06-01,71.01,72.22,67.75,68.81,35636
2021-06-02,71.31,71.68,69.4,70.095,17961
2021-06-03,69.975,71.99,69.62,70.565,18594
2021-06-04,72.375,74.55,72.375,74.3,17791
2021-06-07,74.26,77.38,73.325,77.23,12409
2021-06-08,77.98,80.075,77.93,79.37,28387
2021-06-09,79.275,81.7,79.275,80.205,30839
2021-06-10,80.38,82.14,79.43,81.96,42678
2021-06-11,81.665,82.48,80.11,82.43,71885
2021-06-14,82.38,84.3,81.3,82.085,40360
2021-06-15,81.64,82.93,80.69,81.705,69522
2021-06-16,83.755,86.75,83.425,85.755,62470
2021-06-17,85.575,88.395,85.575,88.27,115168
2021-06-18,88.44,90.02,87.795,88.25,104603
2021-06-21,86.75,86.75,83.75,83.96,17355
2021-06-22,83.47,84.25,77.73,80.3,50314
2021-06-23,80.45,82.73,80.45,81.46,16813
2021-06-24,86.05,87.105,83.94,84.48,41472
2021-06-25,85.05,85.12,83.01,85.03,16293
2021-06-28,85.04,86.19,81.07,82.065,43622
2021-06-29,81.75,84.88,81.61,83.38,27265
2021-06-30,78.29,78.99,74.01,75.28,126761
2021-07-01,74.46,74.83,69.42,70.92,54421
2021-07-02,70.81,72.35,70.74,72.02,29721
2021-07-06,70.68,71.25,68.01,68.12,38074
2021-07-07,67.795,68.205,65.43,66.135,77340
2021-07-08,64.5,66.79,64.2,65.875,30894
2021-07-09,65.47,66.235,65.17,66.195,18722
2021-07-12,66.24,67.48,65.96,67.05,13490
2021-07-13,66.895,69.6,66.465,68.87,77548
2021-07-14,68.91,69.23,64.91,65.22,28591
2021-07-15,65.14,65.56,60.99,63.38,84789
2021-07-16,62.98,62.98,59.54,60.72,46594
2021-07-19,58.53,61.2,58.25,60.38,64893
2021-07-20,60.42,61.1,59.455,60.815,98812
2021-07-21,60.94,61.51,59.2,59.89,25432
2021-07-22,59.91,62.69,59.72,62.69,50017
2021-07-23,62.77,64.82,61.86,63.32,33169
2021-07-26,63.71,65.52,62.085,62.61,39902
2021-07-27,62.13,62.8,60.055,62.66,40253
2021-07-28,62.45,65.23,62.45,65.11,39878
2021-07-29,65.65,66.315,64.42,65.32,20062
2021-07-30,65.005,65.205,61.135,61.54,34953
2021-08-02,61.86,64.095,60.51,63.15,18554
2021-08-03,61.705,63.04,60.68,62.74,19261
2021-08-04,63.025,64.17,62.97,63.17,13042
2021-08-05,62.875,63.75,61.86,63.28,22207
2021-08-06,62.405,62.405,56.75,58.645,153769
2021-08-09,59.52,59.79,57.565,57.605,33309
2021-08-10,58.78,58.78,56.21,57.27,33073
2021-08-11,58.13,62.0,57.98,58.41,127116
2021-08-12,61.77,63.04,55.45,56.95,194745
2021-08-13,56.395,57.1,55.49,56.49,54171
2021-08-16,55.835,56.06,54.92,56.01,34780
2021-08-17,57.285,63.44,56.45,62.6,154845
2021-08-18,63.46,65.36,60.57,63.79,106326
2021-08-19,65.05,66.995,63.5,66.995,113908
2021-08-20,66.93,70.32,66.93,69.98,126936
2021-08-23,70.26,72.0,68.95,71.52,147954
2021-08-24,72.26,74.51,69.58,74.51,120125
2021-08-25,73.86,76.54,72.87,76.52,63565
2021-08-26,76.865,76.865,71.96,73.69,83485
2021-08-27,72.69,75.07,72.515,74.19,16871
2021-08-30,74.165,74.2,71.58,73.23,54808
2021-08-31,72.61,72.99,69.465,70.31,153909
2021-09-01,69.23,75.915,69.05,74.16,180891
2021-09-02,74.42,79.49,74.42,78.4,166669
2021-09-03,78.03,79.6,77.4,77.905,108963
2021-09-07,76.67,76.67,73.725,74.14,91059
2021-09-08,72.64,72.89,67.91,67.91,91547
2021-09-09,69.32,71.75,68.57,70.99,92522
2021-09-10,71.14,80.155,69.21,77.38,216969
2021-09-13,76.14,76.14,71.105,74.92,99199
2021-09-14,75.55,76.9,74.18,75.65,143372
2021-09-15,74.36,77.47,72.34,73.56,79682
2021-09-16,73.01,73.35,70.24,71.53,47760
2021-09-17,71.95,73.09,70.655,72.71,53410
2021-09-20,70.355,73.95,69.45,70.29,60637
2021-09-21,70.79,74.35,70.68,74.05,51594
2021-09-22,74.765,75.69,72.92,72.99,122909
2021-09-23,76.275,79.77,75.67,77.85,119358
2021-09-24,79.18,80.74,78.98,79.62,117599
2021-09-27,78.995,78.995,75.34,76.71,80579
2021-09-28,74.38,76.0,72.49,72.76,36365
2021-09-29,73.5,76.12,73.45,74.18,123803
2021-09-30,74.44,74.44,72.18,72.32,43248
2021-10-01,72.55,74.99,70.05,74.79,91823
2021-10-04,73.79,73.91,71.44,71.97,33788
2021-10-05,72.8,74.51,71.83,73.74,66573
2021-10-06,74.28,77.195,73.09,76.94,75569
2021-10-07,82.98,85.0,80.11,84.88,442036
2021-10-08,84.58,87.025,83.35,86.31,110666
2021-10-11,84.715,88.1,84.715,87.55,89082
2021-10-12,88.9,89.38,86.27,87.2,41337
2021-10-13,88.78,88.895,87.62,88.035,68601
2021-10-14,89.11,90.82,88.18,90.82,158918
2021-10-15,91.86,92.5,89.6,91.82,63649
2021-10-18,91.83,93.945,91.81,92.22,55820
2021-10-19,94.12,96.77,93.365,95.61,140871
2021-10-20,97.71,98.19,92.73,92.87,116311
2021-10-21,92.9,96.39,92.53,96.375,192915
2021-10-22,95.84,98.23,93.62,94.24,165696
2021-10-25,90.21,96.72,89.49,93.67,125609
2021-10-26,94.53,96.31,93.1,94.005,113109
2021-10-27,95.07,98.51,94.82,94.92,66758
2021-10-28,94.77,100.49,94.77,97.91,76661
2021-10-29,97.19,99.22,97.19,98.22,81916
2021-11-01,99.94,101.54,98.18,99.48,51449
2021-11-02,99.65,100.36,98.32,98.61,68400
2021-11-03,98.67,100.62,97.545,98.29,102348
2021-11-04,99.18,100.87,97.95,98.54,117038
2021-11-05,98.99,100.15,97.31,98.32,58473
2021-11-08,98.85,100.41,98.4,99.655,67501
2021-11-09,100.79,104.605,99.64,103.68,132908
2021-11-10,98.695,100.425,94.7,96.08,248482
2021-11-11,103.7,116.04,103.4,115.17,601753
2021-11-12,115.39,115.715,109.73,112.42,201485
2021-11-15,113.28,113.28,101.74,102.76,144599
2021-11-16,101.86,109.15,98.11,108.97,498701
2021-11-17,109.275,109.57,103.41,105.43,76475
2021-11-18,102.09,102.74,97.22,99.53,303338
2021-11-19,99.24,100.79,99.13,99.69,74304
2021-11-22,99.48,99.48,91.91,95.67,143076
2021-11-23,94.555,97.66,91.55,93.05,103294
2021-11-24,92.32,95.98,91.18,94.41,45120
2021-11-26,93.79,94.08,89.255,90.77,70796
2021-11-29,91.265,91.56,89.09,90.225,85319
2021-11-30,90.26,91.77,88.91,91.1,116435
2021-12-01,93.77,93.97,86.05,86.21,165968
2021-12-02,85.58,90.51,85.11,90.4,106006
2021-12-03,84.35,96.19,81.45,93.44,1859200
2021-12-06,92.99,93.81,86.58,89.98,363995
2021-12-07,91.08,96.58,89.83,96.5,197734
2021-12-08,97.91,98.58,93.73,96.07,114696
2021-12-09,95.99,98.835,90.13,90.93,118920
2021-12-10,92.295,93.43,89.62,90.67,45452
2021-12-13,91.4,92.41,88.27,88.91,83806
2021-12-14,90.21,90.21,85.93,87.51,107694
2021-12-15,86.29,89.09,85.075,88.57,80895
2021-12-16,90.0,90.0,82.76,83.76,79296
2021-12-17,81.735,88.28,81.34,88.12,99375
2021-12-20,87.38,89.58,86.7,87.39,60969
2021-12-21,88.82,91.36,87.54,91.21,46852
2021-12-22,91.075,93.97,89.88,93.96,101646
2021-12-23,92.39,95.0,90.5,93.94,35378
2021-12-27,94.0,96.9,93.7,95.84,28033
2021-12-28,94.0,96.64,92.81,93.25,31425
2021-12-29,90.29,92.03,89.02,91.39,32321
2021-12-30,90.535,95.44,90.535,93.91,44022
2021-12-31,94.48,95.32,93.99,94.19,27403
2022-01-03,95.76,97.24,92.7,94.48,28297
2022-01-04,93.56,93.86,88.345,88.54,110745
2022-01-05,86.385,87.12,80.855,82.03,141904
2022-01-06,84.44,84.59,80.09,82.31,55754
2022-01-07,82.305,83.86,80.22,80.515,56475
2022-01-10,79.88,82.9,75.78,82.9,50391
2022-01-11,83.245,85.805,81.22,84.02,39208
2022-01-12,85.39,85.825,82.99,84.34,29938
2022-01-13,84.915,85.46,79.48,79.635,63791
2022-01-14,79.16,79.5,75.97,79.02,102275
2022-01-18,76.58,77.21,72.24,72.47,163794
2022-01-19,72.875,73.54,69.85,70.08,126987
2022-01-20,71.9,74.99,70.9,70.93,84510
2022-01-21,70.1,71.165,68.3,68.49,115459
2022-01-24,66.66,69.79,60.66,69.54,133023
2022-01-25,67.14,70.84,64.05,64.49,135925
2022-01-26,66.54,68.33,62.64,62.965,145267
2022-01-27,63.22,63.65,59.615,59.68,67912
2022-01-28,59.49,61.145,57.07,60.89,171655
2022-01-31,62.21,64.55,61.9,64.44,89983
2022-02-01,64.86,67.74,63.85,67.7,136381
2022-02-02,68.355,68.75,65.04,65.22,82892
2022-02-03,62.395,63.69,60.98,61.42,92402
2022-02-04,62.36,69.51,61.82,68.84,191381
2022-02-07,68.47,72.18,68.3,68.5,80204
2022-02-08,67.14,71.45,67.14,70.65,117905
2022-02-09,73.52,75.95,72.685,74.68,111722
2022-02-10,72.97,76.04,71.94,72.34,93681
2022-02-11,73.945,74.12,69.81,70.3,52678
2022-02-14,68.965,72.63,68.965,70.91,90210
2022-02-15,73.035,76.375,73.035,75.54,157048
2022-02-16,73.76,75.85,67.915,68.71,260949
2022-02-17,55.765,66.005,54.23,64.15,595782
2022-02-18,63.65,66.585,63.49,63.79,213138
2022-02-22,61.915,62.085,56.8,57.37,243806
2022-02-23,57.75,58.0,55.56,56.26,118620
2022-02-24,53.66,57.165,52.86,57.02,162655
2022-02-25,57.63,57.88,54.57,57.2,83740
2022-02-28,56.83,58.28,55.76,58.12,125413
2022-03-01,59.21,61.0,57.395,60.36,133945
2022-03-02,59.935,59.935,57.39,57.77,122257
2022-03-03,58.82,58.82,54.72,55.12,132999
2022-03-04,54.59,54.97,49.66,50.23,142034
2022-03-07,50.27,50.27,44.85,47.31,213869
2022-03-08,47.56,47.56,44.45,45.735,260195
2022-03-09,47.71,49.13,47.065,48.505,63803
2022-03-10,46.13,46.67,44.1,46.35,116877
2022-03-11,47.82,47.82,44.5,44.6,136708
2022-03-14,44.73,47.2,43.1,43.96,162691
2022-03-15,44.05,46.76,43.58,46.005,170317
2022-03-16,47.43,50.09,47.27,49.965,202351
2022-03-17,49.765,52.83,49.34,52.5,195497
2022-03-18,52.71,55.7,52.24,54.41,217977
2022-03-21,53.9,54.79,52.52,53.39,127008
2022-03-22,53.355,55.8,52.86,55.24,120749
2022-03-23,54.25,56.68,54.21,54.9,51703
2022-03-24,56.155,56.155,54.01,55.1,58437
2022-03-25,55.76,55.76,52.97,53.4,57133
2022-03-28,53.45,53.77,51.94,53.43,103656
2022-03-29,54.83,56.685,54.46,56.0,110211
2022-03-30,55.065,56.62,54.58,55.35,83841
2022-03-31,55.56,56.24,54.74,55.09,143165
2022-04-01,55.03,56.5,52.72,53.25,124496
2022-04-04,53.57,58.235,53.36,57.76,119575
2022-04-05,57.34,57.34,54.35,54.94,82432
2022-04-06,53.31,53.31,51.3,52.39,74464
2022-04-07,53.28,53.28,50.75,51.89,89484
2022-04-08,51.79,52.26,50.82,51.22,41289
2022-04-11,50.03,51.9,49.34,49.875,84208
2022-04-12,51.39,52.76,49.17,49.48,87970
2022-04-13,49.58,52.07,48.78,51.96,75511
2022-04-14,51.47,51.47,48.9,48.9,47413
2022-04-18,48.02,48.02,45.87,46.74,93391
2022-04-19,47.38,49.66,46.935,49.55,88228
2022-04-20,49.55,49.55,45.02,46.29,167346
2022-04-21,47.37,47.51,43.08,43.14,116511
2022-04-22,43.1,43.1,40.78,41.16,136960
2022-04-25,40.7,41.65,40.7,41.13,185338
2022-04-26,40.81,40.81,37.15,38.6,263504
2022-04-27,38.9,39.7,36.61,37.665,111062
2022-04-28,39.86,40.58,37.59,39.16,150229
2022-04-29,38.8,40.98,38.09,38.14,124368
2022-05-02,38.05,39.71,37.765,39.59,157102
2022-05-03,39.445,41.41,38.89,39.77,142391
2022-05-04,39.18,40.44,36.81,40.33,130305
2022-05-05,39.29,39.29,35.89,36.46,166691
2022-05-06,35.56,35.86,33.005,33.49,275039
2022-05-09,32.47,33.17,30.02,30.2,257633
2022-05-10,31.395,31.74,27.04,29.0,270978
2022-05-11,27.31,29.815,27.235,27.26,343200
2022-05-12,32.1,39.86,31.78,36.77,635755
2022-05-13,38.635,43.16,38.63,39.47,357250
2022-05-16,38.69,39.6,36.79,37.36,142348
2022-05-17,38.65,38.98,36.56,38.07,137025
2022-05-18,37.19,38.765,36.36,36.49,128589
2022-05-19,36.87,40.14,36.15,39.37,184838
2022-05-20,40.35,42.24,38.28,40.03,157681
2022-05-23,39.895,40.575,37.63,37.96,156110
2022-05-24,35.42,35.5,31.425,33.175,427094
2022-05-25,32.88,36.05,32.88,35.77,228060
2022-05-26,34.93,38.2,34.93,36.42,265046
2022-05-27,39.23,40.94,38.38,40.28,218487
2022-05-31,40.68,41.44,37.26,38.12,159722
2022-06-01,38.4,40.71,37.97,38.31,131568
2022-06-02,38.45,41.645,38.15,40.9,219010
2022-06-03,39.625,40.59,39.19,39.39,122754
2022-06-06,40.49,44.03,38.755,42.575,315083
2022-06-07,42.0,44.28,42.0,43.45,242565
2022-06-08,43.585,44.715,43.35,43.8,157916
2022-06-09,43.22,43.91,40.27,40.27,160511
2022-06-10,38.71,39.415,35.27,36.13,241782
2022-06-13,34.2,37.12,32.69,33.79,340241
2022-06-14,33.86,34.15,32.14,32.33,227620
2022-06-15,32.96,34.97,32.915,34.08,247205
2022-06-16,32.41,32.41,30.235,30.62,238749
2022-06-17,30.875,33.77,30.745,33.48,233730
2022-06-21,34.46,35.83,34.4,35.01,168368
2022-06-22,34.295,36.5,34.295,35.99,103997
2022-06-23,37.18,38.31,36.31,38.14,174277
2022-06-24,38.43,40.47,38.43,39.62,240139
2022-06-27,39.875,39.875,37.42,38.32,100259
2022-06-28,37.85,38.8,35.65,36.2,158436
2022-06-29,35.83,36.73,35.15,35.6,196840
2022-06-30,35.15,35.15,33.07,34.47,279451
2022-07-01,34.62,36.1,34.12,34.96,126668
2022-07-05,33.93,35.475,32.37,35.33,261882
2022-07-06,35.72,36.29,34.73,35.88,117539
2022-07-07,36.26,37.75,36.15,37.63,87120
2022-07-08,36.53,38.2,36.195,37.39,105089
2022-07-11,36.51,37.2,34.39,34.93,89469
2022-07-12,35.22,35.88,33.95,34.4,64363
2022-07-13,32.86,33.57,32.35,32.94,125333
2022-07-14,32.91,32.91,30.64,30.81,175773
2022-07-15,31.4,32.95,30.7,32.62,83189
2022-07-18,33.66,35.3,33.59,34.34,99629
2022-07-19,35.82,35.82,34.06,35.17,90572
2022-07-20,35.81,38.67,35.81,37.6,185176
2022-07-21,37.345,38.31,37.03,38.09,73708
2022-07-22,38.34,38.34,35.6,36.16,204046
2022-07-25,35.58,36.53,34.71,35.17,70466
2022-07-26,34.44,34.47,32.765,33.44,68648
2022-07-27,35.24,35.51,34.15,35.32,172266
2022-07-28,35.24,35.98,34.22,35.36,153751
2022-07-29,35.29,35.575,34.09,35.52,99890
2022-08-01,34.19,34.62,33.56,34.17,128941
2022-08-02,33.54,34.83,33.54,34.49,85057
2022-08-03,34.37,36.15,32.86,35.82,259244
2022-08-04,36.225,36.57,35.71,35.98,135223
2022-08-05,35.01,37.1,34.99,36.47,172369
2022-08-08,36.7,40.54,36.7,40.1,178011
2022-08-09,35.085,36.32,33.64,36.03,630330
2022-08-10,37.605,40.5,37.42,40.5,384540
2022-08-11,38.45,39.73,34.32,34.45,544471
2022-08-12,35.0,36.605,34.9,36.32,174289
2022-08-15,35.34,36.2,33.015,33.53,344157
2022-08-16,33.0,33.25,31.265,32.66,359013
2022-08-17,31.925,32.07,30.07,30.2,200280
2022-08-18,30.09,30.09,28.64,28.97,245860
2022-08-19,28.32,28.32,26.82,26.92,168161
2022-08-22,25.77,26.59,25.46,25.54,141681
2022-08-23,25.69,26.425,25.53,26.07,148829
2022-08-24,26.02,27.07,26.0,26.38,227351
2022-08-25,26.76,27.2,26.01,27.09,195033
2022-08-26,27.1,27.1,25.65,25.72,95416
2022-08-29,25.14,26.08,24.89,24.94,117388
2022-08-30,25.42,25.48,24.19,24.495,69656
2022-08-31,24.6,25.06,24.43,24.65,78129
2022-09-01,24.08,25.095,23.42,25.06,97214
2022-09-02,25.47,25.66,23.88,24.07,94464
2022-09-06,23.86,24.595,23.56,24.54,156890
2022-09-07,24.355,25.525,24.355,25.37,104891
2022-09-08,24.795,26.17,24.795,25.92,83922
2022-09-09,26.44,27.84,26.15,27.72,122301
2022-09-12,28.28,28.61,27.78,28.51,93265
2022-09-13,27.77,27.77,26.37,26.67,178359
2022-09-14,26.33,26.575,24.56,25.36,180085
2022-09-15,24.745,26.15,24.27,24.38,332812
2022-09-16,23.64,23.64,22.645,23.15,291598
2022-09-19,22.95,22.95,22.265,22.83,178706
2022-09-20,22.37,22.44,21.73,21.78,127492
2022-09-21,22.045,22.28,21.11,21.13,128510
2022-09-22,21.14,21.26,19.9,19.9,140157
2022-09-23,19.66,20.4,19.35,20.24,85338
2022-09-26,20.525,21.07,19.75,20.305,94280
2022-09-27,20.84,21.325,20.26,20.365,63354
2022-09-28,20.615,21.545,20.55,21.37,69671
2022-09-29,20.7,20.7,19.47,19.675,71415
2022-09-30,19.53,20.72,19.485,19.495,98946
2022-10-03,19.7,20.52,19.13,20.42,83425
2022-10-04,21.19,21.58,20.63,21.24,162145
2022-10-05,20.58,20.96,20.28,20.75,47626
2022-10-06,20.69,21.1,20.27,20.54,46647
2022-10-07,19.865,19.865,18.63,19.22,46267
2022-10-10,19.45,19.57,18.44,18.49,70881
2022-10-11,18.16,18.28,17.36,17.76,90540
