date,open,high,low,close,volume
2020-07-27,132.02,134.92,131.29,134.92,19418
2020-07-28,137.45,138.71,135.77,137.54,40841
2020-07-29,139.0,140.27,138.51,139.1,23360
2020-07-30,138.77,139.44,138.04,139.26,21916
2020-07-31,138.41,140.41,137.14,140.34,32326
2020-08-03,139.33,140.12,138.16,139.53,25923
2020-08-04,139.87,140.28,138.55,139.6,17696
2020-08-05,139.61,139.63,137.18,138.09,52344
2020-08-06,137.21,138.77,136.81,137.87,21194
2020-08-07,137.54,139.04,137.54,138.92,14367
2020-08-10,139.26,139.26,137.89,138.41,25470
2020-08-11,139.64,139.64,135.32,135.72,17011
2020-08-12,137.71,137.71,136.16,137.0,21578
2020-08-13,136.54,137.33,134.91,135.01,15694
2020-08-14,135.33,136.07,134.27,134.55,9894
2020-08-17,134.57,137.66,134.57,137.19,11852
2020-08-18,136.81,137.65,136.2,137.39,20352
2020-08-19,137.23,137.23,135.48,135.61,18532
2020-08-20,136.81,136.81,135.28,135.5,4274
2020-08-21,136.73,136.73,134.15,134.94,19302
2020-08-24,133.76,135.4,133.24,135.4,18807
2020-08-25,135.5,135.5,134.25,134.76,20140
2020-08-26,134.62,135.1,133.83,134.7,22868
2020-08-27,135.65,135.73,134.87,134.87,11327
2020-08-28,134.37,134.37,132.61,134.18,23475
2020-08-31,133.81,133.81,132.51,133.25,21498
2020-09-01,132.2,133.28,131.48,131.68,30270
2020-09-02,131.28,134.89,131.06,134.81,28223
2020-09-03,135.67,136.54,132.63,134.27,22203
2020-09-04,134.99,134.99,130.09,131.63,20178
2020-09-08,129.06,129.51,126.75,128.11,39862
2020-09-09,129.62,130.75,127.89,128.71,34666
2020-09-10,127.52,128.19,126.68,126.79,11383
2020-09-11,126.16,126.4,124.28,125.3,11381
2020-09-14,127.63,129.58,127.63,129.41,16330
2020-09-15,129.29,131.05,129.29,129.32,17495
2020-09-16,129.56,131.7,129.56,130.15,16699
2020-09-17,128.38,130.05,127.54,128.16,34134
2020-09-18,127.51,127.79,124.68,126.0,44406
2020-09-21,123.81,124.61,122.02,123.19,27888
2020-09-22,124.47,126.45,124.31,125.82,24679
2020-09-23,126.48,126.53,123.44,123.77,38320
2020-09-24,125.09,126.28,123.07,123.75,28015
2020-09-25,123.27,125.45,123.27,125.45,17581
2020-09-28,127.66,128.44,126.57,127.62,25890
2020-09-29,127.29,128.67,126.58,127.35,18543
2020-09-30,127.81,129.71,126.05,127.38,45254
2020-10-01,127.58,129.87,127.54,129.84,30845
2020-10-02,128.11,131.53,128.11,131.23,28881
2020-10-05,131.34,132.99,130.24,132.99,23377
2020-10-06,131.88,133.33,131.04,131.46,19399
2020-10-07,131.5,131.85,129.84,129.84,38993
2020-10-08,130.72,132.81,130.72,132.22,25857
2020-10-09,133.0,133.0,131.0,131.52,22574
2020-10-12,131.59,133.2,130.99,132.94,31606
2020-10-13,132.53,133.75,131.44,131.79,40652
2020-10-14,131.46,131.72,129.01,129.1,29224
2020-10-15,128.4,129.71,127.78,128.89,19253
2020-10-16,129.22,130.12,128.58,129.02,49938
2020-10-19,128.43,128.49,126.11,126.29,44256
2020-10-20,127.41,127.85,126.72,127.41,23411
2020-10-21,126.97,128.27,126.91,127.39,30210
2020-10-22,127.25,128.02,127.13,127.42,19065
2020-10-23,128.32,128.32,127.26,127.75,22169
2020-10-26,126.58,126.64,124.05,124.94,43590
2020-10-27,124.54,126.17,122.78,124.31,47633
2020-10-28,121.96,122.95,121.02,121.18,56571
2020-10-29,120.99,121.66,119.85,120.69,47540
2020-10-30,120.82,121.3,119.57,120.65,57223
2020-11-02,122.41,123.16,121.37,123.16,61881
2020-11-03,124.94,125.16,123.35,124.03,64198
2020-11-04,124.8,127.39,124.8,126.29,74976
2020-11-05,126.72,127.28,125.31,126.11,44388
2020-11-06,125.73,127.11,124.61,125.0,57409
2020-11-09,130.9,134.89,122.34,122.55,126789
2020-11-10,122.94,128.84,122.49,128.77,100727
2020-11-11,129.88,130.21,127.93,129.54,50664
2020-11-12,128.65,129.74,127.37,128.38,44579
2020-11-13,128.99,131.16,128.66,130.82,48325
2020-11-16,132.16,132.2,128.81,131.59,49266
2020-11-17,130.55,131.7,130.26,131.6,37896
2020-11-18,131.82,132.91,129.41,129.42,43171
2020-11-19,128.14,130.48,128.13,130.3,37873
2020-11-20,130.53,131.01,129.72,130.72,23334
2020-11-23,131.25,132.12,130.17,130.51,25829
2020-11-24,131.59,132.21,129.01,129.24,29620
2020-11-25,129.45,129.84,128.3,129.35,23653
2020-11-27,129.25,129.61,128.84,129.22,10656
2020-11-30,128.85,130.46,128.16,130.36,39327
2020-12-01,131.29,134.15,131.29,133.86,33968
2020-12-02,133.79,135.36,131.74,132.15,31311
2020-12-03,132.3,134.36,132.3,133.58,27181
2020-12-04,134.61,136.19,134.61,136.08,27278
2020-12-07,136.05,136.49,135.86,136.17,30015
2020-12-08,136.13,136.83,135.66,135.97,29548
2020-12-09,135.82,136.87,134.15,136.45,31798
2020-12-10,136.13,137.05,136.04,136.16,35821
2020-12-11,136.67,137.44,136.23,137.35,20058
2020-12-14,138.52,140.83,137.3,137.7,33023
2020-12-15,137.92,140.15,136.78,140.15,52867
2020-12-16,142.07,142.3,140.65,141.61,30044
2020-12-17,142.1,143.01,140.66,141.41,27178
2020-12-18,141.57,141.74,138.8,139.42,37009
2020-12-21,138.43,139.37,137.63,139.0,27787
2020-12-22,138.82,140.08,138.59,139.84,26280
2020-12-23,140.09,141.75,137.96,138.41,20398
2020-12-24,138.0,138.95,138.0,138.78,10899
2020-12-28,139.43,140.19,138.67,139.88,15088
2020-12-29,141.45,142.07,138.98,139.59,23168
2020-12-30,139.95,140.65,139.85,140.28,21686
2020-12-31,139.71,142.8,139.71,142.67,13883
2021-01-04,143.15,143.15,136.63,136.88,39858
2021-01-05,137.78,138.12,136.35,136.56,30589
2021-01-06,131.77,131.77,129.58,130.73,219602
2021-01-07,132.48,133.27,131.32,132.35,77170
2021-01-08,132.78,133.35,131.27,132.74,45712
2021-01-11,132.8,133.06,131.47,132.08,30582
2021-01-12,131.26,132.19,129.79,131.56,55412
2021-01-13,132.47,135.98,131.48,135.16,112236
2021-01-14,135.32,135.75,133.99,134.09,56269
2021-01-15,134.01,135.14,132.62,134.86,59361
2021-01-19,135.74,135.74,132.98,133.39,34666
2021-01-20,134.08,137.84,133.63,136.95,70337
2021-01-21,136.86,137.71,136.26,137.42,63737
2021-01-22,137.12,137.84,135.3,135.3,32098
2021-01-25,134.37,136.36,134.07,135.75,44758
2021-01-26,136.47,136.58,134.63,135.39,44352
2021-01-27,134.41,135.26,132.23,133.11,56192
2021-01-28,133.06,136.08,133.06,134.06,32731
2021-01-29,132.57,135.17,132.44,133.81,74910
2021-02-01,134.01,135.76,133.65,135.76,39930
2021-02-02,134.48,136.58,133.35,133.39,42761
2021-02-03,133.37,135.46,132.29,135.29,47552
2021-02-04,136.22,138.24,135.83,137.02,36765
2021-02-05,137.5,138.07,136.85,137.57,26167
2021-02-08,136.94,137.98,136.38,136.52,23296
2021-02-09,136.71,137.63,136.26,137.21,42116
2021-02-10,136.98,139.61,136.98,138.35,43153
2021-02-11,138.61,138.61,136.97,137.78,31227
2021-02-12,137.84,138.94,137.1,138.62,57294
2021-02-16,139.13,139.13,135.52,136.58,56588
2021-02-17,136.68,136.68,135.21,135.67,30962
2021-02-18,135.3,135.88,134.49,134.82,45710
2021-02-19,135.96,135.96,132.98,133.14,50440
2021-02-22,132.57,133.13,131.11,132.84,62728
2021-02-23,132.83,133.17,131.03,131.03,70018
2021-02-24,130.53,131.7,130.41,131.33,70335
2021-02-25,131.35,132.04,128.82,130.2,53471
2021-02-26,129.86,130.57,127.87,127.95,92516
2021-03-01,129.41,130.24,127.43,127.86,59388
2021-03-02,128.2,129.37,127.18,128.86,39092
2021-03-03,128.86,129.06,127.37,127.67,74231
2021-03-04,127.56,129.08,125.81,126.3,122093
2021-03-05,125.57,127.13,123.75,126.84,80687
2021-03-08,127.37,129.44,126.08,128.46,60766
2021-03-09,129.49,131.37,129.49,130.5,86648
2021-03-10,130.54,130.78,129.34,129.51,56668
2021-03-11,129.84,130.96,129.36,129.78,33437
2021-03-12,130.03,131.05,129.77,130.95,41923
2021-03-15,131.18,133.5,130.95,133.17,53701
2021-03-16,133.0,135.62,133.0,135.5,34389
2021-03-17,134.61,135.39,133.81,135.21,33483
2021-03-18,134.43,135.43,133.49,135.34,30280
2021-03-19,135.32,135.56,132.89,132.94,46914
2021-03-22,133.08,133.75,132.38,133.43,23569
2021-03-23,133.81,134.78,132.46,133.01,32489
2021-03-24,132.84,134.94,132.77,133.51,47656
2021-03-25,132.6,135.68,132.24,135.53,28998
2021-03-26,135.6,135.9,133.57,135.35,52077
2021-03-29,134.92,136.1,132.43,135.44,46425
2021-03-30,135.19,135.24,133.72,133.98,46369
2021-03-31,133.75,134.06,132.39,132.39,93090
2021-04-01,133.13,136.92,132.34,136.92,48820
2021-04-05,137.62,138.21,136.19,137.69,28694
2021-04-06,137.55,138.89,137.07,137.78,51123
2021-04-07,138.42,138.42,136.91,137.08,35562
2021-04-08,137.37,137.75,136.35,136.49,37139
2021-04-09,136.44,136.79,135.4,135.77,65060
2021-04-12,136.24,136.59,135.24,136.18,60575
2021-04-13,135.71,138.14,135.65,138.02,40232
2021-04-14,138.12,138.54,137.69,137.91,24022
2021-04-15,139.22,140.53,138.87,140.45,37246
2021-04-16,140.63,141.9,140.27,141.73,19705
2021-04-20,141.87,144.68,141.87,144.45,62793
2021-04-21,144.57,145.99,144.45,145.03,26166
2021-04-22,144.85,145.31,144.05,144.4,33950
2021-04-23,143.7,144.72,143.2,144.51,28693
2021-04-26,144.72,145.84,144.07,144.61,23352
2021-04-27,143.91,144.28,143.03,143.42,39032
2021-04-28,143.67,144.44,143.28,144.01,20964
2021-04-29,145.41,145.57,144.61,144.9,22208
2021-04-30,144.72,146.21,144.72,145.96,35735
2021-05-03,145.32,145.85,144.95,145.12,23534
2021-05-04,145.74,146.14,145.39,145.82,32834
2021-05-05,144.42,144.42,141.42,141.44,39851
2021-05-06,142.42,142.63,141.37,142.27,29352
2021-05-07,142.41,144.23,142.41,143.55,20284
2021-05-10,144.66,146.33,144.41,144.46,18602
2021-05-11,143.14,143.4,141.86,142.85,21830
2021-05-12,142.26,142.26,139.02,139.07,26616
2021-05-13,139.04,140.66,138.98,139.08,28575
2021-05-14,139.8,140.76,139.77,140.15,23687
2021-05-17,139.99,140.41,138.95,139.41,13761
2021-05-18,139.09,140.58,138.29,140.14,10556
2021-05-19,139.69,139.77,138.46,139.4,12288
2021-05-20,140.37,141.54,140.34,141.14,7448
2021-05-21,141.65,141.65,140.33,140.79,21522
2021-05-24,141.13,143.95,141.13,143.47,17704
2021-05-25,142.95,144.1,142.74,143.78,17341
2021-05-26,143.64,144.2,142.91,143.08,10125
