date,open,high,low,close,volume
2020-07-27,119.74,119.74,117.4,119.32,22926
2020-07-28,119.94,123.48,118.4,122.98,39403
2020-07-29,123.86,124.17,120.15,124.17,91577
2020-07-30,121.78,123.79,119.3,123.79,122426
2020-07-31,123.06,125.45,120.36,125.37,52391
2020-08-03,123.84,123.84,122.39,122.75,64122
2020-08-04,122.54,124.64,121.84,124.17,44915
2020-08-05,124.07,124.81,122.77,123.66,35253
2020-08-06,123.41,124.26,122.94,123.57,16559
2020-08-07,123.1,125.98,122.85,125.95,29714
2020-08-10,125.93,128.15,125.77,125.82,13057
2020-08-11,128.17,128.49,123.7,124.32,34769
2020-08-12,124.99,125.24,123.6,125.23,21984
2020-08-13,123.38,126.51,123.29,123.47,38855
2020-08-14,123.42,126.59,123.42,125.35,48206
2020-08-17,125.25,127.18,125.25,127.18,20945
2020-08-18,127.04,127.04,125.63,126.32,33814
2020-08-19,125.3,125.99,123.81,124.55,43885
2020-08-20,125.58,126.77,125.58,125.88,17656
2020-08-21,125.72,126.86,123.68,124.67,25791
2020-08-24,124.14,127.48,123.26,127.48,40850
2020-08-25,127.47,128.11,126.49,127.21,17460
2020-08-26,126.06,126.74,124.7,125.93,55458
2020-08-27,127.03,129.99,127.03,129.69,34469
2020-08-28,129.81,130.95,129.0,130.63,35793
2020-08-31,129.47,129.75,128.37,129.48,30267
2020-09-01,128.43,129.63,127.84,129.58,55750
2020-09-02,129.35,132.07,128.7,132.07,30005
2020-09-03,133.49,134.36,130.19,131.16,26710
2020-09-04,131.64,133.7,130.49,132.78,22617
2020-09-08,130.6,131.21,129.5,129.75,37678
2020-09-09,129.56,130.33,127.68,127.9,38740
2020-09-10,127.01,127.53,123.92,124.86,75989
2020-09-11,124.15,124.15,121.67,122.7,49808
2020-09-14,123.28,127.77,123.0,126.55,58091
2020-09-15,126.13,127.55,124.85,124.9,54078
2020-09-16,125.07,126.82,125.07,125.29,48980
2020-09-17,123.65,126.73,123.65,125.66,16421
2020-09-18,124.36,125.26,123.62,123.75,32573
2020-09-21,121.86,121.86,119.27,119.29,40434
2020-09-22,120.83,123.01,120.83,122.08,34243
2020-09-23,121.84,123.67,119.99,120.38,34821
