date,open,high,low,close,volume
2020-07-27,27.18,27.55,27.12,27.54,1321940
2020-07-28,27.43,27.53,27.02,27.14,365820
2020-07-29,27.26,27.44,27.13,27.2,458880
2020-07-30,27.02,27.6,27.02,27.52,819880
2020-07-31,27.71,28.08,27.48,27.91,830230
2020-08-03,28.06,28.52,27.99,28.3,488420
2020-08-04,28.29,28.97,28.28,28.95,1046540
2020-08-05,28.98,29.24,28.75,29.05,572270
2020-08-06,28.92,29.17,28.72,29.04,319990
2020-08-07,28.95,29.08,28.38,28.73,539550
2020-08-10,28.65,29.03,28.61,28.88,461400
2020-08-11,28.95,29.39,28.48,28.6,425990
2020-08-12,28.73,29.63,28.73,29.42,337910
2020-08-13,29.24,29.35,28.93,29.07,333020
2020-08-14,29.05,29.08,28.77,28.89,232410
2020-08-17,29.03,29.25,29.03,29.12,210550
2020-08-18,29.28,29.38,28.95,28.98,264520
2020-08-19,29.15,29.37,28.96,29.05,172120
2020-08-20,28.89,29.1,28.79,29.01,207680
2020-08-21,28.92,29.15,28.71,29.14,178250
2020-08-24,29.31,29.62,29.23,29.44,304100
2020-08-25,29.49,29.7,29.38,29.64,356260
2020-08-26,29.58,30.11,29.44,29.97,308260
2020-08-27,30.04,30.08,29.68,29.92,249090
2020-08-28,29.94,30.41,29.79,30.4,173010
2020-08-31,30.54,30.83,30.37,30.62,609880
2020-09-01,30.76,31.93,30.67,31.71,995540
2020-09-02,32.16,33.42,32.09,33.1,1412810
2020-09-03,32.46,32.46,30.9,31.11,984570
2020-09-04,31.91,32.82,31.18,32.05,2006700
2020-09-08,31.07,31.99,30.89,30.94,903590
2020-09-09,31.43,31.91,31.03,31.75,435700
2020-09-10,32.0,32.42,31.32,31.49,555390
2020-09-11,31.76,32.12,31.3,31.75,390530
2020-09-14,32.16,32.22,31.74,31.98,553330
2020-09-15,32.27,32.72,32.23,32.41,555850
2020-09-16,32.49,32.8,32.32,32.38,1167750
2020-09-17,31.36,32.65,31.33,32.27,571890
2020-09-18,32.42,32.42,31.37,31.7,528510
2020-09-21,31.16,31.32,30.61,31.32,637420
2020-09-22,31.64,32.2,31.43,32.19,353120
2020-09-23,32.06,32.13,31.17,31.29,326690
2020-09-24,31.15,31.81,31.15,31.36,495540
2020-09-25,31.35,31.84,31.04,31.74,1455490
2020-09-28,32.19,32.79,31.99,32.67,669960
2020-09-29,32.73,32.99,32.42,32.42,401920
2020-09-30,32.34,33.02,32.22,32.44,478780
2020-10-01,32.83,32.96,32.49,32.82,1049440
2020-10-02,32.08,32.46,31.72,31.75,764260
2020-10-05,32.12,32.65,32.05,32.58,856290
2020-10-06,32.57,33.09,32.24,32.44,477100
2020-10-07,32.77,32.88,32.58,32.65,858580
2020-10-08,32.85,33.32,32.8,33.25,736280
2020-10-09,33.46,33.82,33.33,33.52,909170
2020-10-12,33.98,34.26,33.83,34.06,1239950
2020-10-13,34.22,34.47,33.71,33.96,1668980
2020-10-14,34.16,34.16,33.64,33.84,1234480
2020-10-15,33.43,33.86,33.39,33.82,1036420
2020-10-16,34.1,34.11,33.67,33.68,593060
2020-10-19,33.94,34.14,33.39,33.43,772440
2020-10-20,33.59,33.91,33.43,33.58,1136290
2020-10-21,33.5,33.55,33.01,33.12,885480
2020-10-22,33.03,33.31,32.71,33.22,1039820
2020-10-23,33.28,33.28,33.0,33.15,514330
2020-10-26,32.81,32.93,31.85,32.31,875770
2020-10-27,32.48,32.49,31.98,31.99,494970
2020-10-28,31.51,31.55,30.76,30.87,1390520
2020-10-29,30.92,31.97,30.84,31.56,848690
2020-10-30,31.1,31.42,30.67,31.17,802520
2020-11-02,31.39,31.58,31.02,31.24,286670
2020-11-03,31.66,31.97,31.42,31.44,852690
2020-11-04,32.07,32.83,31.85,32.44,741350
2020-11-05,33.2,34.05,33.18,33.91,1243780
2020-11-06,33.83,34.15,33.62,33.85,540770
2020-11-09,34.68,35.04,33.41,33.43,1711260
2020-11-10,32.97,33.18,32.13,32.36,2261380
2020-11-11,32.93,33.56,32.88,33.43,1396460
2020-11-12,33.53,33.66,32.81,32.91,404660
2020-11-13,33.36,33.56,33.12,33.25,266830
2020-11-16,33.51,33.94,33.33,33.94,380900
2020-11-17,33.67,34.03,33.59,33.9,488100
2020-11-18,33.83,34.25,33.83,33.93,598920
2020-11-19,33.7,34.22,33.32,34.21,715780
2020-11-20,34.24,34.61,34.11,34.11,478930
2020-11-23,34.26,34.63,34.13,34.44,834160
2020-11-24,34.59,34.94,34.4,34.9,440540
2020-11-25,34.99,35.14,34.64,34.82,314370
2020-11-27,35.07,35.52,35.04,35.16,334610
2020-11-30,35.12,35.74,35.0,35.73,332630
2020-12-01,35.85,36.19,35.63,36.0,592430
2020-12-02,35.99,36.06,35.73,35.91,358690
2020-12-03,35.97,36.17,35.52,35.62,1248950
2020-12-04,35.82,36.7,35.82,36.64,930760
2020-12-07,36.96,37.62,36.81,37.49,1057270
2020-12-08,37.45,37.98,37.24,37.65,1144560
2020-12-09,37.36,37.91,36.83,37.08,686020
2020-12-10,36.58,36.95,36.38,36.46,1589170
2020-12-11,35.96,36.21,35.45,36.07,1340750
2020-12-14,36.26,36.88,36.24,36.65,1203710
2020-12-15,37.03,37.32,36.77,37.22,1078900
2020-12-16,37.2,38.02,37.14,37.86,1148010
2020-12-17,38.01,38.27,37.82,37.92,915800
2020-12-18,38.08,39.1,37.9,39.1,1280890
2020-12-21,38.44,38.74,38.08,38.53,827740
2020-12-22,38.46,38.92,38.46,38.91,707640
2020-12-23,38.99,39.05,38.16,38.16,599600
2020-12-24,38.41,38.72,38.38,38.72,179720
2020-12-28,39.19,39.19,38.71,38.81,517420
2020-12-29,39.05,39.05,38.34,38.52,412350
2020-12-30,38.81,39.32,38.63,39.02,545480
2020-12-31,39.17,39.35,38.92,39.35,313050
2021-01-04,39.44,39.7,37.83,38.14,1253120
2021-01-05,38.31,38.49,37.93,38.43,574050
2021-01-06,38.13,39.01,37.77,38.23,989790
2021-01-07,38.78,39.9,38.66,39.79,961600
2021-01-08,40.13,40.39,39.39,40.03,773720
2021-01-11,39.66,40.29,39.66,40.03,475860
2021-01-12,40.14,40.82,40.0,40.36,1190800
2021-01-13,40.36,40.7,40.24,40.51,541380
2021-01-14,40.7,41.15,40.56,40.57,665080
2021-01-15,40.23,40.37,39.57,40.06,877930
2021-01-19,40.42,41.24,40.35,41.24,686810
2021-01-20,41.22,41.79,40.89,41.5,756500
2021-01-21,41.44,42.14,41.34,41.93,804880
2021-01-22,41.68,41.97,41.53,41.71,1028660
2021-01-25,42.19,42.19,40.98,41.76,503590
2021-01-26,41.6,41.92,41.49,41.65,1003320
2021-01-27,40.91,40.98,39.65,39.91,1309860
2021-01-28,40.78,41.16,40.13,40.55,1053420
2021-01-29,40.4,41.09,40.22,40.41,1210870
2021-02-01,40.85,42.12,40.76,41.9,755080
2021-02-02,42.17,42.82,42.07,42.79,827130
2021-02-03,42.82,42.85,41.71,41.76,615090
2021-02-04,41.42,42.29,41.07,42.29,856120
2021-02-05,42.55,42.8,41.81,41.85,705620
2021-02-08,42.09,42.47,41.83,42.47,1040910
2021-02-09,42.46,42.65,42.16,42.61,893460
2021-02-10,42.84,42.85,41.92,42.16,656870
2021-02-11,42.4,43.0,42.16,43.0,1259340
2021-02-12,42.89,43.68,42.76,43.67,836880
2021-02-16,43.95,44.4,43.72,43.91,1203720
2021-02-17,43.44,43.62,42.65,43.36,1074040
2021-02-18,43.09,43.57,42.67,43.36,911820
2021-02-19,43.82,44.42,43.73,43.98,704180
2021-02-22,43.45,43.66,42.68,42.78,873480
2021-02-23,42.34,42.6,40.95,42.35,1212120
2021-02-24,41.92,43.2,41.57,43.2,799460
2021-02-25,42.53,43.03,40.89,41.06,1086960
2021-02-26,41.99,42.69,41.36,42.21,1074600
2021-03-01,42.93,43.98,42.56,43.96,1334680
2021-03-02,44.03,44.03,43.06,43.07,1040540
2021-03-03,42.89,43.2,41.52,41.52,1104630
2021-03-04,41.49,41.85,39.66,39.79,2011200
2021-03-05,40.78,40.82,38.9,40.39,2406700
2021-03-08,40.19,40.2,37.65,37.72,2183580
2021-03-09,39.11,40.11,38.7,39.82,1495320
2021-03-10,40.22,40.72,39.1,39.26,1140580
2021-03-11,40.28,41.05,39.7,40.73,1453970
2021-03-12,39.99,40.69,39.99,40.49,1493950
2021-03-15,40.83,42.29,40.72,42.25,1607860
2021-03-16,42.33,43.43,42.01,42.94,1746170
2021-03-17,42.37,43.73,42.21,43.4,1053510
2021-03-18,42.48,43.39,41.63,41.63,2013800
2021-03-19,41.47,43.13,41.14,42.94,3046210
2021-03-22,42.85,43.53,42.72,43.0,1574510
2021-03-23,42.85,42.96,41.88,41.96,1298130
2021-03-24,42.47,42.52,41.38,41.38,1484890
2021-03-25,41.12,41.96,40.65,41.8,816360
2021-03-26,41.44,43.68,41.36,43.68,974720
2021-03-29,43.47,43.47,42.41,42.74,1016000
2021-03-30,41.93,41.93,40.89,41.29,1853990
2021-03-31,41.55,42.25,40.93,41.99,1613820
2021-04-01,42.67,43.11,42.48,43.06,1459750
2021-04-05,43.42,44.3,43.22,44.19,1197150
2021-04-06,43.71,44.17,43.25,43.79,1091600
2021-04-07,43.45,43.76,43.26,43.61,885610
2021-04-08,44.02,44.06,43.45,43.96,1152760
2021-04-09,43.48,43.91,43.12,43.87,863520
2021-04-12,43.6,43.88,43.33,43.77,764730
2021-04-13,43.9,44.11,43.48,43.9,529110
2021-04-14,43.73,44.26,43.01,43.2,1089220
2021-04-15,43.57,43.63,43.17,43.43,1382530
2021-04-16,43.45,43.57,43.15,43.34,752390
2021-04-19,43.04,43.04,41.63,41.8,1507980
2021-04-20,41.66,41.78,41.14,41.36,1076200
2021-04-21,41.32,41.62,40.96,41.62,1125200
2021-04-22,41.21,41.71,40.63,41.15,1477620
2021-04-23,41.41,42.33,41.41,42.17,979740
2021-04-26,42.16,42.86,41.99,42.7,1042110
2021-04-27,42.87,42.91,42.08,42.19,758100
2021-04-28,42.09,42.09,41.27,41.51,1279710
2021-04-29,42.33,42.33,41.55,42.21,901190
2021-04-30,41.58,41.68,41.07,41.28,920470
2021-05-03,41.43,41.5,40.58,40.71,894950
2021-05-04,40.37,40.37,39.59,40.25,1625380
2021-05-05,40.68,40.82,40.04,40.18,945790
2021-05-06,39.97,40.62,39.79,40.6,860030
2021-05-07,41.12,41.46,40.69,40.92,724330
2021-05-10,40.57,40.57,39.43,39.45,1057520
2021-05-11,38.51,39.96,38.29,39.86,973050
2021-05-12,38.88,38.88,37.94,38.2,2255740
2021-05-13,38.83,39.33,38.53,38.92,1344920
2021-05-14,39.43,40.26,39.12,39.91,1046250
2021-05-17,39.96,39.98,39.18,39.78,615040
2021-05-18,40.11,40.13,39.21,39.21,692280
2021-05-19,38.62,40.0,38.53,39.97,1304690
2021-05-20,40.31,41.54,40.31,41.17,1245140
2021-05-21,41.41,41.41,40.67,40.8,610260
2021-05-24,41.34,41.83,41.31,41.53,677410
2021-05-25,41.84,41.88,41.31,41.59,502800
2021-05-26,41.74,41.79,41.22,41.69,542070
2021-05-27,41.63,42.38,41.61,42.34,957210
2021-05-28,42.45,42.93,42.32,42.75,853090
2021-06-01,43.02,43.2,42.31,42.35,802330
2021-06-02,42.58,43.2,42.56,42.9,830110
2021-06-03,42.42,42.5,41.91,42.06,1320880
2021-06-04,42.56,43.27,42.51,42.98,1543930
2021-06-07,42.92,42.92,41.85,41.96,1113590
2021-06-08,42.35,42.74,41.94,41.94,1190060
2021-06-09,42.05,42.16,41.81,41.98,674640
2021-06-10,41.95,42.47,41.65,42.41,670770
2021-06-11,42.43,42.71,42.28,42.54,598000
2021-06-14,42.46,43.05,42.18,43.05,769220
2021-06-15,43.09,43.1,42.41,42.57,425880
