date,open,high,low,close,volume
2020-07-27,108.44,108.44,102.71,104.5,63687
2020-07-28,105.28,106.54,105.25,106.05,85243
2020-07-29,106.23,107.57,105.77,106.27,73399
2020-07-30,104.29,104.85,103.3,103.75,22970
2020-07-31,102.17,102.17,101.05,102.11,18969
2020-08-03,102.24,102.99,101.61,101.63,30131
2020-08-04,101.4,102.85,100.96,102.66,60850
2020-08-05,103.61,105.25,103.61,104.61,14813
2020-08-06,104.79,104.79,102.97,103.19,23562
2020-08-07,102.62,104.32,102.38,104.32,34771
2020-08-10,104.84,105.61,104.15,104.75,13498
2020-08-11,106.45,108.1,106.27,106.62,42099
2020-08-12,108.02,108.84,107.45,108.55,11715
2020-08-13,107.22,107.32,106.34,106.71,13292
2020-08-14,106.01,106.23,104.93,105.07,15649
2020-08-17,105.37,105.48,104.03,104.38,23360
2020-08-18,104.34,104.34,102.89,103.11,27239
2020-08-19,103.35,104.56,102.75,102.98,9606
2020-08-20,102.06,102.21,101.2,102.21,9803
2020-08-21,101.81,103.56,101.81,103.23,12509
2020-08-24,103.93,104.65,103.48,103.85,19629
2020-08-25,104.5,104.73,103.32,104.37,20780
2020-08-26,103.68,104.52,103.55,104.38,8957
2020-08-27,104.34,105.54,104.29,104.77,22856
2020-08-28,104.71,106.6,104.06,106.54,22737
2020-08-31,105.54,105.54,103.34,103.96,30647
2020-09-01,103.03,106.53,102.77,106.53,15585
2020-09-02,106.98,110.06,106.74,109.82,31068
2020-09-03,109.49,109.75,106.22,107.95,24430
2020-09-04,109.32,109.32,106.57,107.9,26571
2020-09-08,106.57,106.57,102.9,103.28,21052
2020-09-09,105.18,105.82,104.46,105.4,28870
2020-09-10,106.27,106.85,104.99,105.09,51993
2020-09-11,106.53,109.42,106.01,108.54,64736
2020-09-14,109.92,112.12,109.92,110.35,67458
2020-09-15,111.81,116.59,111.81,115.94,61192
2020-09-16,116.44,117.48,115.99,116.3,49266
2020-09-17,113.93,117.49,113.25,116.56,40098
2020-09-18,116.25,116.25,112.86,113.6,36123
2020-09-21,111.63,112.55,108.31,109.78,44493
2020-09-22,110.05,110.99,109.57,110.47,64752
2020-09-23,110.43,110.63,107.15,107.54,49203
2020-09-24,106.24,108.28,105.94,106.39,14775
2020-09-25,105.26,108.43,105.26,108.09,20334
2020-09-28,109.42,112.16,109.42,111.31,43892
2020-09-29,112.07,113.53,111.77,112.91,33998
2020-09-30,113.88,117.16,113.84,115.94,77559
2020-10-01,116.33,117.11,112.64,112.95,41702
2020-10-02,112.48,113.78,111.57,112.62,28953
2020-10-05,114.41,116.57,114.08,116.18,43092
2020-10-06,117.22,118.26,113.93,114.4,58745
2020-10-07,116.06,118.65,116.06,117.3,23738
2020-10-08,118.26,119.72,118.05,119.64,22853
2020-10-09,120.17,120.41,117.91,118.18,38766
2020-10-12,119.2,119.2,116.97,117.09,43974
2020-10-13,116.76,118.33,116.71,117.22,28599
2020-10-14,117.7,119.26,117.7,118.73,23578
2020-10-15,117.54,120.96,117.54,120.34,37256
2020-10-16,121.37,121.81,120.86,121.51,29163
2020-10-19,121.52,123.22,121.01,121.01,46674
2020-10-20,122.64,124.5,121.29,121.83,47364
2020-10-21,121.82,131.51,121.82,129.06,123065
2020-10-22,127.37,129.38,126.07,127.62,88350
2020-10-23,129.21,129.84,127.33,128.55,64056
2020-10-26,127.25,127.25,124.6,126.13,20729
2020-10-27,126.03,126.97,125.17,125.18,36817
2020-10-28,122.9,124.05,121.91,122.37,30987
2020-10-29,123.6,127.56,123.01,126.74,41785
2020-10-30,125.41,126.98,123.84,125.29,39703
2020-11-02,127.35,128.63,127.04,128.39,19288
2020-11-03,130.41,132.16,130.07,131.49,23479
2020-11-04,130.33,131.66,129.24,130.01,18169
2020-11-05,131.86,134.87,131.85,133.19,18861
2020-11-06,133.24,134.68,133.24,134.34,10432
2020-11-09,140.39,141.65,137.4,137.81,42183
2020-11-10,136.27,137.99,133.8,136.43,150689
2020-11-11,137.4,138.61,136.57,137.53,9776
2020-11-12,136.0,137.04,132.91,133.66,32873
2020-11-13,135.46,136.44,134.45,135.55,31061
2020-11-16,138.53,139.35,136.69,137.94,26704
2020-11-17,136.34,137.86,135.12,135.4,37328
2020-11-18,135.76,137.04,133.72,133.72,22405
2020-11-19,132.65,133.54,131.72,133.0,65784
2020-11-20,132.97,133.79,132.43,133.61,13715
2020-11-23,135.07,135.07,132.89,133.47,16410
2020-11-24,135.73,138.82,135.33,138.66,27795
2020-11-25,137.88,138.43,137.06,137.3,25683
2020-11-27,137.25,137.8,135.46,135.74,9907
2020-11-30,135.98,136.84,134.56,135.28,16671
2020-12-01,137.2,138.87,136.77,138.1,31719
2020-12-02,137.76,138.49,136.59,137.08,12370
2020-12-03,137.26,138.27,136.07,136.32,20761
2020-12-04,136.89,140.17,136.89,140.07,10429
2020-12-07,140.41,141.26,139.38,140.24,33310
2020-12-08,139.18,141.85,138.83,141.37,25179
2020-12-09,141.8,142.26,139.31,140.0,41449
2020-12-10,139.06,139.07,136.44,137.22,49760
2020-12-11,136.39,137.06,135.91,136.48,21974
2020-12-14,138.01,138.1,135.02,135.39,55630
2020-12-15,137.23,137.93,135.71,137.33,23887
2020-12-16,137.03,137.48,135.52,137.17,20971
2020-12-17,138.99,138.99,136.88,138.4,14083
2020-12-18,138.48,139.29,137.21,139.11,30660
2020-12-21,137.49,138.3,135.27,138.26,15201
2020-12-22,138.08,138.53,136.71,137.97,14348
2020-12-23,138.9,140.06,138.07,138.91,15697
2020-12-24,139.18,139.58,138.44,139.58,3366
2020-12-28,139.46,141.54,139.46,140.08,9048
2020-12-29,140.75,140.85,137.88,138.47,20968
2020-12-30,139.91,140.88,139.22,140.14,15185
2020-12-31,139.19,141.39,139.15,141.07,15116
2021-01-04,142.19,142.75,137.45,138.16,46720
2021-01-05,140.02,140.22,138.03,138.4,39045
2021-01-06,139.61,144.07,139.61,143.6,57287
2021-01-07,146.34,148.35,145.79,148.27,31510
2021-01-08,148.4,148.89,141.75,142.75,47582
2021-01-11,142.81,147.83,142.81,146.68,37488
2021-01-12,147.66,149.25,146.57,148.69,25135
2021-01-13,147.21,148.9,146.11,148.09,30905
2021-01-14,147.97,149.11,146.88,147.21,27687
2021-01-15,145.53,146.13,144.1,145.17,17498
2021-01-19,145.82,146.32,144.66,145.34,20895
2021-01-20,145.12,146.88,144.97,145.17,22553
2021-01-21,144.75,146.18,144.17,145.35,14950
2021-01-22,144.61,144.61,142.38,142.5,21756
2021-01-25,142.62,142.62,139.78,141.75,29622
2021-01-26,143.12,143.12,141.07,141.18,16508
2021-01-27,137.7,138.42,134.17,135.22,26918
2021-01-28,138.09,141.61,138.09,140.49,24354
2021-01-29,139.37,139.56,136.9,137.22,19575
2021-02-01,139.33,139.82,136.0,139.26,23248
2021-02-02,139.84,142.86,139.11,141.84,26013
2021-02-03,145.53,152.61,145.02,151.53,55587
2021-02-04,151.53,154.53,148.23,154.53,45118
2021-02-05,155.58,157.39,154.29,157.32,53675
2021-02-08,157.42,159.49,156.31,159.07,41273
2021-02-09,157.23,158.27,156.13,156.97,28023
2021-02-10,158.32,160.42,157.24,158.76,33412
2021-02-11,158.74,158.74,155.84,157.84,22357
2021-02-12,157.94,161.28,156.77,161.27,15311
2021-02-16,162.17,163.03,161.18,162.93,27591
2021-02-17,161.3,162.79,159.35,159.46,27714
2021-02-18,158.47,159.66,156.18,157.07,40587
2021-02-19,158.27,160.75,157.85,159.48,34203
2021-02-22,158.13,158.13,155.88,156.67,57812
2021-02-23,155.99,160.44,154.03,159.9,44605
2021-02-24,159.69,164.93,158.49,164.19,64674
2021-02-25,163.93,164.75,161.89,162.66,43711
2021-02-26,161.24,163.33,159.79,159.81,50395
2021-03-01,161.1,165.18,161.1,162.26,25971
2021-03-02,161.72,163.24,159.54,161.57,25409
2021-03-03,162.02,164.36,161.94,163.33,32251
2021-03-04,162.52,163.23,153.95,157.01,24767
2021-03-05,159.65,162.04,154.0,162.04,35442
2021-03-08,161.94,169.54,161.81,166.94,58783
2021-03-09,167.65,170.42,166.32,166.67,41575
2021-03-10,167.06,167.39,164.42,164.46,62859
2021-03-11,164.23,164.99,161.96,163.68,75007
2021-03-12,164.07,165.58,164.0,164.93,13373
2021-03-15,164.99,168.18,164.1,168.18,33841
2021-03-16,168.55,169.57,164.77,164.83,26388
2021-03-17,165.6,166.09,163.52,165.32,21246
2021-03-18,165.02,166.65,164.38,165.66,45499
2021-03-19,163.85,165.87,162.07,164.14,39696
2021-03-22,162.44,165.56,162.04,164.74,24932
2021-03-23,164.39,165.0,160.55,161.23,15526
2021-03-24,162.78,164.4,161.51,161.56,21287
2021-03-25,159.72,165.96,159.61,165.92,23280
2021-03-26,167.04,167.65,165.03,167.65,18799
2021-03-29,167.45,168.97,166.23,166.3,26617
2021-03-30,167.28,169.21,166.44,168.95,19441
2021-03-31,168.73,169.95,167.53,167.87,16514
2021-04-01,168.15,172.3,166.03,171.63,50784
2021-04-05,173.08,175.3,172.59,174.38,36318
2021-04-06,174.32,175.96,173.5,175.52,39983
2021-04-07,174.67,174.93,172.94,173.97,29726
2021-04-08,173.87,175.66,172.61,175.24,22570
2021-04-09,175.38,180.54,175.22,180.01,55122
2021-04-12,180.69,180.82,178.51,179.38,40578
2021-04-13,178.58,178.58,175.41,176.8,15275
2021-04-14,176.66,178.68,175.78,177.66,50817
2021-04-15,179.1,182.25,178.78,181.18,42666
2021-04-16,183.4,183.4,180.82,181.39,31774
2021-04-20,182.08,182.08,179.3,180.67,30309
2021-04-21,180.75,182.03,180.53,181.71,34563
2021-04-22,181.09,183.37,180.43,182.55,37561
2021-04-23,183.67,185.15,183.57,184.33,23287
2021-04-26,185.22,185.48,183.07,183.11,34741
2021-04-27,183.29,187.47,182.89,186.2,71132
2021-04-28,188.3,197.13,187.54,192.94,67710
