date,open,high,low,close,volume
2020-07-27,128.34,129.51,127.65,128.11,38079
2020-07-28,128.57,129.63,128.07,129.02,21191
2020-07-29,130.51,131.5,130.09,131.41,35918
2020-07-30,130.59,131.29,129.54,129.98,23997
2020-07-31,129.88,131.83,129.16,130.66,46058
2020-08-03,130.64,130.66,129.26,130.5,16987
2020-08-04,130.23,131.04,129.76,130.96,11455
2020-08-05,131.28,131.54,129.44,130.8,13870
2020-08-06,130.52,130.87,128.77,130.48,31516
2020-08-07,130.26,133.2,129.72,133.01,44134
2020-08-10,132.74,133.16,131.95,132.41,16071
2020-08-11,132.32,132.32,126.31,126.9,28976
2020-08-12,127.7,131.05,127.7,130.0,22680
2020-08-13,129.31,130.99,129.18,130.57,12977
2020-08-14,129.91,130.61,129.02,129.52,12475
2020-08-17,129.56,131.87,129.56,130.53,15176
2020-08-18,130.59,130.59,129.87,130.02,7713
2020-08-19,130.65,130.92,127.95,128.22,26241
2020-08-20,128.06,129.09,127.8,128.5,17684
2020-08-21,128.49,128.88,127.12,127.98,25558
2020-08-24,127.91,128.32,126.79,128.22,11128
2020-08-25,127.82,128.24,127.42,127.95,11857
2020-08-26,126.71,127.21,125.45,125.53,14962
2020-08-27,126.01,127.22,125.08,125.92,40039
2020-08-28,125.7,125.7,123.77,125.45,28792
2020-08-31,126.39,126.88,125.57,126.15,11934
2020-09-01,126.07,126.52,124.36,124.81,21181
2020-09-02,124.58,129.1,124.58,128.49,38725
2020-09-03,129.22,130.14,126.15,127.08,26520
2020-09-04,127.27,128.32,126.27,127.58,32120
2020-09-08,127.34,127.34,124.97,125.54,29811
2020-09-09,126.64,129.28,126.64,127.64,35926
2020-09-10,126.98,126.98,125.43,125.43,20432
2020-09-11,125.92,126.27,125.09,125.85,13699
2020-09-14,126.75,128.12,126.06,127.33,15035
2020-09-15,128.36,128.95,127.42,128.07,21629
2020-09-16,128.07,129.66,127.11,127.23,37347
2020-09-17,126.45,127.35,124.62,125.64,24930
2020-09-18,125.45,126.39,123.07,123.35,18226
2020-09-21,122.43,124.82,122.19,124.31,18996
2020-09-22,124.77,125.58,123.98,124.71,16384
2020-09-23,125.4,125.54,123.0,123.07,20629
2020-09-24,124.59,126.33,124.01,125.38,17681
2020-09-25,125.75,128.57,125.75,128.54,13548
2020-09-28,129.19,130.12,128.07,128.77,30167
2020-09-29,128.42,128.86,127.43,128.09,16692
2020-09-30,128.88,130.32,128.47,129.13,45016
2020-10-01,129.8,132.57,129.6,132.49,47038
2020-10-02,131.38,133.55,131.18,132.74,38051
2020-10-05,133.02,135.54,132.46,135.38,36195
2020-10-06,135.15,136.88,134.52,135.99,31689
2020-10-07,136.91,138.47,136.26,137.71,39215
2020-10-08,137.47,139.36,137.47,138.82,36100
2020-10-09,139.28,140.11,138.04,138.84,33112
2020-10-12,139.5,142.54,139.5,140.93,30228
2020-10-13,139.23,139.28,137.67,139.08,48901
2020-10-14,138.86,140.14,137.71,138.77,34686
2020-10-15,137.67,140.01,136.87,138.96,28348
2020-10-16,138.73,139.58,138.62,138.85,47139
2020-10-19,139.14,140.37,137.28,137.81,25810
2020-10-20,138.16,138.25,135.99,136.5,39965
2020-10-21,136.66,137.16,135.34,135.69,40572
2020-10-22,136.48,137.17,135.86,136.92,34654
2020-10-23,137.04,137.75,136.37,137.28,21309
2020-10-26,137.13,137.94,135.64,137.21,26755
2020-10-27,137.51,139.13,137.12,137.75,34713
2020-10-28,136.26,138.53,135.91,136.2,39086
2020-10-29,136.0,137.16,133.93,135.78,28604
2020-10-30,135.39,135.66,133.36,134.39,28085
2020-11-02,135.54,138.13,135.27,137.29,26958
2020-11-03,138.66,142.02,138.66,140.07,48050
2020-11-04,141.23,143.07,138.39,138.55,44950
2020-11-05,140.92,144.85,140.91,140.95,46018
2020-11-06,141.33,144.24,141.29,143.52,43156
2020-11-09,153.75,154.16,144.91,145.11,125430
2020-11-10,145.38,147.03,144.62,146.07,105744
2020-11-11,147.01,148.11,145.9,146.94,112253
2020-11-12,146.69,147.14,143.2,144.3,72226
2020-11-13,145.35,145.35,143.67,144.31,34267
2020-11-16,145.53,148.09,144.24,148.09,74504
2020-11-17,146.45,146.45,142.08,142.43,55743
2020-11-18,143.6,143.6,139.47,139.71,29288
2020-11-19,140.24,140.48,138.29,140.19,53307
2020-11-20,139.93,143.03,139.93,141.19,42338
2020-11-23,141.18,141.33,138.47,138.86,26804
2020-11-24,139.48,140.17,136.69,136.96,73553
2020-11-25,137.48,138.36,135.26,136.83,55236
2020-11-27,136.79,137.86,135.85,137.49,19004
2020-11-30,137.52,138.32,136.1,137.13,46044
2020-12-01,137.98,139.85,137.81,137.96,37686
2020-12-02,138.0,138.77,136.6,138.44,28742
2020-12-03,137.98,138.9,135.85,136.33,39419
2020-12-04,136.03,136.57,132.29,133.13,84085
2020-12-07,133.12,135.15,132.93,134.33,58934
2020-12-08,133.86,134.28,132.94,133.56,37004
2020-12-09,133.98,133.98,132.22,132.81,50394
2020-12-10,132.65,132.85,131.1,132.47,63213
2020-12-11,132.14,132.92,131.23,132.53,39299
2020-12-14,134.56,135.13,132.76,132.89,54806
2020-12-15,133.43,137.12,133.21,136.99,126252
2020-12-16,138.2,138.22,134.41,134.51,34268
2020-12-17,135.27,136.86,134.78,135.74,45618
2020-12-18,136.17,136.33,133.89,134.3,41395
2020-12-21,133.03,133.53,131.5,133.53,50906
2020-12-22,132.05,133.42,132.03,132.34,37765
2020-12-23,133.31,134.52,131.8,131.8,26195
2020-12-24,132.14,133.3,131.81,133.3,18041
2020-12-28,133.71,134.92,133.22,133.66,23534
2020-12-29,134.97,135.63,134.16,134.79,24675
2020-12-30,135.05,135.49,134.36,134.68,13909
2020-12-31,134.31,137.27,134.31,137.27,20125
2021-01-04,137.25,137.25,132.94,134.31,50553
2021-01-05,134.57,135.42,133.14,135.04,48096
2021-01-06,134.82,137.41,134.62,136.22,68012
2021-01-07,137.68,137.68,135.77,135.97,50598
2021-01-08,136.09,140.62,135.78,140.32,62513
2021-01-11,139.93,140.85,138.04,140.2,30990
2021-01-12,140.51,142.2,138.11,139.82,43744
2021-01-13,139.69,144.12,139.69,142.85,43392
2021-01-14,142.33,142.57,140.75,141.28,25412
2021-01-15,142.03,143.23,140.55,142.78,27413
2021-01-19,142.99,143.05,141.2,142.49,34237
2021-01-20,141.79,146.5,141.79,146.32,37742
2021-01-21,146.25,146.41,143.02,143.94,36100
2021-01-22,143.2,144.5,142.63,143.87,19696
2021-01-25,143.75,146.24,143.06,144.03,41963
2021-01-26,143.53,143.54,141.98,142.31,29643
2021-01-27,141.0,141.83,138.98,139.98,42073
2021-01-28,141.03,145.4,140.66,142.86,44609
2021-01-29,141.87,143.71,139.58,142.26,35546
2021-02-01,143.8,146.24,142.97,144.43,31943
2021-02-02,145.24,148.42,144.6,146.01,41504
2021-02-03,145.14,147.34,144.82,146.76,30264
2021-02-04,146.68,147.95,146.25,146.7,15635
2021-02-05,147.02,148.37,146.33,147.97,13464
2021-02-08,147.86,148.16,144.56,145.46,32493
2021-02-09,145.67,146.61,145.11,146.57,15049
2021-02-10,147.72,148.16,146.91,147.73,19394
2021-02-11,148.11,148.57,146.94,147.86,16527
2021-02-12,147.49,148.62,143.87,145.09,26889
2021-02-16,145.05,146.15,143.81,144.87,38717
2021-02-17,144.3,145.12,143.68,144.22,29772
2021-02-18,143.78,144.59,143.33,143.68,40266
2021-02-19,143.81,143.81,140.43,140.45,28844
2021-02-22,139.36,140.44,135.31,136.32,49235
2021-02-23,136.44,137.93,135.24,137.34,45571
2021-02-24,137.49,137.49,134.45,134.54,49256
2021-02-25,134.27,134.27,130.18,130.75,88471
2021-02-26,130.6,132.2,127.23,127.39,69393
2021-03-01,129.39,130.65,128.76,129.19,66658
2021-03-02,129.26,129.43,125.01,125.25,111978
2021-03-03,124.51,124.86,117.56,118.51,131207
2021-03-04,119.91,124.43,119.07,121.05,129267
2021-03-05,120.67,122.47,118.83,121.85,67491
2021-03-08,122.26,123.62,120.03,120.28,89486
2021-03-09,121.19,123.29,120.89,122.75,114487
2021-03-10,123.28,123.29,121.85,122.36,137074
2021-03-11,123.31,124.13,122.07,123.05,77515
2021-03-12,123.51,125.18,122.5,124.87,61197
2021-03-15,125.49,126.51,124.49,125.83,83956
2021-03-16,126.21,128.0,126.08,126.59,45647
2021-03-17,125.64,125.64,124.48,125.05,63943
2021-03-18,124.67,125.13,123.28,124.74,47425
2021-03-19,124.88,125.13,122.89,124.09,43085
2021-03-22,124.42,125.63,124.24,125.63,49638
2021-03-23,125.84,129.6,125.84,129.31,38248
2021-03-24,128.3,130.57,127.84,130.01,62960
2021-03-25,130.26,132.09,129.81,130.28,156106
2021-03-26,130.49,131.31,127.83,131.26,45634
2021-03-29,131.09,133.42,130.75,132.67,45993
2021-03-30,132.69,132.98,131.21,131.75,22287
2021-03-31,132.49,135.05,132.25,134.58,50931
2021-04-01,135.34,136.1,134.24,135.09,35078
2021-04-05,135.23,136.65,135.23,136.41,20712
2021-04-06,135.98,137.36,135.49,137.08,39429
2021-04-07,137.53,138.0,136.31,137.24,25588
2021-04-08,136.95,137.76,135.72,136.06,26740
2021-04-09,136.39,136.68,135.44,135.99,24571
2021-04-12,135.89,137.5,135.89,136.72,35964
2021-04-13,135.81,139.77,135.81,139.37,16687
2021-04-14,139.06,141.0,138.17,141.0,43940
2021-04-15,141.37,142.92,141.34,142.82,42348
2021-04-16,143.43,143.8,142.48,143.59,22448
2021-04-20,142.91,145.65,142.68,144.81,36205
2021-04-21,145.1,145.61,143.47,144.52,26674
2021-04-22,144.4,145.67,144.31,144.84,30321
2021-04-23,144.82,144.87,142.92,142.94,43423
2021-04-26,142.98,142.98,140.38,141.49,39592
2021-04-27,141.53,141.53,138.92,139.16,42961
2021-04-28,139.43,139.43,137.98,138.46,26574
2021-04-29,139.28,140.25,138.2,138.6,40320
2021-04-30,138.55,139.91,138.31,139.89,34107
2021-05-03,139.82,140.61,138.98,139.2,28925
2021-05-04,139.09,140.11,137.58,138.83,58492
2021-05-05,138.41,138.64,135.72,137.15,27042
2021-05-06,137.48,138.28,136.68,137.5,28218
2021-05-07,137.4,139.79,136.92,137.02,60348
2021-05-10,137.11,140.85,137.05,140.51,39730
2021-05-11,139.97,139.99,137.54,138.4,32056
