date,open,high,low,close,volume
2020-07-27,1171.54,1177.9,1169.22,1169.22,12007
2020-07-28,1170.825,1178.68,1164.82,1164.82,8167
2020-07-29,1169.315,1184.7,1166.7,1180.4,3661
2020-07-30,1204.625,1225.63,1203.81,1209.16,12892
2020-07-31,1196.22,1205.295,1192.25,1205.295,13633
2020-08-03,1214.865,1215.425,1199.81,1207.1,9411
2020-08-04,1206.61,1212.75,1192.91,1204.355,7443
2020-08-05,1207.54,1207.54,1193.03,1193.03,12159
2020-08-06,1188.67,1193.225,1177.98,1179.07,6232
2020-08-07,1178.48,1183.285,1170.92,1182.81,9733
2020-08-10,1185.825,1185.825,1169.54,1174.2,14233
2020-08-11,1176.17,1181.535,1162.91,1170.72,7481
2020-08-12,1179.59,1193.415,1177.305,1188.48,12509
2020-08-13,1182.16,1189.71,1182.16,1186.62,5365
2020-08-14,1196.53,1206.61,1194.24,1196.44,9181
2020-08-17,1204.165,1209.765,1199.195,1207.805,12081
2020-08-18,1213.87,1227.12,1205.39,1210.36,10659
2020-08-19,1203.46,1218.06,1203.46,1210.33,8244
2020-08-20,1205.22,1210.72,1198.33,1202.88,6490
2020-08-21,1208.73,1211.17,1200.94,1208.43,8779
2020-08-24,1215.05,1216.75,1202.715,1209.725,7620
2020-08-25,1199.59,1203.3,1189.44,1201.13,7111
2020-08-26,1201.0,1206.5,1191.34,1197.565,8911
2020-08-27,1202.3,1204.325,1194.795,1195.73,8961
2020-08-28,1194.745,1198.145,1182.025,1188.99,11573
2020-08-31,1196.62,1199.665,1177.315,1196.21,9876
2020-09-01,1199.675,1223.475,1194.4,1222.065,20789
2020-09-02,1225.62,1264.515,1225.62,1250.4,9232
2020-09-03,1243.74,1244.07,1206.65,1214.13,8641
2020-09-04,1222.0,1222.0,1199.035,1206.975,9454
2020-09-08,1198.805,1224.3,1198.805,1211.415,7430
2020-09-09,1217.295,1246.93,1216.91,1235.18,7938
2020-09-10,1222.78,1225.345,1209.72,1219.78,6964
2020-09-11,1217.85,1239.48,1216.72,1234.365,10282
2020-09-14,1245.865,1251.81,1232.25,1243.43,8935
2020-09-15,1249.33,1249.33,1240.94,1242.005,6121
2020-09-16,1247.25,1248.675,1226.48,1229.68,8729
2020-09-17,1222.87,1228.0,1215.965,1225.15,6792
2020-09-18,1216.61,1222.4,1189.73,1203.635,24247
2020-09-21,1195.845,1195.845,1165.99,1184.92,18235
2020-09-22,1231.005,1231.005,1155.55,1166.67,35116
2020-09-23,1166.69,1167.57,1129.77,1129.77,28812
2020-09-24,1115.63,1143.19,1109.91,1129.3,14417
2020-09-25,1123.81,1145.61,1123.0,1135.505,15599
2020-09-28,1144.2,1161.72,1143.54,1154.39,10112
2020-09-29,1151.025,1165.78,1151.025,1155.37,10078
2020-09-30,1166.27,1183.575,1165.13,1179.59,9668
2020-10-01,1189.06,1189.06,1170.895,1182.165,13842
2020-10-02,1167.56,1180.83,1162.8,1178.65,6090
2020-10-05,1182.545,1191.76,1177.11,1178.52,21023
2020-10-06,1179.01,1182.84,1137.01,1137.01,21629
2020-10-07,1150.22,1153.225,1139.145,1139.245,12452
2020-10-08,1149.515,1157.24,1146.67,1150.38,18175
