date,open,high,low,close,volume
2020-07-27,173.25,174.08,169.0,170.155,265324
2020-07-28,168.33,173.69,168.33,170.91,137734
2020-07-29,172.76,172.76,162.31,165.96,362489
2020-07-30,162.82,164.36,160.67,161.63,249422
2020-07-31,161.39,163.24,156.31,157.95,138255
2020-08-03,156.595,163.57,153.62,162.25,189730
2020-08-04,164.65,167.36,163.15,164.99,144904
2020-08-05,167.51,174.97,166.585,174.32,167470
2020-08-06,172.745,175.3,170.67,172.24,115372
2020-08-07,170.945,171.78,168.825,170.02,78328
2020-08-10,171.94,179.75,171.89,179.32,194736
2020-08-11,184.84,189.81,179.61,180.26,294122
2020-08-12,183.8,183.8,173.265,175.45,222493
2020-08-13,173.345,179.14,172.51,174.76,110410
2020-08-14,172.67,179.3,172.5,178.05,107514
2020-08-17,178.19,178.19,171.455,172.02,141645
2020-08-18,171.22,173.22,169.03,170.23,103936
2020-08-19,170.5,173.92,169.145,169.28,80103
2020-08-20,167.82,170.76,165.92,169.64,107212
2020-08-21,168.63,170.035,167.3,167.48,98161
2020-08-24,168.61,178.25,168.0,178.25,208749
2020-08-25,180.61,180.61,172.505,174.725,114751
2020-08-26,173.675,174.17,171.365,171.78,127817
2020-08-27,174.86,181.23,173.65,174.12,154890
2020-08-28,175.07,177.19,172.62,175.81,113663
2020-08-31,174.64,175.23,171.79,172.01,106605
2020-09-01,170.5,175.425,169.31,172.15,151679
2020-09-02,173.0,174.97,171.51,174.75,171373
2020-09-03,176.55,180.76,168.23,168.7,189070
2020-09-04,171.255,172.68,164.13,171.12,104468
2020-09-08,166.18,166.53,160.555,161.02,184492
2020-09-09,161.555,163.05,157.04,160.82,240289
2020-09-10,161.62,163.73,157.63,157.7,122453
2020-09-11,158.02,161.35,156.46,160.2,189404
2020-09-14,161.945,165.915,159.05,165.32,129519
2020-09-15,166.73,168.77,163.36,163.56,142830
2020-09-16,162.02,170.54,160.39,167.54,137736
2020-09-17,164.015,168.38,161.125,167.6,198433
2020-09-18,166.42,169.61,161.06,161.06,207839
2020-09-21,157.83,158.565,154.29,156.43,405765
2020-09-22,156.7,159.89,154.985,156.8,310337
2020-09-23,157.525,160.31,150.93,151.135,140083
