date,open,high,low,close,volume
2020-07-27,21.04,21.1,20.77,21.0,1407212
2020-07-28,20.98,21.36,20.94,21.19,1388453
2020-07-29,21.15,22.0,21.04,21.97,2191049
2020-07-30,21.4,21.7,21.17,21.6,1274598
2020-07-31,21.65,21.65,21.28,21.63,1672974
2020-08-03,21.75,22.01,21.48,21.73,1030503
2020-08-04,21.72,21.8,21.63,21.74,635309
2020-08-05,22.03,22.25,21.97,22.08,774149
2020-08-06,22.1,22.32,22.0,22.15,865101
2020-08-07,22.03,22.77,21.97,22.71,946601
2020-08-10,22.83,23.31,22.8,23.12,1332753
2020-08-11,23.74,24.14,23.3,23.42,1347346
2020-08-12,23.87,23.97,22.97,23.24,1221822
2020-08-13,22.95,23.19,22.74,22.91,1029835
2020-08-14,22.66,23.18,22.54,23.03,668955
2020-08-17,22.9,22.97,22.48,22.51,645137
2020-08-18,22.48,22.48,22.15,22.21,771484
2020-08-19,22.27,22.68,22.09,22.19,1703296
2020-08-20,21.82,22.02,21.77,21.84,1525606
2020-08-21,21.75,22.12,21.66,21.74,590174
2020-08-24,21.91,22.34,21.78,22.34,1805380
2020-08-25,22.65,22.77,22.39,22.63,1496176
2020-08-26,22.5,22.51,22.21,22.23,570978
2020-08-27,22.14,22.8,22.13,22.65,965713
2020-08-28,23.01,23.01,22.61,22.88,904233
2020-08-31,22.7,22.72,22.34,22.41,932547
2020-09-01,22.23,22.52,22.1,22.38,619300
2020-09-02,22.2,22.75,22.17,22.63,1500227
2020-09-03,22.95,23.3,22.3,22.46,1932635
2020-09-04,23.0,23.43,22.6,23.24,1895993
2020-09-08,22.94,23.04,22.24,22.31,925086
2020-09-09,22.45,22.52,22.11,22.35,759141
2020-09-10,22.51,22.66,21.98,22.01,1492637
2020-09-11,22.04,22.4,21.98,22.33,639605
2020-09-14,22.49,22.76,22.37,22.58,698992
2020-09-15,22.56,22.59,22.07,22.14,1548459
2020-09-16,22.16,22.69,21.94,22.43,1120748
2020-09-17,21.99,22.31,21.99,22.21,625048
2020-09-18,22.05,22.4,22.03,22.08,1034463
2020-09-21,21.5,21.7,21.05,21.44,886164
2020-09-22,21.3,21.53,20.86,20.98,1754214
2020-09-23,21.11,21.23,20.37,20.37,1721729
2020-09-24,20.43,20.85,20.11,20.44,978194
2020-09-25,20.34,20.62,20.27,20.57,670185
2020-09-28,20.91,21.28,20.84,21.1,910839
2020-09-29,20.98,21.0,20.61,20.84,747235
2020-09-30,20.85,21.29,20.84,21.09,718161
2020-10-01,21.25,21.36,20.91,21.12,1023652
2020-10-02,20.69,21.4,20.65,21.2,1122673
2020-10-05,21.47,21.64,21.35,21.57,1124071
2020-10-06,21.81,22.06,21.27,21.33,1215940
2020-10-07,21.58,21.99,21.55,21.8,879958
2020-10-08,21.84,22.15,21.73,22.11,940311
2020-10-09,22.18,22.32,21.93,22.2,910736
2020-10-12,22.14,22.62,22.11,22.49,859625
2020-10-13,22.43,22.44,21.76,21.83,1245047
2020-10-14,21.33,21.53,20.67,20.67,2628765
2020-10-15,20.62,21.19,20.56,21.15,1285378
2020-10-16,21.2,21.33,20.97,21.22,854997
2020-10-19,21.28,21.29,20.75,20.76,602443
2020-10-20,20.93,21.44,20.91,21.14,903036
2020-10-21,21.19,21.31,21.04,21.06,571646
2020-10-22,21.06,21.81,21.03,21.78,1561281
2020-10-23,22.06,22.12,21.65,21.81,891353
2020-10-26,21.41,21.52,21.15,21.47,2345010
2020-10-27,21.3,21.36,20.86,20.88,1515930
2020-10-28,20.45,20.71,20.25,20.53,3812410
2020-10-29,20.46,20.8,20.25,20.61,1289814
2020-10-30,20.6,20.87,20.36,20.74,1053774
2020-11-02,20.92,21.25,20.56,21.08,1577959
2020-11-03,21.52,21.84,21.47,21.63,1386985
2020-11-04,20.91,21.13,20.39,20.74,1867849
2020-11-05,20.96,21.71,20.9,21.54,1292157
2020-11-06,21.85,21.85,21.22,21.28,762081
2020-11-09,23.31,24.75,23.04,24.33,3782832
2020-11-10,24.11,24.31,23.81,24.23,1612979
2020-11-11,24.29,24.32,23.75,23.94,841399
2020-11-12,23.51,23.56,23.04,23.37,1245071
2020-11-13,23.54,23.83,23.44,23.64,1155633
2020-11-16,24.44,24.5,23.8,24.17,1230678
2020-11-17,23.87,24.17,23.66,24.12,826162
2020-11-18,24.21,24.44,23.62,23.62,945328
2020-11-19,23.56,23.65,23.34,23.63,714865
2020-11-20,23.42,23.59,23.33,23.48,856479
2020-11-23,23.73,24.1,23.7,24.0,1112635
2020-11-24,24.47,25.39,24.46,25.39,2000966
2020-11-25,25.17,25.43,24.95,25.43,1361305
2020-11-27,25.38,25.48,25.24,25.38,520258
2020-11-30,25.15,25.28,24.61,24.64,1869098
2020-12-01,25.17,25.43,25.11,25.12,663809
2020-12-02,25.08,25.56,25.0,25.45,904938
2020-12-03,25.5,25.64,25.23,25.47,1360466
2020-12-04,25.71,25.93,25.56,25.8,1689033
2020-12-07,25.46,25.68,25.28,25.63,770323
2020-12-08,25.4,25.69,25.37,25.5,578124
2020-12-09,25.75,25.77,25.34,25.38,1800655
2020-12-10,25.19,25.67,25.09,25.67,1078403
2020-12-11,25.27,25.31,24.95,25.18,636303
2020-12-14,25.49,25.5,24.81,24.88,502469
2020-12-15,24.98,25.39,24.9,25.23,1087646
2020-12-16,25.34,25.39,25.07,25.31,807555
2020-12-17,25.3,25.48,25.15,25.41,646170
2020-12-18,25.45,25.64,25.17,25.22,1126972
2020-12-21,25.61,26.43,25.33,26.2,1770809
2020-12-22,26.23,26.24,25.71,25.73,501914
2020-12-23,25.9,26.75,25.85,26.49,916279
2020-12-24,26.58,26.62,26.22,26.4,410793
2020-12-28,26.61,26.91,26.43,26.55,558664
2020-12-29,26.52,26.65,26.38,26.44,432890
2020-12-30,26.44,26.63,26.39,26.43,374244
2020-12-31,26.44,26.77,26.35,26.73,448697
2021-01-04,26.85,26.94,26.22,26.45,780161
2021-01-05,26.6,26.91,26.36,26.66,931694
2021-01-06,28.14,28.74,27.63,28.34,2089489
2021-01-07,29.34,29.63,28.94,28.96,1225621
2021-01-08,28.99,29.07,28.3,28.67,683867
2021-01-11,28.27,29.19,28.13,29.14,1013462
2021-01-12,29.45,29.94,29.26,29.71,1443476
2021-01-13,29.46,29.66,29.16,29.49,625097
2021-01-14,29.5,30.29,29.45,29.94,864699
2021-01-15,29.36,29.64,28.83,29.11,965171
2021-01-19,28.61,29.61,28.38,28.87,1521489
2021-01-20,28.84,28.9,28.34,28.49,965802
2021-01-21,28.5,28.6,27.97,28.0,1252200
2021-01-22,27.64,27.98,27.56,27.79,698277
2021-01-25,27.56,27.56,26.94,27.44,786557
2021-01-26,27.65,27.7,27.24,27.26,1006944
2021-01-27,26.77,26.81,26.15,26.29,1208126
2021-01-28,26.81,27.09,26.37,26.7,837446
2021-01-29,26.81,26.87,26.09,26.09,1034010
2021-02-01,26.31,26.47,26.06,26.4,817171
2021-02-02,26.98,27.5,26.92,27.34,1096130
2021-02-03,27.26,27.95,27.21,27.83,822570
2021-02-04,28.02,28.67,28.02,28.65,1140087
2021-02-05,28.98,29.0,28.48,28.53,925923
2021-02-08,28.58,29.33,28.55,29.16,1182355
2021-02-09,29.05,29.09,28.72,29.05,727269
2021-02-10,29.19,29.45,28.98,29.05,1228416
2021-02-11,29.05,29.35,28.68,29.0,690897
2021-02-12,29.05,29.48,29.03,29.4,921516
2021-02-16,29.91,30.45,29.72,30.19,1325789
2021-02-17,29.99,30.45,29.78,30.33,889324
2021-02-18,29.99,30.53,29.99,30.12,788383
2021-02-19,30.14,30.6,30.14,30.44,980798
2021-02-22,30.39,31.06,30.34,30.98,1111435
2021-02-23,31.21,31.62,30.97,31.33,1397785
2021-02-24,31.5,32.18,31.37,32.09,1254721
2021-02-25,32.57,32.62,31.51,31.66,1366399
2021-02-26,31.46,31.74,30.57,30.57,1598465
2021-03-01,31.3,31.76,31.06,31.54,1143414
2021-03-02,31.41,31.67,31.29,31.3,1085432
2021-03-03,31.67,32.58,31.58,32.1,1551953
2021-03-04,32.02,32.64,31.82,32.33,1960174
2021-03-05,32.81,33.3,32.04,32.7,1688310
2021-03-08,33.07,33.41,32.61,32.85,1075714
2021-03-09,32.18,32.91,31.72,32.16,1420774
2021-03-10,32.27,33.24,32.21,33.1,866557
2021-03-11,33.01,33.47,32.64,32.99,971045
2021-03-12,33.57,33.81,33.37,33.6,1403305
2021-03-15,33.67,33.72,32.96,33.43,993541
2021-03-16,33.14,33.41,32.75,33.35,1170031
2021-03-17,33.64,33.96,33.06,33.63,1341037
2021-03-18,34.1,35.39,34.04,34.47,2589002
2021-03-19,33.97,34.46,33.24,34.17,2047059
2021-03-22,33.7,33.99,33.13,33.36,1091803
2021-03-23,33.0,33.49,32.58,32.68,1037437
2021-03-24,32.95,33.46,32.68,32.68,1088027
2021-03-25,32.65,33.43,32.45,33.35,1015940
2021-03-26,33.97,34.32,33.72,34.26,1857229
2021-03-29,33.68,34.2,33.53,33.88,1501458
2021-03-30,34.23,34.94,34.23,34.47,1417491
2021-03-31,34.2,34.53,34.06,34.28,972825
2021-04-01,34.36,35.0,34.36,34.98,2200618
2021-04-05,35.43,35.66,35.08,35.25,1618123
2021-04-06,35.03,35.55,34.94,35.14,1432220
2021-04-07,35.23,35.55,35.07,35.47,1121673
2021-04-08,35.28,35.28,34.73,35.13,1086334
2021-04-09,35.35,35.58,35.0,35.42,1268746
2021-04-12,35.43,35.76,35.3,35.47,1193970
2021-04-13,35.26,35.26,34.73,34.81,692527
2021-04-14,34.54,35.71,34.47,35.33,966103
2021-04-15,35.17,35.27,33.7,34.32,2697755
2021-04-16,34.81,34.91,34.46,34.68,1596985
2021-04-20,34.51,34.51,33.56,33.71,1178490
2021-04-21,33.33,34.34,33.14,34.3,845456
2021-04-22,34.3,34.31,33.8,33.96,1240024
2021-04-23,33.94,34.84,33.85,34.69,1002286
2021-04-26,34.88,35.29,34.8,34.89,565418
2021-04-27,35.12,35.35,35.02,35.32,683121
2021-04-28,35.41,35.62,35.35,35.46,596038
2021-04-29,35.94,36.42,35.84,36.42,965243
2021-04-30,36.11,36.22,35.85,35.89,1041402
2021-05-03,36.24,36.35,35.8,35.92,917675
2021-05-04,35.62,36.38,35.23,36.28,1333195
2021-05-05,36.49,36.8,36.1,36.63,996966
2021-05-06,36.78,37.24,36.53,37.22,733453
2021-05-07,36.43,37.41,36.42,37.36,926227
2021-05-10,37.55,38.02,37.23,37.24,1113427
2021-05-11,36.93,37.49,36.62,36.81,1088296
2021-05-12,37.53,37.69,36.35,36.48,949494
2021-05-13,36.21,37.28,36.12,37.05,1121508
2021-05-14,37.25,37.61,37.13,37.52,624921
2021-05-17,37.4,37.95,37.34,37.84,716476
2021-05-18,37.85,38.03,37.32,37.33,908417
2021-05-19,36.95,37.2,36.59,37.16,865598
2021-05-20,37.14,37.3,36.72,37.09,907111
2021-05-21,37.21,37.72,37.12,37.56,912127
2021-05-24,37.71,37.89,37.42,37.75,708002
2021-05-25,37.84,38.3,37.14,37.19,1260126
2021-05-26,37.22,37.41,36.91,37.23,1062454
2021-05-27,37.64,37.94,37.3,37.67,1105173
2021-05-28,37.78,37.82,37.25,37.52,906177
2021-06-01,38.02,38.33,37.87,38.01,1005213
2021-06-02,38.14,38.23,37.73,38.04,810792
2021-06-03,38.01,38.67,37.96,38.47,897778
2021-06-04,38.41,38.58,38.1,38.49,699279
2021-06-07,38.49,38.58,38.3,38.33,497473
2021-06-08,38.03,38.45,37.73,38.14,818402
