date,open,high,low,close,volume
2020-07-27,68.39,70.24,68.39,69.36,65235
2020-07-28,69.15,69.75,68.37,68.9,29946
2020-07-29,69.2,69.32,68.47,68.6,50363
2020-07-30,68.15,68.55,67.5,68.31,75119
2020-07-31,68.33,68.48,67.47,68.48,55934
2020-08-03,68.86,69.78,68.28,68.97,96467
2020-08-04,68.65,70.12,68.5,69.84,100791
2020-08-05,70.22,70.55,69.6,69.81,129841
2020-08-06,69.97,70.25,68.4,69.22,127263
2020-08-07,69.45,70.68,69.45,70.22,105694
2020-08-10,70.2,70.56,69.99,70.05,64551
2020-08-11,70.6,70.68,68.45,68.79,74395
2020-08-12,69.21,69.48,68.73,69.23,24665
2020-08-13,68.96,70.1,68.95,69.95,29336
2020-08-14,69.8,70.61,69.79,70.28,32061
2020-08-17,70.46,70.87,70.14,70.87,31237
2020-08-18,70.83,71.22,70.51,70.98,34822
2020-08-19,71.4,71.79,70.35,70.59,41452
2020-08-20,70.0,71.07,69.8,70.49,28844
2020-08-21,70.34,71.56,70.33,71.2,34546
2020-08-24,71.75,72.04,71.69,71.78,22591
2020-08-25,71.97,72.08,71.47,72.07,51316
2020-08-26,72.24,73.57,71.76,73.36,40134
2020-08-27,73.65,74.25,73.57,73.82,43559
2020-08-28,73.73,74.9,73.31,74.68,43325
2020-08-31,74.78,75.22,74.64,74.98,38831
2020-09-01,74.63,76.38,74.63,76.37,58379
2020-09-02,76.25,78.83,75.93,78.78,101700
2020-09-03,78.51,78.86,76.55,77.59,63050
2020-09-04,77.78,77.83,75.37,76.93,62207
2020-09-08,75.95,76.01,74.39,75.11,64206
2020-09-09,75.59,77.23,75.59,76.04,44076
2020-09-10,75.77,76.68,75.08,75.5,53439
2020-09-11,76.25,76.32,75.5,76.16,36672
2020-09-14,76.63,77.87,76.63,77.65,32044
2020-09-15,78.05,79.28,78.05,78.67,68936
2020-09-16,78.81,79.8,78.3,78.84,61790
2020-09-17,77.68,78.58,77.37,78.38,23480
2020-09-18,78.28,78.57,77.1,77.32,24406
2020-09-21,76.14,76.14,74.48,75.48,40983
2020-09-22,75.97,76.43,75.49,76.0,56344
2020-09-23,75.97,76.26,74.22,74.4,45888
2020-09-24,74.02,75.73,73.22,74.63,73284
2020-09-25,73.99,76.16,73.88,75.89,51804
2020-09-28,76.61,77.13,75.75,76.54,58763
2020-09-29,76.44,77.26,76.23,76.74,33854
2020-09-30,76.96,78.25,76.65,77.5,88136
2020-10-01,77.94,78.54,76.86,76.99,104099
2020-10-02,76.04,77.52,75.98,77.02,58451
2020-10-05,77.91,80.42,77.91,79.58,81929
2020-10-06,79.77,80.24,78.32,78.56,62274
2020-10-07,79.68,80.94,79.68,80.66,77404
2020-10-08,82.18,83.26,81.74,82.82,81743
2020-10-09,83.29,84.63,83.29,84.12,62135
2020-10-12,84.65,84.77,83.53,83.53,99110
2020-10-13,83.32,84.57,83.32,84.07,45668
2020-10-14,84.47,84.71,83.85,83.9,38930
2020-10-15,83.02,84.97,82.71,84.62,101318
2020-10-16,85.35,85.66,84.91,85.26,47229
2020-10-19,85.49,85.74,84.52,85.01,52485
2020-10-20,85.76,86.96,85.15,85.18,110410
2020-10-21,85.65,87.08,85.65,86.47,56275
2020-10-22,86.13,86.13,84.47,84.93,130895
2020-10-23,85.58,86.45,84.88,86.37,53634
2020-10-26,85.55,85.76,84.47,85.31,89598
2020-10-27,85.48,85.97,84.87,84.89,63003
2020-10-28,83.52,84.3,82.62,82.64,81257
2020-10-29,82.65,83.77,82.24,83.22,69695
2020-10-30,82.95,83.65,82.0,82.88,67114
2020-11-02,83.94,85.36,83.04,84.01,157559
2020-11-03,84.89,87.53,84.89,87.37,124155
2020-11-04,87.8,90.32,87.04,87.74,214247
2020-11-05,89.92,91.11,88.57,90.55,117825
2020-11-06,91.37,92.1,90.32,90.83,88540
2020-11-09,93.71,95.52,86.52,86.59,227648
2020-11-10,86.99,88.58,85.83,88.41,132497
2020-11-11,89.01,89.33,88.1,89.26,91944
