date,open,high,low,close,volume
2020-07-27,79.72,80.6,79.46,79.66,38906
2020-07-28,79.66,80.12,79.33,79.64,42230
2020-07-29,79.94,81.58,79.68,80.99,67085
2020-07-30,75.92,76.83,74.06,76.77,376273
2020-07-31,76.48,77.31,75.65,77.07,147599
2020-08-03,77.53,77.61,74.2,74.21,137905
2020-08-04,74.06,74.23,72.22,72.28,188956
2020-08-05,72.69,73.26,71.48,71.79,254411
2020-08-06,71.37,71.73,70.23,71.72,265549
2020-08-07,71.81,72.34,71.39,72.0,72658
2020-08-10,71.86,74.38,71.73,74.15,229509
2020-08-11,74.65,75.15,73.84,74.04,127771
2020-08-12,74.33,74.76,73.55,74.49,154911
2020-08-13,74.33,75.77,74.33,75.54,139028
2020-08-14,75.52,75.53,74.25,74.48,55793
2020-08-17,74.69,75.32,74.64,74.71,25958
2020-08-18,75.27,75.33,74.82,75.19,64486
2020-08-19,75.22,75.35,73.79,73.97,58581
2020-08-20,73.72,74.23,73.62,73.96,76406
2020-08-21,73.66,74.16,73.38,74.12,57839
2020-08-24,74.5,74.83,74.0,74.8,87048
2020-08-25,74.96,75.62,74.93,75.49,79985
2020-08-26,74.92,75.39,74.31,75.3,70861
2020-08-27,75.49,77.53,75.15,77.0,96614
2020-08-28,77.12,77.36,75.95,77.03,67506
2020-08-31,77.18,78.07,77.18,78.02,84318
2020-09-01,77.83,77.83,76.04,76.52,68622
2020-09-02,76.85,77.05,76.22,76.89,215750
2020-09-03,76.78,76.97,74.14,74.81,25693
2020-09-04,74.56,74.89,72.94,73.67,84350
2020-09-08,73.33,73.61,72.45,72.73,74349
2020-09-09,73.37,74.67,73.31,74.14,78521
2020-09-10,73.82,74.76,73.74,74.45,63609
2020-09-11,74.71,75.02,73.83,74.4,75526
2020-09-14,74.63,75.72,74.38,74.49,49127
2020-09-15,74.62,74.64,71.92,72.02,68133
2020-09-16,72.48,73.37,72.15,73.11,151097
2020-09-17,72.31,73.72,72.09,73.63,102148
2020-09-18,73.64,74.96,73.64,74.23,70815
2020-09-21,72.93,73.24,70.93,71.8,109816
2020-09-22,71.37,71.37,69.86,70.7,144152
2020-09-23,70.9,71.46,70.06,70.09,62147
2020-09-24,70.21,71.02,69.63,70.43,98306
2020-09-25,70.16,71.54,70.08,71.32,55887
2020-09-28,71.99,72.57,71.05,71.2,64107
2020-09-29,71.11,71.94,70.74,70.77,83344
2020-09-30,71.09,72.64,70.78,72.03,60978
2020-10-01,73.16,73.22,71.11,71.33,148805
2020-10-02,70.9,71.53,70.38,70.54,75976
2020-10-05,70.9,72.2,70.84,72.05,74227
2020-10-06,72.09,73.35,71.84,72.02,188585
2020-10-07,72.27,73.39,71.92,73.08,102314
2020-10-08,72.63,72.74,70.3,70.6,286351
2020-10-09,70.52,70.73,69.64,70.23,149435
2020-10-12,70.52,71.58,70.31,71.24,180887
2020-10-13,71.16,72.3,70.95,71.7,94069
2020-10-14,71.81,72.78,71.6,71.6,93594
2020-10-15,71.03,72.23,71.03,72.1,138136
2020-10-16,72.26,73.65,72.26,73.21,81925
2020-10-19,73.41,73.89,72.28,72.73,102327
2020-10-20,72.97,73.18,72.33,72.75,97236
2020-10-21,72.53,73.56,72.3,73.26,165457
2020-10-22,72.98,73.75,72.73,72.87,76450
2020-10-23,73.1,73.32,72.35,72.54,99770
2020-10-26,71.99,72.37,71.17,71.61,124479
2020-10-27,71.89,73.38,71.89,72.14,142597
2020-10-28,71.11,71.54,69.91,69.98,140444
2020-10-29,70.81,71.34,69.01,69.92,168035
2020-10-30,69.91,69.91,68.1,69.41,154742
2020-11-02,70.17,71.36,69.74,70.34,164865
2020-11-03,70.52,71.78,69.13,69.21,192376
2020-11-04,69.71,70.53,67.58,67.66,456289
2020-11-05,68.99,70.12,68.07,69.63,234670
2020-11-06,69.88,70.88,69.57,70.65,160403
2020-11-09,73.02,74.07,72.39,72.4,333237
