date,open,high,low,close,volume
2020-07-27,54.66,59.39,53.82,59.15,25432
2020-07-28,58.795,60.87,57.69,58.25,25357
2020-07-29,59.16,61.78,57.08,60.555,21228
2020-07-30,69.61,78.5,64.66,76.09,111321
2020-07-31,76.36,79.19,72.31,75.64,79460
2020-08-03,76.77,83.42,76.73,83.04,73241
2020-08-04,82.68,84.87,79.71,82.19,48663
2020-08-05,82.835,95.34,82.52,93.7,70067
2020-08-06,95.82,97.89,89.96,94.2,90805
2020-08-07,93.395,112.44,93.21,103.63,166162
2020-08-10,106.9,109.59,94.37,95.73,70081
2020-08-11,90.15,103.0,85.885,91.975,110286
2020-08-12,87.205,91.83,85.52,88.935,244234
2020-08-13,90.54,96.76,90.54,94.89,55585
2020-08-14,96.39,96.77,91.01,93.36,37128
2020-08-17,100.35,118.75,99.5,118.14,144431
2020-08-18,115.48,119.3,110.39,115.915,78334
2020-08-19,115.4,128.38,115.4,121.89,111909
2020-08-20,124.82,128.15,118.52,122.33,58781
2020-08-21,120.23,125.82,117.815,121.07,51940
2020-08-24,123.96,127.0,113.18,116.08,75740
2020-08-25,107.92,113.16,105.115,112.9,73459
2020-08-26,113.13,116.28,106.76,109.555,83038
2020-08-27,108.77,108.77,90.975,96.24,182759
2020-08-28,98.25,105.38,95.505,96.76,52536
2020-08-31,93.395,94.52,85.02,87.52,127280
2020-09-01,88.39,93.78,86.3,88.405,62216
2020-09-02,88.59,89.86,78.6,81.78,120394
2020-09-03,77.39,83.67,73.02,73.34,72797
2020-09-04,71.19,74.5,61.01,67.54,157345
2020-09-08,63.5,71.625,62.68,63.15,68250
2020-09-09,67.59,70.185,65.5,68.81,120933
2020-09-10,76.48,86.67,73.45,74.42,185432
2020-09-11,78.305,79.49,64.28,65.15,126061
2020-09-14,70.88,75.88,67.46,75.75,63251
2020-09-15,77.805,77.805,69.84,73.34,55086
2020-09-16,74.25,78.35,72.81,74.38,46298
2020-09-17,71.8,72.76,68.83,72.04,111881
2020-09-18,72.055,75.45,70.8,75.02,39156
2020-09-21,73.53,76.75,70.255,74.5,46452
2020-09-22,74.85,79.45,72.26,79.38,62500
2020-09-23,79.355,82.25,69.86,71.42,266045
2020-09-24,69.42,78.485,68.32,74.65,65274
2020-09-25,74.46,76.505,71.895,72.92,78609
2020-09-28,74.14,76.62,72.97,74.61,41446
2020-09-29,74.94,75.56,72.92,74.2,26512
2020-09-30,74.2,75.295,71.94,72.69,31408
2020-10-01,75.09,83.92,74.41,83.86,302407
2020-10-02,78.54,81.81,76.83,77.97,192712
2020-10-05,79.41,81.09,77.44,80.88,68617
