date,open,high,low,close,volume
2020-07-27,76.19,77.28,75.86,77.08,101208
2020-07-28,77.22,77.67,76.42,76.49,39102
2020-07-29,76.64,77.81,76.64,77.2,42429
2020-07-30,76.35,79.23,76.28,78.76,57385
2020-07-31,78.82,78.97,77.38,78.42,45276
2020-08-03,78.72,80.28,78.64,79.44,30819
2020-08-04,79.58,79.78,78.62,79.11,32712
2020-08-05,79.59,80.3,78.71,80.21,199583
2020-08-06,79.99,80.85,79.26,80.85,177628
2020-08-07,80.97,81.63,80.27,80.99,210980
2020-08-10,81.01,82.99,81.01,82.0,71642
2020-08-11,82.75,82.95,81.68,81.97,66244
2020-08-12,82.2,83.02,82.03,82.65,44513
2020-08-13,83.1,85.36,83.1,84.93,99195
2020-08-14,85.23,86.83,85.23,86.2,57064
2020-08-17,87.35,87.66,86.6,87.2,94174
2020-08-18,88.22,88.22,86.85,86.99,112700
2020-08-19,87.31,89.42,87.28,88.12,149328
2020-08-20,87.42,88.2,87.08,87.98,138144
2020-08-21,88.2,90.07,88.2,89.94,134237
2020-08-24,93.19,94.01,90.41,92.42,152209
2020-08-25,89.34,89.34,85.53,88.66,373217
2020-08-26,89.11,89.86,87.91,88.38,136766
2020-08-27,88.08,88.56,86.8,87.54,114836
2020-08-28,87.89,87.89,86.72,87.56,44700
2020-08-31,87.86,88.3,86.53,87.39,77197
2020-09-01,87.3,90.05,87.3,89.41,70176
2020-09-02,89.48,89.89,87.98,89.8,101374
2020-09-03,89.52,89.52,84.91,85.59,179169
2020-09-04,86.26,86.88,82.16,83.68,137982
2020-09-08,81.95,84.08,81.13,82.82,143071
2020-09-09,83.64,86.0,82.8,85.71,67932
2020-09-10,86.0,86.56,84.31,84.58,103041
2020-09-11,85.5,85.8,83.7,84.34,35175
2020-09-14,85.84,86.34,84.45,85.28,123699
2020-09-15,85.97,86.5,85.04,85.42,70385
2020-09-16,86.13,86.17,84.56,84.67,54361
2020-09-17,83.71,84.63,83.08,83.45,78268
2020-09-18,83.53,84.93,83.01,83.51,34265
2020-09-21,82.46,83.85,82.16,83.85,147129
2020-09-22,84.0,85.64,83.97,85.2,84973
2020-09-23,85.82,86.86,84.21,84.21,54281
2020-09-24,83.78,84.54,82.38,82.9,92270
2020-09-25,83.17,84.36,82.56,83.87,138626
2020-09-28,85.02,85.88,84.39,85.8,69785
2020-09-29,86.91,87.95,86.18,87.07,95771
2020-09-30,87.18,88.93,86.69,88.1,91371
2020-10-01,89.0,90.76,88.53,90.28,197129
2020-10-02,88.19,89.74,88.07,89.05,86658
2020-10-05,89.34,92.36,89.27,91.79,120008
2020-10-06,91.93,91.93,88.83,88.92,185339
2020-10-07,90.09,91.3,90.09,90.72,81629
2020-10-08,91.37,91.43,90.15,90.94,92032
2020-10-09,91.44,93.52,91.13,92.25,266432
2020-10-12,93.05,93.89,92.59,93.66,89340
2020-10-13,93.41,94.24,92.91,93.54,93452
2020-10-14,94.17,94.87,92.95,93.7,115540
2020-10-15,92.88,95.53,92.5,95.42,123352
2020-10-16,95.67,95.74,94.42,94.45,116810
2020-10-19,95.0,97.49,94.76,95.6,132862
2020-10-20,96.07,97.84,95.61,95.65,96382
2020-10-21,95.83,96.21,93.89,93.89,82242
2020-10-22,94.01,94.26,91.62,92.98,120063
2020-10-23,91.57,93.56,91.55,93.43,97243
2020-10-26,92.54,92.54,89.37,90.45,69377
2020-10-27,91.24,91.89,89.7,89.83,77705
2020-10-28,88.3,90.45,87.35,87.96,101440
2020-10-29,88.48,90.17,88.27,88.88,94943
2020-10-30,88.35,89.11,86.74,88.29,103240
2020-11-02,89.39,91.6,89.39,91.56,160248
2020-11-03,92.69,94.73,91.99,94.07,123416
2020-11-04,94.62,96.06,94.02,94.96,129112
2020-11-05,96.56,98.82,96.42,97.41,124945
2020-11-06,97.22,97.92,96.23,97.39,114889
2020-11-09,96.54,97.48,87.77,87.81,308453
2020-11-10,88.36,89.96,87.93,89.09,164786
2020-11-11,89.98,90.84,88.71,90.71,124694
2020-11-12,90.47,91.4,89.01,90.23,100321
2020-11-13,90.84,91.62,89.87,90.54,136449
2020-11-16,90.87,94.03,90.03,93.97,459653
2020-11-17,93.37,95.64,92.89,94.24,256764
2020-11-18,94.28,95.03,93.26,93.26,411670
2020-11-19,93.71,95.18,93.25,93.95,108136
2020-11-20,94.68,95.43,94.17,94.27,119853
2020-11-23,95.33,98.35,95.02,96.59,225941
2020-11-24,91.28,92.54,89.64,89.84,591187
2020-11-25,90.26,92.11,89.51,90.15,206408
2020-11-27,90.89,90.89,88.69,89.09,127380
2020-11-30,88.96,89.01,85.94,86.13,196239
2020-12-01,86.41,86.52,84.8,86.18,316160
2020-12-02,85.52,86.61,84.86,85.03,213169
2020-12-03,84.71,84.88,83.68,84.21,149317
2020-12-04,84.11,84.25,82.97,83.5,361544
2020-12-07,83.28,83.37,80.3,81.27,419272
2020-12-08,81.06,81.84,80.76,81.5,143633
2020-12-09,81.55,83.18,81.27,82.97,203331
2020-12-10,80.59,81.83,78.82,81.61,144426
2020-12-11,81.13,81.47,79.3,79.61,184089
2020-12-14,80.27,80.98,79.33,80.61,322585
2020-12-15,81.2,81.93,80.55,81.93,238714
2020-12-16,81.95,82.84,81.64,82.35,139760
2020-12-17,82.97,83.11,81.35,81.4,121412
2020-12-18,81.35,81.68,80.77,81.01,145757
2020-12-21,80.19,82.21,80.03,82.19,112039
2020-12-22,82.25,83.72,82.15,82.83,147396
2020-12-23,83.13,83.72,81.42,81.42,94479
2020-12-24,81.21,81.87,81.04,81.59,45563
2020-12-28,81.88,82.37,80.51,81.62,129096
2020-12-29,82.12,82.35,79.94,80.18,101731
2020-12-30,80.34,81.08,80.34,80.64,60586
2020-12-31,80.64,80.64,78.98,79.42,85832
2021-01-04,79.56,80.36,78.51,79.9,157673
2021-01-05,79.95,80.9,79.72,80.35,131439
2021-01-06,79.86,84.37,79.86,84.24,293604
2021-01-07,84.45,86.26,84.32,85.71,180124
2021-01-08,85.93,87.08,84.49,85.68,131538
2021-01-11,85.15,88.45,85.15,88.13,187968
2021-01-12,87.86,91.88,87.82,91.31,222025
2021-01-13,91.05,91.5,90.02,90.14,67693
2021-01-14,90.29,91.65,90.03,90.64,115239
2021-01-15,90.27,92.07,88.87,90.7,115664
2021-01-19,91.21,91.25,88.48,88.78,113355
2021-01-20,89.12,89.54,88.19,89.34,67387
2021-01-21,89.86,92.28,89.86,91.11,133005
2021-01-22,90.45,91.7,89.43,91.5,85660
2021-01-25,91.48,93.85,90.32,90.43,115597
2021-01-26,91.09,91.9,89.92,91.27,107022
2021-01-27,90.3,92.44,89.86,90.26,134278
2021-01-28,90.14,92.72,89.35,89.35,141237
2021-01-29,89.14,89.31,86.25,86.6,119335
2021-02-01,87.09,87.42,84.16,85.72,133407
2021-02-02,85.85,88.17,84.91,86.58,103030
2021-02-03,86.8,88.44,86.8,87.76,77318
2021-02-04,89.69,91.29,89.14,90.55,87864
2021-02-05,90.94,91.41,90.19,91.17,67703
2021-02-08,91.54,93.85,91.5,93.85,72107
2021-02-09,93.59,94.9,92.95,94.21,66663
2021-02-10,94.3,94.85,93.1,94.52,77324
2021-02-11,94.56,96.21,94.35,95.15,80821
2021-02-12,94.52,96.34,94.29,95.83,104924
2021-02-16,95.87,98.02,95.87,96.08,95389
2021-02-17,95.48,97.2,94.09,94.17,79476
2021-02-18,93.87,94.23,92.63,92.9,98603
2021-02-19,93.53,94.67,93.45,93.91,122834
2021-02-22,93.27,93.95,92.22,92.88,101927
2021-02-23,92.14,92.2,90.05,91.91,107210
2021-02-24,92.01,93.1,89.73,90.36,131406
2021-02-25,82.7,89.22,80.73,81.96,732297
2021-02-26,80.56,81.37,79.46,79.88,219932
2021-03-01,80.19,81.56,80.1,80.86,212109
2021-03-02,81.3,82.52,80.78,81.58,146494
2021-03-03,81.44,81.47,79.61,79.87,114255
2021-03-04,79.41,79.85,76.37,78.13,211489
2021-03-05,79.18,82.1,77.43,81.79,272810
2021-03-08,82.16,85.47,81.84,84.8,219146
2021-03-09,84.77,87.2,84.11,84.27,164876
2021-03-10,85.17,87.08,85.03,86.09,178606
2021-03-11,86.67,87.08,85.52,86.37,165155
2021-03-12,86.41,88.54,85.81,88.26,96134
2021-03-15,88.68,91.15,88.58,90.62,158131
2021-03-16,90.36,91.05,89.75,90.28,105987
2021-03-17,89.82,90.35,88.09,89.84,143372
2021-03-18,89.35,93.06,89.27,90.76,142022
2021-03-19,91.34,96.27,91.08,94.55,243673
2021-03-22,94.72,97.07,93.82,96.81,141233
2021-03-23,96.54,97.09,94.67,95.09,264968
2021-03-24,95.39,95.42,91.5,91.55,212727
2021-03-25,91.71,93.28,90.84,92.98,109842
2021-03-26,93.06,95.54,93.06,95.48,91285
2021-03-29,95.65,96.1,91.7,91.95,365147
2021-03-30,91.27,92.9,90.76,92.59,137149
