date,open,high,low,close,volume
2020-07-27,191.94,195.86,191.94,195.36,81961
2020-07-28,195.65,195.65,193.51,193.94,68940
2020-07-29,195.85,197.4,194.79,196.34,55972
2020-07-30,195.29,195.45,191.87,194.48,47881
2020-07-31,194.63,199.83,194.63,199.83,70479
2020-08-03,201.04,202.18,199.15,201.77,38474
2020-08-04,201.42,201.45,200.09,201.02,54025
2020-08-05,199.94,202.46,199.94,201.29,55921
2020-08-06,189.13,189.46,182.45,184.54,158615
2020-08-07,185.03,185.77,181.22,182.18,107640
2020-08-10,183.46,183.68,181.4,182.43,137667
2020-08-11,183.79,185.12,181.17,181.31,67558
2020-08-12,181.89,184.36,181.89,182.66,51949
2020-08-13,182.51,186.68,182.41,186.32,22328
2020-08-14,185.7,186.27,182.47,183.48,29091
2020-08-17,183.91,185.12,183.91,184.76,18723
2020-08-18,185.92,187.92,184.26,187.44,60463
2020-08-19,188.64,188.64,185.34,185.91,18616
2020-08-20,184.9,186.07,183.47,184.02,31247
2020-08-21,184.28,184.28,181.9,183.09,44943
2020-08-24,183.95,183.99,180.75,181.22,46155
2020-08-25,181.41,182.74,180.98,181.69,51112
2020-08-26,180.33,181.2,177.79,180.42,56201
2020-08-27,169.13,176.38,164.97,175.17,157386
2020-08-28,175.6,175.6,171.18,172.49,134174
2020-08-31,173.1,173.6,171.91,172.66,53041
2020-09-01,173.16,174.48,169.64,171.11,73852
2020-09-02,170.96,174.91,170.56,174.91,67606
2020-09-03,174.46,175.14,166.33,166.98,94382
2020-09-04,168.21,169.03,165.4,166.27,46112
2020-09-08,167.1,167.91,164.67,166.94,75649
2020-09-09,168.24,170.34,167.34,167.71,46324
2020-09-10,167.21,167.6,164.92,167.06,68503
2020-09-11,167.04,168.64,166.7,168.26,38846
2020-09-14,169.0,169.95,168.25,168.27,54986
2020-09-15,168.45,168.45,161.18,161.18,98754
2020-09-16,161.33,163.26,160.0,161.83,184165
2020-09-17,160.72,163.36,160.44,162.25,39959
2020-09-18,162.37,166.78,161.97,165.27,189706
2020-09-21,164.46,164.46,160.77,162.62,48035
