date,open,high,low,close,volume
2020-07-27,60.33,61.18,60.25,61.18,37021
2020-07-28,61.3,61.49,60.65,60.65,20321
2020-07-29,60.93,61.84,60.88,61.41,47203
2020-07-30,61.18,61.84,60.99,61.4,18130
2020-07-31,61.31,61.65,60.58,61.6,62577
2020-08-03,61.63,61.63,60.69,61.33,25723
2020-08-04,60.51,60.99,60.29,60.71,16916
2020-08-05,60.78,60.78,59.67,59.96,12270
2020-08-06,59.73,60.02,59.1,60.02,30134
2020-08-07,60.11,61.51,60.11,60.98,18228
2020-08-10,61.17,61.69,61.04,61.61,24463
2020-08-11,62.18,62.54,61.6,61.8,26030
2020-08-12,62.71,63.98,62.67,63.28,13417
2020-08-13,63.51,63.83,63.37,63.49,19453
2020-08-14,63.39,63.62,63.04,63.15,10037
2020-08-17,63.69,64.1,63.57,63.94,20440
2020-08-18,64.07,64.53,63.31,64.33,31469
2020-08-19,64.41,65.24,64.25,64.58,34491
2020-08-20,64.16,64.44,64.1,64.28,11146
2020-08-21,64.42,64.42,63.05,64.03,28157
2020-08-24,64.13,64.6,64.1,64.6,15256
2020-08-25,64.35,64.45,64.14,64.36,12939
2020-08-26,64.09,64.79,63.78,64.52,20125
2020-08-27,64.97,65.1,64.65,64.7,11319
2020-08-28,64.17,65.35,64.16,65.35,11246
2020-08-31,65.46,65.74,64.99,64.99,60359
2020-09-01,64.83,64.86,63.22,64.52,85443
2020-09-02,66.15,73.88,65.67,70.79,181456
2020-09-03,70.65,71.95,70.02,70.59,84323
2020-09-04,71.14,71.69,70.09,71.33,33549
2020-09-08,72.22,72.22,69.79,70.26,74405
2020-09-09,71.06,73.21,71.06,72.23,29506
2020-09-10,72.25,72.25,70.75,70.82,26162
2020-09-11,70.74,71.34,70.05,70.57,17356
2020-09-14,71.06,71.14,70.59,70.74,17296
2020-09-15,70.94,71.46,70.11,70.27,49542
2020-09-16,70.54,70.54,69.15,69.29,22658
2020-09-17,68.65,68.86,68.18,68.72,91060
2020-09-18,68.6,68.63,67.09,67.96,31025
2020-09-21,67.22,67.56,65.96,67.56,17726
2020-09-22,67.99,68.31,67.31,67.78,39907
2020-09-23,67.67,68.42,67.04,67.04,68279
2020-09-24,67.24,67.24,66.21,66.57,17512
2020-09-25,66.19,66.32,65.85,66.25,29609
2020-09-28,67.42,67.75,67.09,67.18,41433
2020-09-29,67.59,67.85,66.88,67.0,32845
2020-09-30,67.11,67.49,66.61,67.03,27940
2020-10-01,67.97,67.97,66.7,67.16,35206
2020-10-02,66.62,67.78,66.62,67.31,49734
2020-10-05,67.42,68.12,66.97,67.98,28814
2020-10-06,68.27,68.63,67.71,67.78,33608
2020-10-07,68.42,69.13,68.0,68.68,19682
2020-10-08,68.64,69.46,68.64,69.41,33647
2020-10-09,69.71,69.91,69.52,69.77,42822
2020-10-12,69.89,70.55,69.64,70.3,32904
2020-10-13,69.49,70.03,69.2,69.55,28609
2020-10-14,69.49,69.88,68.68,68.97,37677
2020-10-15,68.19,68.43,67.68,67.87,35615
2020-10-16,68.07,68.52,67.4,67.56,39821
2020-10-19,67.97,67.97,66.06,66.13,38984
2020-10-20,66.8,67.17,66.14,66.3,36104
2020-10-21,66.69,66.9,66.37,66.53,69492
2020-10-22,66.95,67.2,66.46,66.95,105970
2020-10-23,67.59,67.59,66.01,66.21,39411
2020-10-26,65.65,65.65,64.26,64.74,37995
2020-10-27,64.84,65.07,64.21,64.35,34367
2020-10-28,63.42,63.72,61.94,61.98,45797
2020-10-29,61.66,62.39,61.16,62.01,44692
2020-10-30,61.69,62.61,61.33,62.01,56117
2020-11-02,62.96,64.03,62.54,63.04,32775
2020-11-03,64.44,65.32,64.05,64.95,35552
2020-11-04,65.4,67.63,65.4,65.67,52056
2020-11-05,66.72,67.13,65.52,66.85,56751
2020-11-06,67.01,67.62,66.99,66.99,29535
2020-11-09,70.53,70.53,68.11,68.54,64627
2020-11-10,68.92,70.41,68.58,70.01,39069
2020-11-11,69.91,70.59,69.24,69.91,19237
2020-11-12,69.77,70.35,69.04,69.32,12487
2020-11-13,70.01,70.84,69.73,70.84,14241
2020-11-16,71.3,72.22,70.44,72.18,26578
2020-11-17,71.58,72.76,71.14,72.22,16293
2020-11-18,72.15,72.15,70.49,70.49,19839
2020-11-19,70.71,71.83,70.17,71.3,47399
2020-11-20,71.41,71.95,70.84,70.97,25502
2020-11-23,71.28,71.64,70.82,71.33,32591
2020-11-24,72.11,72.98,71.85,72.79,53822
2020-11-25,72.8,73.16,72.21,72.22,23605
2020-11-27,71.82,72.35,71.75,72.14,13022
2020-11-30,72.26,72.7,71.63,71.84,61331
2020-12-01,71.77,72.63,71.27,72.6,34293
2020-12-02,72.3,72.85,70.51,71.08,50879
2020-12-03,70.57,71.09,69.75,70.1,62362
2020-12-04,70.62,71.18,70.39,71.16,43929
2020-12-07,71.38,72.14,71.17,71.78,120250
2020-12-08,70.84,71.82,68.91,70.4,202559
2020-12-09,70.64,70.88,68.34,68.48,71644
2020-12-10,68.41,68.98,67.77,67.91,48529
