date,open,high,low,close,volume
2020-07-27,14.02,14.08,13.67,13.96,151362
2020-07-28,13.8,13.89,13.49,13.57,238748
2020-07-29,13.55,13.59,12.89,13.51,832965
2020-07-30,13.14,13.27,12.7,13.1,371487
2020-07-31,12.98,13.4,12.94,13.26,954155
2020-08-03,13.12,13.57,12.86,13.37,213344
2020-08-04,13.27,13.86,13.27,13.84,221634
2020-08-05,14.13,14.53,13.86,14.32,401083
2020-08-06,14.25,14.39,14.12,14.34,235330
2020-08-07,14.13,14.32,13.98,14.3,166945
2020-08-10,14.42,15.04,14.42,14.92,244202
2020-08-11,15.18,15.35,14.79,14.83,398429
2020-08-12,15.12,15.19,14.87,15.13,241042
2020-08-13,15.03,15.04,14.7,14.79,193260
2020-08-14,14.68,14.98,14.66,14.88,121796
2020-08-17,14.77,14.77,14.1,14.39,188191
2020-08-18,14.37,14.69,14.17,14.22,155699
2020-08-19,14.17,14.33,13.99,14.11,149157
2020-08-20,13.87,13.91,13.57,13.64,227802
2020-08-21,13.47,13.5,13.15,13.35,285425
2020-08-24,13.47,13.93,13.4,13.73,138121
2020-08-25,13.92,14.0,13.51,13.51,203887
2020-08-26,13.45,13.45,12.93,13.0,229328
2020-08-27,13.02,13.08,12.68,12.73,266613
2020-08-28,12.8,12.87,12.65,12.78,215573
2020-08-31,12.87,12.87,12.21,12.34,433403
2020-09-01,12.18,12.18,11.89,12.0,217090
2020-09-02,11.95,12.25,11.74,12.2,494484
2020-09-03,12.51,12.81,12.38,12.57,268982
2020-09-04,12.76,12.88,12.42,12.55,286636
2020-09-08,12.27,12.38,11.76,12.09,415976
2020-09-09,12.21,12.27,11.99,12.21,300397
2020-09-10,12.21,12.23,11.91,12.02,256637
2020-09-11,11.94,12.05,11.72,12.04,209212
2020-09-14,12.01,12.79,11.8,12.63,223083
2020-09-15,12.62,12.89,12.59,12.71,429503
2020-09-16,12.71,13.15,12.57,12.95,402548
2020-09-17,12.62,13.16,12.55,13.13,283637
2020-09-18,13.02,13.48,12.99,13.11,171901
2020-09-21,12.65,12.72,12.21,12.37,166978
2020-09-22,12.45,12.58,12.28,12.43,142125
2020-09-23,12.39,12.5,11.67,11.7,199198
2020-09-24,11.5,11.75,11.32,11.49,226540
2020-09-25,11.35,11.44,11.24,11.34,240339
2020-09-28,11.61,11.82,11.54,11.63,162237
2020-09-29,11.62,11.72,11.2,11.35,187417
2020-09-30,11.41,11.69,11.37,11.48,211637
2020-10-01,11.29,11.37,10.87,11.02,275798
2020-10-02,10.66,11.1,10.5,10.92,335131
2020-10-05,11.02,11.28,11.02,11.19,900068
2020-10-06,11.38,11.5,11.0,11.02,368156
2020-10-07,11.1,11.26,10.89,11.2,400256
2020-10-08,11.3,11.59,11.25,11.55,390685
2020-10-09,11.73,11.74,11.33,11.4,303914
2020-10-12,11.39,11.39,11.15,11.31,203785
2020-10-13,11.3,11.3,11.01,11.12,465790
2020-10-14,11.13,11.78,11.11,11.37,414511
2020-10-15,11.17,11.69,11.09,11.62,432499
2020-10-16,11.51,11.62,11.33,11.36,633904
2020-10-19,11.52,11.76,11.31,11.32,488625
2020-10-20,11.56,11.83,11.48,11.78,349315
2020-10-21,11.57,12.39,11.51,12.13,657216
2020-10-22,12.25,12.54,12.08,12.5,419493
2020-10-23,12.65,12.68,12.15,12.34,264950
2020-10-26,12.12,12.13,11.83,11.99,193594
2020-10-27,11.93,12.27,11.76,12.22,305065
2020-10-28,11.88,12.1,11.76,11.83,636165
2020-10-29,11.63,12.4,11.54,12.4,413316
2020-10-30,12.33,12.77,12.27,12.75,492846
2020-11-02,12.93,13.76,12.79,13.56,854899
2020-11-03,13.8,13.96,13.48,13.72,445667
2020-11-04,13.64,13.86,13.18,13.51,809617
2020-11-05,13.47,13.81,13.47,13.56,291829
2020-11-06,13.6,13.93,13.42,13.61,367051
2020-11-09,15.26,16.11,14.78,15.44,621722
2020-11-10,15.55,15.9,14.93,15.38,603052
2020-11-11,15.63,15.63,15.01,15.33,227333
2020-11-12,15.16,15.3,14.85,15.1,389540
2020-11-13,15.23,15.68,15.19,15.62,163349
2020-11-16,16.32,16.68,15.88,16.39,397038
2020-11-17,16.11,16.95,16.01,16.84,927312
2020-11-18,16.89,16.89,16.23,16.24,399529
2020-11-19,15.97,16.23,15.75,15.98,452609
2020-11-20,15.89,15.95,15.72,15.91,395191
2020-11-23,16.17,16.94,16.17,16.84,376201
2020-11-24,17.43,17.83,17.22,17.7,388823
2020-11-25,17.37,17.37,17.04,17.29,295761
2020-11-27,17.21,17.33,17.13,17.27,114390
2020-11-30,17.07,17.22,16.35,16.35,411958
2020-12-01,16.86,17.05,16.74,16.77,325786
