date,open,high,low,close,volume
2020-07-27,23.13,23.835,23.05,23.805,26851
2020-07-28,23.82,23.82,22.51,22.57,39413
2020-07-29,22.905,23.75,22.905,23.705,41305
2020-07-30,23.155,23.525,22.55,23.42,59267
2020-07-31,25.57,25.57,22.65,23.69,102642
2020-08-03,24.875,27.43,24.875,27.275,110788
2020-08-04,26.59,26.94,26.14,26.22,92990
2020-08-05,26.7,26.7,26.435,26.515,29981
2020-08-06,26.49,26.72,26.42,26.475,30284
2020-08-07,26.585,26.955,26.455,26.875,105232
2020-08-10,27.12,28.1,27.1,27.785,53940
2020-08-11,28.2,28.34,26.87,27.025,62533
2020-08-12,30.71,31.14,29.2,30.405,368138
2020-08-13,30.465,31.96,30.205,31.365,155918
2020-08-14,31.075,31.66,29.965,30.27,208338
2020-08-17,30.45,30.8,29.875,30.025,69837
2020-08-18,30.075,30.13,29.245,29.5,93827
2020-08-19,29.26,29.58,28.72,28.79,38438
2020-08-20,28.51,28.655,27.945,28.205,48431
2020-08-21,28.09,28.625,28.04,28.625,86074
2020-08-24,28.97,28.97,27.76,28.115,52642
2020-08-25,28.75,28.75,27.69,28.06,25229
2020-08-26,27.975,28.18,27.74,27.905,24555
2020-08-27,29.97,30.73,28.99,30.24,313462
2020-08-28,31.16,32.44,30.9,31.645,301036
2020-08-31,31.32,31.44,30.485,30.655,77278
2020-09-01,30.08,31.26,30.035,30.965,87708
2020-09-02,30.63,31.53,30.14,31.525,46663
2020-09-03,30.95,31.075,30.01,30.185,32609
2020-09-04,30.68,30.68,28.54,30.025,73291
2020-09-08,29.425,31.205,29.22,30.025,57150
2020-09-09,30.54,31.175,30.18,30.89,42245
2020-09-10,31.27,31.835,30.98,31.225,149454
2020-09-11,31.24,32.07,31.24,31.885,81067
2020-09-14,32.36,32.975,31.95,32.865,63690
2020-09-15,33.03,33.05,32.495,32.575,46018
2020-09-16,32.755,33.435,32.545,33.17,112006
2020-09-17,32.22,33.07,31.965,32.255,159753
2020-09-18,32.29,32.45,31.14,31.705,80976
2020-09-21,30.73,30.73,29.515,30.055,88101
2020-09-22,30.055,30.87,29.76,30.835,69267
2020-09-23,30.765,31.01,29.325,29.65,65520
2020-09-24,29.7,30.78,29.26,30.04,43823
2020-09-25,29.92,30.745,29.58,30.585,121272
2020-09-28,31.36,32.375,31.36,32.275,77670
2020-09-29,32.24,32.45,31.955,32.015,62382
2020-09-30,32.34,33.195,32.17,32.625,67121
2020-10-01,32.945,33.245,32.49,33.165,122281
2020-10-02,32.2,33.87,32.2,33.7,154345
2020-10-05,34.33,34.375,32.84,33.35,152558
2020-10-06,33.475,34.355,33.26,33.43,166692
2020-10-07,34.115,34.18,33.465,33.85,88174
2020-10-08,34.235,34.34,33.38,33.87,78061
2020-10-09,34.09,34.455,33.49,34.02,97665
2020-10-12,34.18,34.65,34.07,34.525,52447
2020-10-13,34.09,34.515,33.675,34.2,67143
2020-10-14,34.57,34.66,33.88,33.905,29291
2020-10-15,33.37,34.41,33.01,34.16,72528
2020-10-16,34.17,34.46,33.455,33.515,40262
2020-10-19,33.53,33.875,32.55,32.65,84874
2020-10-20,32.74,34.49,32.74,33.68,84276
2020-10-21,33.59,33.59,32.48,32.58,43707
2020-10-22,32.59,32.75,31.65,32.24,47444
2020-10-23,32.49,33.04,32.06,32.615,75265
2020-10-26,31.76,32.11,31.08,31.72,56171
2020-10-27,31.55,32.16,30.945,31.4,115791
2020-10-28,30.4,31.37,30.15,30.49,152519
2020-10-29,30.425,30.61,29.75,30.035,157550
2020-10-30,31.88,32.97,30.055,30.3,396016
2020-11-02,30.98,32.93,30.92,32.63,208217
2020-11-03,33.66,33.79,31.75,32.67,159126
2020-11-04,32.36,34.47,32.36,34.09,95566
2020-11-05,34.8,36.06,34.61,34.68,115541
2020-11-06,34.765,34.765,33.655,34.09,226555
2020-11-09,35.95,36.88,32.17,32.17,194470
2020-11-10,32.95,34.125,32.5,33.805,160352
2020-11-11,33.94,34.37,33.25,34.37,125111
2020-11-12,34.185,34.69,33.5,33.84,44869
2020-11-13,34.12,34.94,33.95,34.85,116428
2020-11-16,36.045,36.1,35.18,35.835,70541
2020-11-17,35.46,36.15,35.125,35.785,110593
2020-11-18,35.17,36.45,34.83,36.07,65794
2020-11-19,35.69,36.79,35.69,36.74,86522
2020-11-20,36.295,36.44,35.53,35.76,75030
2020-11-23,36.09,37.14,36.02,36.77,71193
2020-11-24,37.165,37.24,36.15,37.08,112013
2020-11-25,36.9,37.495,36.54,37.31,118169
2020-11-27,37.265,38.05,37.265,37.92,56911
2020-11-30,38.09,38.09,36.84,37.415,307378
2020-12-01,38.4,38.46,35.74,35.925,108535
2020-12-02,35.595,35.595,34.74,35.2,126134
2020-12-03,35.54,36.31,34.96,35.88,65982
2020-12-04,36.13,36.13,34.49,35.3,116245
2020-12-07,35.625,37.325,35.24,36.995,125466
2020-12-08,36.855,36.855,35.255,35.295,81114
2020-12-09,35.6,36.15,35.115,35.5,73434
2020-12-10,34.99,36.09,34.85,36.04,59193
2020-12-11,35.89,36.05,35.31,35.78,49953
2020-12-14,36.01,36.39,35.42,35.49,64994
2020-12-15,35.655,36.62,35.37,36.385,109381
2020-12-16,36.46,36.74,35.52,35.77,65974
2020-12-17,36.25,38.25,36.16,38.17,60810
2020-12-18,38.46,39.94,38.045,39.375,93562
2020-12-21,38.33,40.71,38.33,40.705,103325
2020-12-22,41.09,41.14,40.11,41.12,76238
2020-12-23,41.27,41.71,40.66,41.55,57152
2020-12-24,41.63,42.255,41.4,42.255,24404
2020-12-28,42.56,42.56,41.4,41.94,81387
2020-12-29,41.85,42.45,40.82,41.93,172466
2020-12-30,42.155,42.83,41.8,42.29,162690
2020-12-31,42.12,42.165,40.67,40.86,304765
2021-01-04,41.06,41.545,38.71,39.77,142475
2021-01-05,39.95,40.285,39.055,39.67,155896
2021-01-06,39.86,40.955,38.425,40.925,187241
2021-01-07,41.47,42.44,40.26,42.39,96276
2021-01-08,42.535,42.535,40.08,40.17,168659
2021-01-11,39.88,40.36,39.435,39.61,113188
2021-01-12,39.81,39.87,39.09,39.54,140638
2021-01-13,39.785,40.065,38.5,38.6,98173
2021-01-14,39.23,40.49,39.19,40.27,161683
2021-01-15,39.9,41.62,39.82,40.89,119672
2021-01-19,41.2,41.29,40.27,40.38,134455
2021-01-20,40.66,41.5,40.18,41.5,188093
2021-01-21,41.585,43.435,41.53,42.63,90066
2021-01-22,42.25,42.93,41.64,42.92,139672
2021-01-25,42.95,43.15,40.8,41.925,117973
2021-01-26,42.11,42.38,40.27,40.38,88651
2021-01-27,39.515,39.59,37.695,37.92,147196
2021-01-28,38.365,39.21,37.83,38.9,156027
2021-01-29,39.02,39.11,37.46,38.19,76535
2021-02-01,38.6,39.535,37.74,39.45,76202
2021-02-02,40.17,40.24,39.07,39.96,53354
2021-02-03,39.81,40.845,39.58,40.37,55511
2021-02-04,40.29,41.59,40.12,41.56,64834
2021-02-05,41.52,42.605,41.43,42.605,55533
2021-02-08,42.88,43.72,42.61,43.41,125456
2021-02-09,43.14,43.98,42.7,43.5,85289
2021-02-10,43.5,43.75,42.13,42.67,49670
2021-02-11,43.04,43.435,42.42,43.43,68878
2021-02-12,43.22,44.05,42.9,43.45,44100
2021-02-16,43.3,43.36,41.53,41.71,44653
2021-02-17,41.18,41.53,40.67,41.23,34506
2021-02-18,40.96,41.26,39.75,40.04,42141
2021-02-19,40.325,41.6,40.325,40.91,79598
2021-02-22,40.585,42.055,40.26,41.39,70803
2021-02-23,40.9,42.0,39.58,41.81,49159
2021-02-24,41.91,42.52,40.91,42.465,173101
2021-02-25,41.9,42.215,40.26,40.62,99066
2021-02-26,41.56,44.71,40.71,43.28,188755
2021-03-01,44.71,45.92,43.305,44.87,141473
2021-03-02,44.17,44.535,43.535,43.71,68887
2021-03-03,43.785,44.175,42.61,43.22,126183
2021-03-04,43.05,43.35,41.12,42.36,132314
2021-03-05,42.55,43.64,40.55,43.525,88312
2021-03-08,43.905,44.74,43.33,44.45,88843
2021-03-09,45.03,45.42,44.7,44.79,49650
2021-03-10,45.49,47.3,45.39,47.13,69341
2021-03-11,47.4,47.4,46.24,47.125,75641
2021-03-12,46.39,47.35,46.245,46.735,83366
2021-03-15,46.88,47.19,45.53,47.02,108041
2021-03-16,46.74,46.96,45.37,45.81,93664
2021-03-17,45.47,47.71,45.28,47.495,122748
2021-03-18,47.24,47.6,45.64,45.67,67984
2021-03-19,45.79,46.35,44.325,45.82,79969
2021-03-22,46.18,46.18,44.495,44.87,107600
2021-03-23,43.95,44.4,42.125,42.28,139665
2021-03-24,42.85,44.25,42.385,42.39,136925
2021-03-25,41.82,44.325,41.225,44.06,101015
2021-03-26,44.52,46.66,43.86,46.66,84194
2021-03-29,46.58,46.82,44.39,44.76,80525
2021-03-30,44.91,45.92,44.36,45.91,53298
2021-03-31,46.18,46.99,46.08,46.41,120392
2021-04-01,46.97,48.02,46.74,47.32,127309
2021-04-05,48.78,48.78,47.18,47.61,54891
2021-04-06,48.04,48.33,47.38,47.99,41370
2021-04-07,47.89,48.04,46.8,46.95,68970
2021-04-08,47.37,47.49,46.26,47.34,45705
2021-04-09,47.44,48.8,47.12,48.62,47681
2021-04-12,48.87,49.59,48.315,49.325,52201
2021-04-13,49.34,49.34,47.42,48.31,57522
2021-04-14,48.31,48.805,47.71,47.82,99979
2021-04-15,48.16,48.84,48.12,48.52,81961
2021-04-16,49.185,50.185,49.105,49.73,96326
2021-04-19,50.04,50.37,49.03,49.8,88191
2021-04-20,49.61,49.96,46.995,47.71,118108
2021-04-21,47.53,48.4,47.38,48.2,75039
2021-04-22,48.86,48.86,47.26,47.74,61251
2021-04-23,47.89,49.13,47.89,48.75,74034
2021-04-26,49.28,49.82,49.185,49.63,71580
2021-04-27,49.79,50.765,49.545,49.96,70807
2021-04-28,49.87,49.87,48.85,49.03,44573
2021-04-29,50.03,50.47,49.14,49.965,69698
2021-04-30,49.33,49.4,48.4,48.65,81591
2021-05-03,49.31,49.775,48.9,49.31,116100
2021-05-04,49.12,49.48,48.275,48.76,101247
2021-05-05,48.73,49.31,47.71,49.06,178708
2021-05-06,51.88,52.88,49.92,52.0,219969
2021-05-07,52.29,52.86,51.0,52.37,144787
2021-05-10,53.17,53.97,52.27,52.28,213640
2021-05-11,50.68,51.34,49.21,50.36,114337
2021-05-12,49.735,49.79,46.45,46.63,171900
2021-05-13,46.735,48.62,46.735,47.95,202537
2021-05-14,48.58,48.82,47.38,47.93,337178
2021-05-17,47.785,48.05,46.19,48.01,125569
2021-05-18,48.13,48.385,45.81,45.84,200803
2021-05-19,44.905,45.2,43.73,44.64,236053
2021-05-20,44.98,44.99,44.05,44.81,160545
2021-05-21,45.34,46.07,43.92,43.92,155754
2021-05-24,44.47,44.865,44.07,44.48,172880
2021-05-25,44.855,46.13,44.62,44.83,130391
2021-05-26,44.93,45.55,44.5,45.175,123055
2021-05-27,45.97,45.985,45.02,45.17,91202
2021-05-28,45.4,45.4,43.74,44.53,64417
2021-06-01,45.01,45.41,44.245,44.46,102313
2021-06-02,44.5,44.59,42.69,42.91,190793
2021-06-03,42.4,42.75,41.745,42.23,191638
2021-06-04,42.46,43.32,41.95,42.715,99690
2021-06-07,42.6,42.62,41.9,41.9,146925
2021-06-08,41.98,42.43,41.28,42.26,113585
2021-06-09,43.19,44.36,42.99,43.79,227986
2021-06-10,43.68,43.81,42.315,42.675,426941
2021-06-11,43.18,44.09,43.08,43.89,133098
2021-06-14,43.72,43.83,41.92,42.61,155365
2021-06-15,42.4,43.665,42.35,43.41,244825
2021-06-16,43.04,43.635,42.51,43.32,141928
2021-06-17,43.67,44.045,42.12,43.05,123180
2021-06-18,42.18,43.31,42.01,42.27,96097
2021-06-21,42.77,43.95,42.445,43.905,133947
2021-06-22,44.01,44.475,43.25,44.43,148192
2021-06-23,44.42,44.59,43.76,44.15,149398
2021-06-24,44.74,44.89,43.97,44.855,143128
2021-06-25,45.03,45.79,44.64,45.23,201182
2021-06-28,45.51,45.65,45.11,45.195,191979
2021-06-29,45.355,45.44,42.5,42.52,174386
2021-06-30,42.68,43.03,41.76,42.66,174468
2021-07-01,42.79,43.94,42.58,43.67,127999
2021-07-02,43.73,43.73,43.18,43.245,77017
2021-07-06,42.795,42.795,41.08,42.17,166508
2021-07-07,41.975,43.1,41.65,43.03,124619
2021-07-08,41.295,42.46,40.945,41.755,175325
2021-07-09,42.425,42.865,42.265,42.76,101881
2021-07-12,42.63,43.89,42.61,43.72,92157
2021-07-13,43.3,43.37,42.1,42.32,67119
2021-07-14,42.41,42.85,41.49,41.95,119601
2021-07-15,41.78,42.63,41.62,41.845,114859
2021-07-16,42.005,42.05,40.91,41.0,52730
2021-07-19,40.08,41.015,39.335,40.47,126488
2021-07-20,40.65,42.26,40.36,41.985,88396
2021-07-21,44.01,45.25,43.78,44.96,254652
2021-07-22,44.66,44.845,43.9,44.535,80766
2021-07-23,45.13,45.66,44.56,45.375,88103
2021-07-26,45.22,45.48,43.73,44.015,90776
2021-07-27,43.595,44.33,43.36,44.18,31817
2021-07-28,44.27,44.86,43.06,44.175,41721
2021-07-29,44.64,45.59,44.55,44.91,98710
2021-07-30,44.76,45.39,44.47,44.54,66479
2021-08-02,44.745,45.52,44.225,44.46,77510
2021-08-03,44.525,45.94,43.89,45.86,123220
2021-08-04,45.375,46.965,45.31,45.92,108183
2021-08-05,47.445,48.82,47.1,47.43,221635
