date,open,high,low,close,volume
2020-07-27,496.3,504.29,493.5,501.55,36903
2020-07-28,499.31,500.78,496.42,497.58,40811
2020-07-29,500.87,506.07,499.33,503.8,51133
2020-07-30,496.82,499.92,492.62,499.92,8888
2020-07-31,499.32,500.85,494.57,500.85,11431
2020-08-03,504.56,508.5,504.47,505.91,16841
2020-08-04,501.16,501.28,495.69,497.86,15465
2020-08-05,500.07,510.02,500.07,507.95,14203
2020-08-06,507.76,508.52,502.05,507.44,13390
2020-08-07,507.53,513.18,505.54,512.81,15501
2020-08-10,511.06,511.09,505.71,506.63,13671
2020-08-11,510.45,520.23,509.71,511.11,17909
2020-08-12,516.46,524.59,510.02,515.45,19183
2020-08-13,512.32,518.39,512.32,514.43,15021
2020-08-14,511.49,516.85,510.51,513.33,22774
2020-08-17,513.84,519.07,513.84,516.77,20208
2020-08-18,515.77,518.23,513.84,513.95,27565
2020-08-19,517.3,519.3,514.11,514.82,10768
2020-08-20,512.09,512.36,507.12,508.87,20215
2020-08-21,512.01,512.03,507.87,509.27,25776
2020-08-24,511.26,516.18,511.06,516.18,14892
2020-08-25,517.19,518.69,515.18,515.97,12411
2020-08-26,514.19,519.62,513.16,516.58,8550
2020-08-27,517.78,521.8,516.66,518.95,13004
2020-08-28,519.27,524.53,517.5,524.53,13790
2020-08-31,526.46,526.46,518.09,518.94,14552
2020-09-01,518.7,524.03,517.65,519.46,17812
2020-09-02,520.15,531.74,518.8,529.89,27635
2020-09-03,529.78,529.78,503.74,508.45,35816
2020-09-04,510.55,511.69,489.59,495.39,30134
2020-09-08,488.94,489.88,482.48,484.94,45510
2020-09-09,491.19,495.01,487.94,491.93,31787
2020-09-10,489.07,489.71,475.67,476.66,32485
2020-09-11,478.15,480.36,472.55,475.05,29852
2020-09-14,478.23,485.41,476.96,480.41,30272
2020-09-15,484.11,485.2,481.23,481.23,12359
2020-09-16,482.36,497.42,481.8,493.1,55954
2020-09-17,486.11,487.11,478.06,481.18,46821
2020-09-18,482.88,490.62,482.88,488.76,83040
2020-09-21,482.34,487.95,476.22,484.7,21159
2020-09-22,485.04,487.58,478.31,483.29,27163
2020-09-23,483.7,484.97,472.74,472.85,18610
2020-09-24,470.44,475.43,467.07,469.53,16352
2020-09-25,471.53,481.57,469.02,481.23,15462
2020-09-28,488.56,494.81,487.35,489.67,23614
2020-09-29,490.91,492.65,484.81,488.08,21663
2020-09-30,487.83,500.78,487.75,495.18,33978
2020-10-01,504.62,507.11,497.13,498.82,58171
2020-10-02,490.75,504.2,490.75,500.7,37532
2020-10-05,504.59,510.26,503.03,509.68,40906
2020-10-06,511.67,517.93,507.57,509.26,65745
2020-10-07,514.58,519.94,514.58,519.59,34716
2020-10-08,522.38,531.92,522.38,529.89,36608
2020-10-09,534.76,538.47,532.86,536.3,18755
2020-10-12,539.72,544.57,539.13,540.25,43664
2020-10-13,552.93,566.93,551.89,560.67,47510
2020-10-14,563.07,563.56,557.73,561.69,68560
2020-10-15,556.12,569.0,556.12,567.07,71348
