date,open,high,low,close,volume
2020-07-27,119.01,121.6,119.01,121.54,11094
2020-07-28,120.95,121.57,119.8,120.22,12821
2020-07-29,120.94,121.82,120.12,121.49,13108
2020-07-30,120.34,121.74,120.2,121.59,11833
2020-07-31,121.39,121.93,120.52,121.9,32938
2020-08-03,122.6,124.72,122.6,124.39,24172
2020-08-04,124.14,124.6,123.33,124.6,19816
2020-08-05,124.98,124.98,122.1,122.52,18249
2020-08-06,122.77,123.44,121.78,122.85,16844
2020-08-07,122.59,123.19,121.89,122.72,40029
2020-08-10,123.05,124.34,122.86,124.02,22504
2020-08-11,126.16,131.09,126.16,128.92,59590
2020-08-12,127.19,127.49,126.13,126.28,13843
2020-08-13,125.88,127.2,125.44,126.11,14391
2020-08-14,125.83,127.07,125.67,126.21,10279
2020-08-17,126.81,127.19,125.2,125.42,10103
2020-08-18,126.88,126.88,125.8,126.35,9420
2020-08-19,126.33,126.33,124.36,124.57,8430
2020-08-20,124.79,125.21,124.38,124.62,7390
2020-08-21,124.44,124.73,123.91,124.22,5872
2020-08-24,125.46,125.88,124.43,125.58,9351
2020-08-25,126.09,126.25,124.82,125.53,20231
2020-08-26,125.26,126.26,124.84,125.9,9694
2020-08-27,126.38,127.29,125.39,126.03,10906
2020-08-28,125.9,126.1,125.37,125.69,10393
2020-08-31,125.31,125.66,124.64,124.79,12003
2020-09-01,124.7,126.54,124.7,126.54,14739
2020-09-02,126.78,130.37,126.77,129.86,19331
2020-09-03,128.86,128.86,124.66,125.52,14532
2020-09-04,125.82,125.82,121.34,123.18,9065
2020-09-08,121.21,122.79,120.03,120.05,13871
2020-09-09,121.3,124.76,121.26,123.81,12672
2020-09-10,124.71,125.27,121.2,121.6,17355
2020-09-11,122.1,122.93,120.97,121.97,10496
2020-09-14,123.79,124.73,123.78,123.98,11093
2020-09-15,125.15,125.15,123.13,123.75,28353
2020-09-16,124.42,125.38,123.06,123.06,10335
2020-09-17,121.25,121.81,120.25,121.68,25576
2020-09-18,121.54,121.98,119.6,119.98,30078
2020-09-21,118.72,119.41,117.29,119.29,43782
2020-09-22,119.68,120.35,118.56,120.19,9237
2020-09-23,120.17,120.34,117.32,117.45,8368
2020-09-24,116.11,117.47,115.79,116.46,25273
2020-09-25,116.8,118.97,116.13,118.97,12756
2020-09-28,119.74,121.4,119.74,120.37,7466
2020-09-29,120.56,120.98,119.78,120.14,6593
2020-09-30,120.23,121.09,119.44,120.39,21897
2020-10-01,121.86,123.41,120.95,122.01,50286
2020-10-02,120.55,121.9,119.71,121.77,18254
2020-10-05,122.29,124.24,121.65,124.2,49720
2020-10-06,123.93,126.36,123.56,123.72,23947
2020-10-07,124.9,125.62,123.51,125.41,19240
2020-10-08,126.64,127.5,125.79,126.77,12478
2020-10-09,127.22,128.83,127.18,128.49,16643
2020-10-12,129.29,130.52,128.71,130.04,32228
2020-10-13,129.79,131.03,128.74,129.47,26288
2020-10-14,129.72,129.91,129.04,129.21,19952
2020-10-15,128.31,131.01,128.31,130.58,27872
2020-10-16,131.35,132.24,130.52,130.7,19162
2020-10-19,130.93,131.57,128.97,129.22,30463
2020-10-20,129.52,131.34,129.52,130.87,32928
2020-10-21,131.09,132.26,131.09,131.72,42604
2020-10-22,131.37,132.28,130.35,131.94,22110
2020-10-23,132.77,132.94,131.92,132.84,23244
2020-10-26,131.71,131.88,128.86,129.43,17035
2020-10-27,129.34,130.29,127.55,127.71,20554
2020-10-28,125.53,126.03,122.8,123.38,53883
2020-10-29,123.27,127.03,123.02,125.91,41046
2020-10-30,125.23,129.16,124.1,125.43,73103
2020-11-02,128.03,128.68,126.67,128.21,41354
2020-11-03,130.77,133.01,130.39,131.01,30689
2020-11-04,132.93,133.96,131.81,131.97,12292
2020-11-05,134.45,134.85,131.57,131.87,16264
2020-11-06,131.82,134.01,131.57,133.63,17072
2020-11-09,138.06,139.57,133.84,133.84,24540
2020-11-10,133.83,134.59,131.9,133.29,56186
2020-11-11,135.11,136.53,134.54,135.63,25230
2020-11-12,135.21,135.21,131.87,132.67,11020
2020-11-13,133.97,134.18,132.64,133.72,12091
2020-11-16,134.22,135.49,133.67,135.07,29780
2020-11-17,134.56,134.95,134.0,134.26,9683
2020-11-18,133.98,134.46,132.97,133.0,12672
2020-11-19,131.17,133.77,130.92,133.44,19255
2020-11-20,132.69,133.35,131.91,132.15,15193
2020-11-23,131.93,134.71,131.93,134.71,23414
2020-11-24,134.83,134.83,133.23,133.96,18668
2020-11-25,134.19,134.19,132.33,133.15,14551
2020-11-27,133.88,134.28,132.28,134.2,11844
2020-11-30,134.66,134.66,131.99,133.87,25337
2020-12-01,134.48,135.42,133.54,135.21,27165
2020-12-02,135.47,135.92,133.67,134.12,16909
2020-12-03,134.43,135.54,134.35,134.84,8783
2020-12-04,135.08,135.93,134.56,135.93,15395
2020-12-07,134.96,136.24,132.36,133.19,37089
2020-12-08,132.89,134.62,132.89,134.24,34385
2020-12-09,134.64,135.38,133.6,135.26,41352
2020-12-10,134.02,135.35,132.71,133.27,35537
2020-12-11,133.34,134.67,132.76,134.49,42442
2020-12-14,134.3,136.13,133.66,133.73,67880
2020-12-15,133.73,135.43,133.59,134.71,30384
2020-12-16,135.02,135.68,133.64,134.34,30981
2020-12-17,136.74,138.0,136.48,137.94,38396
2020-12-18,138.31,141.07,137.55,140.94,73566
2020-12-21,138.69,139.09,136.02,136.75,25722
2020-12-22,136.8,137.18,135.69,135.89,24720
2020-12-23,136.07,136.15,135.03,135.09,50521
2020-12-24,135.76,137.27,135.35,137.24,8669
2020-12-28,138.06,139.53,137.9,139.28,46097
2020-12-29,140.38,140.38,138.09,138.54,51450
2020-12-30,139.32,139.46,138.71,139.16,11726
2020-12-31,139.08,140.3,138.61,140.3,6936
2021-01-04,140.89,141.15,136.8,138.63,51536
2021-01-05,139.4,139.4,136.96,138.77,52888
2021-01-06,139.66,142.72,138.69,142.54,70354
2021-01-07,142.66,144.9,142.06,142.43,73400
2021-01-08,143.54,144.63,141.77,142.85,41948
2021-01-11,142.08,142.49,141.16,141.86,26097
2021-01-12,141.47,142.02,141.06,141.63,33740
2021-01-13,141.65,141.66,140.33,141.09,98428
2021-01-14,141.1,141.76,140.36,140.55,37813
2021-01-15,139.95,140.89,138.07,138.68,31789
2021-01-19,139.6,139.91,138.32,138.75,20854
2021-01-20,139.06,139.66,137.8,139.49,25835
2021-01-21,139.46,139.62,137.95,138.19,28657
2021-01-22,137.77,137.77,136.16,136.33,65801
2021-01-25,136.06,137.89,135.79,137.89,45535
2021-01-26,137.9,139.41,137.14,138.92,34568
2021-01-27,137.39,137.69,131.39,131.39,63210
2021-01-28,132.9,134.44,131.3,132.51,54757
2021-01-29,131.45,131.59,129.42,129.42,28797
2021-02-01,130.4,133.9,130.0,133.63,30093
2021-02-02,132.13,134.64,131.57,134.02,76281
2021-02-03,135.19,135.47,132.26,132.26,23552
2021-02-04,132.12,132.91,130.09,130.88,42403
2021-02-05,132.87,132.97,131.42,131.91,35962
2021-02-08,132.45,132.46,130.33,130.89,31431
2021-02-09,130.15,130.5,129.19,129.55,26125
