date,open,high,low,close,volume
2020-07-27,193.7,193.79,191.78,192.13,258700
2020-07-28,190.93,194.44,190.87,194.15,168951
2020-07-29,193.99,196.67,193.99,196.44,163682
2020-07-30,193.3,194.55,192.29,194.37,134293
2020-07-31,195.04,195.79,193.345,195.57,243182
2020-08-03,196.45,200.67,196.13,199.11,183011
2020-08-04,198.745,200.23,198.16,200.205,127810
2020-08-05,201.415,204.67,201.25,203.765,150916
2020-08-06,203.04,205.35,202.75,205.12,107181
2020-08-07,204.255,209.72,204.155,209.35,126268
2020-08-10,211.365,212.855,209.425,212.57,135808
2020-08-11,214.79,215.41,212.265,212.55,157639
2020-08-12,213.82,214.095,212.33,213.22,172180
2020-08-13,212.62,213.075,211.7,211.91,136480
2020-08-14,210.905,211.97,210.29,210.91,110873
2020-08-17,210.205,210.45,206.36,206.69,160795
2020-08-18,207.24,209.72,206.88,208.37,121363
2020-08-19,208.915,210.21,206.745,207.36,207269
2020-08-20,205.1,206.75,204.53,206.13,163461
2020-08-21,206.025,208.36,205.92,207.45,124577
2020-08-24,209.6,213.27,209.54,212.59,180871
2020-08-25,213.57,213.99,212.9,213.32,132138
2020-08-26,212.91,215.83,212.515,214.68,124687
2020-08-27,215.17,217.94,215.09,216.85,170518
2020-08-28,217.15,218.81,215.78,218.615,117409
2020-08-31,218.685,219.37,217.825,218.05,162527
2020-09-01,217.34,218.58,216.66,218.58,139477
2020-09-02,218.21,222.05,218.2,221.65,165371
2020-09-03,222.03,223.09,216.48,218.12,188116
2020-09-04,219.9,221.45,215.15,218.36,211627
2020-09-08,216.45,219.19,215.42,217.71,316253
2020-09-09,218.905,221.54,218.905,219.69,198145
2020-09-10,220.21,220.485,217.21,217.78,103574
2020-09-11,217.91,219.265,216.95,217.89,129056
2020-09-14,219.02,221.24,218.335,220.14,112484
2020-09-15,220.3,221.505,218.51,219.09,108990
2020-09-16,220.315,222.08,219.25,219.44,103186
2020-09-17,218.23,218.65,216.55,218.02,255344
2020-09-18,218.76,220.99,217.85,217.98,284877
2020-09-21,214.325,215.41,208.79,213.16,274408
2020-09-22,212.75,214.65,211.73,214.25,245999
2020-09-23,213.995,214.815,209.43,209.59,105258
2020-09-24,208.15,210.19,206.63,208.72,208708
2020-09-25,207.35,211.08,207.02,210.475,102218
2020-09-28,213.11,215.45,212.085,213.41,217365
2020-09-29,212.525,212.97,210.345,210.35,242586
2020-09-30,211.84,213.69,210.86,213.3,121748
2020-10-01,214.17,214.23,210.645,212.09,299256
2020-10-02,209.62,213.68,209.62,211.12,278252
2020-10-05,213.26,213.89,212.075,212.41,294114
2020-10-06,212.41,213.465,209.67,210.14,326795
2020-10-07,212.19,214.67,211.38,213.1,157991
2020-10-08,214.05,215.68,213.465,215.18,202822
2020-10-09,215.76,216.23,214.21,215.7,206220
2020-10-12,216.18,217.415,215.15,215.98,200067
2020-10-13,215.86,216.37,212.025,212.05,282727
2020-10-14,211.78,212.175,210.555,210.57,387652
2020-10-15,209.275,211.96,208.29,211.63,204581
2020-10-16,211.84,213.79,211.84,211.95,230345
2020-10-19,212.16,212.3,208.2,208.86,159620
2020-10-20,210.0,211.42,209.49,210.18,251278
2020-10-21,208.97,211.36,208.83,210.11,157232
2020-10-22,209.365,211.755,209.28,211.56,140554
2020-10-23,212.44,213.81,211.73,212.65,143472
2020-10-26,209.64,210.26,207.02,208.43,229210
2020-10-27,207.79,208.48,206.78,206.85,150060
2020-10-28,202.29,203.84,199.81,200.7,423039
2020-10-29,199.7,202.92,197.95,201.55,236822
2020-10-30,200.14,202.21,198.7,201.85,279477
2020-11-02,204.81,206.18,203.06,204.14,491494
2020-11-03,207.66,209.785,206.4,206.63,349762
2020-11-04,206.2,210.14,204.79,206.27,347261
2020-11-05,209.15,210.82,207.0,207.55,405048
2020-11-06,207.89,210.23,207.64,208.865,190421
2020-11-09,222.44,225.2,218.1,221.62,468038
2020-11-10,222.63,228.585,220.98,228.48,515411
2020-11-11,228.275,228.98,225.51,227.34,325120
2020-11-12,225.01,225.645,223.18,224.7,358056
2020-11-13,225.67,228.145,225.31,227.61,361354
2020-11-16,230.595,233.35,229.86,233.35,216215
2020-11-17,231.01,234.87,230.05,233.26,182425
2020-11-18,233.57,234.43,230.03,230.07,223651
2020-11-19,228.77,229.95,227.62,229.67,349489
2020-11-20,228.85,229.675,226.8,226.92,289533
2020-11-23,229.17,230.36,228.085,229.74,233044
2020-11-24,232.59,234.95,231.31,233.94,162865
2020-11-25,233.76,233.97,232.05,233.13,128653
2020-11-27,233.16,234.03,230.51,231.56,74582
2020-11-30,231.1,231.1,228.2,229.0,359307
2020-12-01,230.735,231.97,229.4,229.72,244096
2020-12-02,229.715,230.58,228.31,230.41,294682
2020-12-03,230.08,231.48,228.88,230.8,291596
2020-12-04,230.84,231.87,230.42,231.39,214268
2020-12-07,231.05,231.05,228.12,229.25,265053
2020-12-08,227.36,228.735,226.62,228.21,310510
2020-12-09,228.55,228.63,226.635,227.44,361433
2020-12-10,226.445,227.84,225.745,227.43,261198
2020-12-11,225.02,226.7,224.595,226.37,245533
2020-12-14,227.92,227.99,222.36,222.78,379680
2020-12-15,224.455,225.845,222.755,224.46,386570
2020-12-16,225.18,225.29,221.83,221.88,475938
2020-12-17,222.51,225.01,221.71,224.64,491195
2020-12-18,224.78,225.2,221.7,223.95,692183
2020-12-21,222.02,224.16,221.3,223.49,339084
2020-12-22,223.51,223.59,221.77,221.85,312674
2020-12-23,222.65,224.9,222.65,224.25,301085
2020-12-24,224.66,227.125,224.3,226.87,178685
2020-12-28,227.9,230.055,227.45,228.35,108086
2020-12-29,230.3,231.09,229.2,229.615,283581
2020-12-30,229.6,230.56,229.08,229.64,201486
2020-12-31,229.49,232.215,228.93,231.93,175348
2021-01-04,231.73,231.74,226.85,228.465,478805
2021-01-05,228.16,230.08,226.885,227.48,394213
2021-01-06,228.48,232.66,227.715,230.15,756323
2021-01-07,232.32,233.94,231.38,232.955,240132
2021-01-08,233.545,234.58,231.84,234.05,246375
2021-01-11,231.33,233.865,231.33,233.41,272288
2021-01-12,233.29,233.94,231.735,233.0,311989
2021-01-13,232.17,234.93,231.74,234.47,252901
2021-01-14,234.73,235.57,233.84,235.03,274206
2021-01-15,233.905,234.52,231.98,233.58,327456
2021-01-19,234.02,236.24,231.7,234.37,328999
2021-01-20,234.36,235.19,233.27,234.8,326040
2021-01-21,234.53,236.2,234.16,234.175,260743
2021-01-22,232.9,233.79,232.26,232.92,260284
2021-01-25,231.63,233.51,230.45,232.91,399376
2021-01-26,232.88,233.48,231.345,231.58,239140
2021-01-27,230.0,230.0,226.1,227.53,550270
2021-01-28,229.37,233.5,228.51,230.95,328432
2021-01-29,229.56,229.97,227.235,227.74,349927
2021-02-01,230.0,230.5,228.11,229.35,264900
2021-02-02,231.05,233.43,230.7,232.26,509472
2021-02-03,232.32,233.14,231.32,232.71,241070
2021-02-04,232.6,235.89,232.58,235.86,242007
2021-02-05,236.37,236.845,234.845,235.15,195863
2021-02-08,236.02,237.5,235.4,237.385,216042
2021-02-09,237.28,240.77,235.69,239.925,242397
2021-02-10,241.48,241.48,239.1,239.8,179699
2021-02-11,239.525,240.39,238.9,239.85,119373
2021-02-12,238.405,242.73,238.05,242.49,144145
2021-02-16,244.1,247.22,242.95,245.17,107547
2021-02-17,244.49,246.03,244.2,245.3,131040
2021-02-18,244.98,245.285,241.69,243.56,228984
2021-02-19,244.51,244.91,241.36,241.72,297583
2021-02-22,240.95,245.97,240.86,245.11,156373
2021-02-23,245.38,246.54,243.45,245.68,192535
2021-02-24,246.09,249.455,245.755,248.46,229340
2021-02-25,248.4,250.51,243.04,243.59,241612
2021-02-26,244.1,244.8,240.58,240.58,373860
2021-03-01,246.7,250.47,246.14,249.02,262981
2021-03-02,249.12,251.3,248.42,249.23,215829
2021-03-03,249.53,254.77,249.38,251.5,167369
2021-03-04,250.76,252.53,243.27,245.47,279416
2021-03-05,248.89,253.42,247.325,253.15,208432
2021-03-08,254.45,260.21,253.75,257.26,292089
2021-03-09,259.1,262.92,255.73,259.21,231344
2021-03-10,259.65,267.465,259.65,263.87,262560
2021-03-11,263.79,264.46,260.435,260.89,223369
2021-03-12,262.58,264.57,259.695,259.83,147782
