date,open,high,low,close,volume
2020-07-27,43.51,43.94,43.46,43.67,29743
2020-07-28,43.86,44.41,41.73,42.63,46561
2020-07-29,42.75,43.29,42.69,43.09,93345
2020-07-30,42.54,42.97,42.35,42.82,12900
2020-07-31,42.9,43.54,42.59,43.54,22837
2020-08-03,43.59,44.14,43.5,43.62,35161
2020-08-04,43.44,43.62,43.1,43.61,24145
2020-08-05,43.9,43.95,43.66,43.85,21011
2020-08-06,43.83,43.99,43.56,43.76,34786
2020-08-07,43.74,44.2,43.71,44.2,39222
2020-08-10,44.15,44.47,44.0,44.08,26732
2020-08-11,44.49,44.49,43.81,43.84,39753
2020-08-12,44.19,44.4,43.93,43.96,14627
2020-08-13,43.83,44.11,43.74,43.98,11525
2020-08-14,43.93,44.35,43.86,44.0,20927
2020-08-17,43.96,44.19,43.91,44.13,12911
2020-08-18,44.28,44.42,43.95,44.26,19895
2020-08-19,44.37,44.44,44.11,44.11,12045
2020-08-20,43.9,44.27,43.9,43.94,12677
2020-08-21,43.58,43.79,43.41,43.72,16200
2020-08-24,43.87,43.89,43.64,43.84,12269
2020-08-25,44.22,44.36,44.11,44.15,12306
2020-08-26,43.9,44.01,43.67,43.81,20539
2020-08-27,44.29,44.47,44.13,44.25,8992
2020-08-28,44.37,44.46,44.05,44.34,33401
2020-08-31,44.22,44.81,44.15,44.56,13781
2020-09-01,44.52,44.91,44.39,44.83,38223
2020-09-02,44.84,45.39,44.77,45.36,22420
2020-09-03,45.42,45.45,43.86,44.06,16554
2020-09-04,44.21,44.35,42.7,43.44,27996
2020-09-08,42.4,42.75,41.76,42.42,63167
2020-09-09,42.75,44.07,42.74,43.57,28683
2020-09-10,43.83,43.83,43.06,43.06,14549
2020-09-11,43.05,43.35,42.72,42.83,18312
2020-09-14,43.25,43.67,43.2,43.37,26419
2020-09-15,43.55,43.94,43.28,43.37,70206
2020-09-16,43.68,44.03,43.33,43.33,20003
2020-09-17,42.69,43.24,42.69,42.97,29215
2020-09-18,43.25,43.62,42.95,43.0,33337
2020-09-21,42.4,42.59,41.72,42.29,28268
2020-09-22,42.59,42.82,42.27,42.74,14546
2020-09-23,42.82,42.93,41.58,41.58,19871
2020-09-24,41.62,42.49,41.48,41.79,32228
2020-09-25,41.57,42.22,41.37,42.21,30327
2020-09-28,42.67,43.17,42.36,43.03,16755
2020-09-29,42.98,43.58,42.98,43.38,20928
2020-09-30,43.63,43.81,43.17,43.46,76547
2020-10-01,43.88,43.88,42.98,43.19,44333
2020-10-02,42.73,44.03,42.66,43.56,32869
2020-10-05,44.15,44.15,43.61,43.9,50778
2020-10-06,44.02,44.57,43.77,43.92,47451
2020-10-07,44.29,44.54,44.05,44.41,30063
2020-10-08,44.63,44.95,44.46,44.83,27469
2020-10-09,45.09,45.59,45.04,45.32,50264
2020-10-12,45.47,46.42,45.47,46.33,31415
2020-10-13,46.16,46.47,45.37,45.48,50659
2020-10-14,45.58,46.02,45.09,45.09,28962
2020-10-15,44.59,45.7,44.57,45.41,45196
2020-10-16,45.51,45.97,45.41,45.55,34980
2020-10-19,45.79,45.79,44.57,44.57,28414
2020-10-20,44.85,45.03,44.48,44.53,25157
2020-10-21,44.58,45.09,44.58,44.71,42926
2020-10-22,44.73,45.04,44.48,44.79,38440
2020-10-23,44.85,44.9,44.39,44.8,33841
2020-10-26,44.5,44.86,44.03,44.74,58966
2020-10-27,45.0,45.42,42.99,43.42,70163
2020-10-28,42.78,42.9,42.24,42.37,70908
2020-10-29,42.06,42.45,41.43,41.69,84816
2020-10-30,41.72,42.47,41.34,41.8,77651
2020-11-02,42.24,43.01,42.13,42.71,92477
2020-11-03,43.04,43.04,42.52,42.66,63581
2020-11-04,42.55,44.68,42.55,44.13,54640
2020-11-05,44.38,44.41,43.73,43.77,60114
2020-11-06,43.86,44.16,43.78,43.97,33243
2020-11-09,46.24,46.71,44.03,44.12,83133
2020-11-10,44.47,45.44,44.28,45.37,57351
2020-11-11,45.7,45.7,44.89,45.17,29117
2020-11-12,44.87,45.16,44.3,44.56,25115
2020-11-13,45.05,45.39,44.92,45.37,15630
2020-11-16,45.65,45.84,45.43,45.82,35134
2020-11-17,45.65,45.7,45.15,45.55,49887
2020-11-18,45.58,45.7,45.19,45.21,51909
2020-11-19,45.15,45.88,44.81,45.67,39198
2020-11-20,45.65,46.01,45.21,45.35,123911
2020-11-23,45.58,45.6,44.6,44.74,32412
2020-11-24,45.04,45.55,44.53,44.69,56516
2020-11-25,44.65,44.75,43.81,44.11,97665
2020-11-27,43.99,44.16,43.69,43.89,29345
2020-11-30,43.7,43.7,43.15,43.29,66630
2020-12-01,43.8,43.87,43.23,43.87,103109
2020-12-02,44.02,44.1,42.92,43.35,66006
2020-12-03,43.32,43.56,42.81,42.91,75914
2020-12-04,43.08,43.37,42.88,43.09,78901
2020-12-07,43.14,43.53,42.78,42.92,89539
2020-12-08,42.78,43.77,42.63,43.61,41881
2020-12-09,43.76,43.82,43.47,43.53,47527
2020-12-10,43.28,43.6,43.18,43.18,37271
2020-12-11,43.26,43.84,43.2,43.3,51154
2020-12-14,43.63,44.34,43.63,43.74,48492
2020-12-15,43.92,44.91,43.88,44.84,30608
2020-12-16,44.98,45.11,44.13,44.22,47282
2020-12-17,44.41,44.92,44.27,44.92,32959
2020-12-18,45.16,45.32,44.08,44.23,77354
2020-12-21,44.17,44.27,43.34,44.25,20667
2020-12-22,43.81,44.2,43.8,43.93,18762
2020-12-23,44.29,44.41,43.82,43.96,30343
2020-12-24,44.01,44.54,44.0,44.54,8347
2020-12-28,44.72,44.75,44.11,44.13,15422
2020-12-29,44.13,44.4,44.02,44.27,42969
2020-12-30,44.63,44.88,44.43,44.49,58906
2020-12-31,44.41,45.72,44.41,45.6,32262
2021-01-04,45.42,45.58,43.87,44.59,135838
2021-01-05,44.55,44.87,44.31,44.55,45215
2021-01-06,44.58,45.58,44.14,45.46,121118
2021-01-07,45.52,46.33,45.43,46.07,37466
2021-01-08,46.44,46.87,45.65,46.18,68379
2021-01-11,45.8,45.96,45.09,45.18,43725
2021-01-12,45.4,45.4,44.93,45.1,24795
2021-01-13,45.13,45.13,44.47,44.51,26285
2021-01-14,44.73,44.88,43.98,44.0,28381
2021-01-15,44.12,44.97,43.94,44.5,73061
2021-01-19,45.15,45.4,44.83,44.91,42445
2021-01-20,44.95,45.84,44.78,45.77,32005
2021-01-21,45.79,46.12,45.55,45.66,60218
2021-01-22,45.5,45.8,45.36,45.69,42382
2021-01-25,45.57,46.3,45.51,45.9,52583
2021-01-26,46.0,46.14,43.89,43.93,114689
2021-01-27,43.63,43.63,42.37,42.37,103359
2021-01-28,42.54,42.98,42.19,42.19,85884
2021-01-29,41.96,42.73,41.43,41.46,83059
2021-02-01,41.61,41.95,41.09,41.34,55650
2021-02-02,41.79,42.98,41.79,42.97,56718
2021-02-03,42.71,42.74,41.87,42.07,58439
2021-02-04,42.08,42.79,41.8,42.31,79486
2021-02-05,42.82,43.3,42.82,43.14,28994
2021-02-08,43.17,43.87,43.08,43.84,51645
2021-02-09,43.86,44.09,43.64,43.68,57714
2021-02-10,43.7,44.01,43.34,43.42,23278
2021-02-11,43.83,43.83,43.36,43.68,39103
2021-02-12,43.61,43.61,43.0,43.18,48022
2021-02-16,43.19,43.23,42.49,42.84,75461
2021-02-17,42.57,42.75,42.34,42.65,45667
2021-02-18,42.65,42.84,42.38,42.73,33633
2021-02-19,42.94,43.95,42.94,43.95,114818
2021-02-22,43.85,44.68,43.53,44.49,68465
2021-02-23,44.56,45.36,44.25,45.23,54317
2021-02-24,45.1,46.24,45.08,46.07,121863
2021-02-25,46.17,46.17,45.05,45.11,44413
2021-02-26,44.99,45.28,44.27,44.28,48795
2021-03-01,44.68,45.62,44.56,45.2,54001
2021-03-02,44.94,45.11,44.23,44.72,57773
2021-03-03,44.48,45.03,43.93,43.94,50179
2021-03-04,43.69,44.1,43.18,43.31,54181
2021-03-05,43.75,44.45,43.41,44.37,23503
2021-03-08,44.29,45.32,44.29,44.62,34521
2021-03-09,44.82,45.18,44.39,44.39,66862
2021-03-10,44.47,45.01,44.31,44.81,41650
2021-03-11,44.76,44.82,44.41,44.75,87790
2021-03-12,44.87,45.22,44.76,45.13,37987
2021-03-15,45.2,45.49,44.96,45.45,33643
2021-03-16,45.32,45.45,44.9,45.27,42368
2021-03-17,45.09,45.12,44.61,44.7,71474
2021-03-18,44.66,44.66,43.99,44.03,65978
2021-03-19,44.08,44.14,43.01,43.19,87171
2021-03-22,43.13,43.95,43.11,43.71,62440
2021-03-23,43.69,44.28,43.65,43.97,50467
2021-03-24,44.16,44.59,44.06,44.25,42990
2021-03-25,43.95,44.36,43.92,44.25,39844
2021-03-26,44.49,44.55,44.08,44.46,41419
2021-03-29,44.43,44.76,44.21,44.6,18538
2021-03-30,44.7,44.73,44.22,44.24,27430
2021-03-31,44.37,44.48,43.91,44.07,47550
2021-04-01,44.13,44.86,44.12,44.86,39673
2021-04-05,45.14,45.36,44.79,45.02,29455
2021-04-06,44.92,45.27,44.9,45.27,30657
2021-04-07,45.25,45.45,45.02,45.45,24115
2021-04-08,45.42,45.73,45.23,45.63,23669
2021-04-09,45.68,46.12,45.49,46.11,36100
2021-04-12,46.06,46.32,45.94,46.12,36675
2021-04-13,45.92,46.76,45.92,46.75,15959
2021-04-14,46.63,47.04,46.41,46.49,29204
2021-04-15,46.82,47.25,46.82,47.18,23749
2021-04-16,47.58,47.95,47.39,47.76,47186
2021-04-20,47.78,48.07,47.55,47.62,40440
2021-04-21,47.66,48.05,47.53,48.03,45398
2021-04-22,47.84,48.42,47.84,48.18,44477
2021-04-23,48.22,48.78,48.22,48.62,61293
2021-04-26,48.79,49.04,47.98,47.98,23179
2021-04-27,49.95,51.08,49.83,50.03,128648
2021-04-28,50.09,50.73,50.09,50.59,73241
2021-04-29,50.78,51.01,50.57,50.9,61525
2021-04-30,51.09,51.83,51.09,51.28,83004
2021-05-03,51.58,51.58,50.9,51.18,49625
2021-05-04,51.17,51.53,51.15,51.44,31544
2021-05-05,51.33,51.48,50.7,51.22,39046
2021-05-06,51.41,51.77,51.35,51.64,52291
2021-05-07,51.41,52.17,51.41,51.84,59193
2021-05-10,52.06,52.49,51.55,51.58,57869
2021-05-11,51.15,51.15,50.1,50.22,41648
2021-05-12,50.15,50.35,49.13,49.18,41199
2021-05-13,49.46,50.5,49.41,50.34,41175
2021-05-14,50.37,50.91,50.37,50.71,31962
2021-05-17,50.64,50.64,50.12,50.43,21670
2021-05-18,50.41,50.73,50.22,50.26,27864
2021-05-19,49.81,50.25,49.69,50.25,20410
2021-05-20,50.28,50.74,50.17,50.44,24604
2021-05-21,50.5,50.55,49.99,50.31,28647
2021-05-24,50.28,50.54,50.23,50.35,35148
2021-05-25,50.41,50.48,49.99,50.03,27038
2021-05-26,50.12,50.12,49.72,49.85,43551
2021-05-27,50.15,50.67,49.89,50.62,34601
2021-05-28,50.72,50.85,50.57,50.69,17771
2021-06-01,51.17,51.17,50.51,50.75,53442
2021-06-02,50.71,50.81,50.49,50.59,20287
2021-06-03,50.33,50.89,50.15,50.47,28779
2021-06-04,50.51,50.63,50.29,50.56,13509
2021-06-07,50.57,50.57,49.92,49.95,24872
2021-06-08,49.75,50.26,49.7,50.25,20961
2021-06-09,50.21,50.32,49.9,49.94,13733
2021-06-10,50.0,50.29,49.99,50.06,14620
2021-06-11,50.0,50.38,50.0,50.38,19163
2021-06-14,50.37,50.38,50.13,50.34,40266
