date,open,high,low,close,volume
2020-07-27,44.99,45.12,44.49,44.76,34264
2020-07-28,44.66,44.66,43.87,43.91,42473
2020-07-29,44.39,44.88,44.13,44.67,29611
2020-07-30,44.07,44.39,43.75,44.27,73644
2020-07-31,44.39,44.39,42.97,43.49,58172
2020-08-03,43.54,43.89,42.86,43.37,33675
2020-08-04,43.25,43.25,42.34,42.62,211438
2020-08-05,42.79,43.43,42.51,43.26,111979
2020-08-06,43.11,43.74,43.11,43.27,78215
2020-08-07,43.09,43.37,42.76,42.86,40721
2020-08-10,43.04,43.04,42.27,42.71,167521
2020-08-11,42.91,43.86,42.79,42.86,165505
2020-08-12,43.67,43.76,43.04,43.11,32131
2020-08-13,42.97,43.55,42.97,43.43,40426
2020-08-14,43.36,43.49,43.03,43.08,61738
2020-08-17,43.07,43.74,43.07,43.58,28511
2020-08-18,43.62,44.03,43.62,43.77,52289
2020-08-19,43.93,44.51,43.91,44.08,38809
2020-08-20,43.84,44.03,42.83,42.86,26205
2020-08-21,43.07,43.52,43.07,43.25,75309
2020-08-24,43.48,43.75,43.3,43.51,79550
2020-08-25,43.65,43.65,43.0,43.28,95010
2020-08-26,43.21,44.23,43.08,44.13,158116
2020-08-27,44.07,44.29,43.65,43.73,135231
2020-08-28,43.86,43.86,43.12,43.23,123324
2020-08-31,43.28,43.61,43.06,43.22,68900
2020-09-01,43.46,43.85,43.28,43.85,40728
2020-09-02,43.91,44.75,43.44,44.48,43192
2020-09-03,44.58,44.58,42.85,43.98,55915
2020-09-04,44.36,44.67,42.79,43.26,38742
2020-09-08,42.29,42.44,41.56,41.73,81839
2020-09-09,42.29,42.43,41.8,42.11,72762
2020-09-10,42.24,42.78,41.95,41.99,67829
2020-09-11,42.3,42.46,41.37,42.02,175673
2020-09-14,42.44,43.11,42.24,43.02,45735
2020-09-15,43.11,43.96,42.77,43.42,64769
2020-09-16,43.45,44.29,43.35,43.67,57412
2020-09-17,42.98,42.98,42.13,42.59,125312
2020-09-18,42.66,43.23,42.59,43.02,77023
2020-09-21,42.35,42.5,41.76,42.24,48017
2020-09-22,42.62,42.65,41.36,41.87,57518
2020-09-23,42.01,42.73,41.36,41.45,66283
2020-09-24,41.28,41.5,40.22,40.76,92452
2020-09-25,40.67,42.0,40.67,41.76,87008
2020-09-28,42.33,43.12,42.33,42.97,61565
2020-09-29,42.76,43.44,42.47,43.06,95695
2020-09-30,42.97,43.55,42.48,42.64,209896
2020-10-01,42.93,43.8,42.81,43.68,156239
2020-10-02,42.75,44.47,42.74,43.86,71039
2020-10-05,44.19,44.58,43.85,44.3,231863
2020-10-06,44.57,45.08,43.92,44.11,184042
2020-10-07,44.52,44.91,44.08,44.48,96873
2020-10-08,44.79,45.25,44.77,45.0,100150
2020-10-09,45.32,45.39,44.59,44.69,85369
2020-10-12,44.53,44.88,44.14,44.88,135898
2020-10-13,44.9,45.4,44.83,45.19,130658
