date,open,high,low,close,volume
2020-07-27,24.54,24.77,24.13,24.3,138686
2020-07-28,24.26,24.36,23.92,24.12,195001
2020-07-29,24.39,25.63,24.37,25.15,550239
2020-07-30,23.81,25.39,23.75,24.84,236546
2020-07-31,24.82,25.3,24.64,25.11,259844
2020-08-03,25.2,25.79,24.98,25.56,289447
2020-08-04,25.43,25.77,25.13,25.67,477387
2020-08-05,25.61,26.05,25.61,26.01,147713
2020-08-06,25.96,26.36,25.88,26.16,175893
2020-08-07,26.4,26.84,26.3,26.79,152731
2020-08-10,26.78,27.34,26.78,27.25,81019
2020-08-11,27.85,28.03,27.25,27.27,320145
2020-08-12,27.69,27.91,27.4,27.54,150576
2020-08-13,27.54,27.99,27.17,27.33,201073
2020-08-14,27.47,27.78,27.08,27.28,154516
2020-08-17,27.24,27.91,26.99,27.6,180737
2020-08-18,27.53,27.79,27.17,27.24,151575
2020-08-19,27.24,27.42,26.94,27.05,97149
2020-08-20,26.73,27.19,26.66,26.85,45430
2020-08-21,26.95,27.58,26.95,27.29,130818
2020-08-24,27.68,28.14,27.64,28.08,154542
2020-08-25,28.21,28.49,28.13,28.18,114459
2020-08-26,28.24,28.88,28.17,28.7,208410
2020-08-27,28.81,28.86,27.92,28.01,192111
2020-08-28,28.06,28.15,27.71,28.03,164643
2020-08-31,27.99,28.15,27.59,27.63,129770
2020-09-01,27.46,28.07,27.02,28.02,101645
2020-09-02,27.98,28.58,27.64,28.46,134225
2020-09-03,28.18,28.38,26.79,27.13,114095
2020-09-04,27.31,27.81,26.67,27.77,318032
2020-09-08,27.09,27.98,27.03,27.39,264624
2020-09-09,27.69,28.07,27.39,27.86,157083
2020-09-10,27.71,27.74,26.46,26.93,511938
2020-09-11,26.98,27.41,26.85,27.07,90374
2020-09-14,27.22,27.22,26.68,26.98,126963
2020-09-15,27.16,27.78,27.16,27.47,129758
2020-09-16,27.82,28.21,27.32,27.97,150438
2020-09-17,27.3,28.37,27.19,28.36,116797
2020-09-18,28.37,28.84,28.27,28.53,125222
2020-09-21,28.19,28.45,27.03,27.29,125687
2020-09-22,27.33,28.04,27.33,28.01,101716
2020-09-23,27.99,28.07,26.92,26.94,64465
2020-09-24,26.89,27.7,26.66,27.61,217854
2020-09-25,27.26,28.19,27.17,28.15,167361
2020-09-28,28.55,29.17,28.17,28.43,522264
2020-09-29,28.29,28.38,27.87,28.23,111410
2020-09-30,28.34,28.87,28.08,28.29,212165
2020-10-01,28.48,28.7,28.25,28.48,225587
2020-10-02,28.03,29.14,28.03,28.93,119396
2020-10-05,29.35,30.03,29.34,29.67,132313
2020-10-06,29.9,29.9,29.1,29.18,142604
2020-10-07,29.5,29.82,29.5,29.71,67760
2020-10-08,29.89,30.02,29.26,29.53,197319
2020-10-09,29.55,30.09,29.34,29.81,162544
2020-10-12,30.08,30.67,29.8,30.53,204954
2020-10-13,30.82,30.91,29.64,30.05,168230
2020-10-14,30.31,30.57,29.99,30.09,152574
2020-10-15,29.71,30.2,29.65,30.16,163805
2020-10-16,30.48,30.76,29.98,30.29,172437
2020-10-19,30.33,30.5,29.69,29.88,483872
2020-10-20,30.05,31.26,30.05,30.72,247889
2020-10-21,30.64,30.91,30.44,30.83,118302
2020-10-22,31.05,31.57,30.9,31.35,183889
2020-10-23,31.44,32.33,31.33,32.31,331593
2020-10-26,31.8,31.81,30.78,31.2,495172
2020-10-27,31.33,31.37,30.66,31.07,246510
2020-10-28,30.39,31.19,30.39,30.81,462287
2020-10-29,31.36,32.24,30.54,31.6,764326
2020-10-30,31.35,32.34,30.6,30.95,435454
2020-11-02,31.47,32.56,31.41,32.56,469074
2020-11-03,33.01,34.31,32.88,34.26,501871
2020-11-04,33.26,34.67,32.96,34.1,483231
2020-11-05,34.67,35.5,34.67,35.43,207841
2020-11-06,35.64,36.17,35.38,36.16,181510
2020-11-09,38.0,38.27,35.87,35.97,341423
2020-11-10,36.18,36.45,34.86,35.05,404546
2020-11-11,35.4,35.84,35.14,35.23,150727
2020-11-12,35.25,36.1,35.11,35.18,449799
2020-11-13,35.41,35.79,35.37,35.53,228861
2020-11-16,35.94,37.51,35.68,37.5,297981
2020-11-17,38.46,38.46,36.95,37.37,404050
2020-11-18,37.39,37.63,36.53,36.53,308614
2020-11-19,36.29,36.36,35.71,36.31,375611
2020-11-20,36.16,36.23,35.43,35.74,336305
2020-11-23,36.21,36.28,35.67,35.94,224814
2020-11-24,36.19,36.66,35.63,36.51,253691
2020-11-25,36.38,36.38,35.72,35.82,110992
2020-11-27,35.91,35.99,34.73,35.06,157363
2020-11-30,35.0,35.67,34.68,35.29,347977
2020-12-01,35.87,35.94,34.82,34.88,505542
