date,open,high,low,close,volume
2020-07-27,14.45,14.46,13.5,13.63,292111
2020-07-28,13.65,14.42,13.65,14.17,245346
2020-07-29,14.28,14.54,13.97,14.51,195060
2020-07-30,14.08,14.36,13.86,14.2,163857
2020-07-31,14.04,14.17,13.58,13.74,178015
2020-08-03,13.36,13.38,12.7,12.95,268413
2020-08-04,13.0,13.84,12.96,13.61,191343
2020-08-05,13.99,14.09,13.54,13.88,154391
2020-08-06,13.33,13.87,13.16,13.63,1075149
2020-08-07,13.46,14.16,13.19,14.06,288327
2020-08-10,14.23,15.3,14.21,15.27,345901
2020-08-11,16.3,16.34,15.46,15.64,384919
2020-08-12,15.99,15.99,14.67,15.02,271938
2020-08-13,14.84,15.55,14.78,15.08,138986
2020-08-14,14.79,15.55,14.74,15.3,111711
2020-08-17,15.25,15.26,14.52,14.52,551880
2020-08-18,14.49,14.74,14.11,14.28,243194
2020-08-19,14.23,15.0,14.11,14.45,169930
2020-08-20,14.18,14.56,14.03,14.39,180886
2020-08-21,14.34,14.77,14.29,14.48,136846
2020-08-24,14.8,16.04,14.51,15.98,793042
2020-08-25,16.0,16.22,15.17,15.73,185438
2020-08-26,15.52,15.59,15.04,15.12,198791
2020-08-27,15.5,16.5,15.49,15.94,566397
2020-08-28,16.39,17.15,16.08,17.03,304597
2020-08-31,17.13,17.13,16.31,16.31,342416
2020-09-01,15.91,16.52,15.87,16.33,163947
2020-09-02,16.39,16.59,16.04,16.53,106360
2020-09-03,17.45,18.54,16.93,17.38,559005
2020-09-04,18.13,18.44,17.25,18.32,460124
2020-09-08,17.69,18.7,17.68,18.09,224862
2020-09-09,17.94,18.0,17.09,17.5,348699
2020-09-10,17.64,18.55,17.64,17.68,299671
2020-09-11,17.89,17.92,17.26,17.5,163542
2020-09-14,17.7,17.91,17.36,17.66,243239
2020-09-15,17.03,17.03,15.68,15.78,1132372
2020-09-16,15.92,16.49,15.77,16.29,405120
2020-09-17,15.62,16.32,15.61,16.07,240603
2020-09-18,15.8,15.89,14.92,15.15,295870
2020-09-21,14.57,14.7,13.86,14.12,330199
2020-09-22,14.24,14.65,14.04,14.25,299454
2020-09-23,14.48,14.87,13.96,13.98,274437
2020-09-24,13.73,14.0,13.27,13.58,328242
2020-09-25,14.45,14.92,14.04,14.91,426505
2020-09-28,15.31,15.31,14.63,15.14,261795
2020-09-29,15.01,15.26,14.66,14.91,131203
2020-09-30,15.22,15.78,14.95,15.03,492678
2020-10-01,15.23,15.23,14.55,14.87,396963
2020-10-02,14.11,15.05,14.09,14.99,762196
2020-10-05,15.0,15.07,14.65,14.81,465859
2020-10-06,15.09,15.79,14.97,15.03,754347
2020-10-07,15.31,15.87,15.14,15.82,670120
2020-10-08,15.99,15.99,15.21,15.43,1004019
2020-10-09,15.55,15.88,15.38,15.53,594902
2020-10-12,15.26,15.34,15.04,15.05,452878
2020-10-13,14.54,14.65,13.84,13.88,1169688
2020-10-14,14.11,14.27,13.76,13.83,561937
2020-10-15,13.55,13.89,13.47,13.86,505841
2020-10-16,13.92,14.17,13.56,13.94,784619
2020-10-19,14.09,14.34,13.85,13.99,431402
2020-10-20,14.24,14.54,14.09,14.45,393499
2020-10-21,14.43,14.47,14.16,14.32,303152
2020-10-22,14.37,15.08,14.32,15.01,538808
2020-10-23,15.05,15.32,14.87,15.2,420736
2020-10-26,14.6,14.65,13.68,13.88,928273
2020-10-27,13.86,14.01,13.59,13.6,350228
2020-10-28,13.09,13.11,12.16,12.17,1125459
2020-10-29,12.2,12.95,11.99,12.84,480658
2020-10-30,12.64,14.32,12.49,13.54,1601349
2020-11-02,13.3,13.49,12.81,13.41,475921
2020-11-03,13.42,13.82,13.33,13.57,486188
2020-11-04,13.48,13.71,13.13,13.19,548097
2020-11-05,13.37,14.08,13.34,14.02,378216
2020-11-06,13.76,13.98,13.51,13.68,300489
2020-11-09,18.29,19.64,17.52,19.03,4196624
2020-11-10,18.32,18.45,16.23,16.53,4099844
2020-11-11,16.72,16.8,15.91,16.04,1570505
2020-11-12,15.47,15.68,14.72,14.78,2429209
2020-11-13,14.98,16.02,14.83,15.85,4240272
2020-11-16,17.27,17.8,16.77,17.4,1677748
2020-11-17,17.01,18.38,16.76,17.87,1161871
2020-11-18,17.35,18.1,17.25,17.41,1364217
2020-11-19,17.42,18.05,17.29,17.99,593704
2020-11-20,17.96,18.08,17.15,17.19,1364538
2020-11-23,17.68,18.16,17.44,17.99,1019441
2020-11-24,19.19,20.21,18.87,20.02,1136856
2020-11-25,20.2,20.68,19.72,20.44,668124
2020-11-27,20.78,22.01,20.64,21.36,839167
2020-11-30,21.54,21.54,19.63,19.76,1789990
2020-12-01,20.73,20.73,19.84,19.94,1074098
2020-12-02,19.55,21.04,19.04,20.9,927391
2020-12-03,21.23,23.23,21.15,22.65,982130
2020-12-04,23.27,23.45,22.36,23.22,683603
2020-12-07,23.14,23.19,22.46,22.95,451159
2020-12-08,22.75,23.64,22.73,23.35,537211
2020-12-09,23.74,24.12,21.75,22.46,826553
2020-12-10,22.01,22.82,21.93,22.08,976128
2020-12-11,22.4,22.58,21.05,21.11,819010
2020-12-14,22.07,22.5,20.71,20.71,1092314
2020-12-15,20.91,21.46,19.75,21.31,664952
2020-12-16,21.34,21.96,21.09,21.51,444087
2020-12-17,21.66,21.66,21.1,21.38,282827
2020-12-18,21.39,21.75,20.78,21.23,567359
2020-12-21,19.96,21.06,19.85,20.85,588566
2020-12-22,20.86,21.02,19.54,19.6,652381
2020-12-23,19.91,20.85,19.86,20.73,298044
2020-12-24,20.67,20.81,20.21,20.64,216298
2020-12-28,21.1,21.81,20.8,21.47,300084
2020-12-29,21.91,22.02,21.13,21.2,419612
2020-12-30,21.3,21.85,21.17,21.56,301899
2020-12-31,21.33,21.55,20.68,21.43,314552
2021-01-04,21.38,21.45,19.83,20.16,638597
2021-01-05,19.97,20.61,19.95,20.39,452584
2021-01-06,20.32,20.69,19.95,20.2,513326
2021-01-07,20.26,21.05,20.26,20.55,508741
2021-01-08,20.68,20.79,19.97,20.25,654499
2021-01-11,19.9,20.22,19.44,19.92,767168
2021-01-12,19.81,19.93,19.41,19.92,434292
2021-01-13,19.63,19.98,19.5,19.9,448249
2021-01-14,20.28,21.32,20.27,20.7,822949
2021-01-15,20.57,21.16,20.35,20.57,642282
2021-01-19,20.82,21.02,20.41,20.64,355615
2021-01-20,20.8,20.96,20.38,20.56,505151
2021-01-21,20.55,20.66,20.11,20.53,376007
2021-01-22,20.11,20.18,19.84,20.0,238527
2021-01-25,19.55,19.55,18.54,19.02,807459
2021-01-26,19.15,19.29,18.43,18.55,722698
2021-01-27,18.2,19.2,17.78,18.79,1375941
2021-01-28,19.9,20.44,19.45,19.54,912708
2021-01-29,19.47,19.6,18.19,18.47,879808
2021-02-01,18.79,18.93,18.22,18.59,497622
2021-02-02,19.02,19.39,18.78,19.24,505770
2021-02-03,19.39,20.27,19.24,20.23,549835
2021-02-04,20.76,21.09,20.45,20.84,604544
2021-02-05,21.15,21.51,20.91,21.08,458791
2021-02-08,21.34,21.58,21.04,21.38,419460
2021-02-09,21.12,21.12,20.46,20.83,518975
2021-02-10,20.9,21.41,20.65,20.71,659465
2021-02-11,20.64,20.89,20.25,20.5,506820
2021-02-12,19.89,20.6,19.84,20.39,349490
2021-02-16,20.92,22.32,20.76,22.22,978647
2021-02-17,21.98,23.79,21.66,22.96,1137490
2021-02-18,22.71,22.89,22.15,22.65,428368
2021-02-19,23.37,24.45,23.24,24.33,1925989
2021-02-22,24.9,27.02,24.4,25.68,1573503
2021-02-23,24.81,26.44,23.23,26.18,2363241
2021-02-24,26.79,27.87,26.46,26.74,2158107
2021-02-25,27.61,27.92,24.8,25.2,1358857
2021-02-26,25.57,26.57,25.01,26.48,873675
2021-03-01,27.3,27.61,25.75,26.03,1161413
2021-03-02,26.62,27.54,26.28,27.26,703790
2021-03-03,28.08,29.27,27.94,28.36,1416023
2021-03-04,28.78,29.11,25.96,27.11,1359322
2021-03-05,26.82,26.82,23.02,25.81,1294331
2021-03-08,26.75,26.97,25.52,26.4,710721
2021-03-09,26.63,27.54,25.52,27.32,705684
2021-03-10,27.17,28.09,26.4,26.41,1714614
2021-03-11,26.6,27.46,26.22,27.18,919243
2021-03-12,27.1,28.2,27.01,28.15,582382
2021-03-15,28.67,29.79,28.59,29.46,1032350
2021-03-16,29.62,29.64,27.56,27.95,1241768
2021-03-17,27.84,28.63,27.52,28.61,556399
2021-03-18,29.18,29.42,27.73,27.97,974401
2021-03-19,28.2,28.69,26.85,28.64,697173
2021-03-22,28.04,28.15,27.07,27.18,650695
2021-03-23,26.72,27.02,24.91,25.06,960697
2021-03-24,25.99,27.05,23.9,24.59,1330978
2021-03-25,23.65,25.74,23.47,25.57,748302
2021-03-26,25.96,26.21,24.96,25.76,510484
2021-03-29,25.73,25.85,24.98,25.35,359124
2021-03-30,25.46,26.54,25.42,26.38,394069
2021-03-31,26.26,26.5,25.63,26.27,383742
2021-04-01,26.69,26.81,26.27,26.57,435959
2021-04-05,27.52,28.42,27.4,27.8,714765
2021-04-06,27.89,28.77,27.56,28.29,690895
2021-04-07,29.11,30.29,28.57,28.71,1225456
2021-04-08,28.8,28.8,27.57,28.27,543704
2021-04-09,28.41,29.25,28.2,28.98,630761
2021-04-12,28.6,28.76,27.19,27.44,728725
2021-04-13,26.82,27.63,26.45,27.52,358311
2021-04-14,27.74,28.43,27.55,27.65,520028
2021-04-15,27.87,27.87,26.83,27.03,405057
2021-04-16,27.23,27.45,26.54,26.74,372943
2021-04-20,26.19,26.19,24.87,25.46,569714
2021-04-21,25.42,27.04,24.98,27.04,458099
2021-04-22,26.7,27.6,26.49,26.63,436975
2021-04-23,26.71,27.11,26.32,26.97,340551
2021-04-26,27.53,28.17,27.12,27.25,377954
2021-04-27,27.33,27.57,26.85,27.5,299622
2021-04-28,27.46,27.93,27.28,27.49,300908
2021-04-29,28.49,28.81,26.84,26.93,592458
2021-04-30,26.62,27.71,26.58,27.66,336069
2021-05-03,27.73,28.05,27.28,27.64,355449
2021-05-04,27.16,27.26,25.93,26.38,831767
2021-05-05,26.51,27.01,26.1,26.22,531462
2021-05-06,26.19,26.52,25.25,25.68,525572
2021-05-07,25.73,26.56,25.61,26.48,406215
2021-05-10,26.49,26.53,25.95,25.98,333726
2021-05-11,25.08,25.83,24.83,25.61,657118
2021-05-12,25.19,25.56,24.42,24.52,430830
2021-05-13,24.66,25.32,24.05,24.85,476099
2021-05-14,25.3,26.97,25.24,26.92,682191
2021-05-17,26.87,27.31,26.51,27.24,603179
2021-05-18,27.43,28.3,27.16,27.7,461226
2021-05-19,26.62,27.49,26.45,27.39,399754
2021-05-20,27.36,27.36,26.7,27.24,362139
2021-05-21,27.59,27.73,26.87,26.88,290889
2021-05-24,27.11,27.85,26.62,27.6,392620
2021-05-25,27.97,29.05,27.96,28.29,610631
2021-05-26,28.53,29.1,28.33,29.06,358306
2021-05-27,29.23,29.68,28.91,29.67,514357
2021-05-28,29.64,29.74,29.11,29.25,489625
2021-06-01,29.87,30.4,29.6,29.82,715486
2021-06-02,29.91,31.16,29.61,30.99,781855
2021-06-03,30.89,30.89,30.04,30.36,398624
2021-06-04,30.57,30.77,29.93,30.22,350546
2021-06-07,30.42,31.12,30.35,30.58,405257
2021-06-08,30.78,31.16,30.29,30.74,382820
2021-06-09,30.91,31.0,30.11,30.11,306290
2021-06-10,30.32,30.42,29.11,29.52,481676
2021-06-11,29.19,29.71,28.99,29.61,332942
2021-06-14,29.57,29.65,28.33,28.44,493572
