date,open,high,low,close,volume
2020-07-27,104.555,105.39,103.35,105.27,40920
2020-07-28,104.57,105.965,103.905,104.12,68529
2020-07-29,104.895,106.995,104.895,105.94,116923
2020-07-30,104.55,108.01,104.55,107.58,87013
2020-07-31,108.27,109.24,106.15,109.22,29623
2020-08-03,110.04,112.285,110.04,111.93,45635
2020-08-04,111.84,111.84,108.465,109.12,84186
2020-08-05,109.71,110.805,109.205,109.66,24263
2020-08-06,109.97,110.665,108.745,110.47,40811
2020-08-07,110.13,110.65,107.44,108.52,36954
2020-08-10,107.7,108.07,105.75,107.2,69905
2020-08-11,106.36,106.955,104.84,105.08,39959
2020-08-12,105.66,108.07,105.635,107.3,15704
2020-08-13,108.18,109.695,107.58,108.63,19530
2020-08-14,109.18,109.565,107.705,107.975,12180
2020-08-17,108.625,109.905,108.19,109.49,47087
2020-08-18,110.15,110.19,108.545,109.16,24977
2020-08-19,109.41,109.575,107.43,108.6,38994
2020-08-20,108.315,111.63,108.19,111.26,42803
2020-08-21,110.92,111.08,109.42,110.6,23064
2020-08-24,111.79,113.005,110.765,111.27,22591
2020-08-25,111.22,111.76,110.92,111.195,42185
2020-08-26,112.05,113.935,111.9,112.65,54083
2020-08-27,113.38,113.38,109.12,109.37,29973
2020-08-28,110.18,111.17,109.92,110.79,13021
2020-08-31,110.8,111.96,110.28,111.085,29094
2020-09-01,111.36,113.98,110.99,113.97,100791
2020-09-02,114.34,117.57,113.68,117.14,82785
2020-09-03,115.2,115.2,107.15,108.09,107780
2020-09-04,108.36,108.53,102.09,106.02,37235
2020-09-08,98.99,103.695,98.99,100.37,42530
2020-09-09,102.41,105.09,101.43,104.33,44162
2020-09-10,104.96,105.71,101.61,102.24,30909
2020-09-11,103.34,103.62,100.61,101.59,15155
2020-09-14,102.66,104.035,102.14,103.32,41795
2020-09-15,104.445,105.79,104.445,105.28,36248
2020-09-16,105.85,106.08,102.47,102.47,23535
2020-09-17,99.79,101.45,99.09,101.18,35729
2020-09-18,101.42,101.745,98.92,99.77,22357
2020-09-21,98.57,102.13,98.0,101.91,73164
2020-09-22,102.39,102.945,100.54,102.91,36326
2020-09-23,102.03,102.805,99.26,99.675,23632
2020-09-24,98.6,103.07,98.6,102.14,32773
2020-09-25,102.29,104.05,100.91,103.6,51282
2020-09-28,104.935,105.215,103.835,105.13,29534
2020-09-29,106.25,106.84,105.69,105.8,18546
2020-09-30,105.46,107.92,105.46,106.735,36683
2020-10-01,108.03,109.25,107.9,108.68,117106
2020-10-02,106.45,107.355,104.51,105.315,63389
2020-10-05,106.225,107.62,106.08,107.5,45340
2020-10-06,107.06,107.965,105.19,105.655,44175
2020-10-07,106.61,108.95,106.32,108.46,72685
2020-10-08,109.47,109.5,108.12,109.37,22966
2020-10-09,110.29,112.3,109.85,111.91,48614
