date,open,high,low,close,volume
2022-02-02,48.69,54.21,48.69,51.04,1031460
2022-02-03,50.18,54.49,48.61,52.28,620404
2022-02-04,50.7,52.24,48.37,48.38,323504
2022-02-07,48.21,48.21,44.38,44.41,506124
2022-02-08,43.5,45.85,42.72,43.9,445127
2022-02-09,43.63,45.75,42.43,45.59,327142
2022-02-10,43.92,46.68,43.88,45.42,158175
2022-02-11,44.75,47.1,44.65,46.48,192951
2022-02-14,46.53,47.24,45.3,46.36,122036
2022-02-15,45.6,46.68,45.52,46.21,112856
2022-02-16,46.35,46.69,45.27,45.52,96722
2022-02-17,45.21,45.34,43.57,43.7,176979
2022-02-18,43.46,44.13,43.35,43.77,57421
2022-02-22,43.82,43.82,41.93,41.98,181813
2022-02-23,42.22,42.4,40.67,41.55,131970
2022-02-24,41.61,43.07,40.87,42.84,104062
2022-02-25,42.58,43.45,42.31,42.48,113600
2022-02-28,42.06,44.85,41.07,44.49,186174
2022-03-01,44.5,46.48,44.48,46.23,355083
2022-03-02,46.28,48.61,45.78,47.86,188583
2022-03-03,48.09,48.68,46.02,47.88,137981
2022-03-04,47.89,49.36,46.76,49.34,134807
2022-03-07,48.92,50.79,48.24,49.98,150220
2022-03-08,49.9,53.41,49.29,50.62,194763
2022-03-09,50.57,51.85,48.94,49.74,168928
2022-03-10,49.07,49.88,47.66,49.66,142161
2022-03-11,49.74,50.01,46.72,47.59,297584
2022-03-14,49.91,49.91,47.0,49.19,158881
2022-03-15,49.61,49.86,48.29,49.58,99123
2022-03-16,49.85,50.61,48.73,50.06,162969
2022-03-17,50.37,50.98,49.27,49.34,112017
2022-03-18,48.79,49.36,47.29,47.38,255188
2022-03-21,47.54,47.78,47.03,47.63,192481
2022-03-22,48.65,50.34,48.52,49.5,156834
2022-03-23,49.42,50.07,49.3,49.31,120904
2022-03-24,49.57,50.83,49.52,50.64,116950
2022-03-25,50.5,52.02,50.38,52.0,129766
2022-03-28,52.48,54.97,52.29,54.88,186424
2022-03-29,55.25,55.39,52.9,54.48,140828
2022-03-30,54.5,55.85,54.08,55.66,129920
2022-03-31,56.35,57.14,53.96,54.4,86802
2022-04-01,54.73,56.39,54.0,56.09,120646
2022-04-04,56.47,56.71,55.78,56.5,86889
2022-04-05,56.69,58.25,56.63,56.97,73206
2022-04-06,56.9,58.11,56.73,57.63,175769
2022-04-07,57.59,59.07,57.59,58.95,246855
2022-04-08,59.54,62.72,59.05,61.86,263006
2022-04-11,62.02,62.02,58.43,58.74,172111
2022-04-12,59.1,61.12,59.0,59.89,213586
2022-04-13,60.3,62.44,59.84,62.09,97893
2022-04-14,62.41,62.41,60.25,60.45,100242
2022-04-18,60.54,62.06,60.54,61.26,71542
2022-04-19,61.68,64.69,60.83,64.56,84716
2022-04-20,65.77,66.09,62.94,63.27,93565
2022-04-21,62.95,64.02,60.18,60.64,133927
2022-04-22,60.73,62.28,60.26,60.31,104978
2022-04-25,60.3,60.6,57.5,60.2,138589
2022-04-26,59.71,59.98,57.96,57.96,133769
2022-04-27,58.4,59.06,57.96,58.1,64306
2022-04-28,58.21,59.34,56.88,59.34,219154
2022-04-29,59.83,59.83,57.22,57.26,81364
2022-05-02,57.65,57.65,55.08,56.25,137812
2022-05-03,57.08,58.43,56.6,57.71,93434
2022-05-04,58.46,60.21,58.04,59.89,131403
2022-05-05,59.43,59.82,57.31,58.21,138171
2022-05-06,58.65,59.09,56.86,58.17,93641
2022-05-09,58.34,58.4,54.72,55.72,144482
2022-05-10,56.46,57.77,54.92,55.17,141412
2022-05-11,54.69,57.06,54.68,55.45,101753
2022-05-12,55.54,55.54,51.48,51.84,203997
2022-05-13,53.14,54.12,52.03,52.91,149339
2022-05-16,52.74,55.4,52.74,54.81,34501
2022-05-17,55.08,57.59,54.28,57.53,62153
2022-05-18,57.25,58.43,55.26,55.6,105896
2022-05-19,55.64,55.68,53.28,55.55,94662
2022-05-20,56.09,57.08,53.81,54.94,181604
2022-05-23,55.15,55.46,54.49,54.88,65263
2022-05-24,54.86,55.53,53.45,55.06,64070
2022-05-25,55.35,57.54,55.35,57.37,61952
2022-05-26,57.7,61.12,57.7,60.57,156961
2022-05-27,60.49,64.61,60.18,64.57,187043
2022-05-31,64.18,64.18,59.54,60.19,325945
2022-06-01,60.58,61.97,60.29,61.73,79498
2022-06-02,62.17,62.17,60.12,61.84,81796
2022-06-03,61.31,63.79,61.31,63.19,101729
2022-06-06,64.09,64.79,63.4,64.45,120995
2022-06-07,63.46,64.64,63.45,64.55,99064
2022-06-08,64.44,64.44,61.25,62.81,94404
2022-06-09,62.48,62.48,59.3,59.35,84057
2022-06-10,57.88,59.2,57.58,57.98,64189
2022-06-13,56.5,56.98,53.54,53.81,116507
2022-06-14,54.46,54.74,51.73,52.74,152490
2022-06-15,54.21,57.64,54.16,56.4,208262
2022-06-16,54.78,56.55,54.4,56.53,178299
2022-06-17,56.92,57.6,53.8,56.33,110583
2022-06-21,56.41,59.07,56.34,58.54,97342
2022-06-22,57.52,58.55,57.11,57.39,147935
2022-06-23,58.02,59.25,56.04,56.9,163481
2022-06-24,56.81,58.49,56.3,57.49,114988
2022-06-27,57.36,58.04,56.71,57.59,89576
2022-06-28,58.28,59.05,56.1,56.36,74153
2022-06-29,56.37,56.37,54.65,55.57,69965
2022-06-30,55.26,57.01,55.13,55.54,138561
2022-07-01,55.0,56.29,54.91,55.84,152458
2022-07-05,54.68,54.8,51.32,53.29,167159
2022-07-06,53.37,55.48,52.9,54.99,76748
2022-07-07,56.62,58.08,56.14,57.3,126946
2022-07-08,57.46,57.97,55.74,57.88,88883
2022-07-11,57.65,58.31,56.66,58.02,103626
2022-07-12,57.57,59.25,57.14,57.47,136549
2022-07-13,56.73,58.43,56.55,58.08,109211
2022-07-14,56.52,57.08,55.39,56.14,558249
