date,open,high,low,close,volume
2020-07-27,26.68,27.68,26.68,27.35,79277
2020-07-28,27.05,27.1,26.19,26.37,119377
2020-07-29,26.51,27.44,26.51,27.36,286638
2020-07-30,26.69,27.13,26.24,26.88,40797
2020-07-31,26.87,27.43,26.67,27.33,140625
2020-08-03,27.38,27.82,27.38,27.43,141867
2020-08-04,27.79,28.63,27.76,28.24,152328
2020-08-05,28.6,28.93,28.45,28.79,136678
2020-08-06,29.3,30.06,29.09,29.11,212790
2020-08-07,29.65,29.65,28.51,28.88,115035
2020-08-10,29.25,30.61,29.2,30.42,93774
2020-08-11,31.19,31.49,30.63,30.96,152763
2020-08-12,31.07,31.38,30.19,30.42,51345
2020-08-13,30.1,30.62,30.1,30.48,35539
2020-08-14,30.4,30.88,30.4,30.88,56314
2020-08-17,31.09,31.09,30.17,30.24,52182
2020-08-18,30.15,30.54,29.88,30.32,86893
2020-08-19,30.06,30.38,29.4,29.53,62671
2020-08-20,29.04,29.3,28.84,29.12,49541
2020-08-21,28.84,28.93,28.33,28.46,58616
2020-08-24,28.81,29.68,28.72,29.53,65509
2020-08-25,29.7,30.03,29.24,29.39,265358
2020-08-26,29.3,29.51,28.79,29.44,334830
2020-08-27,29.35,29.35,28.98,29.23,320040
2020-08-28,29.14,29.34,28.73,29.22,89262
2020-08-31,29.22,29.27,28.71,28.72,45717
2020-09-01,28.41,29.36,28.35,29.36,24655
2020-09-02,29.21,29.88,29.12,29.85,92648
2020-09-03,29.95,30.04,28.79,29.22,43124
2020-09-04,29.52,29.67,28.87,29.17,42306
2020-09-08,28.7,28.7,27.76,28.16,24078
2020-09-09,28.33,28.5,28.01,28.44,21432
2020-09-10,28.56,28.75,28.28,28.4,28713
2020-09-11,28.52,29.48,28.48,29.36,59977
2020-09-14,29.42,29.72,29.14,29.66,43570
2020-09-15,29.54,29.64,29.0,29.0,83650
2020-09-16,28.97,29.6,28.75,29.3,34486
2020-09-17,28.49,30.53,28.37,30.46,78115
2020-09-18,30.67,31.34,29.75,29.95,84311
2020-09-21,29.11,29.11,27.35,27.79,72288
2020-09-22,27.67,27.87,27.39,27.47,76033
2020-09-23,27.4,28.06,27.18,27.2,67393
2020-09-24,26.92,27.33,26.56,26.98,69926
2020-09-25,26.79,26.86,26.37,26.76,90702
2020-09-28,27.27,27.68,27.17,27.18,69588
2020-09-29,27.05,27.06,26.26,26.27,35293
2020-09-30,26.38,27.33,26.38,27.05,53580
2020-10-01,26.96,27.14,26.19,26.29,125112
2020-10-02,25.87,27.1,25.87,26.9,59393
2020-10-05,27.13,27.93,27.13,27.74,84808
2020-10-06,28.02,28.68,27.49,27.54,89569
2020-10-07,27.88,27.99,27.22,27.23,78683
2020-10-08,27.56,28.0,27.39,27.99,60626
2020-10-09,28.06,28.35,27.24,27.56,99319
2020-10-12,27.37,27.41,25.85,25.91,246513
2020-10-13,25.86,26.34,25.69,25.89,101903
2020-10-14,25.93,26.82,25.58,26.23,126408
2020-10-15,25.8,26.23,25.66,26.09,84614
2020-10-16,26.23,26.23,25.65,25.76,92330
2020-10-19,25.76,25.91,25.34,25.4,92912
2020-10-20,25.58,25.69,24.66,24.66,140550
2020-10-21,24.58,24.61,23.65,23.93,198667
2020-10-22,24.15,24.63,24.1,24.55,85298
2020-10-23,24.83,25.01,24.22,24.26,65956
2020-10-26,23.88,23.88,23.25,23.59,111883
2020-10-27,23.47,23.66,22.96,23.01,251581
2020-10-28,22.55,23.06,22.29,22.59,157266
2020-10-29,22.51,23.65,22.42,23.56,145524
2020-10-30,23.5,24.3,23.26,24.29,178134
2020-11-02,24.61,24.88,24.32,24.68,199783
2020-11-03,24.6,24.6,23.48,23.75,149146
2020-11-04,23.86,23.95,22.91,23.4,159407
2020-11-05,22.95,24.64,22.95,24.05,203118
2020-11-06,24.05,24.88,23.82,24.02,201416
2020-11-09,25.5,26.82,25.02,25.46,221068
2020-11-10,25.63,26.68,25.42,26.48,222520
2020-11-11,26.7,27.69,26.7,26.84,245126
2020-11-12,26.43,26.82,26.16,26.52,173870
2020-11-13,27.04,27.49,26.92,27.47,192456
2020-11-16,28.25,28.91,27.7,28.78,280440
2020-11-17,28.48,28.93,28.2,28.61,170115
2020-11-18,28.67,29.55,28.67,28.83,163260
2020-11-19,28.58,29.03,28.34,28.52,145638
2020-11-20,28.76,29.9,28.68,29.77,154639
2020-11-23,30.69,32.02,30.59,31.82,238614
2020-11-24,32.23,34.44,32.23,34.34,320806
2020-11-25,33.98,34.38,33.17,33.91,144479
2020-11-27,34.33,35.0,34.0,34.49,116307
2020-11-30,34.04,34.04,32.95,33.14,200876
2020-12-01,33.65,33.86,33.22,33.34,123808
2020-12-02,33.22,33.98,33.22,33.67,114565
2020-12-03,33.78,34.32,33.62,33.84,192188
2020-12-04,34.02,35.43,34.02,35.15,111376
2020-12-07,34.8,34.82,33.76,34.0,220906
2020-12-08,33.76,34.36,33.76,34.23,148398
2020-12-09,34.68,35.01,34.26,34.71,122191
2020-12-10,34.34,34.94,34.28,34.76,158490
2020-12-11,34.4,35.05,34.4,34.98,139893
2020-12-14,35.52,35.52,34.47,34.49,241033
2020-12-15,34.96,34.96,33.79,34.05,184073
2020-12-16,34.07,34.07,32.93,33.57,100044
2020-12-17,33.79,33.83,33.27,33.33,77119
2020-12-18,33.29,33.49,32.86,33.48,189230
2020-12-21,32.8,33.39,32.57,33.34,54628
2020-12-22,33.41,33.41,32.18,32.18,77162
2020-12-23,32.35,32.94,32.35,32.67,65182
2020-12-24,32.61,32.73,32.36,32.73,19295
2020-12-28,33.02,34.24,33.02,33.05,78589
2020-12-29,33.41,33.41,32.56,32.85,38651
2020-12-30,32.81,33.97,32.81,33.74,76246
2020-12-31,33.53,34.8,33.38,34.42,50010
2021-01-04,34.72,35.07,33.81,34.24,73423
2021-01-05,34.76,35.96,34.56,35.58,89030
2021-01-06,36.35,38.41,36.35,37.94,141375
2021-01-07,38.7,39.06,37.84,37.98,118998
2021-01-08,38.27,38.42,37.46,38.38,69870
2021-01-11,37.65,38.59,37.25,38.3,126759
2021-01-12,38.54,40.81,38.29,40.67,118603
2021-01-13,40.98,41.74,39.95,40.29,153209
2021-01-14,40.41,40.76,40.24,40.27,179574
2021-01-15,40.07,40.57,39.41,40.48,122412
2021-01-19,40.9,40.93,39.53,39.97,161300
2021-01-20,40.12,40.22,38.86,39.19,84840
2021-01-21,39.25,39.54,38.42,38.6,73802
2021-01-22,37.98,38.7,37.91,38.57,46624
2021-01-25,38.25,38.76,37.5,38.58,71335
2021-01-26,39.22,39.25,37.24,37.32,74571
2021-01-27,36.58,37.06,35.44,36.31,122436
2021-01-28,36.94,37.64,36.58,37.5,164019
2021-01-29,37.3,38.16,36.42,36.75,193001
2021-02-01,37.39,38.45,37.39,38.21,80156
2021-02-02,38.65,38.93,37.95,38.55,75454
2021-02-03,38.76,39.24,37.94,38.0,106215
2021-02-04,37.87,38.79,37.61,38.35,96650
2021-02-05,38.88,39.46,38.05,38.33,40533
2021-02-08,38.94,39.45,38.52,39.04,85136
2021-02-09,39.13,39.24,38.62,39.05,52409
2021-02-10,39.32,39.32,37.5,38.41,102475
2021-02-11,38.48,38.62,37.74,38.32,62684
2021-02-12,38.09,39.7,38.05,39.7,67416
2021-02-16,40.14,40.76,39.27,40.46,108175
2021-02-17,40.02,40.58,39.45,40.29,107868
2021-02-18,40.84,41.36,38.42,39.28,210354
2021-02-19,39.81,41.01,39.44,40.93,118310
2021-02-22,40.96,42.44,40.72,41.94,162480
2021-02-23,41.59,42.03,40.1,41.84,55145
2021-02-24,41.79,43.72,41.76,43.49,125512
2021-02-25,43.41,43.41,41.43,41.75,112073
2021-02-26,41.46,41.46,39.76,40.51,97512
2021-03-01,41.57,41.97,40.84,41.06,82972
2021-03-02,41.05,41.43,40.59,41.18,92363
2021-03-03,41.37,42.76,41.37,41.99,131783
2021-03-04,42.02,42.29,39.81,40.7,144744
2021-03-05,41.23,42.23,39.37,42.15,158455
2021-03-08,42.52,45.29,42.52,44.41,247760
2021-03-09,44.21,44.41,43.09,43.12,109247
2021-03-10,43.34,44.26,42.57,44.16,97898
2021-03-11,44.99,45.6,44.66,45.23,85125
2021-03-12,45.32,45.8,43.77,44.1,99558
2021-03-15,44.26,45.53,44.04,45.5,81663
2021-03-16,45.6,45.6,43.35,43.73,99898
2021-03-17,43.47,44.82,43.47,44.78,85885
2021-03-18,44.89,45.31,43.11,43.25,100937
2021-03-19,43.1,43.62,41.64,43.15,92095
2021-03-22,43.15,43.22,41.68,41.96,79939
2021-03-23,41.25,41.34,39.73,40.08,124798
2021-03-24,40.52,40.95,39.99,40.02,80980
2021-03-25,39.39,40.68,38.85,40.45,107722
2021-03-26,41.26,41.45,40.44,41.37,58944
2021-03-29,41.52,42.4,41.09,41.11,73793
2021-03-30,40.99,41.2,40.3,40.59,101808
2021-03-31,40.46,41.15,39.29,40.6,176922
2021-04-01,40.71,41.55,40.28,41.1,125850
2021-04-05,41.84,41.86,40.25,40.66,51797
2021-04-06,40.72,40.94,40.22,40.81,107198
2021-04-07,41.04,41.35,40.52,41.24,48763
2021-04-08,41.14,41.3,39.98,40.7,91651
2021-04-09,40.9,41.35,40.7,41.14,44871
2021-04-12,41.46,41.57,40.45,40.71,71458
2021-04-13,40.45,40.76,39.69,40.46,66118
2021-04-14,40.88,42.66,40.88,42.21,88757
2021-04-15,42.54,42.78,41.86,42.38,37384
2021-04-16,42.93,43.21,42.03,42.32,41835
2021-04-20,41.81,41.92,40.57,41.35,132616
2021-04-21,41.34,42.72,40.7,42.69,66372
2021-04-22,42.84,43.22,42.12,42.18,76397
2021-04-23,42.18,42.79,41.93,42.3,65894
2021-04-26,42.73,43.65,42.68,43.36,80524
2021-04-27,43.28,44.2,42.94,43.82,67634
2021-04-28,43.82,44.9,43.82,44.3,55790
2021-04-29,44.89,45.04,43.95,44.35,52903
2021-04-30,43.88,44.49,43.43,43.5,34357
2021-05-03,44.1,44.89,43.96,44.4,54412
2021-05-04,43.71,44.7,43.24,44.33,117835
2021-05-05,44.44,45.31,44.23,44.73,79282
2021-05-06,43.84,46.74,43.44,46.72,208391
2021-05-07,47.08,49.38,46.98,49.28,148025
2021-05-10,49.97,50.02,48.78,48.9,132841
2021-05-11,47.75,49.75,47.44,48.66,150383
2021-05-12,48.57,49.01,48.17,48.27,70600
2021-05-13,48.04,48.9,47.12,47.92,98180
2021-05-14,48.51,49.13,48.42,48.86,58561
2021-05-17,48.65,49.36,48.47,49.13,76985
2021-05-18,49.76,51.45,49.08,49.08,136785
2021-05-19,47.94,48.26,47.02,47.64,78224
2021-05-20,47.68,47.69,46.27,46.85,165335
2021-05-21,47.5,47.95,47.06,47.06,30490
2021-05-24,47.54,47.94,47.17,47.71,62340
2021-05-25,48.06,48.77,46.55,46.57,94514
