date,open,high,low,close,volume
2020-07-27,75.21,77.1,75.18,76.53,47612
2020-07-28,76.57,77.22,76.02,76.09,90902
2020-07-29,80.56,86.55,80.12,83.14,249886
2020-07-30,82.83,84.24,80.71,81.7,84083
2020-07-31,81.53,81.92,80.14,81.84,76384
2020-08-03,81.85,82.37,80.23,81.68,56642
2020-08-04,80.91,83.6,80.44,83.32,106215
2020-08-05,83.56,83.99,82.44,83.4,45507
2020-08-06,82.6,83.3,82.57,82.91,31586
2020-08-07,82.96,84.28,82.96,83.51,30818
2020-08-10,83.86,84.48,83.75,84.32,11826
2020-08-11,84.51,84.53,83.01,83.25,44665
2020-08-12,84.26,84.48,83.37,83.5,80609
2020-08-13,83.09,83.59,82.45,82.99,29024
2020-08-14,83.12,83.79,82.67,83.0,39501
2020-08-17,81.78,83.48,81.78,83.13,47345
2020-08-18,83.17,83.46,82.63,82.83,46276
2020-08-19,83.28,83.62,82.69,83.37,44160
2020-08-20,83.01,84.3,82.87,84.2,21517
2020-08-21,83.93,84.51,83.69,84.25,15190
2020-08-24,84.37,84.77,83.56,84.67,30234
2020-08-25,85.15,85.15,83.99,84.28,25950
2020-08-26,83.96,85.06,83.96,84.89,32772
2020-08-27,85.26,86.36,84.79,85.76,76869
2020-08-28,85.85,86.29,85.27,86.14,33473
2020-08-31,86.36,86.82,85.41,85.84,65719
2020-09-01,85.73,86.67,85.2,86.57,31751
2020-09-02,86.49,87.21,86.29,86.97,19534
2020-09-03,86.16,86.46,84.84,85.73,44208
2020-09-04,85.63,86.2,84.42,85.81,71317
2020-09-08,85.16,85.17,83.98,84.07,24376
2020-09-09,85.43,87.29,85.23,86.82,24313
2020-09-10,87.38,88.62,86.34,86.45,47923
2020-09-11,86.98,87.32,85.81,86.75,36482
2020-09-14,87.03,88.77,87.0,88.33,106264
2020-09-15,88.6,91.93,88.6,91.31,133776
2020-09-16,92.1,92.7,90.69,90.78,107234
2020-09-17,89.64,91.58,89.63,90.84,23058
2020-09-18,90.56,91.9,90.06,90.52,62362
2020-09-21,89.71,89.97,87.98,89.37,114403
2020-09-22,89.74,90.84,89.74,89.94,91647
2020-09-23,89.95,90.73,88.69,88.76,114736
2020-09-24,88.69,90.05,87.47,89.27,89433
2020-09-25,88.88,90.2,88.88,89.74,34808
2020-09-28,90.64,91.7,90.13,90.48,20094
2020-09-29,90.75,92.02,90.61,90.98,42738
2020-09-30,91.69,92.31,89.24,89.63,105899
2020-10-01,90.98,90.98,88.53,88.81,98488
2020-10-02,87.91,89.08,86.9,88.51,101638
2020-10-05,89.81,91.51,89.81,91.24,61978
2020-10-06,90.58,91.44,89.77,90.88,71026
2020-10-07,91.7,93.34,91.63,93.18,47735
2020-10-08,93.22,93.64,92.66,93.05,51934
2020-10-09,93.52,93.52,91.95,92.49,59183
2020-10-12,93.0,93.24,91.67,92.13,35353
2020-10-13,91.91,92.74,91.75,91.75,58354
2020-10-14,92.22,92.49,91.4,91.93,64196
2020-10-15,91.47,92.26,90.9,92.23,58720
2020-10-16,91.11,91.49,87.77,87.9,173445
2020-10-19,87.93,88.95,87.44,87.7,113177
2020-10-20,87.98,89.52,87.72,88.18,68274
2020-10-21,87.81,89.84,87.81,88.37,65067
2020-10-22,88.08,88.63,86.88,87.34,94355
2020-10-23,87.38,88.34,87.0,88.13,87386
2020-10-26,87.73,87.9,86.1,87.38,117279
2020-10-27,87.42,89.11,87.19,87.73,117387
2020-10-28,82.77,83.34,77.51,77.73,460373
2020-10-29,77.66,80.12,77.29,79.09,102188
2020-10-30,78.67,78.95,76.14,77.57,119104
2020-11-02,78.79,78.85,76.16,76.71,97096
2020-11-03,78.05,78.57,76.82,78.25,121952
2020-11-04,78.26,79.59,77.22,77.3,61792
2020-11-05,78.48,78.85,77.19,77.89,67965
2020-11-06,77.78,79.77,77.22,79.48,72568
2020-11-09,82.77,84.19,80.32,82.38,196196
2020-11-10,81.71,82.99,81.2,82.38,110046
2020-11-11,82.87,82.87,80.71,81.92,53411
2020-11-12,81.46,81.73,78.85,79.42,79882
2020-11-13,80.55,81.22,80.52,80.7,54467
2020-11-16,81.8,81.84,80.41,81.42,45569
2020-11-17,81.44,82.39,80.13,82.05,65201
2020-11-18,81.6,82.41,81.08,81.54,118013
2020-11-19,80.86,82.47,80.17,82.3,90003
2020-11-20,82.96,83.21,80.73,81.2,70719
2020-11-23,81.4,81.58,79.99,80.81,80984
2020-11-24,81.37,83.38,81.12,82.89,77623
2020-11-25,82.63,82.63,81.42,81.59,53280
2020-11-27,81.43,81.69,80.55,81.35,28281
2020-11-30,81.67,82.46,81.28,82.39,53601
2020-12-01,82.8,83.57,82.11,82.26,51378
2020-12-02,82.16,82.25,80.06,80.98,61352
2020-12-03,80.92,81.98,80.91,81.19,33047
2020-12-04,81.41,81.84,80.72,81.49,36654
2020-12-07,81.45,81.79,81.23,81.79,43473
2020-12-08,81.84,83.02,81.55,82.72,40774
2020-12-09,82.51,83.46,82.46,83.37,61090
2020-12-10,82.34,83.16,81.04,81.35,61543
2020-12-11,81.61,82.59,81.36,82.09,35054
2020-12-14,83.19,83.22,80.6,80.93,56279
2020-12-15,81.3,81.84,79.6,79.6,90485
2020-12-16,79.79,81.02,79.79,80.63,29405
2020-12-17,81.04,81.86,80.58,81.39,53226
2020-12-18,80.95,81.97,80.49,81.66,74539
2020-12-21,80.67,83.26,80.64,82.48,34276
2020-12-22,83.03,83.73,82.15,83.23,34845
2020-12-23,83.53,83.87,82.3,82.73,48031
2020-12-24,83.17,83.78,82.87,83.37,33385
2020-12-28,83.84,84.29,83.34,83.45,38979
2020-12-29,83.78,83.94,82.31,82.61,52586
2020-12-30,82.66,83.12,81.89,82.1,38323
2020-12-31,82.2,82.82,81.82,82.78,41015
2021-01-04,82.43,82.82,80.99,81.5,74120
2021-01-05,81.33,81.33,79.96,80.67,74264
2021-01-06,81.47,84.09,81.45,83.97,80771
2021-01-07,84.24,84.95,83.43,84.84,59348
2021-01-08,84.89,87.01,84.89,85.91,45127
2021-01-11,85.42,85.72,83.33,85.16,51499
2021-01-12,84.67,86.57,84.18,86.44,50671
2021-01-13,86.46,86.46,84.25,84.51,30261
2021-01-14,85.07,86.16,84.7,85.91,40320
2021-01-15,85.0,86.28,83.61,83.96,73032
2021-01-19,84.44,86.43,84.44,85.09,74938
2021-01-20,85.79,88.57,85.71,87.1,116261
2021-01-21,87.07,87.91,86.43,86.45,41140
2021-01-22,85.71,86.73,85.35,86.25,38618
2021-01-25,86.2,88.18,86.2,87.66,142864
2021-01-26,87.84,88.5,85.22,85.98,191959
2021-01-27,80.89,83.68,78.57,80.72,269188
2021-01-28,82.28,82.28,78.42,78.47,159462
2021-01-29,78.46,78.48,74.77,75.38,105145
2021-02-01,75.69,76.57,75.3,76.18,57056
2021-02-02,77.34,78.33,76.22,76.39,71007
2021-02-03,76.74,77.2,76.18,76.66,60957
2021-02-04,76.98,77.6,76.25,76.97,44303
2021-02-05,76.93,78.37,76.69,78.37,37985
2021-02-08,78.5,79.43,78.39,79.36,54489
2021-02-09,79.76,81.05,79.2,81.02,38802
2021-02-10,81.42,81.42,79.35,80.16,36832
2021-02-11,80.65,80.84,78.61,79.69,35470
2021-02-12,79.84,80.66,79.51,80.5,38353
2021-02-16,80.78,80.91,77.93,78.04,57333
2021-02-17,78.33,79.39,77.12,79.35,65578
2021-02-18,79.08,80.63,79.08,80.45,37992
2021-02-19,80.75,81.31,80.1,80.12,40456
2021-02-22,79.95,79.95,78.87,79.27,37800
2021-02-23,78.96,79.87,78.02,79.24,35538
2021-02-24,78.79,79.81,78.79,79.38,65800
2021-02-25,79.55,80.42,79.17,79.4,60103
2021-02-26,79.39,81.21,79.2,80.21,65272
2021-03-01,81.04,82.04,80.68,81.32,63781
2021-03-02,81.38,83.12,81.18,82.16,88335
2021-03-03,81.79,83.73,81.2,82.01,61052
2021-03-04,82.46,82.71,81.32,81.6,72703
2021-03-05,81.64,83.88,81.12,83.46,49605
2021-03-08,84.14,84.58,81.43,81.44,63247
2021-03-09,81.97,84.37,81.73,83.01,47951
2021-03-10,83.2,84.08,83.02,83.84,54482
2021-03-11,83.5,84.22,82.85,83.85,101619
2021-03-12,84.44,85.42,83.93,85.1,37560
2021-03-15,85.43,86.25,85.13,86.23,51343
2021-03-16,85.84,86.14,84.17,85.33,42067
2021-03-17,85.11,85.22,83.86,84.47,42522
2021-03-18,84.53,86.22,84.53,84.8,52243
2021-03-19,84.84,86.09,84.74,85.78,41646
2021-03-22,85.87,85.87,83.9,84.78,66894
2021-03-23,84.13,85.19,83.97,84.36,32374
2021-03-24,84.11,85.7,84.11,84.34,52198
2021-03-25,84.52,85.78,84.04,85.37,50913
2021-03-26,86.03,86.8,85.62,86.65,100566
2021-03-29,86.59,87.69,86.31,86.41,41838
2021-03-30,87.0,87.26,86.4,86.68,42129
2021-03-31,86.93,87.15,84.57,84.72,61082
2021-04-01,84.66,86.43,84.25,86.17,53178
2021-04-05,87.28,87.35,86.09,86.64,39993
2021-04-06,86.36,87.13,86.29,86.52,62509
2021-04-07,86.52,86.7,85.24,85.41,31273
2021-04-08,85.53,85.76,84.77,85.6,40807
2021-04-09,85.94,86.74,85.84,86.41,24033
2021-04-12,86.64,87.92,86.33,87.87,39620
2021-04-13,87.78,87.83,86.48,87.1,24259
2021-04-14,86.88,87.57,86.43,87.36,33165
2021-04-15,87.89,89.6,87.12,89.32,66816
2021-04-16,89.83,92.55,88.98,89.37,88602
2021-04-19,89.14,89.14,87.29,87.48,35032
2021-04-20,87.85,88.37,87.38,88.21,33510
2021-04-21,88.25,89.19,87.55,87.76,26779
2021-04-22,87.54,88.73,87.44,87.96,45494
2021-04-23,87.66,88.96,87.66,88.45,57170
2021-04-26,89.13,89.13,86.74,87.0,53415
2021-04-27,87.66,87.93,85.47,85.64,119888
2021-04-28,83.59,84.1,81.66,83.0,148658
2021-04-29,83.23,86.42,83.23,86.42,110723
2021-04-30,86.17,87.29,85.42,86.06,78771
2021-05-03,86.43,88.66,86.43,87.81,42313
2021-05-04,87.86,88.55,87.35,88.05,96810
2021-05-05,88.37,88.38,86.86,87.67,45111
2021-05-06,88.05,88.17,86.17,86.98,65488
