date,open,high,low,close,volume
2020-07-27,562.17,562.25,555.415,559.72,19281
2020-07-28,558.215,566.07,558.215,561.42,27642
2020-07-29,565.92,569.07,560.82,566.34,22194
2020-07-30,563.565,567.805,561.1,564.255,40645
2020-07-31,592.475,592.475,556.905,580.22,104415
2020-08-03,584.73,593.535,581.4,589.91,82800
2020-08-04,582.08,601.66,582.08,599.785,53795
2020-08-05,598.33,603.115,597.695,598.86,34905
2020-08-06,596.54,604.05,596.225,602.17,20210
2020-08-07,602.52,611.47,598.65,601.595,55925
2020-08-10,602.65,605.68,598.165,602.22,49784
2020-08-11,603.13,603.13,589.075,590.525,41246
2020-08-12,594.19,606.64,594.18,598.8,39249
2020-08-13,598.035,609.21,598.035,603.86,39251
2020-08-14,604.6,610.59,603.0,605.54,29029
2020-08-17,608.8,610.0,601.23,604.53,32107
2020-08-18,608.4,612.935,607.4,609.99,47562
2020-08-19,611.8,615.945,608.805,611.18,30966
2020-08-20,609.24,614.18,609.24,612.01,30437
2020-08-21,607.435,614.8,607.435,613.92,22473
2020-08-24,612.22,617.58,611.435,612.3,34525
2020-08-25,619.485,620.05,604.41,609.52,33445
2020-08-26,608.52,618.49,606.01,613.82,16692
2020-08-27,618.99,620.515,612.87,613.685,23858
2020-08-28,613.085,616.54,609.57,615.705,23876
2020-08-31,619.495,620.01,614.3,615.34,23672
2020-09-01,613.595,620.07,611.86,616.26,38977
2020-09-02,616.39,626.46,616.39,622.595,17196
2020-09-03,625.055,628.04,603.03,608.45,40018
2020-09-04,611.34,611.34,592.16,604.45,36120
2020-09-08,594.805,604.34,592.5,596.32,46780
2020-09-09,601.165,617.49,599.13,613.89,23662
2020-09-10,611.38,621.91,603.49,604.25,56638
2020-09-11,607.51,608.2,598.095,601.53,50132
2020-09-14,607.955,613.36,606.08,609.94,19601
2020-09-15,610.795,626.67,610.795,622.21,46419
2020-09-16,627.59,635.565,627.15,630.07,26792
2020-09-17,617.08,623.655,610.2,620.17,45634
2020-09-18,616.675,628.02,614.25,625.88,45457
2020-09-21,621.88,624.21,606.93,614.26,61475
2020-09-22,616.4,634.08,616.4,633.07,44848
2020-09-23,632.52,632.99,615.18,616.34,32855
2020-09-24,615.15,621.15,609.985,611.58,40910
2020-09-25,611.345,617.165,606.64,614.44,45837
2020-09-28,625.77,633.64,622.91,627.225,28844
2020-09-29,630.4,635.22,625.4,626.65,47894
2020-09-30,628.88,631.63,621.42,625.125,58380
2020-10-01,632.15,639.06,629.255,634.82,191065
2020-10-02,629.85,633.015,617.285,619.925,79763
2020-10-05,621.63,639.08,621.63,633.78,61022
2020-10-06,634.74,636.84,619.32,622.51,58225
2020-10-07,624.06,629.73,623.26,623.64,44114
2020-10-08,626.61,633.41,622.33,629.5,41415
2020-10-09,635.32,639.29,631.64,635.66,37086
2020-10-12,642.78,663.62,639.46,651.85,113773
2020-10-13,653.9,656.84,647.16,649.82,85807
2020-10-14,651.57,653.5,638.01,638.62,71331
2020-10-15,635.715,640.13,630.925,637.195,72391
2020-10-16,638.41,646.71,633.75,634.18,74675
2020-10-19,635.67,638.52,617.11,617.71,85016
2020-10-20,620.0,621.72,607.01,608.5,76307
2020-10-21,605.27,612.33,602.43,605.65,59205
2020-10-22,600.9,604.19,596.45,599.66,86895
2020-10-23,601.74,602.04,588.52,592.6,96704
2020-10-26,590.16,595.5,581.45,581.995,122048
2020-10-27,588.095,588.095,580.81,583.67,94997
2020-10-28,577.0,584.97,572.59,573.03,76849
2020-10-29,574.565,583.05,574.405,577.08,142155
2020-10-30,585.5,610.66,583.095,603.49,261533
2020-11-02,607.62,610.36,578.78,587.97,121827
2020-11-03,593.735,602.59,591.87,592.52,107199
2020-11-04,612.99,645.35,608.27,634.62,169833
2020-11-05,643.88,649.82,638.24,647.19,60127
2020-11-06,649.92,649.92,641.08,645.015,58732
2020-11-09,658.8,658.8,613.11,613.11,137019
2020-11-10,604.61,631.64,604.34,627.05,80328
2020-11-11,629.97,640.255,629.97,636.76,64703
2020-11-12,640.89,645.06,635.41,638.06,53985
2020-11-13,638.11,648.82,638.11,647.13,51049
2020-11-16,646.0,647.26,640.215,640.74,101094
2020-11-17,637.1,643.525,633.75,641.39,41963
2020-11-18,640.65,651.11,636.06,642.32,63757
2020-11-19,639.19,655.0,637.97,650.03,57654
2020-11-20,651.03,663.01,649.42,654.93,48899
2020-11-23,657.065,659.55,642.895,644.44,146186
2020-11-24,644.23,654.55,633.66,650.03,56602
2020-11-25,650.51,653.2,644.96,651.58,46275
2020-11-27,647.1,650.87,642.32,642.39,46408
2020-11-30,645.14,655.22,643.26,652.28,83286
2020-12-01,652.805,666.515,652.805,662.11,64717
2020-12-02,660.79,669.815,659.165,667.235,57253
2020-12-03,662.76,675.715,657.54,669.77,56064
2020-12-04,668.76,674.05,667.61,670.39,47973
2020-12-07,668.14,680.255,668.14,679.64,50239
2020-12-08,678.23,681.23,661.89,663.09,62911
2020-12-09,662.99,665.33,643.765,644.05,119946
2020-12-10,644.57,659.37,642.96,658.05,54803
2020-12-11,655.52,655.52,648.4,651.27,77900
2020-12-14,654.13,656.24,649.315,649.7,79111
2020-12-15,655.77,656.34,646.27,646.46,75886
2020-12-16,646.125,649.12,634.85,642.59,92740
2020-12-17,645.28,657.04,644.95,654.51,67392
2020-12-18,656.55,657.84,646.785,652.45,77478
2020-12-21,650.41,657.87,642.73,654.85,61992
2020-12-22,652.1,654.77,639.0,641.48,65716
2020-12-23,643.0,652.42,641.42,648.245,41075
2020-12-24,647.605,656.96,647.605,656.45,21499
2020-12-28,660.5,661.05,649.605,651.85,52345
2020-12-29,654.735,666.295,651.33,665.135,49903
2020-12-30,665.73,665.73,652.55,653.23,50297
2020-12-31,652.86,664.63,652.86,661.8,43366
2021-01-04,661.99,664.245,637.03,646.4,73976
2021-01-05,648.055,648.055,633.0,636.3,61639
2021-01-06,617.455,634.18,616.21,624.55,112051
2021-01-07,626.61,638.08,622.0,629.3,107375
2021-01-08,624.99,634.63,624.99,634.18,77778
2021-01-11,635.06,642.56,634.185,641.12,76261
2021-01-12,637.11,639.55,618.665,622.22,116962
2021-01-13,619.135,622.74,615.78,618.24,63694
2021-01-14,616.33,629.96,612.23,623.15,118657
2021-01-15,620.25,633.97,617.87,628.75,78220
2021-01-19,628.325,633.59,623.77,632.83,52431
2021-01-20,633.71,648.31,633.56,643.32,58329
2021-01-21,639.79,651.84,639.79,650.62,57557
2021-01-22,648.315,651.89,642.99,647.25,33808
2021-01-25,648.985,660.0,648.3,652.42,52789
2021-01-26,650.455,654.41,647.42,648.83,55866
2021-01-27,646.885,651.2,615.325,615.99,150869
2021-01-28,635.5,671.0,635.5,654.215,146994
2021-01-29,630.0,632.83,605.69,607.62,232306
2021-02-01,611.165,614.13,593.905,599.02,122769
2021-02-02,597.5,625.31,597.0,617.65,116035
2021-02-03,615.01,616.94,603.7,610.19,73557
2021-02-04,606.08,621.09,606.08,618.88,81049
2021-02-05,622.46,628.0,615.47,617.91,51055
2021-02-08,618.33,619.505,610.965,615.1,56883
2021-02-09,616.56,626.1,613.805,619.555,53449
2021-02-10,622.855,622.855,608.29,611.01,61126
2021-02-11,613.05,619.16,603.755,618.81,75399
2021-02-12,615.34,619.495,610.65,613.81,49485
2021-02-16,606.29,618.94,606.29,618.01,60113
2021-02-17,617.24,626.77,614.44,624.17,101760
2021-02-18,620.64,623.88,613.185,615.93,66288
2021-02-19,613.82,618.5,606.63,607.26,66433
2021-02-22,602.04,609.84,595.3,597.14,106891
