date,open,high,low,close,volume
2020-07-27,161.91,162.64,158.7,158.7,58977
2020-07-28,159.38,160.85,157.57,159.13,56052
2020-07-29,160.19,165.77,160.19,164.48,93151
2020-07-30,163.08,163.73,160.37,161.47,119180
2020-07-31,160.1,160.1,154.69,156.18,67178
2020-08-03,157.19,157.19,154.57,156.5,65239
2020-08-04,156.25,158.91,155.5,156.85,48590
2020-08-05,157.8,159.91,156.82,158.17,96044
2020-08-06,158.06,158.33,155.08,156.57,78800
2020-08-07,156.48,161.3,156.48,161.18,120750
2020-08-10,161.36,165.69,160.7,165.52,57732
2020-08-11,167.7,169.28,164.71,164.9,61616
2020-08-12,167.79,168.69,165.35,166.73,71427
2020-08-13,164.83,164.83,162.65,163.56,44362
2020-08-14,161.92,167.02,161.92,165.88,24179
2020-08-17,165.88,166.31,164.33,164.87,24530
2020-08-18,164.65,166.01,163.72,164.43,30583
2020-08-19,164.88,165.76,163.79,163.96,35547
2020-08-20,162.83,163.16,160.52,161.29,63183
2020-08-21,160.76,163.22,160.76,161.28,48105
2020-08-24,162.16,162.34,158.91,160.75,34512
2020-08-25,160.32,160.63,159.23,160.5,42640
2020-08-26,159.76,159.76,155.85,157.44,86936
2020-08-27,158.39,161.31,157.97,160.14,37916
2020-08-28,160.57,164.08,159.29,163.84,36543
2020-08-31,163.85,164.65,160.38,160.39,93095
2020-09-01,159.33,160.25,157.85,159.33,155136
2020-09-02,160.26,164.68,159.67,164.21,100294
2020-09-03,165.63,166.92,160.06,161.34,44995
2020-09-04,162.12,162.75,158.67,161.61,71297
2020-09-08,160.53,160.53,156.73,157.27,43611
2020-09-09,158.73,159.39,155.69,157.43,119930
2020-09-10,157.34,158.86,153.7,153.75,76551
2020-09-11,154.49,154.49,151.75,153.17,105728
2020-09-14,153.83,156.76,153.35,155.51,83625
2020-09-15,157.26,157.26,150.37,150.37,127894
2020-09-16,152.16,155.09,151.45,152.45,269156
2020-09-17,151.36,153.77,151.03,152.86,224314
2020-09-18,152.0,153.18,150.81,151.92,107293
2020-09-21,148.6,149.23,144.82,149.22,163044
2020-09-22,148.92,150.59,146.16,146.34,90184
2020-09-23,146.56,148.45,145.16,145.18,127586
2020-09-24,144.97,147.4,143.81,145.6,88456
2020-09-25,144.21,147.15,144.21,146.91,45050
2020-09-28,148.99,150.8,148.29,148.38,36272
2020-09-29,149.57,149.61,146.94,148.79,61488
2020-09-30,148.81,154.51,148.81,153.27,111931
2020-10-01,152.57,153.66,150.25,151.48,105635
2020-10-02,148.82,153.85,148.48,151.29,209660
2020-10-05,153.16,156.78,152.82,155.79,152279
2020-10-06,156.88,158.82,154.64,154.73,105603
2020-10-07,155.91,160.15,155.91,159.43,107396
2020-10-08,159.51,161.04,158.57,160.96,79901
2020-10-09,160.9,161.56,159.02,159.53,79613
2020-10-12,159.48,161.86,158.76,160.49,107054
2020-10-13,158.98,160.85,157.19,157.92,69735
2020-10-14,157.78,159.95,156.61,157.84,100426
2020-10-15,155.87,160.38,155.87,159.92,93135
2020-10-16,160.0,162.19,158.86,160.92,100543
2020-10-19,160.75,161.08,154.4,155.07,171300
2020-10-20,155.87,157.04,154.57,154.75,163963
2020-10-21,154.21,159.33,153.1,157.89,174732
2020-10-22,158.29,162.69,158.29,162.23,101311
2020-10-23,163.93,167.06,163.69,166.77,106390
2020-10-26,165.17,166.51,162.76,164.53,121410
2020-10-27,163.03,165.05,160.38,161.23,90554
2020-10-28,157.86,159.49,152.03,152.14,199167
2020-10-29,151.07,151.51,145.11,147.78,242356
2020-10-30,148.2,151.48,147.7,151.16,181051
2020-11-02,153.95,158.5,151.67,158.1,110703
2020-11-03,160.36,167.56,160.36,166.44,198833
2020-11-04,176.4,192.24,176.38,190.36,676620
2020-11-05,188.61,196.94,188.57,193.48,518048
2020-11-06,192.22,192.22,181.54,182.21,372077
2020-11-09,194.29,196.49,186.91,190.91,201091
2020-11-10,193.73,200.21,190.46,199.07,209472
2020-11-11,199.99,203.36,199.01,199.99,196321
2020-11-12,198.11,201.11,197.45,199.16,93283
2020-11-13,198.79,200.48,197.44,198.74,134730
2020-11-16,201.91,202.04,196.77,197.49,110819
2020-11-17,195.18,196.29,188.56,194.52,219463
2020-11-18,194.97,195.42,190.59,190.8,118249
2020-11-19,188.92,188.92,184.03,185.41,131040
2020-11-20,183.89,186.5,182.79,185.5,81314
2020-11-23,186.74,189.38,186.66,187.21,93704
2020-11-24,188.29,193.71,187.48,189.99,72586
2020-11-25,188.16,188.16,185.82,187.39,107821
2020-11-27,187.52,192.4,187.32,191.9,56316
2020-11-30,189.96,191.76,187.93,189.27,239865
2020-12-01,192.67,194.38,187.63,187.68,123533
2020-12-02,187.98,192.99,187.4,191.74,69846
2020-12-03,192.09,194.53,191.71,192.8,80121
2020-12-04,193.49,198.92,193.48,196.77,94601
2020-12-07,195.11,198.07,193.66,197.78,109188
2020-12-08,196.02,198.79,195.68,197.87,66280
2020-12-09,197.93,199.28,194.95,196.63,93147
2020-12-10,194.88,196.51,191.12,192.35,75217
2020-12-11,191.34,192.01,188.39,189.39,79006
2020-12-14,190.62,191.4,183.38,183.87,110929
2020-12-15,185.5,186.63,183.19,185.91,57919
2020-12-16,184.43,185.57,182.74,183.31,82340
2020-12-17,184.51,185.35,182.08,182.98,99612
2020-12-18,182.53,182.53,175.96,178.23,218122
2020-12-21,174.69,179.12,173.33,178.71,57633
2020-12-22,177.69,177.88,175.45,176.39,49642
2020-12-23,178.57,181.41,178.57,180.01,198469
2020-12-24,179.97,180.1,178.48,179.75,19919
2020-12-28,181.52,184.68,181.26,182.75,84628
2020-12-29,184.54,186.53,184.46,184.58,109441
2020-12-30,184.32,185.95,184.2,184.52,120632
2020-12-31,185.14,188.68,184.46,188.46,57984
2021-01-04,189.0,189.44,181.44,186.09,141419
2021-01-05,185.78,187.56,183.79,183.84,232286
2021-01-06,175.37,190.19,175.15,189.45,426386
2021-01-07,192.06,199.46,190.36,199.41,137320
