date,open,high,low,close,volume
2020-07-27,72.14,72.18,70.56,71.29,50285
2020-07-28,71.78,73.85,70.46,72.21,54678
2020-07-29,72.05,72.32,71.19,72.18,26644
2020-07-30,70.4,70.53,67.95,69.14,29469
2020-07-31,68.46,69.11,66.81,67.43,36754
2020-08-03,67.33,68.42,66.86,67.82,39584
2020-08-04,67.83,67.83,66.71,66.98,31850
2020-08-05,67.73,69.47,67.73,68.87,29046
2020-08-06,68.52,69.08,68.26,68.74,18894
2020-08-07,68.4,70.87,68.4,70.74,21234
2020-08-10,71.13,72.47,70.55,72.04,18231
2020-08-11,73.26,74.28,71.71,71.89,48743
2020-08-12,72.93,72.93,70.07,70.1,59469
2020-08-13,69.09,69.41,68.34,68.81,47339
2020-08-14,68.92,70.36,68.51,69.36,14973
2020-08-17,69.08,69.1,67.37,67.61,10464
2020-08-18,67.95,68.57,67.54,68.2,13722
2020-08-19,68.25,68.83,67.54,67.7,17427
2020-08-20,66.7,67.89,66.7,67.57,22689
2020-08-21,67.22,67.88,66.88,66.93,11620
2020-08-24,67.3,68.86,67.11,68.84,9607
2020-08-25,69.09,69.15,68.49,68.65,7615
2020-08-26,68.09,68.33,67.57,67.9,8134
2020-08-27,69.36,70.16,69.36,69.74,9959
2020-08-28,69.64,69.87,69.04,69.57,5589
2020-08-31,68.95,68.95,68.46,68.76,12729
2020-09-01,68.34,69.18,68.16,69.17,8936
2020-09-02,69.01,71.03,68.76,70.72,21095
2020-09-03,71.39,72.57,69.19,69.72,15417
2020-09-04,71.05,71.28,69.37,70.25,18389
2020-09-08,69.49,69.53,67.3,68.49,15452
2020-09-09,68.88,69.47,67.79,68.15,17746
2020-09-10,68.29,68.29,66.45,66.8,15956
2020-09-11,66.53,67.26,65.97,66.57,13675
2020-09-14,67.04,68.21,67.01,67.19,29717
2020-09-15,67.35,67.7,66.1,66.29,25014
2020-09-16,66.49,67.91,66.49,67.24,15746
2020-09-17,66.16,68.13,66.16,67.51,23861
2020-09-18,67.01,68.52,67.01,68.0,43728
2020-09-21,66.21,67.59,64.35,65.82,52419
2020-09-22,65.52,66.77,65.11,66.02,48166
2020-09-23,66.5,67.39,65.23,65.46,43515
2020-09-24,64.97,67.62,64.79,66.52,13147
2020-09-25,66.82,67.22,65.55,67.01,28450
2020-09-28,67.71,69.79,67.71,68.78,19370
2020-09-29,68.13,68.61,66.91,67.95,24742
2020-09-30,68.52,69.1,67.48,68.03,33612
2020-10-01,68.58,68.65,66.32,66.7,55190
2020-10-02,65.75,68.16,65.75,67.85,39635
2020-10-05,70.58,72.08,70.35,71.53,32028
2020-10-06,71.63,72.08,69.49,69.71,16101
2020-10-07,70.65,70.65,68.4,69.35,28181
2020-10-08,69.63,70.93,69.22,70.33,33445
2020-10-09,71.18,71.18,69.17,69.52,45918
2020-10-12,69.74,71.58,69.63,70.86,30389
2020-10-13,70.3,71.14,68.75,69.03,32302
2020-10-14,69.57,70.19,68.7,68.7,16009
2020-10-15,67.95,68.98,67.4,68.73,32075
2020-10-16,68.67,69.32,68.17,68.57,24381
2020-10-19,69.06,69.13,67.68,67.79,30487
2020-10-20,68.32,69.89,68.08,69.58,33123
2020-10-21,69.82,73.76,69.82,73.55,34852
2020-10-22,70.59,70.59,66.37,66.92,118190
2020-10-23,67.51,68.47,66.68,67.52,62815
2020-10-26,67.16,67.36,66.42,67.11,53957
2020-10-27,67.66,68.92,64.23,64.48,84889
2020-10-28,63.3,64.4,61.67,62.11,84654
2020-10-29,61.8,63.76,61.16,62.54,58541
2020-10-30,62.76,63.01,60.97,61.71,62848
2020-11-02,62.62,63.28,62.08,62.87,47108
2020-11-03,64.32,65.33,63.91,64.25,35674
2020-11-04,62.64,64.28,62.09,63.04,45403
2020-11-05,62.86,65.62,62.86,65.02,26878
2020-11-06,65.03,65.19,64.33,64.73,22120
2020-11-09,71.4,76.31,71.25,74.7,94345
2020-11-10,74.74,75.95,73.92,75.62,46572
2020-11-11,76.17,76.17,72.7,73.68,35307
2020-11-12,72.98,73.3,71.68,72.38,35911
2020-11-13,73.2,74.03,67.46,68.68,155688
2020-11-16,70.51,70.95,69.23,69.66,52613
2020-11-17,69.02,69.6,66.91,69.51,43777
2020-11-18,69.97,70.81,69.17,69.37,25910
2020-11-19,67.16,68.56,67.11,68.34,39286
2020-11-20,67.82,68.57,67.32,67.53,54169
2020-11-23,68.08,68.43,67.3,67.66,33209
2020-11-24,68.66,70.15,68.18,69.33,49447
2020-11-25,68.38,68.97,67.59,68.47,27121
2020-11-27,68.89,68.89,67.45,67.7,15417
2020-11-30,67.54,68.13,65.86,66.58,60711
2020-12-01,67.92,70.16,67.35,69.8,112190
2020-12-02,69.37,70.33,68.39,69.79,46022
2020-12-03,69.36,71.25,69.24,71.15,57648
2020-12-04,71.85,72.7,71.51,72.37,47752
2020-12-07,71.69,71.69,69.59,69.92,30973
2020-12-08,69.43,71.12,69.43,70.91,17206
2020-12-09,71.54,71.91,70.33,70.97,20265
2020-12-10,70.74,71.2,70.15,70.63,23717
2020-12-11,70.18,70.55,69.19,69.87,32805
2020-12-14,70.84,71.82,69.31,69.43,31137
2020-12-15,69.66,71.64,69.08,71.07,25376
2020-12-16,71.05,72.62,71.02,72.17,15651
2020-12-17,72.45,74.18,72.26,74.07,39999
2020-12-18,74.73,75.33,72.62,72.98,47874
2020-12-21,72.61,73.91,71.6,73.91,35068
2020-12-22,73.92,74.04,73.04,73.85,14810
2020-12-23,75.0,77.07,74.53,75.45,38015
2020-12-24,74.75,74.95,74.0,74.93,11792
2020-12-28,75.29,76.93,74.82,76.81,28772
2020-12-29,77.4,77.72,75.66,75.83,60874
2020-12-30,75.84,76.42,75.73,75.95,18252
2020-12-31,75.35,76.78,75.33,76.77,24225
2021-01-04,77.25,77.46,73.73,74.28,64128
2021-01-05,73.8,75.07,72.61,73.49,28749
2021-01-06,75.36,77.42,74.66,76.97,30519
2021-01-07,77.36,77.56,76.34,77.06,27471
2021-01-08,76.68,77.18,76.11,77.11,19953
2021-01-11,76.58,78.4,76.4,77.89,26243
2021-01-12,78.35,82.38,78.35,81.3,29254
2021-01-13,81.1,81.4,79.78,80.68,53653
2021-01-14,80.83,82.36,80.48,82.15,58037
2021-01-15,81.55,83.28,81.4,82.25,69774
2021-01-19,82.34,83.13,82.24,82.42,69991
2021-01-20,82.59,82.83,80.37,81.32,23655
2021-01-21,81.31,81.31,77.58,77.63,58992
2021-01-22,76.81,77.13,74.41,76.75,40011
2021-01-25,75.24,78.11,75.03,77.71,90467
2021-01-26,78.39,78.4,76.26,76.26,287484
2021-01-27,74.78,75.58,73.79,73.96,446297
2021-01-28,74.81,75.73,74.66,75.22,45584
2021-01-29,74.75,75.15,73.43,73.8,41455
2021-02-01,74.25,77.27,74.25,76.88,58595
2021-02-02,76.78,77.2,75.76,76.59,33661
2021-02-03,76.1,76.38,74.92,75.68,29669
2021-02-04,75.69,77.24,75.6,76.72,45868
2021-02-05,76.92,77.13,76.17,76.17,16054
2021-02-08,76.2,77.1,75.98,77.04,41518
2021-02-09,76.91,77.98,76.13,76.45,93868
2021-02-10,76.66,78.48,76.66,78.04,39392
2021-02-11,79.65,83.37,79.65,80.26,90135
2021-02-12,79.68,81.24,79.68,81.24,25698
2021-02-16,81.89,81.99,79.56,79.82,28600
2021-02-17,79.85,82.38,79.85,82.36,43282
2021-02-18,81.7,83.82,81.34,83.26,34118
2021-02-19,83.86,85.25,83.71,84.5,32204
2021-02-22,84.48,85.51,83.71,85.21,30694
2021-02-23,86.19,87.02,85.02,86.52,29058
2021-02-24,86.5,89.1,86.5,88.72,29090
2021-02-25,89.04,89.69,86.81,86.87,32199
2021-02-26,86.78,87.59,85.46,86.19,45988
2021-03-01,87.34,89.84,87.14,88.92,37598
2021-03-02,88.37,88.95,87.76,87.96,22011
2021-03-03,87.98,89.93,87.98,88.89,43336
2021-03-04,88.67,89.24,86.48,87.66,31535
2021-03-05,89.18,91.94,88.02,91.68,49742
2021-03-08,92.25,95.13,91.42,94.12,30778
2021-03-09,92.87,94.86,92.31,92.7,24535
2021-03-10,93.07,94.33,92.8,93.42,23956
2021-03-11,92.36,93.1,91.85,92.07,20488
2021-03-12,93.99,94.62,93.39,94.58,34206
2021-03-15,94.38,95.67,93.14,95.63,42124
2021-03-16,94.67,94.78,92.13,94.05,44679
2021-03-17,94.56,94.78,93.15,93.75,71404
2021-03-18,94.72,96.16,93.58,95.26,83954
2021-03-19,94.21,95.66,93.17,94.55,57827
2021-03-22,94.68,95.18,93.11,93.54,36513
2021-03-23,92.88,93.59,91.93,92.5,14817
2021-03-24,92.41,94.02,92.4,92.4,17787
2021-03-25,92.4,93.89,91.24,93.74,39184
2021-03-26,93.97,94.33,92.6,93.43,47076
2021-03-29,92.57,92.66,90.9,91.88,41034
2021-03-30,92.5,93.19,92.2,92.82,49347
2021-03-31,92.2,92.28,91.08,91.21,27389
2021-04-01,91.16,92.69,90.51,92.01,37091
2021-04-05,92.74,93.54,92.44,93.26,22733
2021-04-06,93.17,93.67,92.43,93.63,15466
2021-04-07,93.57,93.68,92.27,92.99,25184
2021-04-08,92.62,93.04,92.23,92.34,23086
2021-04-09,92.79,93.01,91.79,92.88,53457
2021-04-12,93.3,94.15,93.11,94.15,27130
2021-04-13,93.89,94.17,93.15,93.26,10377
2021-04-14,93.6,94.2,93.38,93.61,30587
2021-04-15,94.11,94.21,93.34,94.1,35586
2021-04-16,94.94,94.94,93.56,94.05,22501
2021-04-19,94.51,94.83,93.46,94.75,15597
2021-04-20,94.73,95.76,94.04,94.61,14056
2021-04-21,96.1,97.15,95.9,97.15,20889
2021-04-22,96.43,97.39,95.96,96.32,18639
2021-04-23,96.91,97.37,96.57,96.63,27226
2021-04-26,96.87,97.88,95.82,96.33,31996
2021-04-27,96.43,96.78,95.64,95.82,32870
2021-04-28,95.47,95.59,93.93,94.38,39372
2021-04-29,96.21,99.1,96.2,98.52,95775
2021-04-30,98.06,99.67,97.47,99.49,60256
2021-05-03,100.98,102.01,99.05,101.53,53369
2021-05-04,101.46,102.99,101.46,102.84,87662
2021-05-05,102.69,104.39,102.1,103.97,114236
2021-05-06,104.89,105.83,104.21,105.83,28595
2021-05-07,104.44,106.48,104.44,106.35,118641
2021-05-10,107.58,108.14,106.66,106.69,29429
2021-05-11,105.4,106.12,104.17,104.43,45759
2021-05-12,105.02,105.15,103.21,103.38,23711
2021-05-13,104.24,106.48,104.24,106.09,28238
2021-05-14,106.56,107.57,105.82,106.88,21522
2021-05-17,106.56,106.76,105.82,106.28,9391
2021-05-18,105.9,106.27,105.2,105.57,27684
2021-05-19,104.68,105.75,103.51,105.73,57226
2021-05-20,105.21,107.71,104.78,107.02,35414
2021-05-21,107.61,107.66,105.92,106.17,13666
2021-05-24,106.22,107.14,105.88,106.93,14751
2021-05-25,107.05,107.05,105.39,105.44,17188
2021-05-26,105.93,105.93,104.93,105.03,25572
2021-05-27,106.03,106.91,105.15,106.7,25516
2021-05-28,106.37,107.62,106.37,107.52,28213
2021-06-01,108.42,108.64,107.17,107.66,38106
2021-06-02,107.04,108.04,107.04,107.9,11657
2021-06-03,107.6,109.13,107.06,109.07,16489
2021-06-04,109.31,109.82,108.38,109.78,9157
2021-06-07,109.78,109.78,108.28,108.47,10302
2021-06-08,108.03,109.43,107.7,109.1,20386
2021-06-09,108.16,108.59,106.58,107.1,67467
2021-06-10,107.51,108.33,107.23,107.44,17083
2021-06-11,107.59,107.74,107.17,107.61,10555
2021-06-14,107.1,107.1,105.99,106.34,10955
2021-06-15,106.92,108.08,106.11,107.55,29214
2021-06-16,106.4,107.6,106.13,106.97,23921
2021-06-17,106.8,106.83,103.08,103.73,18458
2021-06-18,102.11,102.67,100.54,101.11,27542
2021-06-21,102.44,103.9,101.71,103.81,17264
2021-06-22,103.68,104.4,103.1,104.38,9783
2021-06-23,103.79,104.27,103.57,103.79,9605
2021-06-24,104.55,104.8,103.86,104.69,9721
2021-06-25,104.59,105.8,104.59,105.78,18140
2021-06-28,105.36,105.36,103.18,104.22,29336
2021-06-29,104.8,104.8,103.18,103.37,30479
2021-06-30,103.31,103.87,102.39,103.57,26373
2021-07-01,103.96,104.99,103.92,104.73,32090
2021-07-02,104.13,104.77,103.91,104.7,9087
2021-07-06,103.84,103.84,101.6,103.33,14923
2021-07-07,103.33,104.13,102.85,104.1,15887
2021-07-08,103.01,103.01,100.79,101.07,28351
2021-07-09,102.96,105.61,102.9,105.61,37578
2021-07-12,104.88,106.89,104.3,106.41,37688
2021-07-13,105.88,106.34,105.38,105.5,32337
2021-07-14,105.72,106.57,104.1,104.87,24908
2021-07-15,103.72,105.51,103.72,105.33,33516
2021-07-16,105.62,105.84,104.83,105.27,9608
2021-07-19,103.65,103.65,100.71,101.46,18315
2021-07-20,102.18,104.9,102.12,104.11,24175
2021-07-21,105.17,105.88,104.37,104.45,14512
2021-07-22,103.72,103.72,102.06,102.06,16628
2021-07-23,103.01,103.23,101.67,102.4,26267
2021-07-26,103.1,103.92,103.0,103.69,18203
2021-07-27,102.64,103.53,102.06,103.1,25603
2021-07-28,103.27,103.27,100.82,101.04,21813
2021-07-29,103.9,105.28,102.34,104.51,56057
2021-07-30,104.7,105.67,104.23,104.71,36670
2021-08-02,105.62,107.09,105.59,105.79,39477
2021-08-03,105.74,105.88,104.19,105.6,13201
2021-08-04,104.85,105.29,102.76,102.94,33615
2021-08-05,104.69,104.77,102.04,103.38,54097
2021-08-06,105.13,106.18,105.13,105.98,12110
2021-08-09,105.96,106.56,105.43,106.15,7602
2021-08-10,106.76,107.46,106.76,106.95,42511
2021-08-11,107.32,107.74,106.72,107.74,14207
2021-08-12,108.02,108.34,106.9,108.24,17189
2021-08-13,108.44,108.44,107.62,107.83,11729
2021-08-16,106.5,108.42,106.5,108.42,10737
2021-08-17,109.13,109.24,108.18,109.02,7933
2021-08-18,108.99,109.51,107.83,107.83,9578
2021-08-19,107.15,108.65,106.75,108.03,12228
2021-08-20,107.9,109.85,107.9,109.6,11498
2021-08-23,109.89,110.72,109.34,109.55,11684
2021-08-24,109.72,109.87,109.34,109.41,4287
2021-08-25,109.73,111.51,109.56,110.97,11467
2021-08-26,111.33,111.33,108.88,108.89,10357
2021-08-27,109.11,110.54,109.11,110.51,9369
2021-08-30,110.16,110.27,109.18,109.18,9701
2021-08-31,109.03,110.4,109.03,109.66,14689
2021-09-01,109.09,109.31,107.89,108.59,25414
2021-09-02,108.64,108.75,107.97,108.42,15192
2021-09-03,108.25,108.28,107.21,107.55,17708
2021-09-07,106.81,107.06,106.04,106.11,27626
2021-09-08,105.53,107.57,105.53,106.82,16786
2021-09-09,107.48,108.16,105.91,105.95,14848
2021-09-10,105.39,105.43,104.25,104.3,6861
2021-09-13,104.73,105.29,104.33,105.26,9808
2021-09-14,105.26,105.26,103.91,104.37,13846
2021-09-15,104.61,105.85,103.87,105.7,22033
2021-09-16,105.79,105.79,104.63,105.35,12471
2021-09-17,104.68,105.58,103.99,103.99,17960
2021-09-20,102.26,102.84,100.69,102.03,26207
2021-09-21,102.78,102.9,101.35,101.59,15699
2021-09-22,102.3,102.86,101.98,102.25,14087
2021-09-23,103.72,104.69,103.64,103.73,11314
2021-09-24,104.02,104.43,103.8,104.05,11225
2021-09-27,105.26,106.09,105.26,105.86,23211
2021-09-28,105.72,106.29,103.23,103.29,22905
2021-09-29,103.55,104.7,103.43,103.89,14745
2021-09-30,104.02,104.98,101.81,102.04,21781
2021-10-01,101.99,103.36,100.72,102.43,29410
2021-10-04,103.02,103.4,100.96,101.26,28083
2021-10-05,100.76,103.52,100.76,103.12,23143
2021-10-06,102.58,104.09,101.46,104.07,11029
2021-10-07,105.17,106.24,105.17,106.16,10502
2021-10-08,106.74,107.67,106.43,107.24,17700
2021-10-11,107.87,109.34,106.04,106.04,11245
2021-10-12,106.54,107.08,105.27,105.48,13557
2021-10-13,105.06,105.06,103.99,104.54,12593
2021-10-14,105.27,106.38,104.84,105.86,26717
2021-10-15,106.94,107.4,105.6,106.22,14948
2021-10-18,105.09,105.66,104.33,104.46,12746
2021-10-19,105.67,106.46,104.69,105.21,11593
2021-10-20,105.86,107.41,105.86,106.97,22324
2021-10-21,107.31,107.42,106.45,106.96,7910
2021-10-22,107.14,109.16,107.14,109.13,12701
2021-10-25,108.86,110.33,108.29,110.33,26643
2021-10-26,109.88,110.59,109.68,109.95,34472
2021-10-27,109.52,110.57,108.18,108.31,38743
2021-10-28,111.51,113.4,111.24,112.77,40752
2021-10-29,112.53,112.62,108.36,108.46,37096
2021-11-01,108.39,108.39,105.81,107.57,30734
2021-11-02,107.83,110.37,107.63,110.37,44681
2021-11-03,111.12,112.39,109.59,111.34,29697
2021-11-04,110.64,111.14,109.95,110.91,26930
2021-11-05,112.38,113.24,111.51,112.7,26312
2021-11-08,112.97,112.97,110.45,111.11,16870
2021-11-09,110.81,111.2,110.45,110.91,17283
2021-11-10,111.1,111.38,110.09,110.37,24201
2021-11-11,109.52,110.06,109.47,109.68,10385
2021-11-12,109.76,109.76,108.55,109.07,42801
2021-11-15,109.44,109.44,108.21,108.49,29646
2021-11-16,108.76,109.47,107.68,107.8,23818
2021-11-17,107.07,107.07,105.26,106.01,27771
2021-11-18,105.91,106.43,105.1,105.98,14457
2021-11-19,105.44,106.43,104.59,106.13,25272
2021-11-22,106.65,107.74,106.37,107.12,29159
2021-11-23,107.62,108.03,106.79,108.03,20498
2021-11-24,107.4,107.4,106.52,107.01,22996
2021-11-26,104.13,106.28,102.45,104.82,47281
2021-11-29,104.99,106.39,104.03,105.84,27868
2021-11-30,104.6,104.6,100.95,101.74,48999
2021-12-01,103.03,104.39,100.76,100.76,59735
2021-12-02,103.28,106.27,103.28,105.12,44319
2021-12-03,105.37,105.37,102.53,103.53,23588
2021-12-06,105.12,106.0,103.62,103.7,29934
2021-12-07,104.45,105.79,104.45,105.18,23901
2021-12-08,105.76,105.76,104.04,104.67,20261
2021-12-09,102.07,103.64,101.7,102.88,17539
2021-12-10,104.17,104.21,103.53,103.98,17070
2021-12-13,102.33,103.02,101.51,102.1,14882
2021-12-14,103.28,104.08,103.12,103.49,21399
2021-12-15,104.06,104.55,103.34,103.98,16693
2021-12-16,105.07,106.12,104.9,105.35,13390
2021-12-17,105.41,105.41,100.85,101.46,38838
2021-12-20,100.02,100.02,97.79,98.86,26959
2021-12-21,100.18,101.16,99.92,100.1,11619
2021-12-22,100.24,101.22,99.0,100.9,27551
2021-12-23,101.44,102.29,100.58,100.87,15983
2021-12-27,100.73,102.49,100.38,102.49,15796
2021-12-28,102.95,103.53,102.82,103.09,8843
2021-12-29,103.46,103.77,102.79,103.22,7566
2021-12-30,104.02,104.02,102.01,102.07,21217
2021-12-31,102.04,102.88,101.67,102.33,12453
2022-01-03,102.81,103.89,100.95,101.5,9841
2022-01-04,103.38,104.8,103.38,103.95,14719
2022-01-05,103.96,104.81,102.43,102.47,23550
2022-01-06,103.45,104.5,103.37,104.36,32556
2022-01-07,104.38,106.8,104.21,106.53,38786
2022-01-10,106.7,107.29,105.19,106.18,43307
2022-01-11,106.7,107.3,106.16,107.29,16535
2022-01-12,107.23,107.51,106.35,106.72,15463
2022-01-13,107.32,110.04,107.11,108.55,32410
2022-01-14,107.23,107.85,106.64,107.43,23449
2022-01-18,106.94,107.11,105.09,105.34,16114
2022-01-19,105.19,105.31,103.17,103.27,18236
2022-01-20,104.27,106.51,103.71,104.03,33230
2022-01-21,104.11,105.04,102.67,102.77,22118
2022-01-24,102.12,105.47,100.75,105.2,38209
2022-01-25,104.35,104.56,101.83,103.45,28976
2022-01-26,104.17,105.64,102.05,103.25,25664
2022-01-27,105.12,105.77,101.48,101.94,59136
2022-01-28,102.55,105.48,101.63,105.48,25015
2022-01-31,104.64,105.92,104.01,105.84,19482
2022-02-01,105.45,106.55,104.67,106.26,22640
2022-02-02,107.14,108.77,107.08,108.59,21150
2022-02-03,108.52,109.21,107.88,108.27,33677
2022-02-04,108.33,110.35,108.04,109.28,34641
2022-02-07,109.69,110.06,108.56,108.89,26291
2022-02-08,109.38,111.02,109.1,110.7,14695
2022-02-09,110.84,112.16,110.4,110.51,26308
2022-02-10,110.13,111.23,109.46,110.03,33317
2022-02-11,109.55,110.9,108.18,108.7,35463
2022-02-14,108.78,108.78,106.05,107.24,31316
2022-02-15,108.2,109.77,107.85,108.32,47007
2022-02-16,113.09,115.06,112.77,115.06,75413
2022-02-17,114.32,115.79,112.34,113.39,42584
2022-02-18,113.39,113.98,112.09,112.78,36014
2022-02-22,112.11,112.34,109.87,111.28,43353
2022-02-23,111.93,112.15,109.65,109.87,25257
2022-02-24,106.44,107.42,104.87,107.23,91614
2022-02-25,110.09,112.26,109.28,112.22,43233
2022-02-28,109.9,111.05,108.99,110.21,26187
2022-03-01,109.57,109.59,106.87,107.83,36525
2022-03-02,109.02,111.15,109.02,110.75,48389
2022-03-03,111.63,112.11,110.71,111.62,26273
2022-03-04,110.26,110.88,109.35,110.62,34399
