date,open,high,low,close,volume
2020-07-27,64.66,65.24,64.65,65.18,106387
2020-07-28,65.38,66.35,65.32,66.11,86219
2020-07-29,66.04,66.77,65.97,66.55,62911
2020-07-30,66.26,67.4,66.24,67.18,112144
2020-07-31,66.81,67.58,66.43,67.41,121646
2020-08-03,67.09,67.48,66.8,66.84,86309
2020-08-04,66.83,67.11,66.4,66.97,109793
2020-08-05,67.0,67.27,66.33,66.54,64531
2020-08-06,66.24,66.44,66.03,66.17,81917
2020-08-07,66.27,66.6,66.03,66.58,131780
2020-08-10,66.79,67.12,66.63,66.98,63714
2020-08-11,67.12,67.13,66.23,66.33,70423
2020-08-12,66.69,67.92,66.61,67.47,184465
2020-08-13,67.38,67.38,66.82,67.22,56117
2020-08-14,67.04,67.55,66.96,67.27,64067
2020-08-17,67.19,67.91,67.17,67.42,89532
2020-08-18,67.52,68.27,67.26,67.81,93540
2020-08-19,68.14,68.28,67.87,68.08,45155
2020-08-20,68.01,68.38,67.72,68.33,62831
2020-08-21,68.29,68.84,68.06,68.72,100900
2020-08-24,68.72,69.16,68.68,69.06,53406
2020-08-25,69.12,69.17,68.53,68.56,115471
2020-08-26,68.31,69.12,68.31,68.68,45221
2020-08-27,68.91,69.39,68.91,69.05,91299
2020-08-28,68.93,69.41,68.5,69.32,70128
2020-08-31,69.27,69.4,68.92,69.25,199252
2020-09-01,69.0,69.01,67.95,68.16,106496
2020-09-02,68.27,69.65,68.14,69.43,79981
2020-09-03,69.47,69.94,67.32,67.85,168495
2020-09-04,67.9,68.42,66.69,67.45,63024
2020-09-08,67.3,67.3,66.01,66.04,109171
2020-09-09,67.04,68.43,67.03,67.74,66336
2020-09-10,67.68,67.89,66.62,66.73,76284
2020-09-11,67.07,67.46,66.74,67.0,67405
2020-09-14,67.24,67.84,67.23,67.38,23762
2020-09-15,67.74,67.86,67.17,67.24,95909
2020-09-16,67.53,67.9,67.13,67.15,77604
2020-09-17,66.75,67.41,66.54,66.96,41229
2020-09-18,67.04,67.08,65.83,66.22,57906
2020-09-21,65.85,66.29,64.95,65.64,116656
2020-09-22,65.78,66.85,65.78,66.5,97916
2020-09-23,66.54,66.55,65.52,65.59,69825
2020-09-24,65.79,66.59,65.48,66.19,52026
2020-09-25,66.02,66.45,65.85,66.35,109125
2020-09-28,66.95,67.66,66.77,66.78,52665
2020-09-29,66.93,67.01,66.25,66.59,53599
2020-09-30,66.84,67.6,66.72,67.36,52941
2020-10-01,67.63,67.87,67.01,67.3,143565
2020-10-02,66.99,68.07,66.87,67.59,164925
2020-10-05,67.62,68.53,67.62,68.49,115101
2020-10-06,68.55,68.66,67.42,67.75,117621
2020-10-07,68.21,68.45,67.87,68.26,80466
2020-10-08,68.33,68.85,68.18,68.76,87688
2020-10-09,68.95,69.95,68.93,69.7,116606
2020-10-12,69.6,70.67,69.58,70.38,124282
2020-10-13,70.27,70.72,69.73,70.14,115738
2020-10-14,70.18,70.39,69.36,69.72,144348
2020-10-15,69.35,69.96,69.24,69.6,141305
2020-10-16,70.0,70.37,69.89,70.13,195775
2020-10-19,70.26,70.64,69.0,69.14,103393
2020-10-20,69.84,70.51,69.67,69.7,218069
2020-10-21,69.59,70.5,69.51,70.05,185151
2020-10-22,69.63,69.95,69.13,69.62,114256
2020-10-23,69.83,70.23,69.65,69.66,98946
2020-10-26,69.31,69.53,68.65,69.04,160418
2020-10-27,69.45,69.93,69.19,69.28,150207
2020-10-28,67.94,68.64,67.36,67.44,190889
2020-10-29,67.28,67.99,66.38,67.36,237443
2020-10-30,69.68,71.13,68.2,69.34,470107
2020-11-02,70.45,71.13,69.84,70.39,181807
2020-11-03,71.11,73.18,71.11,73.06,230832
2020-11-04,73.14,75.19,72.96,73.64,344046
2020-11-05,74.25,74.28,72.88,72.91,216041
2020-11-06,72.97,73.34,72.4,72.91,201062
2020-11-09,73.76,74.21,71.61,71.75,316374
2020-11-10,71.89,73.54,71.47,73.18,299017
2020-11-11,73.93,74.79,73.29,74.57,150361
2020-11-12,74.6,74.74,73.95,74.42,201324
2020-11-13,74.42,74.98,74.38,74.98,209458
2020-11-16,75.02,75.46,74.82,75.42,131627
2020-11-17,75.07,75.56,74.88,74.94,139110
2020-11-18,75.08,75.46,74.3,74.3,137666
2020-11-19,74.44,75.18,74.42,75.0,156049
2020-11-20,75.12,75.86,74.77,74.78,114027
2020-11-23,74.78,74.78,73.74,74.26,144266
2020-11-24,74.63,75.18,73.86,74.38,189500
2020-11-25,74.67,75.04,74.17,74.41,104849
2020-11-27,74.61,74.69,74.06,74.57,105769
2020-11-30,74.54,75.22,73.94,75.22,130774
2020-12-01,75.36,75.81,74.97,75.78,126920
2020-12-02,75.45,75.84,74.86,75.29,145812
2020-12-03,75.17,75.27,74.12,74.78,142727
2020-12-04,74.81,75.22,74.13,74.66,214222
2020-12-07,74.51,75.35,74.51,75.0,118107
2020-12-08,74.3,74.99,73.95,74.79,116744
2020-12-09,74.78,74.87,74.12,74.48,106583
2020-12-10,74.54,74.84,74.1,74.3,109177
2020-12-11,74.04,74.69,73.94,74.35,89128
2020-12-14,74.68,74.95,73.88,73.96,101048
2020-12-15,74.15,74.67,73.96,74.45,95734
2020-12-16,74.78,75.29,74.34,74.66,100822
2020-12-17,75.09,75.55,74.94,75.22,149496
2020-12-18,75.22,75.66,74.62,75.49,103334
2020-12-21,74.75,75.06,74.11,74.96,99762
2020-12-22,74.78,74.97,73.99,74.09,120170
2020-12-23,74.26,74.57,73.93,74.17,84697
2020-12-24,74.26,74.71,74.21,74.71,36288
2020-12-28,74.83,75.21,74.64,75.01,38940
2020-12-29,75.37,75.67,74.57,74.7,56367
2020-12-30,74.76,74.8,74.24,74.38,63226
2020-12-31,74.58,75.13,74.23,75.13,61636
2021-01-04,74.52,75.08,73.35,73.99,101407
2021-01-05,74.2,74.47,73.2,74.2,77089
2021-01-06,73.88,74.42,71.9,72.2,318004
2021-01-07,72.04,72.48,71.3,71.83,187040
2021-01-08,72.15,72.53,71.86,72.36,333644
2021-01-11,72.23,72.91,72.12,72.17,158899
2021-01-12,72.31,72.63,71.98,72.22,261329
2021-01-13,72.52,72.81,72.33,72.41,158552
2021-01-14,72.59,72.66,71.68,71.94,154275
2021-01-15,71.98,72.38,71.73,71.92,254262
2021-01-19,72.38,72.39,70.91,71.02,271271
2021-01-20,70.06,70.64,69.28,70.45,315877
2021-01-21,70.61,70.61,69.17,69.61,343589
2021-01-22,69.51,69.67,68.79,69.06,237242
2021-01-25,69.13,69.84,69.02,69.4,402189
2021-01-26,69.45,69.82,68.83,69.58,400623
2021-01-27,69.49,69.71,68.73,68.88,356302
2021-01-28,69.05,70.48,68.91,69.86,400817
2021-01-29,69.64,70.81,68.76,68.79,478289
2021-02-01,69.57,70.36,69.16,69.35,229403
2021-02-02,69.68,70.4,69.39,69.64,370648
2021-02-03,69.75,70.1,69.36,69.65,281296
2021-02-04,69.56,70.0,69.27,69.7,279356
2021-02-05,69.97,70.68,69.93,70.54,147154
2021-02-08,70.7,70.73,70.0,70.36,198585
2021-02-09,70.3,70.3,69.21,69.46,119080
2021-02-10,69.71,70.15,69.11,69.86,171805
2021-02-11,69.97,70.01,69.18,69.23,127930
2021-02-12,69.16,69.3,68.68,69.26,88248
2021-02-16,68.99,69.06,68.06,69.06,173755
2021-02-17,68.81,69.68,68.81,69.26,194234
2021-02-18,69.15,69.6,68.96,69.5,175560
2021-02-19,69.37,69.49,68.09,68.13,86461
2021-02-22,68.09,68.38,67.88,68.22,110911
2021-02-23,68.71,69.26,68.01,68.45,148817
2021-02-24,68.04,68.48,67.66,67.67,162687
2021-02-25,67.7,68.13,67.36,67.71,140096
2021-02-26,67.46,67.58,66.43,66.44,219564
2021-03-01,66.72,67.41,66.67,66.76,255335
2021-03-02,66.78,67.14,66.46,66.6,233018
2021-03-03,66.35,66.36,65.51,65.82,199819
2021-03-04,66.11,67.04,65.58,65.69,349311
2021-03-05,65.84,67.32,65.84,67.18,315172
2021-03-08,66.89,68.22,66.58,67.53,225430
2021-03-09,67.77,68.28,66.09,66.17,291243
2021-03-10,66.45,67.39,65.48,66.94,271419
2021-03-11,66.69,66.96,66.34,66.46,137059
2021-03-12,67.01,67.33,66.58,66.65,141946
2021-03-15,67.1,67.16,66.14,66.83,264350
2021-03-16,66.95,67.42,66.67,66.98,165066
2021-03-17,67.23,67.44,66.58,66.91,161707
2021-03-18,66.88,67.29,65.94,67.16,148221
2021-03-19,67.27,67.51,66.09,66.25,250712
2021-03-22,66.22,67.04,66.15,66.91,438038
2021-03-23,67.2,69.15,66.97,68.67,256747
2021-03-24,68.11,69.09,68.03,68.66,238323
2021-03-25,69.13,69.34,68.41,68.8,219138
2021-03-26,68.85,69.98,68.46,69.97,182694
2021-03-29,69.94,70.62,69.94,70.54,245400
2021-03-30,70.16,70.39,69.77,70.08,192154
2021-03-31,70.24,70.47,69.41,69.6,218187
2021-04-01,69.45,69.79,68.51,69.36,144562
2021-04-05,69.56,70.55,69.56,70.24,128730
2021-04-06,70.12,70.73,69.96,70.51,163650
2021-04-07,70.73,70.91,70.17,70.28,202750
2021-04-08,70.45,70.47,69.93,70.36,153061
2021-04-09,70.39,70.77,69.91,70.4,107566
2021-04-12,70.46,71.03,70.3,70.77,164653
2021-04-13,70.33,70.47,69.89,70.42,227358
2021-04-14,70.43,70.46,69.75,70.07,149089
2021-04-15,70.29,71.28,70.29,71.04,156396
2021-04-16,71.36,71.48,70.93,71.24,156704
2021-04-20,70.88,72.7,70.88,72.23,160644
2021-04-21,72.53,72.83,71.75,72.06,83194
2021-04-22,71.88,72.47,71.7,71.98,163434
2021-04-23,71.48,71.59,70.57,70.85,130588
2021-04-26,70.92,70.92,70.12,70.4,144331
2021-04-27,70.12,70.19,69.62,69.75,137907
2021-04-28,70.21,70.36,69.78,69.95,94102
2021-04-29,70.22,71.23,70.22,70.89,166625
2021-04-30,70.98,72.06,70.84,71.67,238460
2021-05-03,71.82,72.14,71.22,71.99,105114
2021-05-04,72.09,72.81,71.8,72.0,126579
2021-05-05,71.92,72.41,71.54,72.15,94189
2021-05-06,72.39,73.13,72.39,73.08,148941
2021-05-07,73.02,73.28,72.73,72.96,93823
2021-05-10,73.35,74.48,73.29,74.01,197561
2021-05-11,74.06,74.24,73.0,73.21,215993
2021-05-12,73.25,73.56,72.78,72.88,218546
2021-05-13,72.55,74.36,72.34,73.96,225726
2021-05-14,74.28,74.59,74.06,74.21,198455
2021-05-17,74.4,74.83,74.06,74.19,89596
2021-05-18,73.93,74.44,73.52,73.77,107259
2021-05-19,73.49,73.92,73.22,73.88,271335
2021-05-20,73.85,75.17,73.85,74.65,151940
2021-05-21,74.9,75.15,74.61,74.81,101166
2021-05-24,74.85,75.39,74.7,74.96,80376
2021-05-25,74.98,75.15,74.53,75.14,88794
2021-05-26,75.26,75.26,74.78,74.96,118337
2021-05-27,74.93,75.16,74.32,74.35,125232
2021-05-28,74.68,75.09,74.34,74.4,140748
2021-06-01,75.39,75.47,72.93,73.24,137517
