date,open,high,low,close,volume
2020-07-27,188.25,189.79,188.17,189.25,12677
2020-07-28,189.75,191.14,189.21,189.57,14442
2020-07-29,190.4,192.68,190.2,191.71,46752
2020-07-30,191.56,193.03,190.65,191.83,29557
2020-07-31,193.53,197.45,193.52,196.01,103401
2020-08-03,190.87,194.13,189.12,192.48,96839
2020-08-04,192.87,197.73,192.87,197.16,38595
2020-08-05,197.47,198.98,194.89,196.78,40016
2020-08-06,196.56,197.5,194.76,196.07,30980
2020-08-07,196.15,197.47,195.59,197.05,38560
2020-08-10,196.61,197.21,192.91,193.54,21913
2020-08-11,191.73,191.74,184.02,184.46,69606
2020-08-12,185.67,189.38,185.48,188.34,15277
2020-08-13,188.79,188.79,186.15,186.48,18897
2020-08-14,186.56,187.1,185.69,186.07,34794
2020-08-17,186.38,189.0,186.38,188.13,128591
2020-08-18,187.53,190.11,184.55,189.34,72963
2020-08-19,189.99,190.43,187.73,189.15,25435
2020-08-20,189.37,189.91,188.11,189.48,130479
2020-08-21,189.33,189.33,187.23,187.79,73270
2020-08-24,187.95,187.95,184.27,185.08,104954
2020-08-25,185.06,185.07,181.51,181.64,229264
2020-08-26,181.71,183.1,180.8,183.06,254243
2020-08-27,182.48,185.32,182.48,183.19,28756
2020-08-28,182.0,182.71,178.95,180.2,52992
2020-08-31,180.32,186.12,180.32,185.57,78624
2020-09-01,185.8,185.8,180.91,182.61,50966
2020-09-02,183.18,186.76,183.18,185.8,31752
2020-09-03,183.68,185.63,177.41,179.83,77644
2020-09-04,178.74,179.12,172.6,176.32,63077
2020-09-08,175.38,176.8,172.12,176.75,61080
2020-09-09,178.95,183.43,178.88,182.59,111415
2020-09-10,181.87,183.83,178.35,178.39,181464
2020-09-11,178.95,179.01,176.18,177.52,40929
2020-09-14,178.16,180.74,177.4,180.54,26125
2020-09-15,179.27,179.27,173.25,173.88,72549
2020-09-16,173.42,175.03,171.71,172.11,37223
2020-09-17,171.98,173.08,169.83,171.57,49395
2020-09-18,171.25,173.35,169.91,172.89,54724
2020-09-21,174.29,174.83,171.05,173.03,23312
2020-09-22,173.71,178.16,173.57,176.4,69827
