date,open,high,low,close,volume
2018-12-21,26.45,26.45,26.45,26.45,400
2020-07-27,34.21,34.56,34.18,34.56,991007
2020-07-28,33.97,34.49,33.97,34.21,972617
2020-07-29,34.31,34.94,34.28,34.8,1056081
2020-07-30,34.99,35.06,34.35,34.56,688534
2020-07-31,34.51,34.51,33.23,33.91,517998
2020-08-03,33.8,34.16,33.6,33.97,301052
2020-08-04,33.76,34.24,33.75,34.21,326560
2020-08-05,34.34,34.37,33.46,33.51,405804
2020-08-06,33.3,33.96,33.3,33.94,488482
2020-08-07,33.79,33.98,33.64,33.9,363218
2020-08-10,33.77,34.22,33.77,34.08,429532
2020-08-11,34.2,34.84,33.99,34.07,530323
2020-08-12,34.09,34.62,34.09,34.31,324040
2020-08-13,34.11,34.39,34.05,34.34,583304
2020-08-14,34.32,34.98,34.26,34.66,568044
2020-08-17,34.73,34.79,34.3,34.49,243247
2020-08-18,34.55,34.64,34.28,34.49,259833
2020-08-19,34.47,34.66,34.2,34.3,247802
2020-08-20,34.17,34.4,34.03,34.27,246417
2020-08-21,33.99,34.24,33.84,34.1,241439
2020-08-24,33.98,34.7,33.98,34.67,404351
2020-08-25,34.63,34.63,34.2,34.38,251948
2020-08-26,34.16,35.14,33.99,35.0,377475
2020-08-27,35.29,35.48,35.05,35.31,323013
2020-08-28,35.25,35.3,34.79,35.3,286119
2020-08-31,35.11,35.73,35.11,35.56,1447526
2020-09-01,35.23,35.69,35.05,35.69,1828119
2020-09-02,35.72,36.37,35.66,35.79,387464
2020-09-03,36.03,36.38,34.93,35.25,288482
2020-09-04,35.58,35.61,34.78,35.24,183499
2020-09-08,34.76,35.05,34.16,34.68,550280
2020-09-09,34.79,35.63,34.62,35.33,422382
2020-09-10,35.33,35.65,34.75,34.91,323447
2020-09-11,34.87,35.43,34.84,35.4,268123
2020-09-14,35.57,36.02,35.44,35.9,185156
2020-09-15,35.77,37.02,35.71,36.83,541230
2020-09-16,37.19,37.62,37.0,37.09,1051375
2020-09-17,36.38,36.77,35.66,36.1,256082
2020-09-18,36.01,36.31,35.1,35.87,656589
2020-09-21,35.57,35.84,34.39,35.48,622683
2020-09-22,35.62,36.81,35.53,36.58,699482
2020-09-23,36.55,36.72,35.84,35.95,385267
2020-09-24,35.78,36.49,35.58,36.15,249135
2020-09-25,35.96,36.69,35.82,36.57,360847
2020-09-28,37.09,37.27,36.63,37.07,452846
2020-09-29,36.92,37.12,36.58,36.59,599282
2020-09-30,36.85,37.0,36.24,36.68,721540
2020-10-01,36.84,37.04,36.58,36.79,788277
2020-10-02,36.27,36.4,35.74,35.74,691486
2020-10-05,35.84,36.37,35.67,36.26,475085
2020-10-06,36.08,36.24,35.32,35.42,630825
2020-10-07,35.69,35.9,35.24,35.81,585281
2020-10-08,35.89,36.13,35.7,36.08,671663
2020-10-09,36.21,36.32,35.58,35.73,776165
2020-10-12,36.12,36.83,35.79,36.61,661044
2020-10-13,36.63,36.86,36.12,36.55,1142917
2020-10-14,36.41,36.59,35.82,36.03,524803
2020-10-15,35.73,35.93,35.45,35.92,485366
2020-10-16,35.98,36.5,35.76,36.27,440930
2020-10-19,36.3,36.42,35.19,35.28,672852
2020-10-20,35.44,35.55,35.15,35.31,489489
2020-10-21,35.09,35.74,35.0,35.44,522786
2020-10-22,35.54,36.01,35.33,35.88,612596
2020-10-23,36.12,36.25,35.51,35.82,677005
2020-10-26,35.54,35.65,34.67,34.83,667686
2020-10-27,34.71,34.89,34.52,34.58,440745
2020-10-28,34.14,34.28,33.37,33.42,887148
2020-10-29,33.62,34.78,33.35,34.27,1243195
2020-10-30,33.89,34.25,33.23,33.62,831902
2020-11-02,34.04,34.16,32.61,32.95,1134657
2020-11-03,33.41,34.21,33.24,33.97,902851
2020-11-04,35.05,35.51,34.57,34.76,1100610
2020-11-05,35.36,35.67,35.23,35.33,809224
2020-11-06,35.45,35.57,35.01,35.44,544104
2020-11-09,37.86,38.38,37.23,37.53,1360121
2020-11-10,37.37,38.18,37.18,38.04,956900
2020-11-11,38.06,38.11,37.52,37.95,518088
2020-11-12,37.97,38.28,37.64,38.21,622660
2020-11-13,38.12,39.19,38.12,39.0,622235
2020-11-16,39.32,39.6,39.21,39.36,614304
2020-11-17,39.1,39.79,38.99,39.64,780142
2020-11-18,39.5,40.1,39.05,39.11,712823
2020-11-19,39.09,39.59,39.01,39.4,612524
