date,open,high,low,close,volume
2020-07-27,162.53,166.79,162.53,166.24,83236
2020-07-28,170.62,178.03,169.39,169.78,134226
2020-07-29,172.04,173.76,168.95,172.84,69164
2020-07-30,170.58,171.13,167.31,168.97,25487
2020-07-31,168.32,168.51,165.2,168.13,33492
2020-08-03,168.55,171.51,167.74,169.85,50948
2020-08-04,169.52,169.86,167.78,167.8,23066
2020-08-05,169.32,172.87,169.32,172.46,87348
2020-08-06,172.26,172.43,170.17,170.4,66571
2020-08-07,170.64,173.22,169.54,173.08,48814
2020-08-10,174.14,183.09,174.14,182.8,53580
2020-08-11,185.72,186.82,183.55,184.37,62133
2020-08-12,185.27,186.32,183.99,185.4,45662
2020-08-13,183.46,184.07,182.11,182.69,26765
2020-08-14,182.53,187.16,182.53,185.64,32242
2020-08-17,186.05,186.11,182.86,182.99,27005
2020-08-18,183.82,184.78,182.2,182.64,26088
2020-08-19,182.54,184.97,182.15,183.66,55973
2020-08-20,181.99,183.47,181.71,182.84,37289
2020-08-21,182.19,184.07,181.41,183.0,23206
2020-08-24,183.91,185.27,183.43,184.67,10889
2020-08-25,186.59,186.78,183.52,183.75,17221
2020-08-26,182.76,183.96,181.74,182.93,13826
2020-08-27,183.95,183.95,180.99,181.71,25139
2020-08-28,181.62,183.14,181.07,182.65,12530
2020-08-31,182.42,182.76,181.15,181.45,12246
2020-09-01,181.03,184.78,180.86,184.61,44612
2020-09-02,185.41,186.88,185.17,186.28,45577
2020-09-03,185.67,186.77,177.95,179.22,66018
2020-09-04,181.05,182.26,177.48,178.88,50911
2020-09-08,179.11,181.4,177.17,178.57,50958
2020-09-09,180.49,186.91,180.49,185.46,41074
2020-09-10,184.53,184.89,179.45,181.03,56113
2020-09-11,182.09,184.63,181.47,181.99,37237
2020-09-14,182.82,185.23,182.57,184.33,21774
2020-09-15,187.06,187.06,183.83,183.86,17278
2020-09-16,185.41,186.69,183.17,183.17,47976
2020-09-17,180.91,187.83,180.67,183.96,103191
2020-09-18,184.18,187.16,184.04,185.45,74317
2020-09-21,181.53,181.94,176.85,178.3,30753
2020-09-22,179.0,180.36,177.05,178.65,44136
2020-09-23,179.86,181.5,177.15,177.5,45612
2020-09-24,176.57,182.33,174.76,179.78,32730
2020-09-25,179.24,183.6,179.24,182.48,32972
2020-09-28,185.88,187.44,184.64,185.95,20515
2020-09-29,186.64,187.09,184.4,186.29,22384
2020-09-30,186.49,190.06,183.38,184.82,66715
2020-10-01,186.06,186.38,179.47,181.07,93977
2020-10-02,178.04,185.97,178.04,184.03,80488
2020-10-05,186.04,192.23,186.04,190.48,76593
2020-10-06,191.45,193.15,188.83,189.29,75693
2020-10-07,192.62,195.38,191.75,193.82,37274
2020-10-08,194.35,194.35,191.41,193.23,40513
2020-10-09,194.23,197.55,193.65,195.42,58483
2020-10-12,196.1,196.1,193.25,194.04,38388
2020-10-13,192.99,193.55,190.12,192.92,51047
2020-10-14,194.11,196.23,193.36,193.9,72153
2020-10-15,191.46,195.32,191.16,194.59,57205
2020-10-16,195.25,198.59,194.86,194.97,103616
2020-10-19,195.86,196.15,192.87,193.43,41178
2020-10-20,194.74,196.59,194.04,194.58,57424
2020-10-21,194.58,198.08,194.34,194.37,46493
2020-10-22,194.63,197.5,194.63,195.67,64097
2020-10-23,197.46,198.53,196.07,198.0,85131
2020-10-26,195.44,195.44,190.76,193.2,68766
2020-10-27,201.58,202.2,192.18,192.24,161358
2020-10-28,187.96,191.36,186.54,186.87,104107
2020-10-29,186.85,192.02,186.3,190.34,81004
2020-10-30,189.38,192.4,187.55,192.4,87659
2020-11-02,196.07,199.57,194.87,198.95,66798
2020-11-03,201.25,203.78,200.46,203.13,67390
2020-11-04,201.11,201.26,193.45,194.87,57845
2020-11-05,197.68,203.37,197.68,200.63,41207
2020-11-06,201.37,203.6,200.02,200.38,54089
2020-11-09,211.89,213.92,200.3,200.33,103720
2020-11-10,200.96,205.64,200.18,204.5,62086
2020-11-11,205.4,205.64,201.8,205.42,26349
2020-11-12,203.84,205.5,201.64,203.99,40593
2020-11-13,206.27,207.22,204.55,207.06,27822
2020-11-16,209.23,209.23,200.62,202.57,62131
2020-11-17,202.19,202.72,198.93,202.09,35981
2020-11-18,202.95,206.16,202.39,204.32,31734
2020-11-19,200.73,205.45,200.73,205.14,50180
2020-11-20,203.88,204.83,201.34,202.98,52142
2020-11-23,204.5,207.96,204.5,207.05,43726
2020-11-24,208.13,208.94,205.4,206.39,67110
2020-11-25,206.35,206.35,202.21,202.78,63939
2020-11-27,203.54,204.23,201.15,201.15,28992
2020-11-30,200.51,203.88,199.08,203.55,88927
2020-12-01,206.11,207.44,202.16,202.87,63505
2020-12-02,201.6,203.18,199.85,199.85,79637
2020-12-03,200.44,200.68,193.12,193.82,94204
2020-12-04,194.14,195.65,192.84,193.45,69868
2020-12-07,193.94,193.97,190.55,192.78,67400
2020-12-08,192.99,195.86,192.82,194.46,49850
2020-12-09,194.55,197.78,193.41,197.37,36219
2020-12-10,195.82,196.26,192.97,193.41,47581
2020-12-11,192.04,193.83,191.69,192.32,29212
2020-12-14,194.17,194.99,190.46,190.46,34215
2020-12-15,193.31,198.39,193.31,197.16,59587
2020-12-16,197.45,197.45,195.05,196.14,32551
2020-12-17,196.28,197.02,194.9,196.59,67318
2020-12-18,197.67,198.04,194.9,196.92,42641
2020-12-21,193.59,198.79,193.59,197.7,47337
2020-12-22,197.73,198.24,195.93,196.59,31774
2020-12-23,197.07,198.57,195.48,197.78,22086
2020-12-24,198.02,199.4,197.32,199.28,15073
2020-12-28,200.7,201.05,197.18,197.26,18176
2020-12-29,197.34,197.53,194.33,195.89,29841
2020-12-30,196.64,198.39,196.64,197.99,12210
2020-12-31,197.55,199.89,197.16,199.87,21653
2021-01-04,200.6,201.31,193.39,194.75,81860
2021-01-05,195.02,196.94,194.64,194.87,67167
2021-01-06,196.88,207.76,196.88,205.63,70781
2021-01-07,208.09,210.94,206.04,210.57,68354
2021-01-08,212.09,212.09,203.7,206.44,92134
2021-01-11,204.36,209.7,203.93,208.32,53322
2021-01-12,209.27,213.53,208.17,213.11,47384
2021-01-13,213.01,213.93,211.01,211.96,44006
2021-01-14,212.98,214.65,212.16,212.31,35910
2021-01-15,210.14,210.14,205.27,208.41,61345
2021-01-19,211.43,212.35,208.48,209.45,57185
2021-01-20,209.95,209.95,206.91,208.19,70441
2021-01-21,208.89,223.53,208.12,218.39,179364
2021-01-22,216.47,218.45,213.38,217.39,50137
2021-01-25,216.57,220.11,215.49,217.04,51223
2021-01-26,217.79,218.31,216.3,216.98,48366
2021-01-27,213.05,214.84,209.17,209.62,88607
2021-01-28,212.68,217.81,212.68,213.04,62176
2021-01-29,212.09,212.56,204.64,206.16,79553
2021-02-01,209.11,209.86,203.29,204.98,41519
2021-02-02,206.88,208.93,203.03,205.84,85376
2021-02-03,205.68,208.03,204.22,207.31,75602
2021-02-04,206.02,210.0,201.66,204.25,99611
2021-02-05,205.34,205.48,200.88,202.28,68474
2021-02-08,208.43,210.01,205.99,209.99,136659
2021-02-09,209.65,216.51,209.28,215.58,119923
2021-02-10,216.91,218.52,213.63,215.62,64947
2021-02-11,215.3,216.7,209.87,213.81,78331
2021-02-12,214.63,215.02,211.16,214.99,55135
2021-02-16,216.02,217.84,214.14,215.18,52735
2021-02-17,214.12,215.61,210.25,212.75,69251
2021-02-18,212.81,213.84,210.39,213.82,86323
2021-02-19,215.28,219.89,215.28,218.45,61846
2021-02-22,217.68,221.27,217.23,220.62,46274
2021-02-23,220.77,223.25,218.24,221.96,86686
2021-02-24,222.77,230.27,222.77,229.37,70011
2021-02-25,228.67,229.39,224.78,225.62,38722
2021-02-26,224.92,226.8,223.18,224.17,47661
2021-03-01,227.4,234.62,227.4,232.83,84555
2021-03-02,231.96,232.15,226.3,228.03,59858
2021-03-03,228.43,233.93,228.17,231.55,67408
2021-03-04,234.5,234.93,225.9,228.66,68022
2021-03-05,231.81,236.51,228.88,235.15,69815
2021-03-08,237.6,241.8,236.18,238.02,88897
2021-03-09,238.74,241.59,235.95,236.03,58990
2021-03-10,236.73,242.45,236.29,241.67,69042
2021-03-11,242.18,242.18,238.47,238.6,52751
2021-03-12,239.18,242.78,238.96,242.39,36140
2021-03-15,242.33,244.19,240.79,244.09,57703
2021-03-16,244.65,245.03,234.81,236.37,56070
2021-03-17,236.54,239.33,235.41,238.75,41917
2021-03-18,238.84,243.02,236.52,237.36,50637
2021-03-19,236.7,237.93,232.8,235.38,62732
2021-03-22,234.39,234.77,231.3,233.09,45161
2021-03-23,228.36,232.16,225.43,225.96,89364
2021-03-24,228.44,230.83,228.0,228.03,59407
2021-03-25,228.39,231.92,224.57,231.08,35180
2021-03-26,232.7,232.87,229.71,232.17,37553
2021-03-29,230.95,234.45,230.65,230.66,25725
2021-03-30,231.51,235.11,231.05,233.13,51880
2021-03-31,234.55,235.02,229.27,229.27,49894
2021-04-01,228.79,229.61,226.82,227.88,70204
2021-04-05,230.5,231.75,229.08,231.55,36773
2021-04-06,231.67,235.19,229.83,230.21,53924
2021-04-07,230.95,231.48,227.0,228.38,46999
2021-04-08,227.96,228.2,225.98,227.27,81622
2021-04-09,228.81,229.91,226.82,229.5,58846
2021-04-12,229.98,231.26,228.47,231.11,42476
2021-04-13,230.69,230.78,227.51,230.78,40033
2021-04-14,231.12,233.81,230.38,231.3,52818
2021-04-15,233.0,233.44,230.46,231.92,49553
2021-04-16,234.76,235.12,231.51,233.95,57891
2021-04-20,231.98,232.09,228.73,229.88,55444
2021-04-21,230.06,233.19,227.6,232.77,51843
2021-04-22,232.7,233.81,230.88,231.09,40320
2021-04-23,231.27,233.52,231.27,232.24,44963
2021-04-26,232.4,233.84,229.13,229.19,51283
2021-04-27,229.88,229.98,226.35,228.3,78016
2021-04-28,228.61,229.04,225.09,226.04,55615
