date,open,high,low,close,volume
2020-07-27,52.64,52.69,52.25,52.52,15789
2020-07-28,52.39,53.21,52.39,52.99,27126
2020-07-29,53.28,53.43,52.98,53.38,19283
2020-07-30,52.94,53.35,52.85,53.35,16654
2020-07-31,53.19,53.58,52.75,53.42,20879
2020-08-03,53.74,53.74,52.05,52.49,39970
2020-08-04,52.24,52.89,52.2,52.63,52592
2020-08-05,52.78,52.94,51.96,52.06,42472
2020-08-06,51.9,52.44,51.68,51.86,39909
2020-08-07,51.76,53.27,51.76,52.76,58411
2020-08-10,52.81,53.21,52.67,52.94,67396
2020-08-11,52.83,52.83,51.16,51.22,82315
2020-08-12,51.5,52.04,51.4,51.56,79109
2020-08-13,51.17,51.47,50.82,51.18,82687
2020-08-14,51.0,51.47,50.67,51.12,27975
2020-08-17,51.12,51.64,50.99,51.22,68860
2020-08-18,51.31,51.53,50.95,51.13,25757
2020-08-19,51.35,51.35,50.76,50.95,41411
2020-08-20,50.55,50.92,50.45,50.74,23586
2020-08-21,50.7,50.89,50.3,50.71,117846
2020-08-24,50.92,51.08,50.37,51.08,36552
2020-08-25,50.87,51.02,50.55,50.55,27786
2020-08-26,49.88,50.2,49.56,49.87,104879
2020-08-27,50.05,50.43,49.79,50.14,75095
2020-08-28,50.08,50.65,49.86,50.42,90635
2020-08-31,50.38,50.97,50.38,50.79,86784
2020-09-01,50.67,50.67,49.95,50.55,108773
2020-09-02,50.36,51.99,50.36,51.86,125836
2020-09-03,52.1,52.7,51.53,51.97,52583
2020-09-04,51.8,52.35,51.31,51.77,49575
2020-09-08,51.58,51.83,50.81,50.81,78271
2020-09-09,51.09,52.54,51.09,51.81,49010
2020-09-10,51.47,51.84,51.0,51.06,59842
2020-09-11,51.03,51.44,50.81,51.11,41862
2020-09-14,51.28,51.81,51.15,51.59,78868
2020-09-15,51.86,52.2,51.01,51.33,41945
2020-09-16,51.44,52.38,51.44,52.0,36120
2020-09-17,51.37,51.73,51.1,51.49,32286
2020-09-18,51.49,51.49,50.98,51.22,114256
2020-09-21,50.34,51.21,49.63,50.36,61894
2020-09-22,50.34,51.01,50.3,50.97,36599
2020-09-23,50.95,51.08,49.94,50.03,113733
2020-09-24,50.01,50.48,49.26,50.06,77492
2020-09-25,50.14,51.52,50.14,51.51,48503
2020-09-28,51.62,52.23,51.44,51.52,43502
2020-09-29,51.63,52.02,51.24,51.27,47008
2020-09-30,51.63,51.99,51.38,51.61,40486
2020-10-01,51.82,52.01,51.38,51.83,77563
2020-10-02,51.46,52.04,51.21,51.77,82127
2020-10-05,51.75,51.75,51.1,51.71,103594
2020-10-06,51.85,53.22,51.76,52.86,116354
2020-10-07,52.94,53.17,52.48,52.9,41490
2020-10-08,53.04,53.65,52.75,53.62,75614
2020-10-09,53.56,54.43,53.35,54.02,91927
2020-10-12,53.96,55.11,53.96,54.66,100820
2020-10-13,54.14,54.5,53.82,54.37,58097
2020-10-14,54.36,54.64,54.09,54.37,56170
2020-10-15,54.12,54.69,53.95,54.41,45270
2020-10-16,54.46,55.0,54.35,54.82,51671
2020-10-19,55.05,55.05,54.27,54.31,41222
2020-10-20,54.48,54.74,54.03,54.63,115977
2020-10-21,54.54,55.27,54.53,54.71,111553
2020-10-22,54.89,55.38,54.52,55.21,70507
2020-10-23,55.44,55.69,55.03,55.27,54259
2020-10-26,54.93,55.62,54.46,55.55,70690
2020-10-27,55.48,55.86,55.01,55.2,283241
2020-10-28,54.53,55.14,53.72,53.72,144878
2020-10-29,54.04,54.52,53.23,53.33,172587
2020-10-30,53.04,53.67,52.63,53.12,99569
2020-11-02,54.01,54.09,53.4,54.03,53374
2020-11-03,54.85,55.32,54.4,54.85,72590
2020-11-04,54.87,55.64,54.1,54.27,73664
2020-11-05,54.84,55.75,54.4,54.48,128451
2020-11-06,54.63,54.97,54.22,54.24,48156
2020-11-09,57.05,57.39,55.71,55.82,104569
2020-11-10,56.17,57.13,56.02,56.69,64721
2020-11-11,56.74,57.25,56.39,56.61,52110
2020-11-12,56.17,56.2,54.41,54.78,115138
2020-11-13,54.85,55.12,54.53,54.97,137716
2020-11-16,55.35,55.86,54.85,55.81,129886
2020-11-17,55.49,55.73,53.92,53.94,125149
2020-11-18,54.19,54.19,51.92,51.95,172238
2020-11-19,52.08,52.08,50.73,51.21,177617
2020-11-20,51.3,51.94,50.98,51.75,137647
2020-11-23,51.71,51.94,51.24,51.94,96511
2020-11-24,52.27,52.81,52.05,52.65,94836
2020-11-25,52.8,53.17,52.03,52.99,83017
2020-11-27,52.95,52.95,52.15,52.33,26925
2020-11-30,52.07,52.37,51.51,52.02,80374
2020-12-01,52.11,52.57,51.86,51.99,79474
2020-12-02,51.77,52.24,51.49,52.21,67610
2020-12-03,52.06,52.08,51.43,51.49,43283
2020-12-04,51.48,51.75,50.44,50.51,33938
2020-12-07,50.42,51.29,50.42,51.28,82648
2020-12-08,50.98,51.28,50.5,50.86,60709
2020-12-09,51.0,51.0,50.08,50.51,59956
2020-12-10,50.87,50.87,50.09,50.24,74678
2020-12-11,50.02,50.25,49.77,50.17,115990
2020-12-14,50.51,51.03,50.03,50.05,51699
2020-12-15,50.24,50.94,50.07,50.69,98194
2020-12-16,51.06,51.32,49.98,50.06,49624
2020-12-17,50.24,50.61,50.16,50.27,67322
2020-12-18,50.36,50.57,49.75,50.05,65501
2020-12-21,49.63,49.63,48.46,49.05,97518
2020-12-22,48.76,49.1,48.59,48.7,56872
2020-12-23,48.86,49.25,48.65,48.68,55004
2020-12-24,48.67,49.17,48.54,49.15,20740
2020-12-28,49.41,49.86,49.31,49.69,47181
2020-12-29,49.78,50.31,49.73,50.01,50054
2020-12-30,49.94,50.78,49.82,50.6,91386
2020-12-31,50.69,51.6,50.41,51.6,45494
2021-01-04,51.01,51.35,50.16,50.34,92484
2021-01-05,50.51,50.56,49.34,49.46,112601
2021-01-06,49.49,50.55,49.27,50.51,93241
2021-01-07,50.55,50.55,48.96,48.98,96918
2021-01-08,48.86,49.03,48.28,48.73,107977
2021-01-11,48.91,48.92,48.16,48.28,60419
2021-01-12,48.48,48.54,47.15,47.67,55902
2021-01-13,47.72,49.01,47.7,48.85,99443
2021-01-14,48.54,49.11,47.97,48.86,114256
2021-01-15,48.87,49.72,48.73,49.55,153267
2021-01-19,49.74,49.74,49.15,49.24,90538
2021-01-20,48.99,49.81,48.86,49.61,103579
2021-01-21,49.35,49.43,48.86,49.14,66053
2021-01-22,48.93,49.47,48.46,49.41,97090
2021-01-25,49.25,50.58,49.02,50.27,78579
2021-01-26,49.83,49.91,49.19,49.68,99411
2021-01-27,49.28,49.79,48.14,48.37,90360
2021-01-28,48.43,49.28,48.1,48.29,145586
2021-01-29,48.08,48.59,47.64,48.1,180746
2021-02-01,48.22,49.08,47.82,48.35,102042
2021-02-02,48.37,49.36,48.02,48.51,92085
2021-02-03,48.58,48.66,48.07,48.34,56911
2021-02-04,47.98,48.92,47.78,48.43,147697
2021-02-05,49.33,49.37,48.65,48.9,76916
2021-02-08,48.75,49.03,47.75,48.08,70086
2021-02-09,48.26,48.47,47.34,48.17,83796
2021-02-10,48.44,48.82,48.11,48.46,54336
2021-02-11,48.52,48.75,48.12,48.19,84907
2021-02-12,48.11,48.18,47.65,48.0,124370
2021-02-16,47.99,48.05,47.17,47.18,103024
2021-02-17,47.31,47.66,46.91,47.54,114106
2021-02-18,47.71,48.37,47.69,48.21,71482
2021-02-19,47.96,48.18,47.63,47.69,83275
2021-02-22,47.6,47.6,45.73,46.66,118777
2021-02-23,47.07,47.81,46.86,47.49,115775
2021-02-24,47.31,47.31,46.48,46.48,111921
2021-02-25,46.36,46.96,46.36,46.87,109614
2021-02-26,46.9,47.77,46.14,46.2,162120
2021-03-01,46.52,47.45,46.52,46.67,118515
2021-03-02,46.71,46.97,46.15,46.72,114215
2021-03-03,46.54,46.54,45.28,45.85,143930
2021-03-04,46.08,46.83,45.77,45.87,65276
2021-03-05,46.08,47.4,46.04,47.14,113573
2021-03-08,47.14,48.14,46.9,47.84,122116
2021-03-09,47.84,48.32,47.84,48.14,105740
2021-03-10,48.56,49.21,48.38,48.58,162888
2021-03-11,48.51,49.01,48.36,48.37,113900
2021-03-12,48.69,49.21,48.46,48.98,110071
2021-03-15,49.29,50.01,49.1,49.84,226888
2021-03-16,49.84,50.2,49.51,49.69,164726
2021-03-17,49.61,49.84,49.27,49.27,121146
2021-03-18,49.27,49.58,48.78,49.38,126948
2021-03-19,49.68,50.26,49.27,49.67,100144
2021-03-22,49.67,50.17,49.35,49.78,181198
2021-03-23,49.88,51.65,49.73,51.57,169788
2021-03-24,51.12,52.07,51.12,51.86,111223
2021-03-25,52.09,52.95,51.56,52.04,107796
2021-03-26,51.77,52.01,51.28,51.85,72440
2021-03-29,51.67,52.93,51.6,52.76,55282
2021-03-30,52.35,52.58,51.57,51.94,64064
2021-03-31,51.92,52.24,51.65,52.14,58846
2021-04-01,52.07,52.11,51.46,51.95,63171
2021-04-05,52.19,52.7,52.11,52.33,45075
2021-04-06,52.07,52.54,51.75,52.54,65458
2021-04-07,52.68,52.68,51.8,52.03,96982
2021-04-08,52.2,52.2,51.5,51.61,83239
2021-04-09,51.65,51.96,51.29,51.47,125111
2021-04-12,51.93,52.3,51.61,51.73,117733
2021-04-13,51.37,52.61,51.27,52.5,83543
2021-04-14,52.44,52.96,52.18,52.93,75220
2021-04-15,52.99,53.97,52.99,53.96,81463
2021-04-16,54.08,54.59,53.89,54.59,76046
2021-04-20,54.97,56.0,54.94,55.57,56564
2021-04-21,55.8,55.93,55.12,55.13,68746
2021-04-22,55.11,55.32,54.69,54.96,62110
2021-04-23,54.87,55.11,54.53,54.53,55494
2021-04-26,54.55,54.62,54.24,54.43,33701
2021-04-27,54.16,54.42,53.88,53.94,76730
2021-04-28,54.1,54.1,53.56,53.68,71876
2021-04-29,53.62,54.49,53.62,54.47,123306
2021-04-30,54.65,54.86,53.88,54.86,55148
2021-05-03,54.96,55.86,54.95,55.38,111837
2021-05-04,55.52,55.57,54.77,55.51,125243
2021-05-05,55.45,55.51,54.32,54.64,77210
2021-05-06,54.77,55.24,54.56,55.21,86586
2021-05-07,55.18,55.6,54.84,54.84,52198
2021-05-10,55.05,55.92,55.05,55.64,93485
2021-05-11,55.87,55.87,54.02,54.46,60986
2021-05-12,54.41,54.53,53.54,53.54,82929
2021-05-13,53.53,54.82,53.47,54.45,85019
2021-05-14,54.7,55.11,54.48,54.5,62243
2021-05-17,54.54,54.9,53.97,53.99,60020
2021-05-18,53.9,54.45,53.81,54.26,69333
2021-05-19,54.33,54.33,53.82,54.17,71951
2021-05-20,54.33,55.1,54.33,54.62,47914
2021-05-21,54.69,55.12,54.58,55.01,21631
2021-05-24,55.31,55.31,54.62,54.65,48249
2021-05-25,54.5,54.56,53.91,54.22,58285
2021-05-26,54.26,54.28,53.83,53.96,43590
2021-05-27,54.07,54.07,53.4,53.42,64997
2021-05-28,53.78,53.92,53.51,53.81,51448
2021-06-01,53.92,54.01,53.28,53.41,63173
2021-06-02,53.48,54.02,53.0,53.48,161403
2021-06-03,53.3,53.99,53.3,53.74,151599
2021-06-04,54.0,54.01,53.59,53.68,26671
2021-06-07,53.82,53.91,53.67,53.84,50771
2021-06-08,53.41,53.59,50.89,51.7,549593
2021-06-09,51.5,52.04,51.35,51.36,245323
2021-06-10,51.43,51.84,51.26,51.64,130953
2021-06-11,51.67,52.06,51.38,52.01,157231
2021-06-14,51.91,52.1,51.51,51.7,110000
2021-06-15,51.73,52.03,51.58,51.86,98559
2021-06-16,52.03,52.05,50.99,51.18,117933
2021-06-17,51.11,51.39,50.77,51.02,144608
2021-06-18,50.6,50.7,49.66,49.78,130363
2021-06-21,50.13,50.3,49.7,50.17,137540
2021-06-22,50.15,50.47,50.15,50.26,97076
2021-06-23,50.18,50.61,49.75,50.18,203974
2021-06-24,50.3,51.08,50.06,50.66,224514
2021-06-25,50.49,51.59,50.49,51.53,237492
2021-06-28,51.6,51.92,51.28,51.43,147251
2021-06-29,51.3,51.5,50.32,50.44,160847
2021-06-30,50.73,50.87,50.34,50.67,81979
2021-07-01,50.72,51.68,50.52,51.48,158698
2021-07-02,51.4,51.57,51.14,51.34,201134
2021-07-06,51.27,51.28,50.27,51.24,163782
2021-07-07,51.28,51.72,51.05,51.59,179564
2021-07-08,51.43,51.71,51.26,51.68,254344
2021-07-09,51.9,52.02,51.38,51.68,128871
2021-07-12,51.38,51.79,51.31,51.75,87742
2021-07-13,51.79,51.9,51.19,51.44,89174
2021-07-14,51.4,52.05,51.32,51.86,87488
2021-07-15,51.81,52.76,51.81,52.74,108895
2021-07-16,52.85,53.45,52.7,53.16,192493
2021-07-19,53.03,53.42,51.91,52.67,198876
2021-07-20,52.91,53.69,52.91,53.12,132882
2021-07-21,53.16,53.3,52.32,52.33,70487
2021-07-22,52.27,52.71,52.19,52.49,103411
2021-07-23,52.55,53.24,52.55,53.24,70918
2021-07-26,53.15,53.26,52.63,53.13,103865
2021-07-27,53.02,54.35,52.87,54.21,106677
2021-07-28,53.98,54.18,52.92,53.4,48200
2021-07-29,53.3,53.77,53.1,53.44,49247
2021-07-30,53.52,53.88,52.9,52.96,86807
2021-08-02,53.19,53.84,53.0,53.71,99140
2021-08-03,53.85,54.57,53.51,54.2,86258
2021-08-04,53.99,54.25,53.51,54.24,61125
2021-08-05,54.13,54.59,54.0,54.57,60967
2021-08-06,54.47,55.0,54.23,54.65,67369
2021-08-09,54.74,54.74,54.31,54.59,43495
2021-08-10,54.33,54.58,54.18,54.33,47675
2021-08-11,54.53,54.79,54.36,54.55,44666
2021-08-12,54.54,54.77,54.32,54.37,28483
2021-08-13,54.36,54.92,54.36,54.78,21155
2021-08-16,54.86,55.51,54.83,55.14,25676
2021-08-17,55.01,55.46,54.92,55.46,61431
2021-08-18,55.59,55.59,54.78,55.09,74906
2021-08-19,55.02,55.63,55.01,55.25,73963
2021-08-20,54.95,55.95,54.93,55.94,69648
2021-08-23,55.69,55.78,55.24,55.31,86323
2021-08-24,55.27,55.33,54.65,54.86,65279
2021-08-25,54.75,55.07,54.54,54.95,68747
2021-08-26,54.86,55.19,54.61,55.11,35538
2021-08-27,55.27,55.79,55.17,55.37,85402
2021-08-30,55.43,55.79,55.38,55.68,82162
2021-08-31,55.44,55.87,55.05,55.33,112747
2021-09-01,55.51,56.18,55.46,56.15,57643
2021-09-02,56.24,56.63,56.24,56.63,93051
2021-09-03,56.44,56.53,56.06,56.09,60020
2021-09-07,55.9,55.92,54.76,54.84,69501
2021-09-08,54.81,56.1,54.72,55.87,54633
2021-09-09,55.75,55.9,55.53,55.63,44996
2021-09-10,55.4,55.43,54.9,54.91,51848
2021-09-13,55.23,55.31,54.27,54.36,49704
2021-09-14,54.48,54.8,54.38,54.53,125936
2021-09-15,54.37,54.8,53.97,54.21,215567
2021-09-16,54.2,54.53,53.86,53.92,65398
2021-09-17,53.94,54.01,53.11,53.21,93241
2021-09-20,53.35,53.7,52.83,53.36,44972
2021-09-21,53.53,53.75,53.1,53.25,70053
