date,open,high,low,close,volume
2020-07-27,66.7,67.33,65.99,67.22,90772
2020-07-28,66.24,66.525,63.85,64.26,348938
2020-07-29,64.73,66.72,64.66,66.33,150981
2020-07-30,65.125,66.85,64.3,66.81,124236
2020-07-31,66.465,66.525,64.45,65.24,42304
2020-08-03,65.58,65.585,62.77,63.0,173833
2020-08-04,62.98,63.72,62.335,62.515,77514
2020-08-05,62.965,64.085,62.85,63.965,78886
2020-08-06,63.92,63.92,62.965,63.67,68225
2020-08-07,63.73,64.82,63.73,64.27,36927
2020-08-10,64.39,64.42,62.78,63.0,114208
2020-08-11,63.98,64.43,62.74,62.89,83828
2020-08-12,64.14,65.33,63.765,65.11,63661
2020-08-13,64.76,64.76,63.89,64.73,55946
2020-08-14,64.005,64.93,63.9,64.595,244496
2020-08-17,64.475,64.94,63.98,64.08,44141
2020-08-18,64.3,64.32,62.925,63.125,84300
2020-08-19,63.395,64.125,63.17,63.51,76509
2020-08-20,63.18,63.21,62.075,62.37,57878
2020-08-21,62.41,62.9,61.92,62.45,52594
2020-08-24,62.45,62.45,60.11,60.235,69308
2020-08-25,60.415,60.795,59.75,60.78,115655
2020-08-26,60.38,60.395,58.38,59.37,178245
2020-08-27,59.825,61.14,59.02,60.5,124391
2020-08-28,60.315,61.64,60.23,60.51,64389
2020-08-31,60.295,61.97,60.14,61.31,111797
2020-09-01,61.325,61.76,60.74,61.36,143476
2020-09-02,61.12,62.14,60.72,62.01,85797
2020-09-03,62.035,62.7,59.73,60.325,90374
2020-09-04,60.17,60.34,58.66,59.705,52976
2020-09-08,59.25,59.25,57.01,57.12,61782
2020-09-09,57.51,57.87,56.6,57.36,85760
2020-09-10,57.58,57.62,56.73,57.085,117172
2020-09-11,57.4,57.4,55.685,56.41,53421
2020-09-14,56.93,58.75,56.86,58.25,130510
2020-09-15,58.615,58.955,57.78,58.15,156405
2020-09-16,58.55,60.15,58.485,59.94,288455
2020-09-17,59.22,60.53,59.135,60.47,193724
2020-09-18,60.42,61.32,60.14,61.12,148197
2020-09-21,57.95,57.96,55.14,56.065,299100
2020-09-22,55.905,56.31,53.96,54.3,184605
2020-09-23,54.125,55.33,53.65,54.955,178527
2020-09-24,54.75,55.43,53.85,54.405,129309
2020-09-25,54.135,55.545,54.105,55.47,101618
2020-09-28,56.41,56.76,55.29,55.46,128799
2020-09-29,55.615,56.145,55.26,55.85,93647
2020-09-30,56.405,58.87,56.405,58.415,153746
2020-10-01,58.37,58.93,57.7,58.87,232155
2020-10-02,58.3,60.91,57.92,59.99,469979
2020-10-05,60.32,62.695,60.28,62.29,246467
2020-10-06,62.435,63.65,61.86,62.19,144966
2020-10-07,63.29,65.13,63.29,64.63,137704
2020-10-08,64.905,65.24,63.85,64.68,112426
2020-10-09,64.99,65.205,63.63,64.2,120304
2020-10-12,64.61,65.79,64.55,65.25,112888
2020-10-13,64.97,66.39,64.97,65.37,149885
2020-10-14,65.115,65.65,63.93,65.175,82100
2020-10-15,64.495,66.12,64.49,65.85,168419
2020-10-16,65.92,66.85,65.26,66.23,98692
2020-10-19,66.495,66.7,65.5,65.7,109032
2020-10-20,65.885,66.51,65.3,65.67,87866
2020-10-21,65.66,66.55,65.28,65.99,89397
2020-10-22,66.305,67.21,66.24,66.93,99740
2020-10-23,67.3,68.62,67.07,67.39,242970
