date,open,high,low,close,volume
2020-07-27,16.89,16.89,16.2,16.36,116574
2020-07-28,16.35,16.77,16.35,16.59,62715
2020-07-29,16.66,16.69,16.39,16.67,83060
2020-07-30,16.4,16.45,16.1,16.41,340755
2020-07-31,16.35,16.54,15.79,16.32,408767
2020-08-03,16.17,16.77,16.12,16.57,119559
2020-08-04,16.54,17.08,16.54,16.69,139416
2020-08-05,16.9,17.0,16.24,16.31,176696
2020-08-06,16.34,17.58,16.34,17.39,678278
2020-08-07,17.34,17.74,17.34,17.49,173772
2020-08-10,17.68,18.04,17.65,17.98,101078
2020-08-11,18.18,18.34,17.67,17.68,109695
2020-08-12,17.86,17.96,17.5,17.5,148755
2020-08-13,17.42,17.89,17.39,17.79,159188
2020-08-14,17.67,17.71,17.39,17.62,115085
2020-08-17,17.55,17.86,17.55,17.7,94464
2020-08-18,17.73,17.73,17.26,17.36,209909
2020-08-19,17.48,17.69,17.38,17.49,92629
2020-08-20,17.38,17.43,17.12,17.15,85350
2020-08-21,17.16,17.34,17.03,17.09,64255
2020-08-24,17.14,17.5,17.13,17.47,89216
2020-08-25,17.54,17.57,17.19,17.29,63776
2020-08-26,17.12,17.14,16.91,16.97,95037
2020-08-27,17.09,17.17,16.95,17.07,78042
2020-08-28,17.09,17.26,16.96,17.24,69286
2020-08-31,17.26,17.39,17.18,17.36,53410
2020-09-01,17.18,17.32,17.09,17.29,85730
2020-09-02,17.19,17.75,17.18,17.66,43186
2020-09-03,17.79,17.92,17.26,17.41,78038
2020-09-04,17.5,17.5,16.94,17.18,78889
2020-09-08,17.23,17.23,16.69,16.74,109228
2020-09-09,16.86,17.04,16.75,16.86,231664
2020-09-10,16.86,17.07,16.77,16.82,48128
2020-09-11,16.78,16.89,16.65,16.82,42968
2020-09-14,16.94,17.14,16.78,16.89,143609
2020-09-15,16.9,16.94,16.3,16.43,167086
2020-09-16,16.46,17.07,16.46,17.06,469979
2020-09-17,16.87,16.89,16.54,16.65,84341
2020-09-18,16.61,16.61,16.28,16.36,213432
2020-09-21,16.18,16.63,16.14,16.33,208653
2020-09-22,16.34,16.48,16.24,16.34,69732
2020-09-23,16.38,16.53,16.28,16.3,146975
2020-09-24,16.28,16.52,16.09,16.32,77218
2020-09-25,16.13,16.42,16.13,16.4,78202
2020-09-28,16.61,16.66,16.41,16.41,111124
2020-09-29,16.47,16.62,16.23,16.42,32670
2020-09-30,16.52,16.83,16.52,16.73,97837
2020-10-01,16.8,16.81,16.58,16.76,101384
2020-10-02,16.63,17.26,16.53,17.22,309414
2020-10-05,17.29,17.48,17.03,17.44,156869
2020-10-06,17.47,17.98,17.36,17.78,173145
2020-10-07,17.85,18.07,17.72,17.85,254607
2020-10-08,17.93,18.46,17.87,18.42,246938
2020-10-09,18.49,18.6,18.34,18.47,277364
2020-10-12,18.39,18.85,18.34,18.67,165335
2020-10-13,18.49,18.65,17.95,17.99,231800
2020-10-14,18.0,18.19,17.8,17.97,133978
2020-10-15,17.83,18.13,17.83,18.09,139775
2020-10-16,18.17,18.24,17.84,18.01,67042
2020-10-19,18.07,18.15,17.92,17.98,122398
2020-10-20,18.12,18.98,17.99,18.43,388597
2020-10-21,18.36,18.85,18.33,18.6,323448
2020-10-22,18.62,19.12,18.53,19.07,149686
2020-10-23,19.2,19.43,19.15,19.19,264240
2020-10-26,18.88,19.16,18.81,19.11,108904
2020-10-27,19.15,19.41,19.1,19.31,211492
2020-10-28,18.8,19.21,18.36,18.4,200667
2020-10-29,18.33,18.72,18.07,18.57,234807
2020-10-30,18.59,18.62,18.15,18.25,315412
2020-11-02,18.45,18.62,18.2,18.55,296442
2020-11-03,18.85,19.16,18.72,18.84,256832
2020-11-04,18.78,19.18,18.58,18.65,208909
2020-11-05,19.0,20.02,19.0,19.59,459357
2020-11-06,19.6,19.79,19.4,19.75,219849
2020-11-09,20.74,21.07,20.4,20.47,764773
2020-11-10,20.72,20.85,20.56,20.8,207441
2020-11-11,20.81,21.23,20.71,20.78,204660
2020-11-12,20.56,20.56,19.97,20.25,220800
2020-11-13,20.34,20.96,20.34,20.95,164302
2020-11-16,21.33,21.67,21.25,21.65,709230
2020-11-17,21.33,21.93,21.27,21.78,455182
2020-11-18,21.81,21.81,20.63,20.64,353751
2020-11-19,20.59,20.67,20.13,20.35,306734
2020-11-20,20.37,20.52,20.28,20.38,278887
2020-11-23,20.46,20.86,20.46,20.85,1367909
2020-11-24,21.12,21.28,20.77,21.17,813614
2020-11-25,21.13,21.46,21.1,21.31,397947
2020-11-27,21.37,21.46,20.9,20.93,68562
2020-11-30,20.96,20.96,20.07,20.15,276307
2020-12-01,20.34,20.5,19.84,19.84,895020
2020-12-02,19.82,19.95,19.48,19.93,422856
2020-12-03,19.89,20.11,19.78,19.81,268991
2020-12-04,19.9,20.16,19.77,19.87,227743
2020-12-07,19.82,20.47,19.66,20.15,221271
2020-12-08,20.03,20.06,19.52,19.56,164926
2020-12-09,19.61,19.67,19.12,19.33,924521
2020-12-10,19.33,19.38,18.83,18.94,422094
2020-12-11,18.97,19.1,18.78,18.91,182688
2020-12-14,19.12,19.16,18.77,18.81,308387
2020-12-15,18.88,19.37,18.77,19.34,156157
2020-12-16,19.36,19.39,18.89,19.01,228639
2020-12-17,19.21,19.35,19.01,19.01,212732
2020-12-18,19.03,19.15,18.86,19.0,220315
2020-12-21,18.83,18.83,18.22,18.29,140101
2020-12-22,18.31,18.35,18.01,18.09,226218
2020-12-23,18.36,18.78,18.35,18.68,145265
2020-12-24,18.62,18.76,18.45,18.74,83563
2020-12-28,18.77,18.92,18.62,18.62,105471
2020-12-29,18.83,18.83,18.42,18.51,101867
2020-12-30,18.51,18.73,18.41,18.61,47373
2020-12-31,18.55,18.84,18.47,18.82,52941
2021-01-04,18.84,18.87,18.41,18.55,111687
