date,open,high,low,close,volume
2021-04-14,384.145,429.26,310.0,327.93,1458502
2021-04-15,348.505,348.99,317.5,325.35,984130
2021-04-16,327.0,345.53,321.065,341.64,552614
2021-04-19,336.63,340.25,326.94,332.33,319561
2021-04-20,333.98,333.99,312.17,320.675,409572
2021-04-21,312.23,327.185,302.46,311.74,309425
2021-04-22,306.9,313.11,287.31,293.33,515942
2021-04-23,282.875,302.97,282.07,291.84,324890
2021-04-26,304.3,305.5,297.01,304.21,138424
2021-04-27,306.645,306.645,299.55,302.29,74091
2021-04-28,300.13,302.61,298.22,298.22,34491
2021-04-29,298.34,299.97,292.5,294.25,60387
2021-04-30,292.26,302.6,292.19,297.78,65830
2021-05-03,303.92,305.0,294.0,294.08,133333
2021-05-04,292.04,292.04,275.66,280.78,191323
2021-05-05,283.49,288.74,269.4,273.1,136210
2021-05-06,270.64,272.0,250.52,256.9,180706
2021-05-07,260.695,266.65,259.0,263.61,65337
2021-05-10,266.89,297.47,259.51,293.44,208561
2021-05-11,281.26,303.16,276.53,302.905,196737
2021-05-12,299.75,306.5,281.24,283.65,215320
2021-05-13,276.0,284.52,252.265,264.48,468206
2021-05-14,280.48,280.48,256.86,258.91,202187
2021-05-17,249.675,249.675,238.62,247.75,270940
2021-05-18,238.755,252.155,238.7,239.065,193145
2021-05-19,215.0,228.93,208.0,224.88,323077
2021-05-20,236.3,238.775,226.595,233.43,261702
2021-05-21,238.0,238.85,223.965,224.41,205357
2021-05-24,227.485,230.98,224.31,225.25,210953
2021-05-25,229.69,243.81,228.085,242.52,203431
2021-05-26,247.89,249.25,239.41,242.05,140136
2021-05-27,245.0,247.24,240.99,247.01,105225
2021-05-28,244.115,244.5,236.71,236.82,95379
2021-06-01,238.97,244.34,238.185,238.25,122666
2021-06-02,241.63,243.75,238.785,240.27,323169
2021-06-03,241.29,241.29,233.58,233.8,76061
2021-06-04,230.19,233.0,227.77,228.91,106220
2021-06-07,228.61,232.48,226.83,231.54,69025
2021-06-08,226.94,229.225,217.61,220.37,120098
2021-06-09,222.99,229.74,217.41,224.31,152933
2021-06-10,226.59,229.275,221.64,221.945,81907
2021-06-11,223.55,225.42,222.12,223.7,26167
2021-06-14,232.75,239.69,230.05,239.09,147008
2021-06-15,236.09,237.6,231.12,232.17,56470
2021-06-16,231.25,234.49,226.29,227.98,51565
2021-06-17,227.42,232.56,226.605,230.34,58460
2021-06-18,226.745,232.66,226.745,229.47,127487
2021-06-21,223.45,224.99,218.81,222.6,135728
2021-06-22,216.25,223.1,210.77,222.56,208093
2021-06-23,225.15,230.4,224.78,226.0,67339
2021-06-24,228.18,230.015,226.86,229.91,162587
2021-06-25,227.49,227.79,223.43,224.59,68091
