date,open,high,low,close,volume
2020-07-27,90.89,92.18,90.69,91.94,20641
2020-07-28,91.61,92.3,90.1,90.22,33280
2020-07-29,89.67,91.71,89.63,91.32,27314
2020-07-30,90.03,90.42,89.34,90.28,28617
2020-07-31,89.85,89.93,87.25,88.54,15931
2020-08-03,89.7,92.66,89.7,92.36,57226
2020-08-04,91.83,92.89,91.1,92.52,59091
2020-08-05,91.99,93.74,91.15,91.52,48790
2020-08-06,91.21,91.69,89.24,89.79,42825
2020-08-07,89.6,90.26,88.87,90.25,32446
2020-08-10,90.37,91.57,90.08,91.1,19256
2020-08-11,91.56,91.56,89.34,89.54,33574
2020-08-12,90.12,91.92,90.12,91.51,25281
2020-08-13,90.82,90.82,89.59,90.76,20320
2020-08-14,90.34,92.44,90.34,91.96,17643
2020-08-17,92.17,92.35,91.54,91.78,25930
2020-08-18,92.12,92.55,90.91,91.25,21474
2020-08-19,91.12,91.24,90.21,90.24,17582
2020-08-20,90.02,90.41,87.88,87.88,57983
2020-08-21,87.31,87.34,86.29,87.07,44076
2020-08-24,88.01,88.01,85.56,86.57,20047
2020-08-25,86.87,87.17,86.11,87.15,47683
2020-08-26,86.37,86.8,85.5,86.66,24317
2020-08-27,86.13,87.79,85.56,87.03,20323
2020-08-28,87.09,87.38,86.38,86.53,19215
2020-08-31,86.05,86.79,86.05,86.11,17751
2020-09-01,86.4,86.4,82.67,83.6,38897
2020-09-02,83.84,87.65,83.71,87.24,49861
2020-09-03,88.06,88.8,85.84,86.59,54633
2020-09-04,86.44,86.49,84.72,85.7,40650
2020-09-08,85.51,85.67,84.2,84.61,54461
2020-09-09,84.92,85.9,84.41,85.31,27358
2020-09-10,85.59,85.85,83.64,83.72,34220
2020-09-11,84.17,84.17,82.59,83.46,18740
2020-09-14,84.03,84.25,82.25,83.94,46713
2020-09-15,84.37,85.25,83.76,84.23,45127
2020-09-16,84.66,86.77,84.62,85.9,38572
2020-09-17,84.96,85.99,84.14,85.86,17142
2020-09-18,86.17,86.37,85.21,85.92,25757
2020-09-21,84.3,85.1,83.66,85.01,19617
2020-09-22,85.19,85.25,84.18,84.58,23471
2020-09-23,85.03,85.06,83.45,83.57,17512
2020-09-24,83.35,85.11,81.87,83.99,27680
2020-09-25,84.36,86.1,83.91,85.91,17722
2020-09-28,86.43,87.43,86.43,86.54,12957
2020-09-29,87.08,87.33,85.98,86.24,42646
2020-09-30,86.36,87.71,85.81,87.0,82133
2020-10-01,87.16,87.4,84.92,85.49,48351
2020-10-02,84.51,86.54,84.39,85.42,38169
2020-10-05,85.93,86.95,85.1,86.37,28731
2020-10-06,87.38,87.49,85.58,85.71,41503
2020-10-07,86.05,86.44,85.71,85.71,39143
2020-10-08,86.27,88.7,86.14,88.3,130529
2020-10-09,88.44,88.74,86.57,86.83,52338
2020-10-12,87.2,87.49,86.46,86.84,59656
2020-10-13,86.4,87.36,85.8,87.21,37031
2020-10-14,87.45,88.97,87.17,88.22,50514
